-4.5, -2.4, 1.3, -1.0, -4.5, 1.5, -3.5, 4.5, -2.5, -2.5
parameter ends

state | action | reward
[0.02] | 1 | 1.0
0.019892621785402298 | 0 | 1.0
0.02301013469696045 | 1 | 1.0
0.02223377674818039 | 0 | 1.0
0.025369374081492424 | 0 | 1.0
0.02461252734065056 | 1 | 1.0
0.01996501162648201 | 0 | 1.0
0.019230738282203674 | 1 | 1.0
0.0146040553227067 | 0 | 1.0
0.013889264315366745 | 1 | 1.0
0.009280627593398094 | 0 | 1.0
0.008582748472690582 | 1 | 1.0
0.00398985343053937 | 0 | 1.0
0.003306775586679578 | 1 | 1.0
-0.0012722674291580915 | 0 | 1.0
-0.0019422576297074556 | 1 | 1.0
-0.006508967373520136 | 0 | 1.0
-0.007167232688516378 | 1 | 1.0
-0.011722802184522152 | 0 | 1.0
-0.012370393611490726 | 1 | 1.0
-0.01691572368144989 | 0 | 1.0
-0.017553409561514854 | 1 | 1.0
-0.02208912931382656 | 0 | 1.0
-0.022717420011758804 | 1 | 1.0
-0.02724391222000122 | 0 | 1.0
-0.027863075956702232 | 1 | 1.0
-0.03238048776984215 | 0 | 1.0
-0.032990556210279465 | 1 | 1.0
-0.03749880567193031 | 0 | 1.0
-0.038099586963653564 | 1 | 1.0
-0.04259835556149483 | 0 | 1.0
-0.04318942502140999 | 1 | 1.0
-0.04767816886305809 | 0 | 1.0
-0.048258859664201736 | 1 | 1.0
-0.052736785262823105 | 0 | 1.0
-0.053306180983781815 | 1 | 1.0
-0.057772234082221985 | 0 | 1.0
-0.05832915008068085 | 1 | 1.0
-0.06278198957443237 | 0 | 1.0
-0.0633249431848526 | 1 | 1.0
-0.06776291131973267 | 0 | 1.0
-0.0682900920510292 | 1 | 1.0
-0.07271118462085724 | 0 | 1.0
-0.0732204020023346 | 1 | 1.0
-0.07762221246957779 | 0 | 1.0
-0.07811088114976883 | 0 | 1.0
-0.08249055594205856 | 1 | 1.0
-0.09075934439897537 | 0 | 1.0
-0.09511349350214005 | 1 | 1.0
-0.10335830599069595 | 0 | 1.0
-0.10768962651491165 | 1 | 1.0
-0.11591281741857529 | 0 | 1.0
-0.12022340297698975 | 1 | 1.0
-0.12842676043510437 | 0 | 1.0
-0.13271816074848175 | 1 | 1.0
-0.14090293645858765 | 0 | 1.0
-0.14517618715763092 | 1 | 1.0
-0.15334320068359375 | 0 | 1.0
-0.15759888291358948 | 1 | 1.0
-0.1657484471797943 | 0 | 1.0
-0.16998668015003204 | 1 | 1.0
-0.17811870574951172 | 0 | 1.0
-0.18233919143676758 | 1 | 1.0
-0.19045312702655792 | 0 | 1.0
-0.19465510547161102 | 1 | 1.0
-0.20274995267391205 | 0 | 1.0
-0.20693224668502808 | 1 | 1.0
-0.21500656008720398 | 0 | 1.0
-0.21916745603084564 | 1 | 1.0
-0.22721926867961884 | 0 | 1.0
-0.23135660588741302 | 1 | 1.0
-0.23938344419002533 | 0 | 1.0
-0.24349446594715118 | 0 | 1.0
-0.2514932453632355 | 1 | 1.0
-0.26337775588035583 | 0 | 1.0
-0.27134472131729126 | 1 | 1.0
-0.2831987142562866 | 0 | 1.0
-0.2911360263824463 | 1 | 1.0
-0.30296123027801514 | 0 | 1.0
-0.31087028980255127 | 1 | 1.0
-0.3226676881313324 | 0 | 1.0
-0.3305491805076599 | 1 | 1.0
-0.3423190712928772 | 0 | 1.0
-0.3501729369163513 | 1 | 1.0
-0.3619149625301361 | 0 | 1.0
-0.3697405159473419 | 1 | 1.0
-0.3814535140991211 | 0 | 1.0
-0.38924935460090637 | 1 | 1.0
-0.40093156695365906 | 0 | 1.0
-0.4086955785751343 | 0 | 1.0
-0.42034444212913513 | 1 | 1.0
-0.4358762502670288 | 0 | 1.0
-0.4474884271621704 | 1 | 1.0
