6.0, 6.0, 4.0, 6.0, -6.0, -5.0, -3.5, 4.5, -2.5, -2.5
parameter ends

state | action | reward
[-0.02] | 0 | 1.0
-0.020558983087539673 | 1 | 1.0
-0.023618284612894058 | 0 | 1.0
-0.022761927917599678 | 1 | 1.0
-0.025794949382543564 | 0 | 1.0
-0.024913311004638672 | 1 | 1.0
-0.027922090142965317 | 0 | 1.0
-0.02701692283153534 | 1 | 1.0
-0.03000286966562271 | 0 | 1.0
-0.029075313359498978 | 1 | 1.0
-0.032039251178503036 | 0 | 1.0
-0.031089872121810913 | 1 | 1.0
-0.03403206542134285 | 0 | 1.0
-0.03306087478995323 | 1 | 1.0
-0.03598104044795036 | 0 | 1.0
-0.03498750180006027 | 1 | 1.0
-0.03788481280207634 | 0 | 1.0
-0.03686784580349922 | 1 | 1.0
-0.0397409088909626 | 0 | 1.0
-0.03869885951280594 | 0 | 1.0
-0.041545696556568146 | 1 | 1.0
-0.04827972501516342 | 0 | 1.0
-0.05109770596027374 | 1 | 1.0
-0.05780482292175293 | 0 | 1.0
-0.060597311705350876 | 1 | 1.0
-0.06728047877550125 | 0 | 1.0
-0.07005015015602112 | 1 | 1.0
-0.07671169936656952 | 0 | 1.0
-0.07946063578128815 | 1 | 1.0
-0.08610234409570694 | 0 | 1.0
-0.0888320803642273 | 1 | 1.0
-0.09545519202947617 | 0 | 1.0
-0.09816675633192062 | 1 | 1.0
-0.10477206110954285 | 0 | 1.0
-0.10746601969003677 | 1 | 1.0
-0.11405383795499802 | 0 | 1.0
-0.11673030257225037 | 1 | 1.0
-0.12330050766468048 | 0 | 1.0
-0.1259591430425644 | 1 | 1.0
-0.1325111836194992 | 0 | 1.0
-0.1351512372493744 | 0 | 1.0
-0.14168408513069153 | 1 | 1.0
-0.15210843086242676 | 0 | 1.0
-0.15862062573432922 | 1 | 1.0
-0.16902688145637512 | 0 | 1.0
-0.17552310228347778 | 1 | 1.0
-0.18591567873954773 | 0 | 1.0
-0.19240017235279083 | 1 | 1.0
-0.20278307795524597 | 0 | 1.0
-0.2092597633600235 | 1 | 1.0
-0.21963675320148468 | 0 | 1.0
-0.22610926628112793 | 1 | 1.0
-0.2364838719367981 | 0 | 1.0
-0.24295571446418762 | 1 | 1.0
-0.25333139300346375 | 0 | 1.0
-0.2598060369491577 | 1 | 1.0
-0.270186185836792 | 0 | 1.0
-0.2766670882701874 | 1 | 1.0
-0.28705522418022156 | 0 | 1.0
-0.2935459613800049 | 1 | 1.0
-0.30394574999809265 | 0 | 1.0
-0.31045010685920715 | 1 | 1.0
-0.3208653926849365 | 0 | 1.0
-0.3273874521255493 | 1 | 1.0
-0.33782246708869934 | 1 | 1.0
-0.3443666994571686 | 0 | 1.0
-0.3470224440097809 | 1 | 1.0
-0.35359376668930054 | 0 | 1.0
-0.3562759459018707 | 1 | 1.0
-0.3628733158111572 | 0 | 1.0
-0.365581214427948 | 1 | 1.0
-0.37220415472984314 | 0 | 1.0
-0.37493768334388733 | 1 | 1.0
-0.3815864622592926 | 0 | 1.0
-0.3843461871147156 | 1 | 1.0
-0.39102160930633545 | 0 | 1.0
-0.3938087522983551 | 1 | 1.0
-0.40051236748695374 | 0 | 1.0
-0.4033287763595581 | 1 | 1.0
-0.4100627601146698 | 0 | 1.0
-0.4129110276699066 | 1 | 1.0
-0.419678270816803 | 1 | 1.0
-0.42256176471710205 | 0 | 1.0
-0.4215637445449829 | 1 | 1.0
-0.4244866371154785 | 0 | 1.0
-0.4235270321369171 | 1 | 1.0
-0.4264878034591675 | 0 | 1.0
-0.42556560039520264 | 1 | 1.0
-0.4285637140274048 | 0 | 1.0
-0.4276788830757141 | 1 | 1.0
-0.4307146668434143 | 0 | 1.0
-0.4298681318759918 | 1 | 1.0
-0.43294283747673035 | 1 | 1.0
-0.4321363866329193 | 0 | 1.0
-0.42745062708854675 | 1 | 1.0
-0.4266871213912964 | 0 | 1.0
-0.42204251885414124 | 1 | 1.0
-0.4213191270828247 | 0 | 1.0
-0.41671353578567505 | 1 | 1.0
-0.4160284996032715 | 0 | 1.0
-0.41146066784858704 | 1 | 1.0
-0.41081321239471436 | 0 | 1.0
-0.4062829315662384 | 1 | 1.0
-0.40567317605018616 | 1 | 1.0
-0.40118107199668884 | 0 | 1.0
-0.39280810952186584 | 1 | 1.0
-0.3883558511734009 | 0 | 1.0
-0.38002029061317444 | 1 | 1.0
-0.3756038546562195 | 0 | 1.0
-0.36730220913887024 | 1 | 1.0
-0.362918496131897 | 0 | 1.0
-0.3546482026576996 | 1 | 1.0
-0.35029494762420654 | 0 | 1.0
-0.34205418825149536 | 1 | 1.0
-0.33772990107536316 | 0 | 1.0
-0.3295176327228546 | 1 | 1.0
-0.32522162795066833 | 0 | 1.0
-0.3170374929904938 | 1 | 1.0
-0.31276971101760864 | 1 | 1.0
-0.3046141564846039 | 0 | 1.0
-0.292572021484375 | 1 | 1.0
-0.2844460606575012 | 0 | 1.0
-0.27243077754974365 | 1 | 1.0
-0.26432961225509644 | 0 | 1.0
-0.2523368000984192 | 1 | 1.0
-0.24425624310970306 | 0 | 1.0
-0.23228201270103455 | 1 | 1.0
-0.2242184579372406 | 0 | 1.0
-0.21225951611995697 | 1 | 1.0
-0.2042098045349121 | 0 | 1.0
-0.19226323068141937 | 1 | 1.0
-0.18422462046146393 | 0 | 1.0
-0.17228785157203674 | 1 | 1.0
-0.16425788402557373 | 0 | 1.0
-0.15232859551906586 | 1 | 1.0
-0.14430509507656097 | 0 | 1.0
-0.13238123059272766 | 1 | 1.0
-0.12436217814683914 | 0 | 1.0
-0.11244179308414459 | 1 | 1.0
-0.1044253259897232 | 0 | 1.0
-0.09250662475824356 | 1 | 1.0
-0.08449095487594604 | 0 | 1.0
-0.07257217913866043 | 1 | 1.0
-0.0645555853843689 | 0 | 1.0
-0.052635010331869125 | 1 | 1.0
-0.044615738093853 | 0 | 1.0
-0.03269162029027939 | 1 | 1.0
-0.0246678926050663 | 0 | 1.0
-0.012738410383462906 | 1 | 1.0
-0.004708350170403719 | 0 | 1.0
0.007228423375636339 | 1 | 1.0
0.015266823582351208 | 0 | 1.0
0.027212975546717644 | 1 | 1.0
0.03526190668344498 | 0 | 1.0
0.04721972718834877 | 1 | 1.0
0.0552816241979599 | 0 | 1.0
0.06725367158651352 | 1 | 1.0
0.07533125579357147 | 0 | 1.0
0.08732038736343384 | 1 | 1.0
0.09541673958301544 | 0 | 1.0
0.1074262261390686 | 1 | 1.0
0.11554485559463501 | 0 | 1.0
0.12757840752601624 | 1 | 1.0
0.13572333753108978 | 0 | 1.0
0.14778518676757812 | 0 | 1.0
0.1559610217809677 | 1 | 1.0
0.1602534055709839 | 0 | 1.0
0.1684654802083969 | 1 | 1.0
0.17279371619224548 | 0 | 1.0
0.18104155361652374 | 1 | 1.0
0.1854056417942047 | 0 | 1.0
0.19368965923786163 | 1 | 1.0
0.19809052348136902 | 0 | 1.0
0.20641200244426727 | 1 | 1.0
0.21085146069526672 | 0 | 1.0
0.2192125916481018 | 1 | 1.0
0.2236933708190918 | 0 | 1.0
0.2320972979068756 | 0 | 1.0
0.23662309348583221 | 1 | 1.0
0.23727333545684814 | 0 | 1.0
0.24184899032115936 | 1 | 1.0
0.24254851043224335 | 0 | 1.0
0.24717335402965546 | 1 | 1.0
0.24792224168777466 | 0 | 1.0
0.2525968551635742 | 1 | 1.0
0.2533963620662689 | 0 | 1.0
0.2581225037574768 | 0 | 1.0
0.25897514820098877 | 1 | 1.0
0.2559565603733063 | 0 | 1.0
0.2568661570549011 | 1 | 1.0
0.25390344858169556 | 0 | 1.0
0.2548685073852539 | 1 | 1.0
0.2519610822200775 | 0 | 1.0
0.252981573343277 | 0 | 1.0
0.2501301169395447 | 1 | 1.0
0.2434084266424179 | 0 | 1.0
0.240615114569664 | 1 | 1.0
0.23394951224327087 | 0 | 1.0
0.23121128976345062 | 1 | 1.0
0.22459958493709564 | 0 | 1.0
0.22191478312015533 | 1 | 1.0
0.21535608172416687 | 0 | 1.0
0.21272432804107666 | 0 | 1.0
0.20621906220912933 | 1 | 1.0
0.19584183394908905 | 0 | 1.0
0.18939176201820374 | 1 | 1.0
0.179067462682724 | 0 | 1.0
0.17266908288002014 | 1 | 1.0
0.16239498555660248 | 0 | 1.0
0.15604610741138458 | 0 | 1.0
0.1458207666873932 | 1 | 1.0
0.13171982765197754 | 0 | 1.0
0.1215430274605751 | 1 | 1.0
0.10748717188835144 | 0 | 1.0
0.09735328704118729 | 1 | 1.0
0.08333758264780045 | 0 | 1.0
0.07324206084012985 | 1 | 1.0
0.059262584894895554 | 0 | 1.0
0.049201883375644684 | 1 | 1.0
0.03525562956929207 | 0 | 1.0
0.025227108970284462 | 1 | 1.0
0.011311917565762997 | 0 | 1.0
0.0013137694913893938 | 0 | 1.0
-0.012571722269058228 | 1 | 1.0
-0.030343826860189438 | 0 | 1.0
-0.04420020803809166 | 1 | 1.0
-0.06194688007235527 | 0 | 1.0
-0.07578068971633911 | 1 | 1.0
-0.0935080349445343 | 0 | 1.0
-0.10732517391443253 | 1 | 1.0
-0.1250387728214264 | 0 | 1.0
-0.13884466886520386 | 1 | 1.0
-0.15654969215393066 | 0 | 1.0
-0.17034944891929626 | 1 | 1.0
-0.18805082142353058 | 0 | 1.0
-0.20184928178787231 | 1 | 1.0
-0.21955175697803497 | 0 | 1.0
-0.23335371911525726 | 1 | 1.0
-0.2510620355606079 | 0 | 1.0
-0.264872282743454 | 1 | 1.0
-0.2825912535190582 | 0 | 1.0
-0.29641473293304443 | 1 | 1.0
-0.3141493797302246 | 0 | 1.0
-0.3279913067817688 | 1 | 1.0
-0.3457469344139099 | 0 | 1.0
-0.3596128821372986 | 1 | 1.0
-0.37739524245262146 | 1 | 1.0
-0.3912913501262665 | 0 | 1.0
-0.40130415558815 | 1 | 1.0
-0.415237158536911 | 0 | 1.0
-0.42528727650642395 | 1 | 1.0
-0.4392581284046173 | 0 | 1.0
-0.4493470788002014 | 1 | 1.0
-0.4633576571941376 | 0 | 1.0
-0.4734877943992615 | 1 | 1.0
-0.48754096031188965 | 0 | 1.0
-0.49771568179130554 | 1 | 1.0
-0.5118151903152466 | 1 | 1.0
-0.5220389366149902 | 0 | 1.0
-0.5283898711204529 | 1 | 1.0
-0.5386682748794556 | 0 | 1.0
-0.5450738668441772 | 1 | 1.0
-0.5554071664810181 | 0 | 1.0
-0.56186842918396 | 1 | 1.0
-0.5722582936286926 | 0 | 1.0
