6.0, 7.0, -3.4, 7.0, 1.7, 1.7, -3.5, 4.5, -2.6, -2.6
parameter ends

state | action | reward
[-0.05] | 0 | 1.0
-0.046357493847608566 | 1 | 1.0
-0.05097128450870514 | 0 | 1.0
-0.05168337747454643 | 1 | 1.0
-0.056300465017557144 | 0 | 1.0
-0.05701785534620285 | 1 | 1.0
-0.06164219602942467 | 0 | 1.0
-0.06236892193555832 | 1 | 1.0
-0.06700460612773895 | 1 | 1.0
-0.06774488091468811 | 0 | 1.0
-0.06459188461303711 | 1 | 1.0
-0.0653502345085144 | 0 | 1.0
-0.06221429631114006 | 1 | 1.0
-0.06298892199993134 | 1 | 1.0
-0.05986850708723068 | 0 | 1.0
-0.05285361036658287 | 1 | 1.0
-0.049747589975595474 | 0 | 1.0
-0.04274315759539604 | 1 | 1.0
-0.039644092321395874 | 0 | 1.0
-0.03264293819665909 | 1 | 1.0
-0.029543645679950714 | 0 | 1.0
-0.022538745775818825 | 1 | 1.0
-0.019432131201028824 | 0 | 1.0
-0.012416455894708633 | 1 | 1.0
-0.009295339696109295 | 0 | 1.0
-0.002261698478832841 | 0 | 1.0
0.0008813529275357723 | 1 | 1.0
0.00013703138392884284 | 0 | 1.0
0.0033099029678851366 | 0 | 1.0
0.0025963285006582737 | 1 | 1.0
-0.002002070192247629 | 0 | 1.0
-0.0026825955137610435 | 0 | 1.0
-0.0072500440292060375 | 0 | 1.0
-0.0157044418156147 | 1 | 1.0
-0.02804766781628132 | 0 | 1.0
-0.036479122936725616 | 0 | 1.0
-0.04880756884813309 | 1 | 1.0
-0.06503607332706451 | 0 | 1.0
-0.07736412435770035 | 1 | 1.0
-0.09360241889953613 | 1 | 1.0
-0.10595081001520157 | 0 | 1.0
-0.11441648751497269 | 1 | 1.0
-0.1268061101436615 | 1 | 1.0
-0.13532160222530365 | 1 | 1.0
-0.13996954262256622 | 1 | 1.0
-0.14075464010238647 | 1 | 1.0
-0.13767972588539124 | 1 | 1.0
-0.130745530128479 | 1 | 1.0
-0.11995073407888412 | 1 | 1.0
-0.10529205948114395 | 1 | 1.0
-0.08676440268754959 | 1 | 1.0
-0.0643611028790474 | 1 | 1.0
-0.03807428106665611 | 1 | 1.0
-0.007895433343946934 | 0 | 1.0
0.026183875277638435 | 1 | 1.0
0.05636662617325783 | 0 | 1.0
0.0904659852385521 | 0 | 1.0
0.12068748474121094 | 0 | 1.0
Total reward: 58.0
6.0, 7.0, -3.4, 7.0, 1.7, 1.7, -3.5, 4.5, -2.6, -2.6
parameter ends

state | action | reward
[-0.02] | 0 | 1.0
-0.02283698320388794 | 0 | 1.0
-0.02742766961455345 | 1 | 1.0
-0.03592463210225105 | 0 | 1.0
-0.04052459076046944 | 1 | 1.0
-0.04903537780046463 | 0 | 1.0
-0.053654152899980545 | 1 | 1.0
-0.06218826398253441 | 1 | 1.0
-0.06683570891618729 | 1 | 1.0
-0.06760060787200928 | 0 | 1.0
-0.06448523700237274 | 1 | 1.0
-0.06529174000024796 | 1 | 1.0
-0.06221702694892883 | 1 | 1.0
-0.0552617684006691 | 0 | 1.0
-0.04442470520734787 | 1 | 1.0
-0.037505581974983215 | 1 | 1.0
-0.026697570458054543 | 1 | 1.0
-0.011998053640127182 | 0 | 1.0
0.0065971361473202705 | 1 | 1.0
0.02128847874701023 | 0 | 1.0
0.03988732397556305 | 1 | 1.0
0.05459389090538025 | 0 | 1.0
0.07321859896183014 | 0 | 1.0
0.08796358853578568 | 0 | 1.0
0.09883783012628555 | 0 | 1.0
0.10584896057844162 | 0 | 1.0
0.10900292545557022 | 0 | 1.0
0.10830376297235489 | 0 | 1.0
0.1037534549832344 | 0 | 1.0
0.095351941883564 | 0 | 1.0
0.08309708535671234 | 0 | 1.0
0.06698480993509293 | 0 | 1.0
0.04700924828648567 | 0 | 1.0
0.023163005709648132 | 0 | 1.0
-0.004562478978186846 | 0 | 1.0
-0.036176394671201706 | 0 | 1.0
-0.07168783247470856 | 1 | 1.0
-0.1111048012971878 | 0 | 1.0
-0.14663025736808777 | 1 | 1.0
Total reward: 39.0
6.0, 7.0, -3.4, 7.0, 1.7, 1.7, -3.5, 4.5, -2.6, -2.6
parameter ends

state | action | reward
[-0.02] | 0 | 1.0
-0.019958198070526123 | 1 | 1.0
-0.023943288251757622 | 0 | 1.0
-0.024025574326515198 | 1 | 1.0
-0.028011560440063477 | 0 | 1.0
-0.02809632569551468 | 1 | 1.0
-0.032086361199617386 | 0 | 1.0
-0.032176800072193146 | 1 | 1.0
-0.03617410361766815 | 0 | 1.0
-0.03627350926399231 | 1 | 1.0
-0.04028143361210823 | 1 | 1.0
-0.04039328172802925 | 0 | 1.0
-0.03661096841096878 | 1 | 1.0
-0.036739010363817215 | 0 | 1.0
-0.03297147527337074 | 1 | 1.0
-0.03311312943696976 | 1 | 1.0
-0.02935800328850746 | 0 | 1.0
-0.02170642279088497 | 1 | 1.0
-0.017961697652935982 | 0 | 1.0
-0.010316151194274426 | 1 | 1.0
-0.006573403254151344 | 0 | 1.0
0.0010743035236373544 | 1 | 1.0
0.0048233396373689175 | 0 | 1.0
0.01248135045170784 | 1 | 1.0
0.016244985163211823 | 0 | 1.0
0.023921575397253036 | 0 | 1.0
0.027708351612091064 | 1 | 1.0
0.02760888636112213 | 0 | 1.0
0.03142780810594559 | 0 | 1.0
0.03136206418275833 | 0 | 1.0
0.027413679286837578 | 1 | 1.0
0.01958274655044079 | 0 | 1.0
0.015670236200094223 | 0 | 1.0
0.00787037517875433 | 1 | 1.0
-0.0038182884454727173 | 0 | 1.0
-0.011594822630286217 | 0 | 1.0
-0.02326761558651924 | 1 | 1.0
-0.03883941099047661 | 0 | 1.0
-0.05050944164395332 | 1 | 1.0
-0.06608814746141434 | 0 | 1.0
-0.07777488231658936 | 1 | 1.0
-0.09337920695543289 | 1 | 1.0
-0.10510208457708359 | 1 | 1.0
-0.11295102536678314 | 1 | 1.0
-0.11693201214075089 | 1 | 1.0
-0.11704916507005692 | 1 | 1.0
-0.11330465227365494 | 1 | 1.0
-0.10569855570793152 | 1 | 1.0
