-1.0, -2.7, -5.0, 2.1, -0.7, -3.2, -5.9, 1.2, 0.3, 0.8
parameter ends

state | action | reward
[-0.04] | 1 | 1.0
-0.0367329902946949 | 1 | 1.0
-0.03190327063202858 | 0 | 1.0
-0.023161133751273155 | 0 | 1.0
-0.01830899901688099 | 1 | 1.0
-0.017342785373330116 | 0 | 1.0
-0.012457513250410557 | 1 | 1.0
-0.011455615982413292 | 0 | 1.0
-0.0065324800089001656 | 1 | 1.0
-0.005489669740200043 | 0 | 1.0
-0.0005231162067502737 | 0 | 1.0
0.0005667473888024688 | 1 | 1.0
-0.002216678811237216 | 0 | 1.0
-0.00107252795714885 | 0 | 1.0
-0.0038007458206266165 | 1 | 1.0
-0.01039942353963852 | 0 | 1.0
-0.013069710694253445 | 0 | 1.0
-0.01961216703057289 | 1 | 1.0
-0.030026404187083244 | 0 | 1.0
-0.03651421517133713 | 0 | 1.0
-0.04687807708978653 | 1 | 1.0
-0.06111908704042435 | 0 | 1.0
-0.07143853604793549 | 1 | 1.0
-0.08564190566539764 | 0 | 1.0
-0.09592848271131516 | 0 | 1.0
-0.1101049929857254 | 1 | 1.0
-0.12817353010177612 | 0 | 1.0
-0.14233320951461792 | 1 | 1.0
-0.16039344668388367 | 0 | 1.0
-0.1745525300502777 | 1 | 1.0
-0.19262005388736725 | 0 | 1.0
-0.20679451525211334 | 1 | 1.0
-0.22488485276699066 | 1 | 1.0
-0.23909075558185577 | 0 | 1.0
-0.24941839277744293 | 1 | 1.0
-0.26367226243019104 | 0 | 1.0
-0.27405408024787903 | 1 | 1.0
-0.28836655616760254 | 1 | 1.0
-0.2988140881061554 | 1 | 1.0
-0.3054025173187256 | 0 | 1.0
-0.3081358075141907 | 1 | 1.0
-0.3148077726364136 | 1 | 1.0
-0.3176262080669403 | 1 | 1.0
-0.31659382581710815 | 0 | 1.0
-0.3117113411426544 | 1 | 1.0
-0.31076815724372864 | 1 | 1.0
-0.3059712052345276 | 1 | 1.0
-0.2973198890686035 | 0 | 1.0
-0.28481167554855347 | 1 | 1.0
-0.27623701095581055 | 1 | 1.0
-0.26379671692848206 | 0 | 1.0
-0.24748723208904266 | 1 | 1.0
-0.23510298132896423 | 1 | 1.0
-0.21883901953697205 | 0 | 1.0
-0.19869089126586914 | 1 | 1.0
-0.18245640397071838 | 0 | 1.0
-0.16232560575008392 | 1 | 1.0
-0.14609850943088531 | 0 | 1.0
-0.12596412003040314 | 1 | 1.0
-0.10972265899181366 | 0 | 1.0
-0.08956392854452133 | 1 | 1.0
-0.07328646630048752 | 0 | 1.0
-0.05308273434638977 | 0 | 1.0
-0.03674766421318054 | 1 | 1.0
-0.024271808564662933 | 0 | 1.0
-0.007857108488678932 | 0 | 1.0
Total reward: 66.0
