-4.9, -5.4, 0.2, 0.6, -1.4, -0.3, -5.1, -0.5, -0.7, -3.6
parameter ends

state | action | reward
[-0.] | 0 | 1.0
-0.003062858944758773 | 0 | 1.0
-0.006269713398069143 | 0 | 1.0
-0.01338491216301918 | 1 | 1.0
-0.02441001869738102 | 0 | 1.0
-0.031543903052806854 | 1 | 1.0
-0.04259544983506203 | 1 | 1.0
-0.049765024334192276 | 0 | 1.0
-0.05305929109454155 | 1 | 1.0
-0.06028205156326294 | 0 | 1.0
-0.06363650411367416 | 1 | 1.0
-0.07092415541410446 | 0 | 1.0
-0.07435140758752823 | 1 | 1.0
-0.08171657472848892 | 1 | 1.0
-0.08523035049438477 | 0 | 1.0
-0.08490034192800522 | 1 | 1.0
Total reward: 16.0
