-4.8, 3.7, -2.3, 1.4, -2.7, -1.7, -4.0, 2.4, 1.8, 0.2
parameter ends

state | action | reward
[-0.04] | 0 | 1.0
-0.04544511437416077 | 0 | 1.0
-0.04981565102934837 | 0 | 1.0
-0.05807901918888092 | 1 | 1.0
-0.07023687660694122 | 0 | 1.0
-0.07848779112100601 | 1 | 1.0
-0.09064102917909622 | 0 | 1.0
-0.0988946259021759 | 1 | 1.0
-0.11105788499116898 | 0 | 1.0
-0.11932917684316635 | 1 | 1.0
-0.13151708245277405 | 0 | 1.0
-0.13982120156288147 | 1 | 1.0
-0.15204858779907227 | 0 | 1.0
-0.16040107607841492 | 1 | 1.0
-0.17268317937850952 | 1 | 1.0
-0.18110010027885437 | 0 | 1.0
-0.18565942347049713 | 1 | 1.0
-0.19415782392024994 | 0 | 1.0
-0.19880640506744385 | 1 | 1.0
Total reward: 19.0
