-5.3, -2.5, 4.9, -0.3, 1.6, -2.5, -2.9, -0.5, 2.3, 0.7
parameter ends

state | action | reward
[-0.05] | 0 | 1.0
-0.04995056986808777 | 1 | 1.0
-0.054580267518758774 | 0 | 1.0
-0.05530407279729843 | 1 | 1.0
-0.05992838367819786 | 0 | 1.0
-0.06064826250076294 | 1 | 1.0
-0.06527011841535568 | 0 | 1.0
-0.06598895788192749 | 1 | 1.0
-0.07061120122671127 | 0 | 1.0
-0.07133183628320694 | 1 | 1.0
-0.0759572684764862 | 0 | 1.0
-0.07668253779411316 | 1 | 1.0
-0.08131402730941772 | 0 | 1.0
-0.08204684406518936 | 0 | 1.0
-0.0866873562335968 | 1 | 1.0
-0.09523548185825348 | 0 | 1.0
-0.0998881384730339 | 1 | 1.0
-0.10845314711332321 | 0 | 1.0
-0.11312800645828247 | 1 | 1.0
-0.12171988934278488 | 0 | 1.0
-0.12642733752727509 | 1 | 1.0
-0.1350565403699875 | 0 | 1.0
-0.1398075670003891 | 1 | 1.0
-0.14848512411117554 | 0 | 1.0
-0.15329143404960632 | 1 | 1.0
-0.16202914714813232 | 0 | 1.0
-0.16690342128276825 | 1 | 1.0
-0.1757139265537262 | 1 | 1.0
-0.1806698441505432 | 0 | 1.0
-0.18177855014801025 | 1 | 1.0
-0.18683116137981415 | 0 | 1.0
Total reward: 31.0
