state | action | reward
0 | 2 | 0.0
4 | 3 | 0.0
Total reward: 0.0
state | action | reward
0 | 2 | 0.0
1 | 3 | 0.0
1 | 3 | 0.0
2 | 0 | 0.0
2 | 0 | 0.0
6 | 2 | 0.0
2 | 0 | 0.0
1 | 3 | 0.0
1 | 3 | 0.0
0 | 2 | 0.0
4 | 3 | 0.0
4 | 3 | 0.0
0 | 2 | 0.0
0 | 2 | 0.0
4 | 3 | 0.0
Total reward: 0.0
state | action | reward
0 | 2 | 0.0
1 | 3 | 0.0
1 | 3 | 0.0
0 | 2 | 0.0
4 | 3 | 0.0
0 | 2 | 0.0
4 | 3 | 0.0
0 | 2 | 0.0
0 | 2 | 0.0
4 | 3 | 0.0
Total reward: 0.0
state | action | reward
0 | 2 | 0.0
4 | 3 | 0.0
0 | 2 | 0.0
0 | 2 | 0.0
1 | 3 | 0.0
1 | 3 | 0.0
2 | 0 | 0.0
6 | 2 | 0.0
10 | 3 | 0.0
Total reward: 0.0
state | action | reward
0 | 2 | 0.0
4 | 3 | 0.0
4 | 3 | 0.0
0 | 2 | 0.0
1 | 3 | 0.0
1 | 3 | 0.0
0 | 2 | 0.0
0 | 2 | 0.0
0 | 2 | 0.0
0 | 2 | 0.0
0 | 2 | 0.0
4 | 3 | 0.0
Total reward: 0.0
state | action | reward
0 | 2 | 0.0
4 | 3 | 0.0
4 | 3 | 0.0
Total reward: 0.0
state | action | reward
0 | 2 | 0.0
1 | 3 | 0.0
0 | 2 | 0.0
4 | 3 | 0.0
4 | 3 | 0.0
Total reward: 0.0
state | action | reward
0 | 2 | 0.0
0 | 2 | 0.0
1 | 3 | 0.0
2 | 0 | 0.0
6 | 2 | 0.0
Total reward: 0.0
state | action | reward
0 | 2 | 0.0
4 | 3 | 0.0
Total reward: 0.0
state | action | reward
0 | 2 | 0.0
4 | 3 | 0.0
4 | 3 | 0.0
Total reward: 0.0
state | action | reward
0 | 2 | 0.0
1 | 3 | 0.0
0 | 2 | 0.0
4 | 3 | 0.0
0 | 2 | 0.0
1 | 3 | 0.0
1 | 3 | 0.0
0 | 2 | 0.0
1 | 3 | 0.0
0 | 2 | 0.0
4 | 3 | 0.0
4 | 3 | 0.0
4 | 3 | 0.0
0 | 2 | 0.0
1 | 3 | 0.0
1 | 3 | 0.0
2 | 0 | 0.0
6 | 2 | 0.0
10 | 3 | 0.0
Total reward: 0.0
state | action | reward
0 | 2 | 0.0
4 | 3 | 0.0
Total reward: 0.0
state | action | reward
0 | 2 | 0.0
1 | 3 | 0.0
0 | 2 | 0.0
0 | 2 | 0.0
0 | 2 | 0.0
4 | 3 | 0.0
0 | 2 | 0.0
4 | 3 | 0.0
4 | 3 | 0.0
4 | 3 | 0.0
0 | 2 | 0.0
1 | 3 | 0.0
1 | 3 | 0.0
2 | 0 | 0.0
2 | 0 | 0.0
1 | 3 | 0.0
1 | 3 | 0.0
2 | 0 | 0.0
2 | 0 | 0.0
2 | 0 | 0.0
2 | 0 | 0.0
2 | 0 | 0.0
2 | 0 | 0.0
2 | 0 | 0.0
6 | 2 | 0.0
2 | 0 | 0.0
1 | 3 | 0.0
2 | 0 | 0.0
1 | 3 | 0.0
2 | 0 | 0.0
1 | 3 | 0.0
1 | 3 | 0.0
2 | 0 | 0.0
6 | 2 | 0.0
2 | 0 | 0.0
1 | 3 | 0.0
2 | 0 | 0.0
6 | 2 | 0.0
2 | 0 | 0.0
2 | 0 | 0.0
2 | 0 | 0.0
2 | 0 | 0.0
1 | 3 | 0.0
1 | 3 | 0.0
1 | 3 | 0.0
0 | 2 | 0.0
0 | 2 | 0.0
1 | 3 | 0.0
1 | 3 | 0.0
1 | 3 | 0.0
0 | 2 | 0.0
1 | 3 | 0.0
2 | 0 | 0.0
1 | 3 | 0.0
0 | 2 | 0.0
0 | 2 | 0.0
1 | 3 | 0.0
1 | 3 | 0.0
1 | 3 | 0.0
1 | 3 | 0.0
1 | 3 | 0.0
2 | 0 | 0.0
6 | 2 | 0.0
2 | 0 | 0.0
1 | 3 | 0.0
1 | 3 | 0.0
0 | 2 | 0.0
0 | 2 | 0.0
4 | 3 | 0.0
Total reward: 0.0
state | action | reward
0 | 2 | 0.0
0 | 2 | 0.0
1 | 3 | 0.0
0 | 2 | 0.0
4 | 3 | 0.0
Total reward: 0.0
state | action | reward
0 | 2 | 0.0
0 | 2 | 0.0
0 | 2 | 0.0
1 | 3 | 0.0
0 | 2 | 0.0
0 | 2 | 0.0
1 | 3 | 0.0
0 | 2 | 0.0
4 | 3 | 0.0
Total reward: 0.0
state | action | reward
0 | 2 | 0.0
0 | 2 | 0.0
0 | 2 | 0.0
4 | 3 | 0.0
4 | 3 | 0.0
Total reward: 0.0
state | action | reward
0 | 2 | 0.0
1 | 3 | 0.0
0 | 2 | 0.0
1 | 3 | 0.0
1 | 3 | 0.0
2 | 0 | 0.0
1 | 3 | 0.0
0 | 2 | 0.0
1 | 3 | 0.0
1 | 3 | 0.0
2 | 0 | 0.0
6 | 2 | 0.0
10 | 3 | 0.0
6 | 2 | 0.0
Total reward: 0.0
state | action | reward
0 | 2 | 0.0
1 | 3 | 0.0
0 | 2 | 0.0
0 | 2 | 0.0
0 | 2 | 0.0
4 | 3 | 0.0
4 | 3 | 0.0
0 | 2 | 0.0
1 | 3 | 0.0
0 | 2 | 0.0
4 | 3 | 0.0
4 | 3 | 0.0
Total reward: 0.0
state | action | reward
0 | 2 | 0.0
4 | 3 | 0.0
Total reward: 0.0
state | action | reward
0 | 2 | 0.0
0 | 2 | 0.0
4 | 3 | 0.0
Total reward: 0.0
