Iteration, CPU Time, API Time, Total Episodes, Total Steps, Total Reward, Context Size, Num Attempts, Parameters
0, 0.016120718000000034, 50.39027786254883, 40, 329, 0.05, 1783, 1, [1. 2. 3. 0. 1. 2. 0. 3. 1. 0. 2. 3. 0. 1. 3. 2.]
1, 0.5327123509999998, 74.100515127182, 60, 423, 0.0, 1783, 1, [1. 2. 3. 0. 1. 2. 0. 3. 1. 0. 2. 3. 0. 1. 3. 2.]
2, 0.959631447, 163.51574325561523, 80, 513, 0.0, 1723, 1, [1. 2. 3. 0. 1. 2. 0. 3. 1. 0. 2. 3. 0. 1. 3. 2.]
3, 1.46323253, 198.71932339668274, 100, 626, 0.0, 1673, 1, [3. 2. 1. 2. 3. 0. 3. 1. 2. 3. 0. 3. 2. 3. 1. 2.]
4, 1.892072438, 213.5237684249878, 120, 763, 0.05, 1618, 1, [3. 2. 1. 3. 2. 0. 1. 0. 2. 3. 0. 2. 3. 1. 2. 3.]
5, 2.365252573, 338.38542652130127, 140, 854, 0.0, 1618, 1, [1. 2. 3. 0. 1. 2. 0. 3. 1. 0. 2. 3. 0. 1. 3. 2.]
6, 2.804613933, 358.13853335380554, 160, 953, 0.05, 1618, 1, [1. 2. 3. 0. 1. 2. 0. 3. 1. 0. 2. 3. 0. 1. 3. 2.]
7, 3.226877325, 384.71852445602417, 180, 1259, 0.0, 1567, 1, [2. 3. 1. 3. 0. 1. 3. 2. 0. 1. 3. 2. 1. 0. 2. 1.]
8, 3.650257267, 398.80944991111755, 200, 1367, 0.0, 1567, 1, [1. 2. 3. 0. 1. 2. 0. 3. 1. 0. 2. 3. 0. 1. 3. 2.]
9, 4.095931737999999, 532.1123187541962, 220, 1464, 0.0, 1567, 1, [1. 2. 3. 0. 1. 2. 0. 3. 1. 0. 2. 3. 0. 1. 3. 2.]
10, 4.485604846999999, 558.7143161296844, 240, 1533, 0.0, 1567, 1, [1. 2. 3. 0. 1. 2. 0. 3. 1. 0. 2. 3. 0. 1. 3. 2.]
11, 4.893519081999999, 585.9918158054352, 260, 1656, 0.05, 1567, 1, [1. 2. 3. 0. 1. 2. 0. 3. 1. 0. 2. 3. 0. 1. 3. 2.]
12, 5.306590508999999, 615.2240889072418, 280, 1739, 0.05, 1509, 1, [1. 2. 3. 0. 1. 2. 0. 3. 1. 0. 2. 3. 0. 1. 3. 2.]
13, 5.726691676, 646.5583536624908, 300, 1868, 0.0, 1380, 1, [1. 2. 3. 0. 1. 2. 0. 3. 1. 0. 2. 3. 0. 1. 3. 2.]
14, 6.168615181, 800.1118030548096, 320, 1979, 0.0, 1380, 1, [1. 2. 3. 0. 1. 2. 0. 3. 1. 0. 2. 3. 0. 1. 3. 2.]
15, 6.623501609, 882.2167315483093, 340, 2088, 0.0, 1380, 1, [3. 2. 1. 0. 3. 2. 1. 0. 3. 2. 1. 0. 3. 2. 1. 3.]
16, 7.074224357, 927.9165873527527, 360, 2199, 0.05, 1380, 1, [1. 2. 3. 0. 1. 2. 0. 3. 1. 0. 2. 3. 0. 1. 3. 2.]
17, 7.553932072, 953.9345898628235, 380, 2338, 0.0, 1380, 1, [2. 1. 0. 3. 2. 3. 1. 2. 3. 1. 0. 2. 3. 0. 1. 3.]
18, 8.001908077, 977.1386864185333, 400, 2444, 0.05, 1380, 1, [1. 2. 3. 0. 1. 2. 0. 3. 1. 0. 2. 3. 0. 1. 3. 2.]
19, 8.467546746, 1158.5679473876953, 420, 2622, 0.0, 1380, 1, [1. 3. 2. 0. 3. 2. 1. 3. 2. 1. 0. 2. 3. 0. 1. 3.]
20, 8.915130146000001, 1257.0138001441956, 440, 2864, 0.05, 1380, 1, [1. 3. 1. 3. 0. 3. 1. 3. 0. 3. 1. 3. 0. 3. 1. 2.]
21, 9.384357421, 1279.8799760341644, 460, 3031, 0.0, 1380, 1, [2. 3. 1. 0. 1. 2. 2. 3. 1. 0. 3. 2. 0. 3. 1. 3.]
22, 9.801020511, 1464.386330127716, 480, 3178, 0.0, 1380, 1, [3. 2. 1. 3. 2. 3. 1. 3. 2. 1. 3. 2. 1. 3. 2. 1.]
23, 10.218199384, 1489.3322494029999, 500, 3279, 0.05, 1380, 1, [1. 2. 3. 0. 1. 2. 0. 3. 1. 0. 2. 3. 0. 1. 3. 2.]
24, 10.627379985000001, 1574.3985714912415, 520, 3382, 0.0, 1380, 1, [2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2.]
25, 11.048006042, 1663.3494009971619, 540, 3467, 0.0, 1328, 1, [1. 2. 3. 0. 1. 2. 0. 3. 1. 0. 2. 3. 0. 1. 3. 2.]
26, 11.490000497, 1705.4576091766357, 560, 3553, 0.0, 1380, 1, [1. 2. 3. 0. 1. 2. 0. 3. 1. 0. 2. 3. 0. 1. 3. 2.]
27, 11.913103496, 1724.9041912555695, 580, 3695, 0.0, 1328, 1, [1. 3. 2. 0. 3. 2. 1. 3. 0. 1. 3. 1. 2. 3. 1. 2.]
28, 12.372175796, 1764.1232674121857, 600, 3794, 0.0, 1241, 1, [1. 2. 3. 0. 1. 2. 0. 3. 1. 0. 2. 3. 0. 1. 3. 2.]
29, 12.800686079, 1942.9319019317627, 620, 3958, 0.0, 1328, 1, [1. 1. 1. 1. 0. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 2.]
30, 13.239665899, 2036.3030934333801, 640, 4160, 0.05, 1241, 1, [3. 2. 1. 3. 2. 3. 1. 0. 2. 1. 3. 2. 0. 3. 1. 2.]
31, 13.671100047000001, 2174.321400642395, 660, 4256, 0.05, 1328, 1, [1. 2. 1. 2. 1. 2. 1. 2. 1. 2. 1. 2. 1. 2. 1. 2.]
32, 14.115872107, 2199.9936068058014, 680, 4383, 0.0, 1328, 1, [1. 2. 3. 0. 1. 2. 0. 3. 1. 0. 2. 3. 0. 1. 3. 2.]
33, 14.545056695, 2219.453187942505, 700, 4493, 0.0, 1328, 1, [1. 2. 3. 0. 1. 2. 0. 3. 1. 0. 2. 3. 0. 1. 3. 2.]
34, 14.976547230000001, 2260.4296884536743, 720, 4593, 0.05, 1328, 1, [1. 2. 3. 0. 1. 2. 0. 3. 1. 0. 2. 3. 0. 1. 3. 2.]
35, 15.432622462000001, 2299.300523519516, 740, 4876, 0.0, 1241, 1, [1. 3. 1. 3. 0. 3. 1. 0. 2. 1. 3. 2. 0. 1. 3. 2.]
