0.0, 0.5, -1.0, 1.5, -2.0, 0.3, -0.8, 0.2, -1.2, -0.7, -0.4, -4.8, 3.9, 0.7, 4.2, -1.6, 0.8, -1.1
parameter ends

state | action | reward
[-0.06] | [ 0.7  -0.99] | 0.11675199187532706
-0.09043617162235895 | [-2.35 11.18] | 0.06983649513365225
-0.10347901366254564 | [ 0.93 -5.53] | 0.07106925507729914
-0.1143195568306696 | [-1.8   9.32] | 0.05378035282103113
-0.12038775591562838 | [ 1.25 -6.84] | 0.05657915745984705
-0.12682068352981452 | [-1.33  8.58] | 0.049306824345509793
-0.13100357214647573 | [ 1.54 -7.21] | 0.051262941953100105
-0.13581754118867298 | [-0.98  8.06] | 0.04800041865475463
-0.13928932890362375 | [ 1.77 -7.25] | 0.050191592184188276
-0.14396633762066247 | [-0.68  7.83] | 0.06211019553064264
-0.1547865531469543 | [ 2.48 -4.65] | 0.08009448107494001
-0.17296495946643864 | [0.08 9.71] | 0.1269801599705116
-0.21280219954822335 | [4.45 3.61] | 0.24462423736409422
-0.25860412548894723 | [9.82 5.57] | 0.4152383511428775
-0.3262428161736216 | [13.64  6.58] | 0.578787114452985
-0.40668519887278 | [15.93  6.89] | 0.7214047818965438
-0.49325695582958423 | [17.07  6.86] | 0.838454799315133
-0.5820005893463958 | [17.47  6.71] | 0.9320368544602335
-0.6708699604405912 | [17.44  6.55] | 1.0062287875185194
-0.7588849814083174 | [17.16  6.44] | 1.0644456582378221
-0.8455910096716631 | [16.72  6.36] | 1.1088158796250183
-0.9307733552220722 | [16.19  6.3 ] | 1.1404422559204923
-1.0143198774579747 | [15.61  6.27] | 1.1598608750121455
-1.0961599436636227 | [14.99  6.25] | 1.1674270009911587
-1.176240444531465 | [14.35  6.23] | 1.1635654792910601
-1.254518933123589 | [13.69  6.21] | 1.148900385333133
-1.3309641728621902 | [13.03  6.2 ] | 1.1242976343609834
-1.4055595285428137 | [12.37  6.18] | 1.0908518555649893
-1.4783071642574355 | [11.72  6.17] | 1.0498408017403291
-1.5492322248833013 | [11.09  6.16] | 1.0026630779426868
-1.6183867506113325 | [10.5   6.16] | 0.9507697432936569
-1.6858533594206855 | [9.96 6.16] | 0.895601105347462
-1.7517489416890522 | [9.47 6.17] | 0.8385425075363013
-1.8162286631972464 | [9.04 6.21] | 0.7808773556267793
-1.8794904152236707 | [8.7  6.26] | 0.7237482096810903
-1.9417805262304983 | [8.44 6.35] | 1.092009354728352
-2.0147978000836053 | [ 3.04 12.68] | 0.6554808085516142
-2.052240825057941 | [-5.85  1.43] | -0.01550988558961202
-2.0443188244050776 | [-8.2  -1.86] | -0.2728835278102754
-2.0181726692162036 | [-11.39  -3.38] | -0.4361823209967752
-1.9793184745401526 | [-13.58  -4.48] | -0.5632126652709071
-1.9318177743984384 | [-14.84  -5.24] | -0.65812160642171
-1.8788544860179082 | [-15.44  -5.76] | -0.7304328387817908
-1.8224872767741782 | [-15.64  -6.15] | -0.7899591812758939
-1.7638277151063453 | [-15.63  -6.49] | -0.8447375783369708
-1.7033025975647984 | [-15.54  -6.82] | -0.9008095301530872
-1.640864523591581 | [-15.46  -7.18] | -0.9618972942785142
-1.5761524057669554 | [-15.44  -7.6 ] | -1.0285771770076555
-1.5086425361232163 | [-15.52  -8.08] | -1.0986784284113886
-1.437774734244255 | [-15.7   -8.59] | -1.1674910994932128
-1.3630664109494586 | [-15.99  -9.12] | -1.2281627229783834
-1.2842133055337615 | [-16.36  -9.62] | -1.2726036775478144
-1.201162712572476 | [-16.79 -10.05] | -1.2929011287439813
-1.114142174761731 | [-17.25 -10.37] | -1.2829418123965837
-1.0236343414841556 | [-17.69 -10.56] | -1.2397017184975112
-0.9303045754109157 | [-18.08 -10.61] | -1.1637213491355567
-0.8349036676668102 | [-18.4  -10.53] | -1.0586449013891979
-0.7381742104644382 | [-18.64 -10.35] | -0.9301328988374034
-0.6407821441008572 | [-18.78 -10.09] | -0.7846413986149119
-0.54328310193068 | [-18.83  -9.79] | -0.6284696506787644
-0.44612006197843057 | [-18.8   -9.47] | -0.4672353444483417
-0.3496392651611359 | [-18.69  -9.15] | -0.305909547081954
-0.25410087466449166 | [-18.51  -8.84] | -0.14897764502452238
-0.1596734174048285 | [-18.26  -8.58] | 0.0003973042808141092
-0.06646486175302213 | [-17.94  -8.35] | 0.1403028672419735
0.025447272956968272 | [-17.55  -8.18] | 0.26965408301101035
0.11599769176285496 | [-17.1   -8.05] | 0.3878178186142785
0.2051211741212518 | [-16.59  -7.96] | 0.4943221870680481
0.2927451066422188 | [-16.03  -7.89] | 0.588706427357797
0.3787870939501983 | [-15.42  -7.85] | 0.6705164818361365
0.46315733203027387 | [-14.78  -7.82] | 0.7393937465302982
0.5457642362439018 | [-14.1  -7.8] | 0.7951888518800755
0.6265214740752747 | [-13.39  -7.79] | 0.8380530152471448
0.7053550175972876 | [-12.67  -7.78] | 0.8684877736345101
0.7822094992138643 | [-11.94  -7.79] | 0.8873527013875322
0.8570536334712567 | [-11.22  -7.79] | 0.8958388738859253
0.9298847051342922 | [-10.52  -7.81] | 0.8954181503172106
1.0007322228534936 | [-9.85 -7.83] | 0.8877786239443652
1.0696609017570382 | [-9.23 -7.86] | 0.8747562814061411
1.136773219364868 | [-8.66 -7.9 ] | 0.8582721535146277
1.2022118984352346 | [-8.16 -7.96] | 0.8402829215049286
1.2661628023636387 | [-7.73 -8.04] | 0.8227512210014447
1.3288588818918123 | [-6.78 -8.86] | 1.1868784674985589
1.4051960127226684 | [ -2.68 -14.39] | 1.314402165142014
1.4860574955331818 | [ -3.47 -14.33] | 0.4569321292876406
1.5098431360081124 | [ 7.37 -3.16] | -0.0607467473961353
1.4985401827974614 | [10.1  -0.34] | -0.3599338914380384
1.4684594695570348 | [12.41  1.99] | -0.5628584603336373
1.4251010289351527 | [14.99  2.76] | -0.6679390006314364
1.3738954109454267 | [16.63  3.25] | -0.7263886599278037
1.3177405358003573 | [17.52  3.61] | -0.7515400943031524
1.258425562494353 | [17.92  3.91] | -0.7556312975388184
1.1968397877666859 | [18.06  4.22] | -0.7477492537593503
1.1332270139792564 | [18.09  4.58] | -0.7337658984946902
1.0673856655751264 | [18.12  4.99] | -0.716556570855805
0.9988330225153201 | [18.22  5.47] | -0.6959645432295031
0.9269716986769665 | [18.4   6.01] | -0.6692811771885875
0.8512334114803471 | [18.69  6.59] | -0.631844775042852
0.7712088510344688 | [19.07  7.16] | -0.5780377826488607
0.6867519361325305 | [19.51  7.67] | -0.5027440092460275
0.5980341971866237 | [19.96  8.09] | -0.4029197191441841
0.5055300520394173 | [20.37  8.38] | -0.2786583663681059
0.40993537899885335 | [20.72  8.52] | -0.13325056818569708
0.31204933203266183 | [20.98  8.54] | 0.027717435493641876
0.21266231305809005 | [21.13  8.43] | 0.19766504925440564
0.11248122996739565 | [21.17  8.25] | 0.37010582283033844
0.012098871104156556 | [21.12  8.  ] | 0.5392482749675441
-0.08800322938590019 | [20.99  7.72] | 0.7001673043723236
-0.18743344561083736 | [20.8   7.41] | 0.8487303263005206
-0.28586413106313924 | [20.55  7.08] | 0.9814034935008162
-0.3830377121406533 | [20.25  6.77] | 1.0955149361822534
-0.4787785965349862 | [19.9   6.49] | 1.189803252737508
-0.5729645265379889 | [19.48  6.26] | 1.2644386447762506
-0.6655142842872631 | [18.99  6.08] | 1.3206898848093578
-0.756381946758435 | [18.43  5.97] | 1.3602754160413113
-0.8455447201738033 | [17.81  5.9 ] | 1.3847033897731673
-0.9329849734692606 | [17.14  5.87] | 1.394948808499816
-1.018674704743856 | [16.44  5.87] | 1.3915409741863205
-1.1025689640685583 | [15.7   5.87] | 1.3748712271628467
-1.184608681655589 | [14.94  5.88] | 1.345493764959883
-1.2647292946564848 | [14.17  5.89] | 1.3043046143105355
-1.3428712218087588 | [13.39  5.9 ] | 1.2525916830382695
-1.4189897569073167 | [12.62  5.9 ] | 1.1919939621458142
-1.4930634494352297 | [11.87  5.9 ] | 1.1244098793491093
-1.565100879708498 | [11.15  5.9 ] | 1.0518837102530503
-1.635146066732646 | [10.49  5.91] | 0.9764892016418941
-1.7032828648167553 | [9.88 5.92] | 0.9002233142055016
-1.7696387921916175 | [9.34 5.94] | 0.8249184792374982
-1.8343888552383403 | [8.89 5.98] | 0.7521774873039421
-1.8977600927917007 | [8.53 6.04] | 1.060133547529482
-1.9704574214280732 | [ 2.62 13.  ] | 1.298758169292368
-2.0487263637260766 | [-1.02  7.78] | 0.3439537737209434
-2.064001661993115 | [-6.34  0.94] | -0.04195958325300564
-2.0538936032072255 | [-8.7  -2.22] | -0.29473981927770976
-2.026220246863987 | [-11.74  -3.67] | -0.45658436015564274
-1.986517054333554 | [-13.77  -4.73] | -0.5845796642229105
-1.9386188187238949 | [-14.93  -5.47] | -0.6838447126838277
-1.8853997753837262 | [-15.47  -6.02] | -0.763723501268467
-1.8286557053729384 | [-15.66  -6.47] | -0.833507382848457
-1.7693059694597797 | [-15.67  -6.88] | -0.9008001144537258
-1.7076373953519706 | [-15.63  -7.29] | -0.9711527858852397
-1.6434987264479821 | [-15.61  -7.76] | -1.0469882069715157
-1.5764751288983743 | [-15.67  -8.27] | -1.127406950483663
-1.506043459629158 | [-15.83  -8.83] | -1.208555080510771
-1.4317050463505467 | [-16.09  -9.4 ] | -1.2838849291019463
-1.353105305204383 | [-16.44  -9.96] | -1.3449269225365534
-1.2701282818501092 | [-16.87 -10.45] | -1.3827012683554794
-1.1829468504768648 | [-17.33 -10.83] | -1.3895573183625702
