2.0, -1.0, 3.0, 0.5, -2.5, 1.0, 4.0, 0.0, -1.0, 1.5, -0.5, -5.0, 4.5, 0.7, 3.8, -1.2, 1.0, -0.8
parameter ends

state | action | reward
[-0.02] | [ 0.34 -0.31] | -0.02904776854736926
-0.029822726395717737 | [1.14 5.76] | -0.0097940691839739
-0.06998472248829155 | [7.7  9.34] | 0.048389119401498024
-0.13353347417325512 | [13.08 11.48] | 0.14144782921114454
-0.21157343436534656 | [16.86 12.42] | 0.24854312337308418
-0.2970305084742105 | [19.19 12.69] | 0.354363928189294
-0.38551437058185983 | [20.49 12.68] | 0.45225946437624165
-0.4746430001011766 | [21.14 12.55] | 0.5402483189381965
-0.5631950801333876 | [21.4  12.39] | 0.6178779731474133
-0.6505397241124681 | [21.41 12.22] | 0.6849801710707791
-0.7363291874102865 | [21.27 12.05] | 0.7414528694881972
-0.8203544882777598 | [21.   11.87] | 0.7873139470565816
-0.9024809944411825 | [20.64 11.68] | 0.8227685849527773
-0.9826205037080676 | [20.21 11.48] | 0.8482378789668369
-1.0607196740893314 | [19.72 11.28] | 0.8643523487649087
-1.1367557149194902 | [19.19 11.08] | 0.8719226847245378
-1.2107352124768318 | [18.62 10.88] | 0.8718982783780955
-1.2826942038801956 | [18.04 10.69] | 0.8653212918907411
-1.3526986709924302 | [17.45 10.52] | 0.8532817759967084
-1.4208451627026149 | [16.87 10.35] | 0.8368775971563843
-1.4872615527032527 | [16.31 10.2 ] | 0.8171815202532222
-1.552108128063956 | [15.8  10.08] | 0.7952166279005265
-1.6155793455150627 | [15.33  9.97] | 0.7719403003402292
-1.6779067275852941 | [14.93  9.9 ] | 0.7482361921599358
-1.739363535175438 | [14.62  9.85] | 0.7249129553192335
-1.800272090863307 | [14.14 10.53] | 0.5370489409702537
-1.8359681212604702 | [-3.25  3.91] | -0.12188014630014377
-1.8236130195535867 | [-7.63  0.54] | -0.4564470234699557
-1.7914369509986372 | [-11.41  -2.27] | -0.6732364157642761
-1.745575639293046 | [-14.65  -3.34] | -0.7803759295837177
-1.6919111594480991 | [-16.76  -4.11] | -0.8469978043984828
-1.6335838629574848 | [-18.02  -4.7 ] | -0.8861326831514282
-1.5725278047169426 | [-18.74  -5.23] | -0.9101373603953795
-1.509691657780313 | [-19.19  -5.78] | -0.928405532484863
-1.4453284673618076 | [-19.55  -6.38] | -0.9472953454952148
-1.3792225502365443 | [-19.96  -7.08] | -0.970310990860068
-1.310856855871245 | [-20.47  -7.9 ] | -0.9974348764745824
-1.239579588897189 | [-21.11  -8.83] | -1.0255199881204409
-1.1647484886029902 | [-21.87  -9.84] | -1.0487195239370932
-1.0858602788140688 | [-22.7 -10.9] | -1.0592190586290184
-1.0026600712258789 | [-23.53 -11.93] | -1.0486385117283064
-0.9152078484905259 | [-24.28 -12.87] | -1.0099158774412174
-0.823880699500282 | [-24.86 -13.66] | -0.9390699551411251
-0.7293068994339172 | [-25.21 -14.26] | -0.8360897490028028
-0.6322546135528813 | [-25.31 -14.67] | -0.7045918653908803
-0.5335155752063964 | [-25.15 -14.88] | -0.5505781597735169
-0.43381872167924274 | [-24.76 -14.94] | -0.38101153122571396
-0.33378694225313943 | [-24.18 -14.86] | -0.2027586845291861
-0.2339303981243619 | [-23.45 -14.67] | -0.02204554820530942
-0.13466229597546142 | [-22.61 -14.4 ] | 0.15568891140265043
-0.0363235616155327 | [-21.69 -14.07] | 0.325469612758894
0.0608148567289131 | [-20.73 -13.69] | 0.4826946482477175
0.15656987279278622 | [-19.74 -13.32] | 0.6242313087629857
0.2508183499326427 | [-18.73 -12.97] | 0.7485690113567562
0.3434788325996678 | [-17.72 -12.65] | 0.8555396702099798
0.4345031591228253 | [-16.71 -12.37] | 0.9458115646481771
0.5238644826714713 | [-15.7  -12.14] | 1.0202737688873382
0.6115406602443683 | [-14.71 -11.93] | 1.0795965387148747
0.6974997173595201 | [-13.73 -11.75] | 1.124127456734962
0.7816934023658668 | [-12.77 -11.58] | 1.1540510337226353
0.864059591966793 | [-11.84 -11.41] | 1.169633591425328
0.9445303953448775 | [-10.94 -11.25] | 1.1714195209353386
1.023042234574629 | [-10.09 -11.1 ] | 1.1603322286201687
1.0995454973748597 | [ -9.29 -10.95] | 1.1376886170868235
1.1740127811083756 | [ -8.56 -10.81] | 1.1051533002196363
1.2464455845304871 | [ -7.89 -10.69] | 1.0646574489636487
1.316879646356268 | [ -7.29 -10.58] | 1.018301871358917
1.3853892503270469 | [ -6.78 -10.5 ] | 0.9682595831573443
1.4520908977346574 | [ -6.36 -10.43] | 0.9166897222389953
1.5171468590313404 | [ -6.03 -10.4 ] | 0.8656713071229191
1.5807692653288206 | [ -5.81 -10.4 ] | 1.0007197127418646
1.6489675536406232 | [ -0.2  -16.19] | 1.2879885885604923
1.7231194906619125 | [  1.06 -15.03] | 0.8024699505524228
1.7665471632763892 | [ 5.1  -6.94] | 0.1826926791374315
1.7699178894130942 | [ 6.93 -3.69] | -0.15688297190761852
1.752310681955255 | [ 8.59 -0.76] | -0.45875109877058295
1.7170235247769017 | [9.98 1.64] | -0.6582150636038004
1.6697195447391397 | [11.94  2.6 ] | -0.7631508376240733
1.6154528463082773 | [13.21  3.35] | -0.8343020772805736
1.5566339112507799 | [13.99  4.02] | -0.883920850766779
1.4946147971685457 | [14.49  4.69] | -0.922465244501709
1.4299388042311107 | [14.87  5.41] | -0.9574681545948975
1.3625836136711607 | [15.24  6.22] | -0.9930418818992293
1.2921682583012957 | [15.68  7.14] | -1.029177659799281
1.218156942841015 | [16.23  8.16] | -1.062226263520221
1.1400340445158215 | [16.92  9.24] | -1.0855483712377343
1.057455928461867 | [17.76 10.32] | -1.0907225476705273
0.9703657344350528 | [18.73 11.34] | -1.0695012351187652
0.8790424640107282 | [19.8  12.23] | -1.0160454299789023
