3.0, 1.5, -4.0, 2.0, -3.5, 0.5, 4.0, -1.0, -5.0, 2.5, -2.0, 1.0, -4.5, -0.5, 3.5, 1.2, -0.8, 0.9
parameter ends

state | action | reward
[0.04] | [-0.41  0.83] | -0.003405808828322095
0.05594086777499483 | [19.88  3.16] | -0.09187678290507907
0.06851236108241347 | [13.1   4.06] | -0.14056956847645902
0.0463600672275164 | [5.91 4.64] | -0.15754523668571485
-0.004276242472290331 | [-0.46  4.89] | -0.2212139929616635
-0.04252543954977866 | [15.23  5.97] | -0.3192183287058583
-0.07573313105619854 | [4.87 5.64] | -0.23459673788020063
-0.13507467856515173 | [-2.72  5.35] | -0.38369439993203264
-0.16748018044996485 | [17.3   6.38] | -0.5521239025564351
-0.18485057462071636 | [5.79 5.9 ] | -0.37325587795031734
-0.23346743142136112 | [-3.07  5.5 ] | -0.5428225404460294
-0.2595976560365774 | [13.91  6.31] | -0.7052345267574519
-0.27229675060995995 | [2.85 5.82] | -0.44956639509624374
-0.3180398420111345 | [-6.14  5.35] | -0.16062496716893315
-0.36616324835365693 | [-15.79   1.3 ] | -0.004434179281746421
-0.3903120786435034 | [-7.89  1.04] | -0.3075536393911206
-0.37171275079034766 | [0.98 1.06] | -0.27673268287066644
-0.3553599640206672 | [-7.33  1.15] | -0.2791978306062357
-0.33912027047407634 | [1.09 1.01] | -0.2355498091169877
-0.32585313627391677 | [-7.77  1.07] | -0.23438551904378316
-0.3130991766148881 | [0.74 0.9 ] | -0.2339079425891152
-0.29731507332334317 | [-5.92  0.93] | -0.2627285865523728
-0.2769373914520169 | [2.54 0.73] | -0.2221570747914371
-0.2597923244926524 | [-6.43  0.83] | -0.21892114012278496
-0.2433355304595381 | [2.17 0.62] | -0.18613247175777825
-0.2293726871715005 | [-6.73  0.74] | -0.18728717234572917
-0.21584355688116488 | [1.88 0.53] | -0.15932277771519093
-0.20430898307021433 | [-6.94  0.67] | -0.16356882154770494
-0.1930295548050688 | [1.66 0.45] | -0.137557320542899
-0.18342432663470915 | [-7.18  0.57] | -0.1464854640144279
-0.17387806204712491 | [1.52 0.39] | -0.1205813053648564
-0.16579348716768377 | [-7.34  0.48] | -0.134290632485182
-0.15760322566858684 | [1.36 0.32] | -0.10395028117169765
-0.1508105657892618 | [-7.54  0.38] | -0.12894755048182702
-0.1436244786907852 | [1.26 0.27] | -0.09083742284516379
-0.13785392225092946 | [-7.66  0.29] | -0.11712076727532358
-0.13166771003986827 | [1.21 0.24] | -0.08227062405874137
-0.12667638063454287 | [-7.67  0.23] | -0.112504054356966
-0.12121045091437228 | [1.3  0.24] | -0.07863511855481058
-0.11680121503041305 | [-7.53  0.21] | -0.09560133096217525
-0.11215854347279618 | [1.06 0.14] | -0.06209224403929536
-0.10844976242378886 | [-7.85  0.06] | -0.084615846419262
-0.10441357609778283 | [1.78 0.35] | -0.0940404578841236
