-4.7, 2.2, -3.8, 5.1, -5.5, -1.4, 0.3, -4.1, 1.0, -2.6, 3.4, 4.0, -0.9, 2.9, -3.3, 1.7, -5.2, 3.6
parameter ends

state | action | reward
[-0.06] | [-4.23  2.67] | -0.0736274300815526
-0.026810444335938703 | [-9.21  9.75] | -0.2253906355940008
0.0552283317263219 | [-12.66  12.76] | -0.3400087015257413
0.15597432044332152 | [-14.37  12.49] | -0.417654607683229
0.25793212428571183 | [-15.25  10.91] | -0.4766447746280279
0.35524516752193597 | [-15.9    8.97] | -0.5345687144908137
0.4454979315700326 | [-16.53   6.91] | -0.6085239691447057
0.5265780037329321 | [-17.18   4.77] | -0.7080920585018353
0.5964656169367454 | [-17.79   2.59] | -0.8772242648407609
0.646648077130991 | [-24.83  -0.64] | -1.0131539900388862
0.605844183155524 | [-13.    -8.09] | -0.23014646458920887
0.5841640151459432 | [-8.62 -8.78] | 0.07765967297120122
0.579663681536348 | [-5.  -9.2] | 0.3483599011434563
0.5884420843196172 | [-1.76 -9.44] | 0.6031506800801486
0.6092660471072538 | [ 1.38 -9.58] | 0.754659428436264
0.6271409602625951 | [  1.92 -10.27] | 0.7832829812243778
0.6284675078593477 | [  2.79 -10.76] | 0.7529478507656495
0.61300240976266 | [  3.76 -11.15] | 0.6542493221328751
0.5785941949581497 | [  4.7  -11.52] | 0.48919969060405794
0.5216370396235086 | [  5.44 -11.9 ] | 0.27552616990412604
0.4381988220636006 | [  5.84 -12.3 ] | 0.05609498423444326
0.3270486573048733 | [  5.89 -12.51] | -0.09722931616281494
0.19482577403807527 | [  5.66 -11.94] | -0.1413930817903336
0.054876396583080966 | [  5.3  -10.34] | -0.12355468413530792
-0.08174650821816817 | [ 5.26 -8.02] | -0.10795105991629385
-0.2100496897053061 | [ 5.6  -5.49] | -0.11381967995024203
-0.3289178293442868 | [ 6.06 -2.87] | -0.14584518560782583
-0.4385963994233992 | [ 6.36 -0.12] | -0.1372162529407384
-0.5399651225876168 | [4.43 2.68] | 0.026979408731706893
-0.6366950080132581 | [0.21 4.69] | 0.30833721125525604
-0.7254502475600852 | [-5.82  6.7 ] | 0.5222860947418415
-0.7925146472540285 | [-5.18  9.84] | 0.43330495655231865
-0.8302497605977079 | [-5.06 11.58] | 0.39308613182141766
-0.846311405053925 | [-5.26 12.55] | 0.37744341638280565
