3.3, 0.4, 2.9, -0.6, 1.5, -2.2, 4.0, -3.5, -1.0, 2.4, 0.8, -4.5, 2.5, -1.8, 0.0, 3.0, -0.7, 1.2
parameter ends

state | action | reward
[-0.02] | [-0.56  0.76] | -0.0258754242279119
-0.0020853195904003887 | [-4.49  4.99] | -0.08878190644164537
0.06444547198424211 | [-8.84  8.6 ] | -0.16948183643988787
0.16227797618227965 | [-10.59   9.83] | -0.23448884176967086
0.2673612791689091 | [-11.05  10.05] | -0.2881115696871373
0.3700371868156302 | [-11.11  10.  ] | -0.34167702199372113
0.467235898128774 | [-11.14  10.02] | -0.41273397352348873
0.5567016158263761 | [-11.24  10.31] | -0.5156764628805628
0.6359234416025286 | [-11.46  10.88] | -0.6515235198323108
0.7027620241777174 | [-11.76  11.64] | -0.4636292155785127
0.7383566743346536 | [-2.51  1.33] | -0.3881636076425646
0.7081123902461471 | [-2.03  1.93] | -0.37115133145932666
0.6837830049309798 | [-2.53  2.  ] | -0.34856235700255916
0.6648610500151878 | [-2.65  1.88] | -0.3302367692253498
0.6479183178309477 | [-2.66  1.74] | -0.31405324768910053
0.6319666814777232 | [-2.64  1.6 ] | -0.2993608048395435
0.616766707368032 | [-2.63  1.47] | -0.28591930904758944
0.602231802434418 | [-2.61  1.35] | -0.27357219281631
0.5883045191747108 | [-2.6   1.24] | -0.26219176596839844
0.5749363235937343 | [-2.59  1.14] | -0.25166975481165726
0.5620843725748229 | [-2.58  1.05] | -0.24191349773419918
0.5497105490697776 | [-2.58  0.96] | -0.23263197294972932
0.5377889742851765 | [-2.57  0.87] | -0.22383762223379167
0.5262944117173882 | [-2.57  0.79] | -0.2157987634139281
0.515191955366782 | [-2.57  0.72] | -0.2084434486621292
0.504449823036423 | [-2.57  0.65] | -0.20165026823244728
0.49404127152447475 | [-2.57  0.59] | -0.19522371302108166
0.48394767081379525 | [-2.57  0.53] | -0.18911334016782552
0.4741528602150615 | [-2.58  0.47] | -0.1833355068768275
0.4646404003026426 | [-2.58  0.42] | -0.17787522833728545
0.4553947395443219 | [-2.58  0.36] | -0.17270529891482178
0.4464016692009676 | [-2.59  0.32] | -0.16780248694496128
0.4376481363448075 | [-2.59  0.27] | -0.1631465724812527
0.42912209771835885 | [-2.6   0.22] | -0.15871687912041801
0.4208125225396927 | [-2.6   0.18] | -0.15448445009996
0.4127097393847128 | [-2.61  0.14] | -0.15043858757433468
0.4048046575808319 | [-2.61  0.1 ] | -0.14657662374895922
0.3970883987563436 | [-2.62  0.06] | -0.14289003384176277
0.3895525262044081 | [-2.63  0.02] | -0.13937279149752044
0.38218892091079226 | [-2.63 -0.01] | -0.135098886367961
0.3750308051189403 | [-2.63 -0.09] | -0.12124186114343243
0.3685098757905176 | [-2.52 -0.57] | -0.049570717135327284
0.36526801048040947 | [-1.83 -3.32] | 0.1158230677305675
0.3698085397227689 | [-0.6  -8.05] | 0.3220117488132115
0.3844755802353378 | [  0.63 -12.46] | 0.501154202117316
0.40044822543591246 | [  2.55 -14.79] | 0.6317172853092069
0.40444593172020044 | [  4.59 -16.04] | 0.7169846509163578
0.39252021278193294 | [  6.35 -16.94] | 0.7628605646274441
0.3639422742369846 | [  7.88 -17.42] | 0.7739706075498242
0.3164135501254882 | [  9.29 -17.39] | 0.7604559409787166
0.24629498493928892 | [ 10.68 -16.74] | 0.7413268095553934
0.15019793538728285 | [ 12.04 -15.42] | 0.7356743663581891
0.028896881769920363 | [ 12.97 -13.44] | 0.7447739304486957
-0.10786241316120464 | [ 12.95 -11.03] | 0.7441409667956945
-0.2462232658499895 | [12.18 -8.91] | 0.7065286231690517
-0.3776700384207427 | [11.21 -7.53] | 0.6341156812293163
-0.49973651488126114 | [10.26 -6.67] | 0.5393787138016173
-0.6124294794051217 | [ 9.37 -5.98] | 0.42471539255673024
-0.7165314372563866 | [ 8.5  -5.26] | 0.28262875616655286
-0.8119043010322027 | [ 7.54 -4.55] | 0.10270094229318111
-0.8968205012232658 | [ 6.87 -1.92] | 1.006358400771405
-0.9976754760035466 | [9.74 9.5 ] | 1.3717288901271554
-1.1015932552216325 | [10.13 10.14] | 0.5018634975887651
-1.1270204747476271 | [-2.    8.19] | 0.14156661868071088
-1.112863332126807 | [-3.53  9.29] | 0.13336443451415742
-1.0880306520868444 | [-4.94 10.51] | 0.1049841048550106
-1.0536164535026749 | [-6.45 11.88] | 0.019483713200755655
-1.008514257694508 | [-8.26 13.38] | -0.15211200608007105
-0.94965589170069 | [-10.53  14.97] | -0.42624290224484873
-0.8727018957786229 | [-13.35  16.56] | -0.7963506873058371
-0.7735319386972511 | [-16.5   17.92] | -1.2074490310039871
-0.6517446695162732 | [-19.24  18.54] | -1.5319849489791741
-0.5155713223803385 | [-20.28  17.74] | -1.642761916973494
-0.37886019351361944 | [-19.62  15.99] | -1.5954914540476328
-0.25011601413088064 | [-18.57  14.59] | -1.511236742659865
-0.13113906288354216 | [-17.64  13.71] | -1.4278139545466657
