3.5, 0.2, 4.0, 1.5, -2.0, 0.5, -0.8, 0.0, -1.0, -0.6, -0.4, -4.5, 4.5, 0.8, 4.0, -1.5, 1.0, -1.0
parameter ends

state | action | reward
[0.06] | [ 1.32 -1.14] | -0.06575599346909886
0.02857329568985965 | [ 2.14 13.23] | -0.11012564860272012
-0.043138325337816724 | [ 8.33 12.26] | -0.025886181865325437
-0.12581437116304892 | [13.08 11.29] | 0.11313678655917296
-0.21529101855220495 | [16.57 10.2 ] | 0.2685105672066868
-0.3079921541408791 | [18.72  9.22] | 0.4153032750484781
-0.40136294518066723 | [19.83  8.43] | 0.5435362421432697
-0.49383014668291414 | [20.22  7.84] | 0.6516443034467755
-0.5845520980028894 | [20.17  7.39] | 0.7414465119445386
-0.6731623014253357 | [19.86  7.07] | 0.8155329634447772
-0.759564606209131 | [19.4   6.85] | 0.8760186195165813
-0.8437833154270791 | [18.84  6.7 ] | 0.9242775759892967
-0.9258854797680598 | [18.22  6.6 ] | 0.9610995246480131
-1.0059453874159379 | [17.56  6.54] | 0.9869451488609219
-1.0840311779913097 | [16.88  6.5 ] | 1.0021721382839377
-1.160202720511701 | [16.18  6.48] | 1.0071946829019247
-1.2345148770884493 | [15.48  6.48] | 1.0025768739804084
-1.3070230340504485 | [14.79  6.49] | 0.9890728549511207
-1.3777893368579248 | [14.12  6.51] | 0.9676283316193252
-1.4468889395962339 | [13.47  6.54] | 0.9393561350458768
-1.5144160710108605 | [12.86  6.58] | 0.9054958364702331
-1.580490011207131 | [12.31  6.64] | 0.8673691261597432
-1.6452611361771907 | [11.82  6.72] | 0.8263488370660372
-1.708917089714898 | [11.42  6.82] | 0.7838288979843308
-1.771689932534473 | [11.11  6.94] | 0.8046461565311733
-1.8355959278227885 | [6.03 9.7 ] | 0.3899496260559596
-1.855542127659944 | [-4.4   3.01] | -0.006943377154459459
-1.8489471260684973 | [-6.73 -0.48] | -0.34925748611071455
-1.8219727475133538 | [-9.21 -3.04] | -0.5752832139157229
-1.7805542819598124 | [-11.86  -4.06] | -0.7020250872059485
-1.730305084988386 | [-13.57  -4.77] | -0.7892731718104206
-1.6744290824700956 | [-14.59  -5.29] | -0.8492768003183301
-1.6149526496451037 | [-15.2  -5.7] | -0.8939818825170697
-1.5529087304130462 | [-15.6   -6.09] | -0.9326663384137167
-1.4886129512805975 | [-15.96  -6.51] | -0.9716534870131635
-1.4218927338025718 | [-16.34  -6.97] | -1.0137823919415678
-1.3522842585554993 | [-16.83  -7.5 ] | -1.0581064119112
-1.2792143626150887 | [-17.44  -8.09] | -1.1004356190454292
-1.2021535054058448 | [-18.18  -8.69] | -1.133863365411936
-1.120750021079045 | [-19.01  -9.27] | -1.1498736095358533
-1.034930564411725 | [-19.92  -9.79] | -1.1401194747132797
-0.9449426891380298 | [-20.83 -10.19] | -1.0984678590546846
-0.8513240465634377 | [-21.7  -10.44] | -1.0225194422793182
-0.754807729263194 | [-22.48 -10.54] | -0.9139219920252847
-0.6562001169454512 | [-23.13 -10.51] | -0.7774642864276307
-0.5562749067783188 | [-23.64 -10.36] | -0.6196057174473092
-0.4557095391044675 | [-24.   -10.13] | -0.4471841555975074
-0.35506508311320584 | [-24.23  -9.85] | -0.26664962842458506
-0.25479613351749075 | [-24.34  -9.53] | -0.083781434089923
-0.1552756474679161 | [-24.33  -9.19] | 0.09624594866697579
-0.05681963121734178 | [-24.22  -8.84] | 0.26822667354513896
0.04032783107378254 | [-24.02  -8.51] | 0.4274772593232343
0.1359975815086829 | [-23.71  -8.22] | 0.5709228521983654
0.23006885064070004 | [-23.3  -8. ] | 0.697116471549539
0.3224622828145443 | [-22.79  -7.84] | 0.8059947159565806
0.41313581116372544 | [-22.19  -7.74] | 0.8983239476678788
0.5020715982933329 | [-21.51  -7.7 ] | 0.9750326189096892
0.5892565789920432 | [-20.77  -7.7 ] | 1.036767841435916
0.6746662046017773 | [-19.97  -7.73] | 1.0838244182280763
0.7582580890267984 | [-19.12  -7.77] | 1.1163373435370845
0.839975485835149 | [-18.23  -7.83] | 1.1345418316856697
0.9197565145168715 | [-17.32  -7.88] | 1.1389710649219806
0.997545018542742 | [-16.38  -7.94] | 1.1305542267465174
1.0733006583430023 | [-15.44  -8.  ] | 1.1106286657437299
1.1470073865735166 | [-14.52  -8.06] | 1.0808932970756686
1.218680274463205 | [-13.63  -8.12] | 1.0433276670833491
1.2883709689564737 | [-12.8   -8.19] | 1.0000959898325505
1.356172172566521 | [-12.03  -8.27] | 0.9534515621548733
1.4222216296980517 | [-11.35  -8.36] | 0.9056537701824331
1.4867062324501725 | [-10.78  -8.47] | 0.8589065390237722
1.5498670312904568 | [-9.78 -9.38] | 1.284202167082202
1.6271799331628114 | [ -6.51 -15.29] | 1.1580704772276016
1.692670021146357 | [ 2.24 -6.85] | 0.2249765253889369
1.697464135642289 | [ 6.6  -2.95] | -0.12821541812676127
1.6806137470572444 | [ 9.72 -0.17] | -0.4322666618861272
1.6460567553319454 | [12.38  2.02] | -0.6354930496005713
1.5993935069929526 | [14.96  2.76] | -0.7425442567808056
1.5456813378564351 | [16.65  3.29] | -0.8124882604143279
1.4873517296289123 | [17.71  3.72] | -0.8579091635467153
1.4257843808357493 | [18.4   4.13] | -0.8897159106753616
1.3615515248332457 | [18.93  4.56] | -0.915810538015041
1.2946575511786644 | [19.44  5.04] | -0.9406620412750215
1.22474126408511 | [20.02  5.59] | -0.9647114585875581
1.15127548944306 | [20.71  6.19] | -0.9848224331778788
1.0737397822030026 | [21.51  6.82] | -0.9949356957514264
0.9917714086147206 | [22.39  7.43] | -0.9872194701288715
0.9052828955394158 | [23.31  7.97] | -0.953925066912472
0.8145181942018235 | [24.2  8.4] | -0.8895372019199007
0.7200265863474484 | [25.    8.68] | -0.7923532339709762
0.6225621300049026 | [25.65  8.8 ] | -0.6647330629042164
0.5229501236158893 | [26.13  8.78] | -0.512036965718183
0.42197262092832116 | [26.42  8.64] | -0.3410312105890185
0.3203036673261544 | [26.55  8.42] | -0.15859136060554863
0.21849365100758464 | [26.53  8.14] | 0.028968899948283555
0.11698529820190638 | [26.39  7.82] | 0.21605577331176323
0.0161437688617429 | [26.14  7.47] | 0.3976725140871681
-0.08371153816818691 | [25.8  7.1] | 0.5689027919289638
-0.18230545925060604 | [25.38  6.74] | 0.7247973924777495
-0.2794278675035446 | [24.89  6.4 ] | 0.8616927394628008
-0.37491169996089146 | [24.32  6.12] | 0.97772644178428
-0.46863112182829303 | [23.67  5.91] | 1.0729026081583344
-0.5605116597251234 | [22.94  5.77] | 1.1486282180644534
-0.650528504831733 | [22.15  5.69] | 1.206806794815761
