0.0, 1.0, -1.0, 2.0, -2.0, 0.5, -0.5, 1.5, -3.0, 0.8, -4.0, -1.0, 3.5, -0.7, 2.5, -2.5, 0.3, -0.9
parameter ends

state | action | reward
[0.06] | [ 0.41 -1.11] | -0.09113977841311596
0.04161882882253091 | [2.12 5.98] | -0.1451785762476909
-0.005147462006998595 | [7.47 3.57] | -0.1187179743810533
-0.07195811353406181 | [11.56  1.46] | -0.02554453692913338
-0.15205757020983296 | [14.28 -0.3 ] | 0.08995372326350391
-0.24764377272924906 | [14.58  4.43] | 0.2372353188724165
-0.3493924087998772 | [15.74  1.76] | 0.40364277879744576
-0.4479372627512082 | [16.49 -0.05] | 0.5493004393608814
-0.5480960229407952 | [15.43  3.23] | 0.6917285879879457
-0.6482358675282291 | [16.22  1.03] | 0.8239069018692579
-0.7446014988690675 | [16.59 -0.44] | 0.932182377047549
-0.8412228228929965 | [14.23  4.53] | 1.0380887129442684
-0.937511310609949 | [15.36  2.01] | 1.1400304280803477
-1.0307953099976845 | [16.05  0.22] | 1.2182989762865453
-1.1223906938860804 | [14.84  2.09] | 1.2931389200349204
-1.2126537181102757 | [15.69  0.25] | 1.0840497553983717
-1.2828120850446745 | [ 7.72 -4.2 ] | 0.34614439820719156
-1.2997867755565262 | [ 0.66 -1.35] | 0.11317592759263904
-1.300576673996801 | [-3.76  1.54] | -0.18083393301189246
-1.2820747915849533 | [-4.53 -4.97] | -0.48704834763806276
-1.2436878791388546 | [-8.79 -2.58] | -0.6404533031698292
-1.1941806755243098 | [-11.7   -0.74] | -0.7424975565280211
-1.136724162048615 | [-13.37  -0.15] | -0.8554034176951789
-1.0706700885018816 | [-13.75  -2.16] | -0.9009599010989471
-0.9986793777842988 | [-15.02  -0.46] | -0.9020173435408377
-0.9223097980523653 | [-15.43  -1.32] | -0.8783757631965945
-0.8418621601897527 | [-16.33   0.15] | -0.901864244723269
-0.753107296395585 | [-16.14  -3.65] | -0.8691775080162076
-0.657503547336079 | [-17.01  -1.73] | -0.7176963215300237
-0.5621781940734367 | [-17.68  -0.29] | -0.6325888176328086
-0.4612200338848037 | [-17.85  -2.3 ] | -0.5013082046308304
-0.35702141762156064 | [-18.25  -0.52] | -0.3401486361028358
-0.2515411521160797 | [-18.36  -1.28] | -0.1656120518223482
-0.14620813891029313 | [-18.53   0.4 ] | -0.029688779770071984
-0.03337809403595724 | [-18.09  -4.43] | 0.15083055216034108
0.08061697846777938 | [-18.22  -1.4 ] | 0.36770254662255125
0.18675849967943997 | [-18.54   0.65] | 0.5217217433530542
0.298526116379017 | [-17.5   -4.62] | 0.6842724590625257
0.41128421487632794 | [-18.26  -1.38] | 0.8707510811171005
0.5181703446322435 | [-19.    0.9] | 0.9839771720609197
0.6268427261389019 | [-16.61  -4.8 ] | 1.1001277143245107
0.735684109775668 | [-18.25  -1.44] | 1.2756573412323435
0.8419290457455633 | [-19.53   1.09] | 1.3013510768632457
0.9457328444514925 | [-15.6   -4.84] | 1.3490409741512355
1.0476674913286654 | [-18.01  -1.33] | 1.536245064341541
1.1502223617242686 | [-19.84   1.42] | 1.4695782277192255
1.2474978891092114 | [-14.56  -4.71] | 0.8031219093635126
1.2901204101052903 | [-3.71  3.57] | 0.17520435172982027
1.2849838021749227 | [ 2.74 -1.48] | -0.027402404484586126
1.2666549818643478 | [1.97 3.88] | -0.29726883192978815
1.2311768753380723 | [ 8.25 -0.46] | -0.557822204841802
1.1807754564590678 | [8.33 2.89] | -0.7588107009610279
1.1183477419903818 | [12.45 -0.61] | -0.9268543016044144
1.0448633800799427 | [11.78  3.92] | -1.0571288432022015
0.961224207698412 | [14.79  0.76] | -1.1064805725079132
0.8716603577510059 | [16.45 -0.52] | -1.1862676346618677
0.7705306955746023 | [16.23  4.19] | -1.184821909155798
0.6615031680136119 | [17.58  1.45] | -1.005549011844988
0.5548327701503588 | [18.45 -0.65] | -0.9677265522917721
0.43817971143162693 | [18.25  4.76] | -0.8290575766843283
0.3193062929944436 | [18.14  1.83] | -0.5229817562415248
0.2103729144699964 | [18.36 -0.2 ] | -0.36344212067671483
0.09823031423009962 | [18.15  3.02] | -0.1722799629089802
-0.013407434383354119 | [18.29  0.76] | 0.07373893763967204
-0.12017711036971099 | [18.42  0.17] | 0.24618812113417982
-0.22804055511696367 | [17.97  1.87] | 0.43701268188403375
-0.3352713140139337 | [18.51  0.21] | 0.611242284533705
-0.4414690264138204 | [17.77  1.81] | 0.7838558140836747
-0.5469679518381894 | [18.47  0.23] | 0.9306501689312611
-0.6510770043392003 | [17.47  1.81] | 1.0771325324720895
-0.7542466573325941 | [18.3   0.21] | 1.1908035444658138
-0.8557396777306367 | [17.05  1.9 ] | 1.3071076534349129
-0.9561091023968196 | [18.04  0.18] | 1.3884850431186915
-1.0546950326506912 | [16.59  1.99] | 1.475496897616829
-1.1521262353420734 | [17.76  0.12] | 1.3445150219356672
-1.2335805126100148 | [ 9.38 -3.53] | 0.49306251180818206
-1.252073205670557 | [ 0.79 -1.17] | 0.12245462678857359
-1.248970493952481 | [-4.24  1.92] | -0.12183775903648673
-1.2286519499987851 | [-3.67 -4.81] | -0.373468783341129
-1.1909671761594536 | [-8.35 -2.05] | -0.5895796932663266
-1.1408949892317848 | [-11.63   0.21] | -0.7412733319842175
-1.0803725458697642 | [-11.43  -3.3 ] | -0.838653061096709
-1.0114841092661782 | [-13.66  -1.05] | -0.8768055041498821
-0.9380602546278426 | [-15.37   0.85] | -0.9472557450581424
-0.8545556962599977 | [-13.57  -6.13] | -0.9701199526622686
-0.7617856124448494 | [-15.3   -3.62] | -0.8842506931053287
-0.6673555039659761 | [-16.63  -1.55] | -0.7834410043849249
-0.5712666013992699 | [-17.55  -0.08] | -0.7209172162202272
-0.4677625102685302 | [-17.33  -3.28] | -0.5993981665884655
-0.35989508834016926 | [-17.91  -1.24] | -0.4246123917541429
-0.2546076885601597 | [-18.2    0.18] | -0.2913667219074709
-0.14244586343727667 | [-17.61  -4.23] | -0.11375703140598702
-0.029007337760108807 | [-17.72  -1.48] | 0.07542752421747341
0.07701019222556443 | [-17.85   0.37] | 0.24369720113228663
0.18882856626825784 | [-17.09  -4.54] | 0.41763569978347914
0.30091690496174744 | [-17.39  -1.39] | 0.5696604698891693
0.4053266601390126 | [-17.76   0.7 ] | 0.7344362478339853
0.5144744755102639 | [-16.21  -5.17] | 0.8818728528056512
0.6241602443611216 | [-17.15  -1.74] | 1.00606965836253
0.7278945842261338 | [-17.98   0.71] | 1.1152519061551105
0.8321284874391522 | [-15.51  -4.69] | 1.2149721335256747
0.9356462340938947 | [-17.1   -1.29] | 1.3303034834124783
1.0361016154127423 | [-18.32   1.27] | 1.3546027420242766
1.134400722470453 | [-14.09  -5.34] | 1.3885811026578812
