2.5, -1.3, 0.9, -2.0, 1.4, -0.6, 3.2, -0.9, -1.7, 2.1, -3.3, 0.5, 4.8, -2.6, -0.4, 1.0, -0.7, 3.3
parameter ends

state | action | reward
[-0.08] | [-0.94  3.22] | -0.09626799183827392
-0.0464535845462735 | [-20.85  12.77] | -0.2591718156113561
0.037056691941805164 | [-32.44  18.5 ] | -0.4195862693282033
0.14195390964925553 | [-35.46  20.33] | -0.5052051366308563
0.24888948016152315 | [-34.94  20.58] | -0.5493235161001945
0.3514212291168628 | [-33.51  20.43] | -0.5861016445101493
0.447491589436994 | [-31.81  20.17] | -0.6389099081291396
0.5350881676218173 | [-29.88  19.82] | -0.7210953380374304
0.6118924433300262 | [-27.74  19.38] | -0.8322972021684719
0.6760211164929348 | [-25.46  18.85] | -0.7347978297582839
0.689729055348826 | [4.88 3.85] | -0.43006423458079707
0.6505270485246056 | [9.09 2.49] | -0.5582979227097239
0.5930180981045453 | [12.23  1.81] | -0.5800497583435277
0.5219740515856646 | [15.26  0.9 ] | -0.5112906777772384
0.4407126306559493 | [18.22 -0.08] | -0.36025463835742155
0.3514407453378326 | [21.55 -1.59] | -0.06989343506240075
0.2568874395864563 | [26.07 -4.34] | 0.2797408398725539
0.15656544445163303 | [30.72 -7.05] | 0.6090759115568927
0.04824997107308411 | [35.4  -9.78] | 0.9224882290438097
-0.06895281288188468 | [ 39.96 -12.56] | 1.2067878424342706
-0.19421216625738985 | [ 44.03 -15.33] | 1.414931178859208
-0.3249954342991153 | [ 46.79 -17.73] | 1.4636540378409242
-0.45563550216681364 | [ 46.63 -18.95] | 1.304438892977463
-0.5775991829677071 | [ 43.18 -18.64] | 1.0129704719959531
-0.6857939121124665 | [ 38.4  -17.44] | 0.7170027450670216
-0.781503068221185 | [ 34.2  -16.21] | 0.4598595067225688
-0.8678434036816869 | [ 30.7  -15.19] | 0.22283340871793234
-0.9453073359041927 | [ 27.28 -14.22] | -0.003386648132302869
-1.0127854490246337 | [ 23.77 -13.19] | -0.21351497642502765
-1.0694565716349733 | [ 14.88 -10.22] | -1.6664265949187698
-1.0062927240537742 | [-18.12   1.26] | -1.7264350042777354
-0.9193026610624906 | [-19.29   3.92] | -1.2799166054915394
-0.8384553125634165 | [-20.35   5.92] | -0.9139822144276102
-0.7610249325713329 | [-21.73   7.82] | -0.6013365058229521
-0.6844454649921081 | [-23.53   9.75] | -0.3391240808099705
-0.6058269848382623 | [-25.86  11.78] | -0.13413914632067078
-0.5215908959569038 | [-28.89  13.98] | 0.011354303370319271
-0.4277491246473446 | [-32.69  16.42] | 0.10156346758832574
-0.32072735184096884 | [-37.1   19.09] | 0.13953938326323354
-0.1991660785576765 | [-41.34  21.73] | 0.11483589092906996
-0.06685507615039109 | [-43.7   23.52] | 0.018631020336552506
0.0660310675178454 | [-42.42  23.57] | -0.1017889037431669
0.1893419323791958 | [-39.21  22.63] | -0.20660339841269912
0.30106823389284376 | [-36.29  21.77] | -0.30300344110476546
0.40294080124293663 | [-33.98  21.17] | -0.39125674189059273
0.49674379672741437 | [-32.01  20.73] | -0.4774032662270969
0.5825068953125452 | [-30.06  20.32] | -0.5765189132430433
0.658697080420813 | [-27.98  19.84] | -0.6972119975535046
0.7234487861978812 | [-25.78  19.28] | -1.1808997462396307
0.7334833972665912 | [ 0.06 11.05] | -1.1968893482356493
0.670141350760013 | [6.47 3.41] | -0.4260950962484534
0.6250111654546714 | [10.22  2.18] | -0.5236553841845313
0.5630965315031653 | [13.27  1.52] | -0.5222581643686591
0.4885124669341099 | [16.26  0.61] | -0.436302082782693
0.40407728546837457 | [19.24 -0.39] | -0.24413175258796924
0.31240316211993846 | [22.99 -2.34] | 0.07250874957575479
0.21540270263755468 | [27.62 -5.12] | 0.41862531601562153
0.11179590313728328 | [32.33 -7.86] | 0.7468829872516121
-0.00010411950092703223 | [ 36.99 -10.63] | 1.056887984918254
-0.12052287084831366 | [ 41.41 -13.43] | 1.3264724962883754
-0.24807968031518657 | [ 45.17 -16.15] | 1.494928682566091
-0.379633619032469 | [ 47.17 -18.28] | 1.4789123462517235
-0.5084041728702609 | [ 45.91 -19.03] | 1.2627490579209801
-0.6262295978809795 | [ 41.81 -18.37] | 0.9541212575940429
-0.7300735735103022 | [ 37.07 -17.09] | 0.6644506659966536
-0.8224246501069787 | [ 33.13 -15.93] | 0.4108812350583775
-0.9058352694735545 | [ 29.69 -14.94] | 0.17242331583636822
-0.9800588571350554 | [ 26.22 -13.94] | -0.053220150374791095
-1.0439604998923593 | [ 22.69 -12.89] | -0.6383208754189036
-1.0654470711951534 | [-10.93  -1.22] | -1.9151682671434807
-0.9784147670550748 | [-19.17   1.69] | -1.730712445333398
-0.8886306008033915 | [-19.99   4.2 ] | -1.2708382863773706
-0.8055466410093935 | [-20.94   6.15] | -0.8977462220215062
-0.7258562694795049 | [-22.33   8.03] | -0.5818238049566913
-0.6465756068850846 | [-24.18   9.96] | -0.31600251587289374
-0.564629565557061 | [-26.56  11.98] | -0.10222292354876629
-0.4765124999696339 | [-29.58  14.17] | 0.06064024514435311
-0.37856175068048864 | [-33.26  16.58] | 0.1780195937891428
-0.2678337964891135 | [-37.39  19.19] | 0.24870483333319843
-0.1438972862899542 | [-41.18  21.74] | 0.24913182855474755
-0.011222377905207949 | [-43.05  23.43] | 0.15733746858773293
0.11995845438815272 | [-41.51  23.45] | 0.019413518783559153
0.24047054528205714 | [-38.35  22.56] | -0.11017810938081826
0.3491905066516172 | [-35.54  21.76] | -0.22783895198028775
0.4482429164377866 | [-33.35  21.19] | -0.33471468292934203
0.5393038842797211 | [-31.43  20.76] | -0.437816764059089
0.6221374129300535 | [-29.48  20.33] | -0.5507443938988505
0.6952078369471305 | [-27.4   19.83] | -0.6810747130577309
0.7568268672427734 | [-25.22  19.26] | -1.43974069828547
0.7324310549644785 | [ 2.42 10.27] | -1.4364157736403298
0.6537519961700038 | [9.58 2.79] | -0.48821624641826156
0.5945293080045255 | [13.04  1.18] | -0.510010817365777
0.5228570133031067 | [15.67  0.7 ] | -0.4742798384817346
0.44041568585486357 | [18.47 -0.14] | -0.3212278029628119
0.3502613092475984 | [21.82 -1.7 ] | -0.026509559977539864
0.25502469282086715 | [26.34 -4.45] | 0.3204531697672213
0.15401196942286188 | [30.98 -7.16] | 0.6462201411513147
0.04507000983104377 | [35.64 -9.89] | 0.9550519544809257
-0.07261219788156797 | [ 40.17 -12.68] | 1.2332374252098455
