-5.3, 2.4, -3.7, 0.9, 4.2, -1.1, -0.6, 3.5, -4.0, 1.8, -2.9, 0.7, -1.5, -0.2, 5.6, -3.0, 2.0, -4.5
parameter ends

state | action | reward
[0.08] | [ 0.76 -4.22] | -0.13193941944069382
0.05085098398458628 | [-23.44   5.81] | -0.16379567593831368
0.038001344699450074 | [ 6.66 -6.73] | -0.11734890256103885
0.026004389831770877 | [-20.83   4.52] | -0.14535891445604118
0.017482014280867392 | [ 7.9  -7.33] | -0.11330254963117387
0.009215246947848341 | [-19.03   3.63] | -0.13140244660898714
0.003366146144169439 | [ 8.5  -7.63] | -0.10843646510501966
-0.0025869448960678587 | [-17.76   3.  ] | -0.1208206714548726
-0.006741448652252966 | [ 8.75 -7.77] | -0.10365940453335078
-0.011216575915622851 | [-16.85   2.54] | -0.11267217036551473
-0.014277845499483396 | [ 8.8  -7.82] | -0.09928079046596427
-0.017787956220748784 | [-16.17   2.2 ] | -0.10628426739711758
-0.02013614844528123 | [ 8.75 -7.81] | -0.09536932656050592
-0.023006841433814186 | [-15.66   1.93] | -0.10118554428839825
-0.02488863957988661 | [ 8.63 -7.78] | -0.09190351654656677
-0.027332622488775264 | [-15.26   1.73] | -0.09704511390557405
-0.02891173135522406 | [ 8.47 -7.73] | -0.08883283677103809
-0.03107127540364836 | [-14.94   1.55] | -0.09362852791554817
-0.032458351395505174 | [ 8.29 -7.66] | -0.08610200085625444
-0.03443044571564077 | [-14.68   1.41] | -0.09076683300760138
-0.03570132222743947 | [ 8.09 -7.59] | -0.0836590749928607
-0.03755298000393551 | [-14.47   1.29] | -0.088335758365029
-0.03876010441630675 | [ 7.87 -7.51] | -0.08145833237380481
-0.04053804321135255 | [-14.29   1.19] | -0.08624202873821096
-0.04171782593426899 | [ 7.65 -7.43] | -0.07946066433867727
-0.04345475304792645 | [-14.13   1.1 ] | -0.08441452951517657
-0.044632432066039375 | [ 7.43 -7.35] | -0.07763320921918661
-0.04635124779230734 | [-13.99   1.02] | -0.08279847048184136
-0.04754419521885425 | [ 7.21 -7.27] | -0.07594863463447869
-0.0492608690514761 | [-13.87   0.94] | -0.08601021695968734
-0.05070936929237771 | [ 6.31 -6.9 ] | -0.08195710245491444
-0.0528344917429029 | [-14.32   1.1 ] | -0.090052186097211
-0.054438423136191835 | [ 6.09 -6.83] | -0.07953664728579746
-0.056466931773103246 | [-14.1    0.98] | -0.08907124541156403
-0.05807999783951449 | [ 5.67 -6.67] | -0.07985356841853619
-0.060155404472025976 | [-14.09   0.95] | -0.09338262049463616
-0.061959913736345164 | [ 4.82 -6.34] | -0.08575610292653814
-0.06428948587860628 | [-14.42   1.05] | -0.09657579921618938
