0.0, 1.2, -2.0, 3.4, -1.6, 0.7, 2.1, -0.3, -3.5, 1.8, -4.2, 2.5, -0.9, 4.0, -2.8, -1.4, 0.5, -5.0
parameter ends

state | action | reward
[-0.01] | [ 1.21 -5.38] | -0.05231218688532769
-0.04321809948721626 | [ 8.54 12.32] | -0.0368261166611202
-0.11753994285525156 | [4.83 9.38] | 0.08692497803743829
-0.2022056133246459 | [1.97 6.95] | 0.2548489472710513
-0.2930164234542405 | [-0.44  4.54] | 0.30571850278706675
-0.3590380848127984 | [-6.03 -7.77] | 0.12777325449978497
-0.38365570182020475 | [-3.41 -7.28] | -0.05959462262605642
-0.3768437476040941 | [-1.5  -7.44] | -0.2118450152004319
-0.3416713595872515 | [ 0.43 -7.7 ] | -0.1862363961773591
-0.3133002222329982 | [6.2  3.65] | -0.06516158713867076
-0.3176614459074681 | [3.29 2.8 ] | 0.0884669832498909
-0.3504057023173106 | [1.15 2.62] | 0.26947907139033184
-0.40692279737585074 | [-0.86  1.89] | 0.26289570483860375
-0.44523656958798763 | [ -7.56 -11.9 ] | -0.010250909341970187
-0.44205647367940615 | [ -4.81 -10.76] | -0.2098819418875666
-0.41047759854705557 | [ -2.69 -10.5 ] | -0.3313574530439504
-0.35476059549985367 | [ -0.44 -10.23] | -0.32138320762007905
-0.2926310199726913 | [ 3.19 -5.48] | -0.17074758304869686
-0.26777876635672493 | [9.26 9.48] | -0.0770143006167773
-0.2863365071525728 | [5.21 7.  ] | 0.06716793538323508
-0.33010157597878875 | [2.67 6.05] | 0.2573141973370084
-0.39497809638531833 | [0.48 4.81] | 0.4274577286580828
-0.46536783194794024 | [-2.57  0.06] | 0.367346777516982
-0.5092172946991205 | [-4.98 -7.02] | 0.09429487174874679
-0.5157071131998363 | [-2.93 -6.44] | -0.15347772288829853
-0.49331933052484966 | [-1.08 -6.21] | -0.34587288639731956
-0.4453895947695498 | [ 0.77 -6.24] | -0.33219859773299454
-0.40910206967074847 | [6.41 5.19] | -0.1763839306390269
-0.40827200099855626 | [3.43 3.79] | 0.05082065776519606
-0.4363267579802436 | [1.42 3.47] | 0.2979201572454849
-0.4897646223832837 | [-0.43  2.77] | 0.42288979406078414
-0.5393065817013826 | [-5.1 -6.1] | 0.23366478545870903
-0.5585184707819125 | [-3.04 -5.47] | -0.06300280466425207
-0.5474997723554664 | [-1.32 -5.1 ] | -0.313651879060727
-0.5091759627743837 | [ 0.45 -5.  ] | -0.3873905988345435
-0.4717185677156855 | [4.98 3.14] | -0.24041171645861653
-0.46188750435623305 | [2.49 2.15] | 0.029450497541050506
