0.0, 2.5, -3.1, 0.6, -4.2, 1.5, -0.7, 2.9, -2.4, -1.1, 3.3, -4.8, 5.0, 0.2, -5.6, 1.8, -0.9, 3.4
parameter ends

state | action | reward
[0.01] | [-1.02  3.61] | 0.05853305147106783
0.04493945214613264 | [-28.27   3.47] | -0.02246261099798011
0.1300675241735457 | [-43.11   3.6 ] | -0.16773089971377161
0.23518741211282948 | [-47.31   3.92] | -0.26559695341896367
0.34190964013666963 | [-47.3    4.28] | -0.3320280425191272
0.44417985168263346 | [-46.12   4.59] | -0.3955704255252679
0.539992891936604 | [-44.64   4.92] | -0.47911087919641737
0.6272858596228933 | [-42.99   5.32] | -0.5947532732012469
0.7036874820468464 | [-41.14   5.81] | -0.7394036061566468
0.7673052877295357 | [-35.3    5.19] | -0.2985773488103589
0.7870201790667055 | [-0.46  8.33] | -0.38364568793605947
0.7573770639406111 | [-2.24  8.44] | -0.3598450962783129
0.7350590145223928 | [-3.74  8.03] | -0.3353920418943524
0.7167742596483769 | [-4.05  7.85] | -0.31760355975683363
0.6999798951070867 | [-4.07  7.75] | -0.30193521663542805
0.6840725571608877 | [-4.03  7.65] | -0.2876643124242402
0.668897442221687 | [-3.99  7.57] | -0.2745830781663507
0.6543820983171831 | [-3.95  7.49] | -0.2625509142276456
0.6404711685319876 | [-3.91  7.42] | -0.2514488158921803
0.6271165922870411 | [-3.88  7.35] | -0.24117459534498
0.6142758180305018 | [-3.85  7.29] | -0.23164035248849046
0.6019109814739533 | [-3.82  7.23] | -0.22277014721491964
0.5899882526626317 | [-3.79  7.17] | -0.21449804347903015
0.5784772856602722 | [-3.76  7.12] | -0.2067665162936716
0.5673507564641378 | [-3.74  7.06] | -0.19952515358812756
0.5565839745791209 | [-3.71  7.02] | -0.19272959146167595
0.5461545550017819 | [-3.69  6.97] | -0.18634063511795418
0.5360421397424416 | [-3.67  6.92] | -0.18032352871044594
0.5262281601756764 | [-3.65  6.88] | -0.17464734547010188
0.516695633238773 | [-3.63  6.84] | -0.16928447561877297
0.507428985851365 | [-3.61  6.8 ] | -0.16421019425701144
0.49841390299168875 | [-3.6   6.76] | -0.15940229502856673
0.4896371957038904 | [-3.58  6.73] | -0.15484077817300565
0.4810866859780166 | [-3.56  6.69] | -0.15050758377685186
0.47275110597832504 | [-3.55  6.66] | -0.14638636276608705
0.46462000952556703 | [-3.53  6.63] | -0.14246227955641647
0.45668369408716064 | [-3.52  6.6 ] | -0.13872184137304083
0.44893313181276934 | [-3.51  6.57] | -0.13515275012995615
0.44135990838494465 | [-3.49  6.54] | -0.13174377346694324
0.43395616864544384 | [-3.48  6.51] | -0.1284846321162066
0.42671456811564346 | [-3.47  6.48] | -0.1253659012376871
0.4196282296604732 | [-3.46  6.45] | -0.12237892374424661
0.4126907046545089 | [-3.45  6.43] | -0.11951573395179853
0.40589593810028235 | [-3.44  6.4 ] | -0.11676899014846095
0.3992382372256852 | [-3.43  6.38] | -0.11413191489135338
