-5.6, 4.2, -3.8, 2.5, -1.2, 0.9, 1.4, -0.7, 3.3, -2.1, -4.4, 1.1, -2.9, 3.1, 0.5, -4.2, 2.7, -3.6
parameter ends

state | action | reward
[0.08] | [ 2.35 -3.4 ] | -0.039389697293885625
0.04005272451627922 | [ 3.15 16.59] | -0.1178801463068947
-0.03222858897280741 | [6.35 8.7 ] | -0.004736113852560956
-0.11533895372974175 | [8.98 2.14] | 0.1535387386246122
-0.2053309116396055 | [11.02 -3.52] | 0.26872847321979265
-0.30877003741883896 | [ 8.77 11.91] | 0.38961619989936935
-0.41634725945496714 | [10.48  3.3 ] | 0.6068268727422017
-0.5200852151238028 | [12.08 -3.34] | 0.7028854790072889
-0.6245727612271064 | [ 8.51 10.05] | 0.78766355903806
-0.7280047137852071 | [10.5   1.76] | 1.01465331231439
-0.830312977675451 | [12.25 -4.83] | 1.0267821097106478
-0.9287964372660238 | [7.69 8.1 ] | 1.059497213504913
-1.0243336248542578 | [10.11 -0.07] | 0.7362812346566009
-1.0770711041418426 | [  5.73 -12.63] | -0.05792040343094842
-1.06651872606556 | [ 1.2  -4.48] | -0.41359940316095645
-1.0396269712540978 | [-2.69  3.82] | -0.5040410844777146
-1.001791955629457 | [  0.74 -10.  ] | -0.44599842117901367
-0.9687334348964285 | [-2.05  3.13] | -0.40269352046116696
-0.9372792879064287 | [  1.12 -10.57] | -0.35050169094114036
-0.9110773204221156 | [-1.5  3.4] | -0.30597759534988217
-0.8873116833330292 | [  1.44 -10.3 ] | -0.2777721089430306
-0.8668870231734384 | [-1.17  3.57] | -0.24682819715691884
-0.8479166472808932 | [  1.63 -10.1 ] | -0.2307304270442509
-0.8312910911734167 | [-0.97  3.69] | -0.20417135625846633
-0.8159897553308861 | [ 1.78 -9.81] | -0.1928904304473156
-0.8027439358730358 | [-0.8   3.89] | -0.15853979187338527
-0.7923454675836249 | [ 2.04 -8.95] | -0.1413011175825743
-0.785111651274027 | [-0.54  4.56] | -0.09353988395565835
-0.7832897132798641 | [ 2.53 -7.29] | -0.06143660313100048
-0.7867181160031295 | [-0.08  5.87] | 0.01583343548431493
-0.8001849252839369 | [ 3.49 -4.36] | 0.08110527394266112
-0.8226108780567287 | [0.7  8.06] | 0.2044077477110323
-0.860293203155494 | [4.9  0.01] | 0.19536295978627854
-0.880349019071713 | [ 2.47 -6.79] | -0.20381625863318745
-0.8665050217526947 | [-1.8   1.33] | -0.2877868327968498
-0.8400580220201181 | [  1.23 -10.85] | -0.2609146784190899
-0.8170742418299145 | [-1.45  1.7 ] | -0.22692248933960435
-0.7956341042796267 | [  1.41 -10.6 ] | -0.21300822887954712
-0.7765842970711434 | [-1.23  2.  ] | -0.18713786920659584
-0.7585182672262503 | [  1.51 -10.4 ] | -0.1803643308304359
-0.7422273500209201 | [-1.07  2.26] | -0.1592159034711344
-0.7266079829337512 | [  1.57 -10.22] | -0.15674228159898268
-0.7123766122468503 | [-0.96  2.47] | -0.1360311867460335
-0.699085719231527 | [ 1.65 -9.95] | -0.13424690037119508
-0.6873050737044699 | [-0.83  2.78] | -0.10903755126708056
-0.6777222206339101 | [ 1.84 -9.29] | -0.10306744820408595
-0.6706245955278582 | [-0.61  3.4 ] | -0.06854089710225345
-0.6681377945073642 | [ 2.27 -7.95] | -0.05124073992585232
-0.670175399550724 | [-0.18  4.56] | 0.005669640964087836
-0.6814664620789321 | [ 3.2  -5.38] | 0.051135293293672446
-0.7012185438054855 | [0.63 6.62] | 0.15054136839199259
-0.7364152270073202 | [ 4.73 -1.12] | 0.23335854789854385
-0.7829112621582092 | [1.57 9.68] | -0.020340872082025153
-0.7918607031029393 | [ 2.22 -6.59] | -0.15948871180441276
-0.78025407132438 | [-1.91  1.4 ] | -0.2298868852969642
-0.7564842783565576 | [ 0.9  -9.79] | -0.21602608465633327
-0.734450830762444 | [-1.72  1.38] | -0.19331010158848755
-0.7126991112295556 | [ 0.97 -9.88] | -0.18139560413133235
-0.692925572853935 | [-1.5   1.53] | -0.15898483503914088
-0.6737870147099111 | [ 1.06 -9.82] | -0.15130457072600506
-0.6564773289296435 | [-1.31  1.75] | -0.131245783894902
-0.639854948019218 | [ 1.14 -9.69] | -0.12818887379668678
-0.6246590251819429 | [-1.17  1.95] | -0.11116315119987592
-0.6099529180207841 | [ 1.19 -9.58] | -0.11107165913099912
-0.596405826657192 | [-1.06  2.12] | -0.09607479135406748
-0.5832249108743386 | [ 1.22 -9.48] | -0.09797521838942763
-0.5710159178488277 | [-0.97  2.29] | -0.08334450660815006
-0.5593911080276763 | [ 1.27 -9.31] | -0.08578554762716391
-0.548859753656095 | [-0.87  2.51] | -0.06871337661341675
-0.5400679966384393 | [ 1.44 -8.83] | -0.06894900935277805
-0.5333103426078508 | [-0.67  2.99] | -0.04674452490004669
-0.5306808374980517 | [ 1.86 -7.75] | -0.040109450874004283
-0.5321487097599404 | [-0.24  3.96] | -0.0038433037033965643
-0.5426413909617539 | [ 2.84 -5.47] | 0.02367624058562708
-0.5614923707509354 | [0.63 5.84] | 0.09557025277149656
-0.5968693283997804 | [ 4.61 -1.32] | 0.16074556655151662
-0.644534519076578 | [1.78 8.9 ] | 0.24958723923951098
-0.7044735081504462 | [5.8  1.98] | 0.3641015589327682
-0.7389610817271369 | [  5.22 -12.89] | 0.10468896327828925
-0.7380018088496108 | [ 0.95 -4.49] | -0.22303915144491676
-0.7236597385639368 | [-3.03  3.41] | -0.2818426084002861
-0.6974472464080511 | [-0.24 -7.43] | -0.31393010904642754
-0.6617331748732441 | [-3.86  0.33] | -0.403414356893928
-0.6146293958531575 | [-3.23 -5.02] | -0.46948142040202234
-0.5515417775692865 | [-6.8  0.1] | -0.47276580532164586
-0.4755684303113212 | [-6.08 -4.13] | -0.40182130560397483
-0.3894637826084001 | [-8.45 -0.48] | -0.32087298858679986
-0.29374974394012204 | [-8.59 -1.89] | -0.17440598139050925
-0.19046279751364384 | [-9.66 -0.42] | 0.025437901955527503
-0.08115524743549446 | [-8.91 -3.53] | 0.24916829090790066
0.03282524426902354 | [-9.2  -2.97] | 0.43000569844655867
0.14960158293492368 | [-9.02 -3.01] | 0.6015932356988155
0.2669861958766135 | [-8.57 -3.24] | 0.7451704176971139
0.38325596456943956 | [-7.98 -3.44] | 0.8540190559739752
0.49723209394467444 | [-7.34 -3.54] | 0.9301736632668919
0.6082144400397577 | [-6.68 -3.54] | 0.9791771981411493
0.7157921447909279 | [-6.03 -3.51] | 1.0067001714333137
0.8196614804158996 | [-5.36 -3.48] | 1.0168437778933923
0.9195252139434548 | [-4.69 -3.5 ] | 1.012082868762171
1.015081524671397 | [-4.01 -3.56] | 0.994120971787331
1.10606446167423 | [-3.34 -3.66] | 0.9647626515511627
1.1922925848189019 | [-2.7  -3.78] | 0.926337041585908
1.2737024492719358 | [-2.1  -3.89] | 0.8816915655015106
1.3503633212369093 | [-1.53 -3.99] | 0.8339629749493482
1.4224781281083334 | [-1.02 -4.06] | 0.7862999658340356
1.4903762576275374 | [-0.56 -4.1 ] | 0.6375843838713868
1.5490859302490776 | [-0.32 -2.29] | 0.3916063983963564
1.5939933155529094 | [-0.24 -0.03] | 0.27518412247563245
1.6300772612856205 | [ 0.49 -2.16] | 0.020666065790543055
1.6509786529551198 | [0.04 3.19] | -0.1105848494335434
1.6615484196667594 | [ 1.19 -2.31] | -0.33504430440782074
1.6576336426951994 | [0.41 5.09] | -0.5097449076173757
1.6401846578603028 | [ 1.84 -2.18] | -0.5615545156188051
1.6134715750109858 | [ 1.99 -0.43] | -0.8490478972508925
1.568339467314096 | [2.2  0.91] | -1.01245509287448
1.5110259294673765 | [2.69 0.16] | -1.1480745202879015
1.4444488353799607 | [2.66 2.74] | -1.220455012997575
1.3721208036446146 | [3.15 1.52] | -1.1673681757917116
1.2989213609977814 | [3.58 0.67] | -1.1516421979260056
1.2235601665637774 | [3.81 1.61] | -1.1312895117359014
1.1459040169316512 | [4.28 1.01] | -1.0696280212418954
1.0669812867735062 | [4.78 0.62] | -1.0722942186916349
0.9834550679634463 | [5.2  2.12] | -1.0581498525588635
0.8951436784280715 | [5.9  1.29] | -0.972026707373863
0.8041535455403932 | [6.67 0.47] | -0.954380583873349
0.706442803987118 | [7.33 2.09] | -0.876085655264885
0.6041071151842743 | [8.23 0.12] | -0.8086042380965109
0.49578651714937516 | [8.8  2.38] | -0.665740687715527
0.38528629571565115 | [ 9.65 -0.79] | -0.596394295947562
0.2692209350769027 | [9.48 4.54] | -0.4492413334495925
0.15298179901689407 | [10.2   0.08] | -0.22245734048881757
0.040136571051968446 | [10.21  0.61] | -0.04566752740910109
-0.07130344895117391 | [10.67 -1.3 ] | 0.0335154932967167
-0.1811928045335632 | [8.95 3.87] | 0.15688339620905759
-0.28989894852741227 | [10.17 -0.37] | 0.30965958713006414
-0.39598107946297884 | [8.85 1.99] | 0.46722802712143097
-0.5007099969367551 | [10.26 -2.06] | 0.5157491315434013
-0.6001633291144715 | [7.09 3.58] | 0.3444161921838997
-0.6593163416559857 | [ 1.33 -6.82] | -0.20068151609442736
-0.6323706831586416 | [-2.39 -2.  ] | -0.49493840388525384
-0.5872091439375956 | [-6.24  1.94] | -0.4959724002967491
-0.5277027826245018 | [-4.25 -4.52] | -0.4215838365793855
-0.45747623053142195 | [-7.03 -1.09] | -0.48609159041798383
-0.37196891379786845 | [-8.83  1.14] | -0.24919358060429386
-0.28144630265857506 | [-6.04 -6.24] | 0.0051070185672389195
-0.18504526880327718 | [-7.41 -4.52] | 0.13303774779187189
-0.07920578777758355 | [-8.01 -3.86] | 0.3188232273543459
0.03296236482421598 | [-8.03 -4.  ] | 0.529422523354227
0.149035987790032 | [-7.66 -4.62] | 0.7357717211031453
0.2669780341125662 | [-7.05 -5.41] | 0.9322256448581511
0.3855316570870779 | [-5.92 -8.37] | 1.2090260904602266
0.5065016748711619 | [-4.86 -9.85] | 1.2906197813111837
0.6232539482760358 | [-4.08 -9.67] | 1.321782134406985
0.7355301139163214 | [-3.35 -9.62] | 1.3343173176085914
0.8439158920170019 | [-2.64 -9.68] | 1.32833886442343
0.9484766736730014 | [-1.94 -9.73] | 1.302930742314217
1.0488877964155778 | [-1.25 -9.75] | 1.2594102724027936
1.1446809151238257 | [-0.58 -9.73] | 1.127206995985427
1.230705270023522 | [ 0.2  -9.05] | 0.8361308248776536
1.297179195349456 | [ 1.01 -7.48] | 0.39774548267544496
1.335068155742535 | [ 1.74 -5.17] | -0.04164327550519491
1.3444354381936527 | [ 2.26 -3.38] | -0.4164558505274041
1.3293452979185096 | [ 2.77 -1.76] | -0.74289387930921
1.292341594065159 | [ 3.29 -0.41] | -0.9842532138637842
1.2379626838395101 | [3.8  0.54] | -1.1329678140941544
1.1711009675904547 | [4.3 1.2] | -1.1688744824642165
1.0969473044239602 | [4.9 0.4] | -1.2116884785054955
1.015320863794971 | [5.25 2.65] | -1.2150920486496917
0.9274964895179333 | [5.91 1.64] | -1.1101092709869587
0.8373353933684121 | [6.6  0.79] | -1.0279880534034727
0.7430571513783897 | [7.3  0.92] | -0.9298109928568872
0.6446429125565669 | [8.09 0.06] | -0.901120301982123
0.5378551797096601 | [8.68 2.92] | -0.7732124663877455
0.42762922455354196 | [ 9.46e+00 -7.59e-03] | -0.62283255362395
0.3147375559569434 | [9.87 1.9 ] | -0.4324718986033221
0.20188708273108633 | [10.6  -1.53] | -0.32662918622557796
0.08629792876527509 | [9.98 3.93] | -0.18273003862573822
-0.028848161955976434 | [10.68 -0.28] | 0.00851583291668234
-0.14087530598376805 | [10.1  1.5] | 0.18970198809058453
-0.25119088481153873 | [11.03 -2.14] | 0.284454861690202
-0.3580699069921305 | [8.9  2.92] | 0.3931756589237787
-0.46319332655500395 | [10.2  -1.08] | 0.46028606144875966
-0.5639622230848661 | [7.45 3.96] | 0.549048774262431
-0.6622750218986372 | [ 9.17 -0.5 ] | 0.03192046046742045
-0.6721082534688796 | [-1.47 -3.72] | -0.46941717884978973
-0.6281632380992599 | [-5.22  0.11] | -0.600653555616068
-0.565883227045281 | [-5.57 -1.76] | -0.6255706959837047
-0.4899817537509493 | [-7.92  1.02] | -0.4624778478596786
-0.4072256613918547 | [-5.49 -5.58] | -0.2627934321550743
-0.3179633859703626 | [-7.14 -3.53] | -0.18992061785794911
-0.2180613389915356 | [-7.99 -2.61] | 0.03442157805500236
-0.11179062370670172 | [-6.34 -7.89] | 0.3853376194920632
-0.0006236883081296787 | [-6.32 -8.87] | 0.5832486677101341
0.11611057185856535 | [-6.3  -8.91] | 0.7720550781604026
0.23538485386734975 | [-5.92 -9.13] | 0.9343446846534836
0.3545054304192337 | [-5.32 -9.34] | 1.0542578918658898
0.47154154518762614 | [-4.63 -9.48] | 1.1322208611595121
0.5854951234091629 | [-3.91 -9.58] | 1.177306627919399
0.6960412778136911 | [-3.2  -9.66] | 1.1976694386170694
0.80306836930762 | [-2.5  -9.72] | 1.1977057204990496
0.9063567278337997 | [-1.8  -9.77] | 1.1790318629379597
1.0054959757864113 | [-1.1 -9.8] | 1.1429169660262406
1.0999858394056679 | [-0.42 -9.78] | 0.99733979456394
1.1830220224567045 | [ 0.46 -8.92] | 0.6743542162665813
1.2432296625945465 | [ 1.41 -7.1 ] | 0.24860042541546912
1.2743692940924187 | [ 2.19 -5.03] | -0.15351621779191563
1.2783021036336568 | [ 2.8  -3.35] | -0.5049949144002506
1.2582473771983695 | [ 3.4  -1.83] | -0.8014683429615382
1.2170893266681444 | [ 4.  -0.6] | -1.00826204009209
1.1595962341502852 | [4.57 0.26] | -1.1220836470406774
1.090555850751108 | [5.1  0.84] | -1.1518596025170675
1.013886100752892 | [5.66 0.78] | -1.132413922647682
0.9315468879157968 | [6.2  1.08] | -1.065575721978841
0.8451422603435581 | [6.84 0.32] | -1.0489374057947098
0.7514484639805996 | [7.39 2.77] | -0.9826047801242739
0.6520362066102894 | [8.14 1.14] | -0.800327715049155
0.5517666626162532 | [ 8.93 -0.36] | -0.7743509239164756
0.4415471300188919 | [9.47 4.13] | -0.6448161254191855
0.3276720037491015 | [10.1  0.6] | -0.39633978040950574
0.21634364812523896 | [10.69 -0.48] | -0.28834514865097577
0.10078085151348931 | [10.63  2.68] | -0.10797459222186308
-0.01368375054251669 | [11.22 -1.18] | 0.02096110380649965
-0.12711789353380767 | [10.14  3.59] | 0.15639977257162768
-0.23926897329441052 | [10.92 -0.41] | 0.31332789529857713
-0.3483248146310007 | [9.88 1.8 ] | 0.46958225734438847
-0.45572778191958596 | [10.9  -1.89] | 0.5339537200310661
-0.5586036718228196 | [8.36 3.04] | 0.6207043242737139
-0.6590311752435049 | [ 9.82 -1.06] | 0.5388495297008117
-0.7400589008784232 | [ 0.42 -0.16] | -0.452329385293651
-0.7052795862902878 | [-2.97 -1.46] | -0.6654661027476193
-0.651749418574903 | [-6.34  1.88] | -0.6558615466355664
-0.5854212225827126 | [-4.54 -4.04] | -0.5706582586624561
-0.5095232131039887 | [-6.83 -1.33] | -0.3939424331844868
-0.42697332719233294 | [-5.   -6.88] | -0.21245768264379733
-0.3371058726159208 | [-5.63 -7.25] | -0.08167714485026584
-0.23770766299322912 | [-6.13 -7.65] | 0.08688442364541663
-0.12994254238293412 | [-6.43 -8.14] | 0.2799069285635482
-0.015587461832248607 | [-6.47 -8.62] | 0.47944878560006293
0.10284117141379426 | [-6.24 -9.  ] | 0.6627649202858239
0.22251765570258736 | [-5.76 -9.27] | 0.8115302939789331
0.34100548812609643 | [-5.12 -9.44] | 0.9193997139748433
0.4567934391661718 | [-4.42 -9.55] | 0.9916499532453348
0.5692700425242849 | [-3.7  -9.63] | 1.0365271206649505
0.6782816983681719 | [-2.98 -9.71] | 1.0598198072078029
0.7837066595078764 | [-2.27 -9.77] | 1.0639412185706705
0.8852411823167364 | [-1.55 -9.82] | 1.049666971911883
0.9824137922715688 | [-0.83 -9.84] | 0.9920510649738173
1.0728248566900762 | [-0.05 -9.59] | 0.7938018088934614
1.147197055640015 | [ 0.99 -8.35] | 0.40075223452051917
1.1926897205936917 | [ 2.12 -6.07] | -0.021595093344972192
1.2079865314314764 | [ 2.89 -4.34] | -0.3746730470617016
1.1981829394804064 | [ 3.59 -2.8 ] | -0.6848257678981967
1.1656647527578372 | [ 4.29 -1.48] | -0.9181658326019062
1.1144928990284455 | [ 4.94 -0.47] | -1.0544233137964358
1.049721016078495 | [5.54 0.19] | -1.1079349046960403
0.9754100363305437 | [6.11 0.66] | -1.10408859519576
0.8940083035872881 | [6.66 1.04] | -1.0314616155733016
0.8082043793455178 | [7.3 0.2] | -1.0119942915150333
0.7144438204426076 | [7.86 3.12] | -0.9316053827906352
0.6149927151736062 | [8.58 1.17] | -0.7364827280900427
0.5149631343847244 | [ 9.33 -0.31] | -0.6867376275211553
0.4052169993823307 | [9.96 3.92] | -0.5459942996508768
0.2917186310596777 | [10.52  0.51] | -0.30777320753772064
0.1800709618257063 | [11.07 -0.17] | -0.1714974792479386
0.06504178678127931 | [11.19  1.62] | 0.026779345811152978
-0.048425503968917316 | [11.73 -1.94] | 0.14964673823849403
-0.16175112560140376 | [10.78  2.92] | 0.28199199046628126
-0.2741120335393065 | [11.45 -0.96] | 0.3902768303415987
-0.3833270709458577 | [9.79 3.35] | 0.5048992039029054
-0.4907138279261788 | [10.77 -0.55] | 0.6174455278196587
-0.5947868396797726 | [9.13 2.21] | 0.7416640054522674
