5.0, -5.0, 4.5, -4.5, 3.5, -3.5, 2.5, -2.5, -4.0, 4.0, -6.0, 6.0, -4.0, 4.0, 0.0, -0.1, 0.5, -0.5
parameter ends

state | action | reward
[-0.08] | [ 0.12 -0.12] | 0.05771246078120832
-0.08524798737655516 | [-1.25  1.29] | 0.010085925434413738
-0.05926490383765368 | [  9.73 -10.05] | -0.0021540865375866552
-0.040005104882418686 | [-2.46  2.54] | 0.015641854436856836
-0.02192794816402137 | [ 8.68 -8.96] | 0.007131008764922096
-0.008393727214114688 | [-3.12  3.23] | 0.020094354019425227
0.004649343068112339 | [ 7.93 -8.19] | 0.013800335667045648
0.01444979219600389 | [-3.49  3.62] | 0.0233569111215667
0.024227392587611807 | [ 7.4  -7.63] | 0.01842798575122311
0.03154869595228466 | [-3.69  3.83] | 0.025651498771958065
0.039150163865012716 | [ 7.01 -7.23] | 0.021587600800484753
0.04479135097387401 | [-3.8   3.95] | 0.027199373706277823
0.050911087595565646 | [ 6.72 -6.93] | 0.023694679180985806
0.05539790486462539 | [-3.86  4.  ] | 0.02818072575833821
0.06049284831611604 | [ 6.5 -6.7] | 0.025041380064780214
0.06417977292448905 | [-3.87  4.02] | 0.028735158490541878
0.06855776033820653 | [ 6.33 -6.53] | 0.02583518897266894
0.07168788486655459 | [-3.87  4.02] | 0.028968122932216823
0.07556028984179758 | [ 6.2  -6.39] | 0.026223553585902684
0.07830283320583359 | [-3.85  3.99] | 0.028958535673552197
0.08181711999463233 | [ 6.09 -6.27] | 0.02631207474562717
0.08429137245810954 | [-3.81  3.96] | 0.028765372151461324
0.08755174370725106 | [ 6.   -6.18] | 0.026177206180652265
0.08984264396708781 | [-3.77  3.92] | 0.028432853600544483
0.09292346001774679 | [ 5.92 -6.1 ] | 0.02587493125724167
0.09509194077778567 | [-3.72  3.87] | 0.027994308992276232
0.09804664761948183 | [ 5.85 -6.03] | 0.025446671746235217
0.1001366343693135 | [-3.67  3.81] | 0.0274750044712247
0.103003821971628 | [ 5.79 -5.96] | 0.024923387924747804
0.10504704976919464 | [-3.61  3.76] | 0.026894214197602233
0.10785463574855979 | [ 5.73 -5.91] | 0.024328439471826235
0.10987401375877527 | [-3.55  3.7 ] | 0.026266735294294574
0.11264217582715015 | [ 5.68 -5.85] | 0.023679608504440057
0.11465416768290615 | [-3.49  3.64] | 0.025604002593196767
0.11739742524824147 | [ 5.63 -5.8 ] | 0.02299054789979408
0.1194137517577546 | [-3.43  3.57] | 0.024914913898890407
0.12214245953649756 | [ 5.59 -5.75] | 0.022271829542920216
0.12417132833457206 | [-3.37  3.51] | 0.024206444421353873
0.12689275799297695 | [ 5.54 -5.71] | 0.021531710201505346
0.12893975904452493 | [-3.3   3.44] | 0.02348410655814997
0.13165888878941912 | [ 5.5  -5.66] | 0.020776695639698993
0.1337276514727948 | [-3.24  3.37] | 0.022752295475222676
0.1364477465275573 | [ 5.45 -5.61] | 0.020011959030718916
0.13854042512562761 | [-3.17  3.3 ] | 0.022014549854656937
0.14126346719255936 | [ 5.41 -5.57] | 0.019241653197503306
0.143381101965197 | [-3.1   3.24] | 0.021273749302322894
0.1461081088288632 | [ 5.37 -5.52] | 0.018469144895358704
0.14825089628412336 | [-3.04  3.17] | 0.020532264256756846
0.15098216098273765 | [ 5.32 -5.48] | 0.017697191485964027
0.15314965749790416 | [-2.97  3.1 ] | 0.01979207014749429
0.15588492827476266 | [ 5.28 -5.44] | 0.01692807481075913
0.1580762045379188 | [-2.9   3.03] | 0.019054854506994984
0.16081482742752853 | [ 5.24 -5.39] | 0.016163728104298718
0.16302859381267967 | [-2.83  2.96] | 0.01832215438907208
0.16576964484344975 | [ 5.2  -5.35] | 0.015405890256079182
0.1680043710543215 | [-2.77  2.89] | 0.01759541802261049
0.17074676428913377 | [ 5.15 -5.31] | 0.01465616775612787
0.17300077620312246 | [-2.7   2.82] | 0.016876017909523623
0.1757433413355198 | [ 5.11 -5.26] | 0.013916061124260203
0.1780148946064637 | [-2.63  2.75] | 0.016165234803705075
0.18075642573058215 | [ 5.07 -5.22] | 0.013186931452596678
0.18304374693604258 | [-2.56  2.68] | 0.01546425958355963
0.1857830340614169 | [ 5.03 -5.17] | 0.012470018966033421
0.18808435104563168 | [-2.5   2.61] | 0.014774212215623986
0.19082020508869585 | [ 4.99 -5.13] | 0.011766420202154262
0.19313377039474616 | [-2.43  2.54] | 0.014096096679669403
0.19586503777586953 | [ 4.94 -5.09] | 0.011077049399216589
0.1981891410375898 | [-2.36  2.48] | 0.013430768694177312
0.20091471176148995 | [ 4.9  -5.05] | 0.010402688305744572
0.20324769003189652 | [-2.3   2.41] | 0.012778965172730887
0.20596650526400773 | [ 4.86 -5.  ] | 0.009743813018827322
0.20830674646520558 | [-2.23  2.34] | 0.01214113560995856
0.21101779806788618 | [ 4.82 -4.96] | 0.009100729658241689
0.21336374374932218 | [-2.17  2.28] | 0.011517595302454657
0.21606607337586992 | [ 4.78 -4.92] | 0.008473663995762028
0.21841622112338493 | [-2.1   2.21] | 0.01090859909805245
0.2211089217393939 | [ 4.74 -4.88] | 0.007862754670052208
0.22346182803134093 | [-2.04  2.15] | 0.010314295910260552
0.2261440421006412 | [ 4.7  -4.84] | 0.00726800314290377
0.22849832009710305 | [-1.98  2.08] | 0.009734715083519155
0.2311692355166023 | [ 4.66 -4.8 ] | 0.006689330345345928
0.23352355334455357 | [-1.92  2.02] | 0.009169820266903618
0.23618240047351105 | [ 4.63 -4.76] | 0.006126601927515254
0.23853547969956582 | [-1.86  1.96] | 0.008619526162226946
0.24118152856423686 | [ 4.59 -4.72] | 0.005579633802330417
0.24353214266168177 | [-1.8  1.9] | 0.008083697759078117
0.2461647005230715 | [ 4.55 -4.68] | 0.005048195016004815
0.2485116734102924 | [-1.74  1.84] | 0.0075621549163249644
0.2511300824654897 | [ 4.51 -4.64] | 0.004532005077032287
