5.0, 0.0, -5.0, 5.0, -5.0, 0.5, 5.0, -5.0, -5.0, 5.0, -5.0, 5.0, 5.0, -5.0, 5.0, -5.0, 0.0, 0.0
parameter ends

state | action | reward
[-0.05] | [-1.18  0.85] | -0.06547508385509246
-0.013591639586563082 | [-1.22  0.76] | -0.08893517455974723
0.06943516822471031 | [-1.49  0.7 ] | -0.09961109325384016
0.17451175882459405 | [-1.69  0.51] | -0.0910247991111067
0.28313457676806303 | [-2.3   0.75] | -0.08481356367714306
0.38956031619281134 | [-1.81 -0.09] | -0.03315240418624526
0.4914256353388643 | [-3.87  1.7 ] | -0.02416916281969087
0.5876936109900526 | [-1.73 -0.69] | 0.045266924025171636
0.6793095980926819 | [-5.31  2.72] | 0.07653098129344414
0.76481230406199 | [-2.45 -0.27] | 0.06380737852160961
0.8432975385557575 | [-4.47  1.62] | -0.9054053242008319
0.8195255778742953 | [ 19.71 -23.13] | -1.2997891671630524
0.7515799623963177 | [ 15.89 -20.02] | -0.6907220455805345
0.690390788484975 | [ 10.91 -15.35] | -0.36579310483130384
0.6275030583794949 | [  9.66 -14.23] | -0.1144608575404956
0.5612360432758047 | [  8.72 -13.29] | 0.10807185052656881
0.48965618929490035 | [  7.97 -12.44] | 0.29507270174006445
0.40979112289525865 | [  7.23 -11.5 ] | 0.4510878526664382
0.3183071961843734 | [  6.28 -10.25] | 0.585095948679646
0.2124204136493994 | [ 4.88 -8.45] | 0.6960901278763758
0.09161785839321196 | [ 2.8  -5.85] | 0.7488740978061089
-0.03969419800711081 | [ 0.22 -2.64] | 0.6289021323563593
-0.15618606308788216 | [-5.01  3.29] | 0.251649880894043
-0.20753153238028527 | [-5.64  4.4 ] | -0.05191614032038987
-0.18356902436576777 | [-5.34  4.17] | -0.2222723072160797
-0.10163352645681056 | [-4.48  3.09] | -0.30033426056579393
0.011046603753408771 | [-3.68  1.9 ] | -0.3204802771145381
0.13026258384057005 | [-3.01  0.79] | -0.31274219102648926
0.24505943128606017 | [-3.14  0.5 ] | -0.27545121321613725
0.3531017235924123 | [-3.99  0.99] | -0.27481873822629893
0.45435275805206515 | [-3.25 -0.1 ] | -0.23666920333356464
0.5488691096364041 | [-5.59  1.98] | -0.2406770184179352
0.6351303434167171 | [-4.04  0.19] | -0.28899322782119885
0.7119450814582352 | [-5.28  1.19] | -0.2045086417616002
0.7546940669666136 | [ 4.27 -8.44] | -0.3345284550065332
0.7220545277951584 | [  5.89 -10.12] | -0.18163708452454058
0.6806506196572623 | [  6.03 -10.22] | 0.003313751678941282
0.6335171960694176 | [  6.06 -10.12] | 0.1772159927150655
0.5807006154639447 | [ 5.95 -9.8 ] | 0.3172099580584296
0.5202703211800341 | [ 5.66 -9.2 ] | 0.4139446983745764
0.44893028482177944 | [ 5.16 -8.3 ] | 0.46925228649229256
0.3627277349091822 | [ 4.39 -7.06] | 0.49127346680049083
0.25823820873809866 | [ 3.31 -5.43] | 0.4844693999269582
0.13533550341917738 | [ 1.86 -3.36] | 0.4323081314778317
0.001185318683658905 | [ 0.26 -1.08] | 0.2921176873470241
-0.11695036377882803 | [-3.55  3.39] | 0.07590624063398033
-0.17087750070816546 | [-3.16  3.41] | -0.04709524783681609
-0.15160454103178314 | [-2.64  2.94] | -0.09759523533140921
-0.07447133377365885 | [-1.34  1.39] | -0.12611096358099236
0.035799101237774675 | [-0.08 -0.3 ] | -0.10887346317531245
0.12948730356052532 | [-0.93  0.19] | -0.06577967839608197
0.21422907903933175 | [-2.44  1.47] | -0.07114931726115238
0.31144516991327137 | [-0.54 -0.73] | -0.01240080611074243
0.40369530036150475 | [-3.63  2.16] | 0.03188346650831366
0.4925789977459507 | [-1.05 -0.6 ] | 0.1001766887651843
0.583431636499579 | [-4.46  2.68] | 0.13479114108518273
0.6718747074191347 | [-1.1  -0.79] | 0.20439421753609835
0.7577892435157247 | [-4.75  2.79] | 0.2382566907832976
0.8392374616242874 | [ 2.05 -4.06] | -0.6938877628768408
0.8104547394756602 | [ 15.66 -18.12] | -0.6962264799516066
0.7566900054222582 | [ 13.33 -16.15] | -0.423548984776826
0.7007203736675434 | [ 11.03 -14.01] | -0.1621771421917328
0.6427374727554513 | [  9.   -11.97] | 0.056323171649884485
0.5807855294988489 | [  7.35 -10.13] | 0.21249951958365726
0.511161245234692 | [ 5.96 -8.42] | 0.3001548223313378
0.42901822350146307 | [ 4.71 -6.74] | 0.32511353258854275
0.32945460568028506 | [ 3.52 -5.02] | 0.30225901164601693
0.21015283894126818 | [ 2.34 -3.22] | 0.2439871717970337
0.07610694744127477 | [ 1.15 -1.38] | 0.1605433286330734
-0.06009024599777866 | [0.24 0.16] | 0.074801412770632
-0.1672928888410535 | [ 1.13 -0.28] | 0.06424173492584247
-0.2620359018980702 | [ 2.94 -1.79] | 0.06083220285978245
-0.364698923502103 | [0.93 0.55] | 0.10417183774844088
-0.4647741706417394 | [ 6.1  -4.37] | 0.13770694347843904
-0.5622214040341063 | [ 2.88 -0.97] | 0.04480387029207003
-0.6550208177498289 | [0.27 1.93] | 0.07382365434957237
-0.7364197795059375 | [ 4.81 -2.41] | 0.09165783624954786
-0.8101478847947771 | [1.25 1.28] | 0.20543407763724833
-0.8856417702918727 | [10.   -7.42] | -0.6712565383074959
-0.870364899463531 | [-29.15  32.13] | -1.2201783702151214
-0.8107927362849798 | [-24.34  27.9 ] | -0.9156372113782957
-0.7474411030480981 | [-19.72  23.67] | -0.6115815629722118
-0.6814810228150121 | [-15.25  19.44] | -0.3219050723257847
-0.612702625176306 | [-11.26  15.55] | -0.06788940032119342
-0.5393678574216699 | [-7.92 12.16] | 0.14140941041925417
-0.45862386006752776 | [-5.08  9.17] | 0.3097301126401073
-0.367148827265385 | [-2.45  6.29] | 0.44665208624299674
-0.2620243691452456 | [0.31 3.16] | 0.5478112063301944
-0.16414255642822004 | [ 7.87 -4.93] | 0.3933975719362923
-0.11015537716065733 | [ 7.   -4.55] | 0.154457101718973
-0.11457280768991672 | [ 6.17 -3.99] | 0.011945060469409954
-0.17102899760647738 | [ 4.82 -2.67] | -0.05327644623453912
-0.26010990648556603 | [ 3.16 -0.86] | -0.07400872956262344
-0.360770983135109 | [2.29 0.26] | 0.0025394522593617285
-0.4618212253992695 | [ 6.35 -3.61] | 0.03524630414246795
-0.5593878629821702 | [ 3.21 -0.3 ] | 0.0019158035078338305
-0.650617565146655 | [ 3.93 -0.83] | -0.052788566453764084
-0.7336255666596709 | [1.44 1.87] | 0.05503595827937824
-0.8131958710290966 | [ 9.56 -6.17] | -0.7784226736958052
-0.7953044383536552 | [-29.75  33.61] | -0.8484632219241082
-0.7464353554607498 | [-13.02  17.21] | -0.35567010545232547
-0.6960161820008685 | [-10.27  14.55] | -0.13377210796489813
-0.6409748149353828 | [-7.62 11.86] | 0.07202716132430641
-0.5809295708218831 | [-5.31  9.42] | 0.24111782889787578
