-4.0, 2.0, -3.0, 4.0, -1.0, -0.5, 0.0, 1.0, -2.0, -2.0, 1.0, 2.0, 0.5, -1.0, 3.0, 1.5, -0.3, 0.2
parameter ends

state | action | reward
[-0.01] | [-0.53  0.14] | -0.049681409221337465
0.007240155420368164 | [4.24 5.95] | -0.06572027538925906
0.018420650786255547 | [4.47 2.65] | -0.09094150850645558
-0.00342419912567032 | [ 4.17 -0.53] | -0.03286407394599047
-0.06551719995706372 | [ -6.56 -11.94] | 0.042729138047951934
-0.12532674800166888 | [-6.09 -7.07] | 0.00806303579123067
-0.14537231160120018 | [-6.13 -3.68] | -0.07146825578737329
-0.1313921550117616 | [-5.66 -0.37] | -0.13871959724441346
-0.08249828958513869 | [-0.65  6.29] | -0.1068456257620225
-8.518270005700504e-05 | [10.27 16.26] | -0.06715541607892894
0.06852180967673126 | [ 8.74 10.05] | -0.0859593672198673
0.09337950387183852 | [7.83 5.51] | -0.1598095341818518
0.08227281285073829 | [6.55 1.26] | -0.2137282050535567
0.040434949431340274 | [ 5.07 -2.35] | -0.08955864243484121
-0.03866874590800251 | [ -8.01 -14.99] | 0.06103268949544102
-0.11121735783082265 | [-6.95 -9.11] | 0.04986217814784711
-0.14035121343501042 | [-6.69 -5.25] | -0.022036550716896124
-0.13419286564854493 | [-6.16 -1.75] | -0.09454923381921573
-0.09728650068878941 | [-5.3   1.33] | -0.14167296011553812
-0.020154325624645857 | [ 8.87 15.38] | -0.11767086336972606
0.05191162404688609 | [7.53 9.28] | -0.11349365551088
0.07994570929471713 | [7.   5.04] | -0.17518729719773338
0.07188875629069047 | [6.06 1.01] | -0.22419396233163758
0.03234645491734975 | [ 4.77 -2.55] | -0.08750283919555081
-0.04510376082581234 | [ -7.96 -14.95] | 0.06854010940947805
-0.11647197165215736 | [-6.9  -9.11] | 0.05329070432972115
-0.1446382655007066 | [-6.61 -5.23] | -0.019150289306307265
-0.1375669554877956 | [-6.08 -1.74] | -0.09035388255045308
-0.09995960302010032 | [-5.27  1.29] | -0.15114061839067056
-0.02247753670483182 | [ 8.77 15.18] | -0.13765753621988167
0.049653539043627945 | [7.4  9.08] | -0.13257978931283396
0.07769932754637252 | [6.89 4.84] | -0.1935337924822299
0.06958388790306173 | [5.95 0.81] | -0.22999508869948496
0.028524657014441263 | [ 3.6  -3.67] | -0.07109496555389944
-0.05109516969652428 | [ -8.66 -15.6 ] | 0.08368721167456208
-0.12363685083824814 | [-7.46 -9.58] | 0.061608171421515104
-0.15246173359392817 | [-7.04 -5.57] | -0.01826161398336862
-0.14584066296337864 | [-6.4  -1.99] | -0.09625667254811333
-0.10858317949466725 | [-5.49  1.12] | -0.1645269435452948
-0.031336937253802474 | [ 8.6  15.07] | -0.14990569216099536
0.040746285570021176 | [7.27 9.01] | -0.1391481371372376
0.06882964855607235 | [6.77 4.8 ] | -0.1952727238492543
0.060775058712827575 | [5.86 0.79] | -0.226511717829762
0.019612392574296388 | [ 3.41 -3.77] | -0.0628149171056844
-0.06041710013136799 | [ -8.87 -15.72] | 0.08807684956407977
-0.13327771339107056 | [-7.62 -9.64] | 0.059376491442903356
-0.16230068983830437 | [-7.17 -5.62] | -0.02632636932321536
-0.1558685431144607 | [-6.5  -2.02] | -0.1097126717300221
-0.11876382566732152 | [-5.57  1.12] | -0.1802111241558044
-0.041562126847129205 | [ 8.58 15.12] | -0.16142400779093816
0.030632225810728275 | [7.26 9.09] | -0.14446997054396102
0.05884052131313522 | [6.76 4.88] | -0.19543821394848307
0.05090460976357563 | [5.84 0.87] | -0.2268190300322237
0.010383994606713841 | [ 3.81 -3.33] | -0.0658373419201649
-0.06892969532079318 | [ -8.65 -15.47] | 0.08454435814249896
-0.1414657301199693 | [-7.41 -9.42] | 0.05294441230591683
-0.17034508024781794 | [-7.01 -5.45] | -0.03408960529788306
-0.16389906295853823 | [-6.39 -1.91] | -0.11890936401066492
-0.12681844223463284 | [-5.51  1.2 ] | -0.19278816538370508
-0.049603840853716344 | [ 8.62 15.19] | -0.1741844206181454
0.022659363705828925 | [7.29 9.15] | -0.1532529526433552
0.05090460334673861 | [6.76 4.92] | -0.20072078117367181
0.042962878912788945 | [5.82 0.89] | -0.23000005635103532
0.0025986855998069644 | [ 3.92 -3.18] | -0.06623082608794796
-0.0765428022881697 | [ -8.56 -15.36] | 0.08504903804948823
-0.1490058527168346 | [-7.31 -9.31] | 0.05087393485496722
-0.17788458554049155 | [-6.92 -5.36] | -0.03746844899394061
-0.17152041154868047 | [-6.33 -1.85] | -0.12370068932803363
-0.134546494323938 | [-5.48  1.23] | -0.20343615616148306
-0.057396441694293275 | [ 8.62 15.2 ] | -0.18702464167433683
0.014869456025563312 | [7.27 9.16] | -0.16246366935997145
0.043109191257276185 | [6.73 4.91] | -0.20661432041653618
0.03512691795681009 | [5.77 0.88] | -0.2314867833237488
-0.005403599504759946 | [ 3.79 -3.26] | -0.061239737100230486
-0.08483079377606983 | [ -8.62 -15.38] | 0.09010636797318722
-0.15747235485391448 | [-7.33 -9.3 ] | 0.052091901041848986
-0.18649845930464795 | [-6.93 -5.35] | -0.03904654532308113
-0.180324129914003 | [-6.35 -1.84] | -0.12807061124758662
-0.14354542081501942 | [-5.5   1.24] | -0.2142548066540626
-0.06652698633946785 | [ 8.58 15.19] | -0.19923057567229344
0.005729907316053533 | [7.23 9.16] | -0.17014911117982898
0.03399043561636371 | [6.67 4.92] | -0.21024606228536155
0.026016320101294885 | [5.71 0.88] | -0.2309869957393265
-0.014531473900783127 | [ 3.72 -3.26] | -0.05529401858127955
-0.09408328018386247 | [ -8.66 -15.36] | 0.09571160894130834
-0.1668281342047895 | [-7.34 -9.25] | 0.0534866099589391
-0.195972682796781 | [-6.93 -5.31] | -0.040611167732258625
-0.1899897180621995 | [-6.35 -1.82] | -0.13261725593099902
-0.15342207866581015 | [-5.51  1.25] | -0.22515912058912255
-0.07655232521450031 | [ 8.54 15.19] | -0.21118676157733327
-0.004296840876344351 | [7.19 9.18] | -0.17715586766903726
0.02400803916601077 | [6.62 4.94] | -0.21283110833648736
0.016075447778595216 | [5.65 0.89] | -0.23013410153710656
-0.024333505752527705 | [ 3.75 -3.17] | -0.05002833134632821
-0.10379900676537497 | [ -8.63 -15.28] | 0.1010713400945571
-0.17653254324464082 | [-7.28 -9.16] | 0.05495052896939712
-0.20574556491314785 | [-6.88 -5.24] | -0.041545019745733394
-0.19994193240432687 | [-6.33 -1.77] | -0.1360432807634945
-0.16359472183268955 | [-5.51  1.28] | -0.23542035414095755
-0.08688983537134926 | [ 8.51 15.2 ] | -0.2232157185639005
-0.014644968482105176 | [7.16 9.2 ] | -0.1842695116295175
0.01370342409998849 | [6.57 4.95] | -0.2154976865703216
0.005815081968993638 | [5.58 0.9 ] | -0.22909058375591101
-0.034472531928654446 | [ 3.75 -3.1 ] | -0.0438864205292767
-0.11386776877899035 | [ -8.6 -15.2] | 0.10759507865038243
-0.1865949514182685 | [-7.23 -9.07] | 0.05759713788400126
-0.21589296595460505 | [-6.83 -5.17] | -0.04117019907088916
-0.21029919835172348 | [-6.3  -1.73] | -0.1380566773130532
-0.1742138425854715 | [-5.51  1.3 ] | -0.24505894156786073
-0.0977139839200923 | [ 8.47 15.19] | -0.2352588640198506
-0.02549956325604453 | [7.11 9.21] | -0.19127647028939948
0.0028920610416812496 | [6.51 4.96] | -0.2179020475036265
-0.004942083138470856 | [5.51 0.91] | -0.22730576707375952
-0.04513369549965209 | [ 3.71 -3.06] | -0.036220820837284055
-0.12450057519865057 | [ -8.59 -15.13] | 0.11561781729990173
-0.19724555708585448 | [-7.19 -8.99] | 0.06149993860912387
-0.2266586105002861 | [-6.79 -5.1 ] | -0.039687025524384356
-0.22131779777665098 | [-6.28 -1.69] | -0.13911643146365713
-0.18554778938907077 | [-5.51  1.32] | -0.2543796173598541
-0.10930395354369682 | [ 8.42 15.17] | -0.24726945247753856
-0.03713893794504902 | [7.05 9.22] | -0.19793832912211926
-0.008694506874317075 | [6.44 4.97] | -0.2196536621824451
-0.016448402910087926 | [5.43 0.92] | -0.22477010772094097
-0.0564952875462021 | [ 3.67 -3.01] | -0.027678956829498263
-0.13578003964872878 | [ -8.57 -15.04] | 0.12456033339978141
-0.2085174479358711 | [-7.15 -8.9 ] | 0.06618679101064943
-0.23805063896992296 | [-6.75 -5.03] | -0.03739040729692351
-0.23299334564080854 | [-6.25 -1.65] | -0.13934634567435375
-0.19758673683256203 | [-5.51  1.33] | -0.263404190845126
-0.12164830715083554 | [ 8.36 15.15] | -0.25932719766239887
-0.04955134273682755 | [6.99 9.23] | -0.2043692322963524
-0.021043949238517715 | [6.36 4.98] | -0.22088991630713947
-0.02869021419445369 | [5.34 0.93] | -0.22169777431319002
-0.06853509280607883 | [ 3.65 -2.94] | -0.01851956565268388
-0.1476687111085678 | [ -8.54 -14.94] | 0.1342671079930296
-0.22036401223667204 | [-7.09 -8.79] | 0.07158322462433704
-0.25001842000991586 | [-6.69 -4.95] | -0.03425168644109067
-0.2452740954035206 | [-6.22 -1.61] | -0.13860101437524386
-0.21028081453520545 | [-5.51  1.36] | -0.2720449333030025
-0.13470052369423574 | [ 8.29 15.11] | -0.2714886530283828
-0.0626946677844921 | [6.92 9.23] | -0.21066826225958313
-0.034117554122967055 | [6.28 4.99] | -0.22173833365010087
-0.041631111281187565 | [5.25 0.94] | -0.2180534972648783
-0.08124023079623946 | [ 3.61 -2.86] | -0.008468135299246605
-0.16018598052038782 | [ -8.5  -14.82] | 0.14495016306108938
-0.2328222676281881 | [-7.02 -8.68] | 0.0778321057476198
-0.26261011848729665 | [-6.63 -4.87] | -0.03021054930948549
-0.2582170668902939 | [-6.18 -1.56] | -0.13688376023016752
-0.22369628934554106 | [-5.5   1.37] | -0.2803321041624739
-0.14853686584114925 | [ 8.21 15.07] | -0.28375963512148106
-0.07665078167590669 | [6.83 9.22] | -0.21679808930137556
-0.04799715496459388 | [6.18 4.99] | -0.22212190795894624
-0.05534872606111517 | [5.14 0.95] | -0.21375900879999218
