4.0, -0.5, 4.5, 0.7, -2.5, 0.8, 5.0, -1.0, -1.5, -0.8, -0.5, -4.0, 4.2, 0.9, 3.9, -1.4, 1.0, 0.0
parameter ends

state | action | reward
[-0.04] | [-0.11  0.61] | -0.12150327006534695
-0.0367166532423929 | [ 1.35 -3.73] | -0.06963338708378837
-0.05777263940717533 | [ 1.19 10.  ] | 0.02412582452187499
-0.12205174219508007 | [ 7.27 10.11] | 0.10927470004165869
-0.20136411833782872 | [12.36  9.55] | 0.2256004998188598
-0.2889029934479282 | [16.14  8.73] | 0.34419320907347367
-0.379883352513464 | [18.59  7.98] | 0.45143831769680404
-0.4714663945582939 | [20.03  7.43] | 0.5444478995490225
-0.5621535381828627 | [20.79  7.04] | 0.6242218299982548
-0.6512170985678746 | [21.14  6.78] | 0.6922804708004849
-0.7383276798079405 | [21.21  6.62] | 0.749791981064987
-0.823354118936911 | [21.11  6.52] | 0.7974526012220515
-0.9062574205357559 | [20.88  6.46] | 0.8356457787617984
-0.98703903014568 | [20.55  6.44] | 0.8646578295344627
-1.0657199256329277 | [20.15  6.44] | 0.8848147011863952
-1.1423337683972938 | [19.68  6.45] | 0.8965502052804836
-1.2169261972802694 | [19.15  6.49] | 0.9004270518713712
-1.2895565702060396 | [18.58  6.53] | 0.8971287255477475
-1.3603004551108544 | [17.99  6.59] | 0.8874356035902348
-1.4292521709653523 | [17.38  6.67] | 0.8721945623301263
-1.4965272047045197 | [16.77  6.76] | 0.8522879552037316
-1.5622646173309134 | [16.17  6.87] | 0.8286053165150744
-1.6266297228636946 | [15.6   6.99] | 0.8020193615829626
-1.6898174480577905 | [15.08  7.14] | 0.7733666238781407
-1.7520569084177275 | [14.62  7.31] | 0.7434321574611223
-1.813617909749262 | [14.24  7.52] | 0.6368143800822831
-1.8704702003504527 | [7.61 4.5 ] | 0.13950651097353878
-1.8791237196374289 | [-4.9   3.83] | -0.09315082490735012
-1.8683350336527484 | [-9.23  0.97] | -0.4489472161135442
-1.8370799229640202 | [-13.14  -1.28] | -0.6738191621872344
-1.7918141089454134 | [-16.46  -1.98] | -0.7878120581065111
-1.7384725336930213 | [-18.61  -2.42] | -0.8625712775023929
-1.6801956745311997 | [-19.89  -2.73] | -0.910967969331621
-1.6189132930341434 | [-20.63  -2.97] | -0.9453409846867125
-1.5555606177829733 | [-21.11  -3.22] | -0.9751205920123398
-1.4903682795332167 | [-21.52  -3.49] | -1.0066567118428453
-1.4230930973956613 | [-21.97  -3.82] | -1.0429298122275232
-1.353205457851358 | [-22.54  -4.2 ] | -1.0829940981499862
-1.2800700548673463 | [-23.23  -4.63] | -1.1225902075061132
-1.203096777483837 | [-24.01  -5.1 ] | -1.1546255316746326
-1.1218751979410047 | [-24.83  -5.56] | -1.1702263003030535
-1.0362779380501699 | [-25.59  -5.97] | -1.1605154994643792
-0.9465076948643151 | [-26.22  -6.32] | -1.1187412193851396
-0.8530704101113099 | [-26.63  -6.56] | -1.0419499343231933
-0.7566819850793584 | [-26.77  -6.71] | -0.9314467696311384
-0.6581441204725847 | [-26.63  -6.76] | -0.7919475180257922
-0.5582341589839963 | [-26.22  -6.74] | -0.6300612902096285
-0.45763719674057424 | [-25.6   -6.67] | -0.4528992771550962
-0.3569228368127165 | [-24.78  -6.58] | -0.2672176448476173
-0.25655329224635515 | [-23.83  -6.46] | -0.07907845444985785
-0.15690741958548415 | [-22.79  -6.34] | 0.10612440197192903
-0.05830633505675353 | [-21.68  -6.22] | 0.28305246599220857
0.0389982358479379 | [-20.54  -6.12] | 0.4468065456321104
0.13483148383638413 | [-19.38  -6.06] | 0.5941080080644298
0.22906841173015954 | [-18.23  -6.05] | 0.7233714576138003
0.32162614224313985 | [-17.07  -6.09] | 0.8344884470052706
0.4124606525791379 | [-15.93  -6.18] | 0.9282818385659807
0.5015546041480055 | [-14.8   -6.31] | 1.0058020198694955
0.5888976762508447 | [-13.69  -6.47] | 1.0678259831514336
0.6744690639520161 | [-12.6   -6.64] | 1.1147470099237888
0.7582296966932179 | [-11.56  -6.82] | 1.1467608843540518
0.8401248050566373 | [-10.55  -6.99] | 1.1641400387366736
0.9200928759392846 | [-9.59 -7.15] | 1.1674479140848788
0.9980766479939044 | [-8.7 -7.3] | 1.1576471521618674
1.0740334938042564 | [-7.87 -7.44] | 1.1361149193613282
1.1479441888485822 | [-7.11 -7.56] | 1.1045950908496138
1.2198199835971062 | [-6.43 -7.68] | 1.0651142226344983
1.2897082495017242 | [-5.83 -7.79] | 1.0198821525962365
1.357697090632964 | [-5.32 -7.9 ] | 0.9711933997618624
1.4239194002702147 | [-4.91 -8.02] | 0.9213419069869696
1.4885569652863153 | [-4.59 -8.15] | 0.8725580884441253
1.551845389252875 | [-4.38 -8.31] | 1.243827359404808
1.6275100438439876 | [  3.1  -15.07] | 1.1048675340875835
1.6894241953652223 | [ 5.38 -8.  ] | 0.36275392224923947
