5.0, 0.0, 5.0, 0.5, -5.0, 0.0, -5.0, 0.5, -5.0, 0.0, -5.0, 0.0, 5.0, 0.5, 5.0, 0.0, 0.5, -0.5
parameter ends

state | action | reward
[0.07] | [ 0.93 -0.53] | -0.07725318721258236
0.03589660371148885 | [2.97 0.82] | -0.09937162832037057
-0.03216295621460584 | [10.28  1.09] | -0.01341350481257118
-0.11461320290055255 | [16.25  1.18] | 0.124191491923407
-0.20414264777138827 | [20.36  1.24] | 0.27433420167557043
-0.29681265569048115 | [22.75  1.27] | 0.4157336634893956
-0.39005159190914496 | [23.81  1.29] | 0.5400569127508729
-0.4823649279203773 | [24.01  1.31] | 0.6460807355714944
-0.5729905408241002 | [23.68  1.32] | 0.7354558240792914
-0.6616187993331077 | [23.05  1.33] | 0.8103167607650745
-0.7481701729917127 | [22.25  1.34] | 0.8722394773148132
-0.8326587305731561 | [21.37  1.35] | 0.9221490815240682
-0.9151275216149415 | [20.44  1.36] | 0.9605365813376324
-0.9956217719664145 | [19.51  1.36] | 0.9877090496413747
-1.0741808027292288 | [18.58  1.36] | 1.003982258925213
-1.1508387146711654 | [17.67  1.35] | 1.0098008491856718
-1.2256287816196894 | [16.79  1.34] | 1.0057969807223115
-1.2985890809488132 | [15.95  1.33] | 0.9928038729955043
-1.369768244398357 | [15.15  1.31] | 0.9718389808151656
-1.4392309171456754 | [14.42  1.29] | 0.9440682881838269
-1.5070628804364008 | [13.75  1.27] | 0.9107603142791819
-1.5733760004185693 | [13.17  1.26] | 0.8732370457664322
-1.6383133083014525 | [12.68  1.24] | 0.8328353389366965
-1.7020544615146715 | [12.31  1.23] | 0.7908809456479378
-1.764821840010575 | [12.07  1.23] | 0.7780024234959078
-1.827697944693443 | [7.93 1.61] | 0.7336340849682104
-1.8715775509020027 | [-9.92  0.47] | 0.06537262447782886
-1.8700918416310572 | [-14.18  -0.06] | -0.29077697152835613
-1.8475804442894412 | [-17.88  -0.55] | -0.5896983656578345
-1.808068136020587 | [-20.9   -0.93] | -0.7874901684378177
-1.7572230413530274 | [-23.72  -1.15] | -0.895242277374138
-1.6999339441414067 | [-25.45  -1.3 ] | -0.9629214669775561
-1.6387059584365504 | [-26.27  -1.43] | -1.0105990854095683
-1.574741061340636 | [-26.58  -1.55] | -1.0495176444845893
-1.5084477251756485 | [-26.65  -1.67] | -1.0876412821138264
-1.4396926276092692 | [-26.66  -1.8 ] | -1.1290218943995114
-1.3680120591524956 | [-26.73  -1.94] | -1.1731516184495605
-1.2928176364963857 | [-26.93  -2.1 ] | -1.2156778196315765
-1.213568990779536 | [-27.3   -2.25] | -1.2490824737704838
