6.0, -6.0, 5.5, -5.5, 5.0, -5.0, -6.0, 6.0, -5.5, 5.5, 5.0, -5.0, -6.0, 6.0, 5.5, -5.5, 0.0, 0.0
parameter ends

state | action | reward
[-0.05] | [-0.22  0.22] | -0.08673771522951125
-0.042474720936176755 | [ 13.57 -13.57] | -0.0767420653786075
-0.06151923875980085 | [-47.4  47.4] | -0.49937291878394524
-0.07552839320642221 | [ 18.79 -18.79] | -0.12294442992762604
-0.0889889783700249 | [-42.9  42.9] | -0.4264449617444559
-0.09879386539718449 | [ 21.92 -21.92] | -0.155217135072921
-0.1085589065682263 | [-39.65  39.65] | -0.377368044830819
-0.11553589910065508 | [ 23.81 -23.81] | -0.17618014636065796
-0.12282915992814603 | [-37.3  37.3] | -0.34366259667535737
-0.1278879756618928 | [ 24.96 -24.96] | -0.18923290814610716
-0.13350918425515992 | [-35.6  35.6] | -0.31990348266200586
-0.13726005539310943 | [ 25.65 -25.65] | -0.19695056338609718
-0.1417407568121789 | [-34.35  34.35] | -0.30268562937418425
-0.14459792274993635 | [ 26.04 -26.04] | -0.20108656767838687
-0.14829650522858145 | [-33.43  33.43] | -0.2898368889796663
-0.1505437975035111 | [ 26.23 -26.23] | -0.20280891837426424
-0.15370518649121584 | [-32.72  32.72] | -0.27995783867879764
-0.15553910295080578 | [ 26.3 -26.3] | -0.20289072679066505
-0.15833275330114088 | [-32.18  32.18] | -0.2721299421853992
-0.15989063909697643 | [ 26.27 -26.27] | -0.20184606650744374
-0.1624349772717958 | [-31.74  31.74] | -0.2657369462424623
-0.16381358266827772 | [ 26.17 -26.17] | -0.20002019461666037
-0.1661920048728249 | [-31.39  31.39] | -0.2603570368023721
-0.1674598798638281 | [ 26.03 -26.03] | -0.1976476836677746
-0.1697314190053673 | [-31.1  31.1] | -0.2556965185106523
-0.170937313866567 | [ 25.86 -25.86] | -0.19488975729318508
-0.17314387188663785 | [-30.84  30.84] | -0.2515479947967987
-0.17432250992525367 | [ 25.65 -25.65] | -0.19185850338391808
-0.1764938360751352 | [-30.61  30.61] | -0.24776336263241905
-0.17766992994229938 | [ 25.43 -25.43] | -0.18863271704054388
-0.17982709024357937 | [-30.41  30.41] | -0.24423590371792575
-0.18101816182888317 | [ 25.19 -25.19] | -0.18526844630229067
-0.18317598113539105 | [-30.21  30.21] | -0.24088822743507377
-0.18439435838036153 | [ 24.94 -24.94] | -0.18180610785886997
-0.1865631544524226 | [-30.02  30.02] | -0.23766403111649467
-0.1878173955257864 | [ 24.68 -24.68] | -0.17827531220192602
-0.1900042173714837 | [-29.84  29.84] | -0.23452232999178252
-0.19130012908570437 | [ 24.4 -24.4] | -0.1746982293680462
-0.19350964532116305 | [-29.66  29.66] | -0.23143334066663307
-0.19485101745197989 | [ 24.12 -24.12] | -0.17109180036067242
-0.19708615879207175 | [-29.48  29.48] | -0.22837555570389007
-0.19847529586566676 | [ 23.84 -23.84] | -0.16746927849953397
-0.20073772158945527 | [-29.29  29.29] | -0.22533364101226055
-0.20217582896895722 | [ 23.54 -23.54] | -0.16384132321573386
-0.20446626620238992 | [-29.11  29.11] | -0.22229690061341242
-0.2059537311381171 | [ 23.24 -23.24] | -0.16021675893648663
-0.20827222237316398 | [-28.92  28.92] | -0.2192581483580272
-0.20980881925159384 | [ 22.94 -22.94] | -0.15660310006946485
