6.0, 6.0, -6.0, -6.0, 6.0, -6.0, 6.0, -6.0, 6.0, -6.0, 6.0, -6.0, 6.0, -6.0, 6.0, -6.0, 6.0, -6.0
parameter ends

state | action | reward
[-0.01] | [ 6.96 -6.45] | 0.00981826230101179
-0.04398948675896462 | [ 6.52 -7.26] | 0.0394406709750389
-0.1288021180069327 | [ 4.07 -8.01] | 0.01259997728498808
-0.23444488679194153 | [ 0.43 -8.38] | -0.07310125340092881
-0.33214490360976767 | [-5.8  -5.95] | -0.27461245766776987
-0.3910382275269692 | [-16.81   2.46] | -0.41205729827807563
-0.4033943348024924 | [-16.11   0.77] | -0.3642941397185468
-0.3795583139881671 | [-16.75   1.77] | -0.2669464553181562
-0.3246158026166001 | [-14.8    1.37] | -0.06874177351367158
-0.24254318466977437 | [-10.98   0.18] | 0.11733942625545295
-0.1390646948851278 | [-9.2   1.89] | 0.3161816341400681
-0.018601429797645348 | [-2.1  -1.01] | 0.39646567367928987
0.10155059549372358 | [-3.37  4.44] | 0.4703502110756113
0.22276125250920886 | [5.26 0.08] | 0.33276088052845004
0.3024492705945133 | [11.54 -3.2 ] | -0.005445200684620994
0.31209951869687996 | [ 9.08 -0.24] | -0.23243593278565436
0.26624208611384853 | [ 9.64 -2.34] | -0.39667560871964874
0.17577990868917479 | [ 6.42 -2.29] | -0.48225871171692825
0.05768822829879776 | [ 3.67 -3.78] | -0.49031318362986487
-0.06605726270740611 | [ 0.48 -5.09] | -0.4748863426585579
-0.1762671395803334 | [-5.18 -3.53] | -0.5243949980954706
-0.24386430062990305 | [-16.53   5.03] | -0.537238755259148
-0.2605772944026887 | [-17.44   4.84] | -0.3950576712154554
-0.23676800886292498 | [-18.21   5.98] | -0.20827572623551613
-0.17807746993608947 | [-17.37   6.77] | 0.07158495159606995
-0.09027901125177941 | [-13.92   6.06] | 0.4278165661100822
0.01997618066475041 | [-7.85  3.64] | 0.7873227986925099
0.14528634786262767 | [ 0.18 -0.03] | 0.8052047457806856
0.24776330825392487 | [ 6.67 -2.8 ] | 0.3309519960050819
0.2857690214871168 | [ 6.95 -1.56] | -0.2328786639998609
0.2522097720179661 | [ 4.97 -0.6 ] | -0.5787256193064729
0.1672899876114045 | [ 4.22 -2.7 ] | -0.7015362024546785
0.056244924910329175 | [ 1.44 -3.75] | -0.7101672957534899
-0.0625858389459856 | [-1.75 -4.74] | -0.6513898125989922
-0.14422621258736568 | [-14.09   4.52] | -0.5553733347420742
-0.16991810248358832 | [-16.26   5.41] | -0.3612187796526257
-0.15159863934618248 | [-17.95   7.35] | -0.13662846850457458
-0.09499390426077464 | [-17.86   8.85] | 0.17814117588058065
-0.006785401376395002 | [-14.84   8.58] | 0.5733465558727537
0.104490658214268 | [-8.77  6.16] | 0.9777853535475273
0.22994687572530603 | [-0.42  2.11] | 1.1932245403970079
0.35005716253781166 | [ 9.43 -3.44] | 0.7028384635348086
0.4124431098397649 | [ 9.97 -1.54] | -0.0785887373830138
0.39852544190004996 | [7.38 0.82] | -0.4380443667661168
0.33867305548499876 | [12.31 -5.86] | -0.639353977800797
0.24509174704248163 | [ 8.91 -5.36] | -0.7893560656179551
0.12473227078753062 | [ 5.24 -5.66] | -0.7694696544236787
-0.0013240657090276761 | [ 1.34 -6.06] | -0.7078216353552214
-0.12315964565873594 | [-2.59 -6.41] | -0.6688422965751707
-0.20505896518675804 | [-15.79   3.68] | -0.6198471571982122
-0.23332308371184424 | [-18.27   4.77] | -0.46350250181158625
-0.2217504701126204 | [-20.22   6.71] | -0.28713013352288314
-0.17556690909503464 | [-20.88   8.57] | -0.029782695222880073
-0.09969675357319155 | [-19.49   9.44] | 0.3193462841387377
-0.0002364380327822234 | [-15.6    8.73] | 0.7256631155397134
0.11629600599100781 | [-9.26  6.25] | 1.1256197559630097
0.2433424722177345 | [-0.96  2.32] | 1.425705420739763
0.3740251975620132 | [ 8.22 -2.21] | 0.9519325825572926
0.4502118114243036 | [10.03 -1.11] | 0.06654269429871847
0.44702427952826357 | [7.66 1.42] | -0.33947972694711936
0.39781625342828375 | [13.32 -5.56] | -0.6026651786956505
0.3126130613044222 | [10.02 -4.78] | -0.8327500679727694
0.19496752753296862 | [ 6.5  -5.06] | -0.8412949503908452
0.06753738868508075 | [ 2.79 -5.63] | -0.7746188049425864
-0.05738272633196602 | [-1.   -6.17] | -0.6860607118756531
-0.14159732687483792 | [-14.08   3.78] | -0.5800397590421819
-0.16978638687666833 | [-16.89   5.24] | -0.38846229057912174
-0.15516200083923629 | [-19.04   7.51] | -0.17235402321328697
-0.1033326114086226 | [-19.59   9.47] | 0.12999642104709896
-0.020271009059536337 | [-17.58   9.99] | 0.5195397702955636
0.0863177172332061 | [-12.66   8.49] | 0.9455515308846549
0.20827996065894117 | [-5.21  5.13] | 1.3261982546593871
0.3381941410410395 | [3.79 0.64] | 1.1553923095828498
0.427935459696011 | [13.46 -5.67] | 0.38813750770777355
0.4454782285405854 | [11.62 -2.84] | -0.353206570770939
0.3961856657251491 | [ 8.71 -1.27] | -0.8180750692340519
0.29781438385832515 | [ 5.68 -1.37] | -0.9707644737969442
