-5.3, 0.2, -4.8, 1.4, -3.6, 0.9, 2.1, -1.2, -0.5, 3.1, -2.4, -1.5, 4.5, -0.7, 0.0, 1.3, -0.8, 2.6
parameter ends

state | action | reward
[-0.04] | [-1.22  2.89] | -0.053364047479305135
-0.0013610102627171702 | [-19.86   2.06] | -0.11374163372173295
0.08442534026375967 | [-30.49   1.52] | -0.2086905520624025
0.19128809585033285 | [-33.66   1.44] | -0.27899216006404104
0.3001778189927784 | [-33.68   1.68] | -0.3316887199611894
0.404548515231519 | [-32.79   2.09] | -0.3847651699601472
0.5021589503767071 | [-31.6    2.62] | -0.45681479851300083
0.5910532196697235 | [-30.17   3.27] | -0.5603474174796483
0.669051664454534 | [-28.51   4.02] | -0.6950060423614235
0.7343505883060539 | [-26.66   4.82] | -0.14206993591908967
0.7820075150942715 | [-2.87  2.18] | -0.4017698598807831
0.7536180270147117 | [-0.15  3.48] | -0.4107642654747572
0.7272276490940959 | [-1.07  3.47] | -0.34435784901258015
0.7096965515888851 | [-2.3   3.02] | -0.33119924264671
0.6929880317553634 | [-2.08  3.04] | -0.31684809098497835
0.6768574601628371 | [-2.02  3.  ] | -0.3013220338457118
0.6615000023166754 | [-1.95  2.95] | -0.2872104056517142
0.646831286908408 | [-1.89  2.91] | -0.27435304617706147
0.6327828171752313 | [-1.82  2.87] | -0.26254657904129913
0.6193021944664598 | [-1.76  2.84] | -0.25165557472287486
0.6063451255162638 | [-1.7   2.81] | -0.2415760762898436
0.5938726243731861 | [-1.64  2.78] | -0.2322211178657065
0.5818499496089005 | [-1.59  2.75] | -0.22351599347798268
0.5702459730677232 | [-1.53  2.72] | -0.215395946439853
0.5590326915846618 | [-1.48  2.7 ] | -0.20780453958043665
0.5481848218899544 | [-1.43  2.67] | -0.20069235830675075
0.5376794592869437 | [-1.38  2.65] | -0.19401595100977373
0.5274957882304722 | [-1.33  2.63] | -0.1877369549294005
0.5176148356383344 | [-1.28  2.61] | -0.18182137186737277
0.5080192595767263 | [-1.23  2.59] | -0.17623896448817247
0.4986931674089842 | [-1.19  2.57] | -0.17096275021811255
0.48962195861110686 | [-1.14  2.55] | -0.16596857480940802
0.4807921883428821 | [-1.1   2.53] | -0.16123475129263293
0.47219144856896134 | [-1.06  2.51] | -0.1567417528976633
0.4638082640877171 | [-1.02  2.5 ] | -0.15247195075092615
0.455632001278627 | [-0.98  2.48] | -0.14844344614451888
0.4476422822704151 | [-0.94  2.47] | -0.14461667826043015
0.4398251663496672 | [-0.9   2.46] | -0.14093414547771124
0.43218129282953066 | [-0.86  2.44] | -0.1373980390694496
0.424709130639512 | [-0.82  2.43] | -0.13401555730948053
0.4174025365683162 | [-0.79  2.42] | -0.13077745717160894
0.41025584831876105 | [-0.75  2.4 ] | -0.1276754717353288
0.4032637870552261 | [-0.72  2.39] | -0.12470759039634535
0.3964190163686254 | [-0.68  2.38] | -0.12186557926475801
0.38971441641498045 | [-0.65  2.37] | -0.11913990039524777
0.3831439318059193 | [-0.62  2.36] | -0.11652286220624351
0.37670216527458245 | [-0.59  2.35] | -0.11400804548554754
0.37038407666500595 | [-0.56  2.34] | -0.11158959898756483
0.364184926133816 | [-0.52  2.33] | -0.10926210378416869
0.35810025782941823 | [-0.49  2.32] | -0.10702055888099703
0.3521258717410837 | [-0.46  2.31] | -0.1048603390993841
0.3462577974285835 | [-0.44  2.3 ] | -0.10277715160262871
0.3404922734580509 | [-0.41  2.29] | -0.10076700254332971
0.33482572985931 | [-0.38  2.29] | -0.0988261694510101
0.32925477225992295 | [-0.35  2.28] | -0.09695117684579377
0.32377616732154846 | [-0.32  2.27] | -0.09513877452396632
0.3183868291313443 | [-0.3   2.26] | -0.09338591808964572
0.3130838061630357 | [-0.27  2.25] | -0.09168975128406236
0.30786426841059666 | [-0.24  2.25] | -0.09004768287688744
0.3027253565911669 | [-0.22  2.24] | -0.08845738814764519
0.2976638459356933 | [-0.19  2.23] | -0.08691602738398516
0.2926769655749044 | [-0.16  2.23] | -0.08542110729084829
0.28776233965651193 | [-0.14  2.22] | -0.0839705232118766
0.28291768090111624 | [-0.11  2.21] | -0.08256228690120435
0.2781407905190729 | [-0.09  2.21] | -0.08119450884535973
0.2734296203586898 | [-0.07  2.2 ] | -0.07986543157572115
0.2687823239592292 | [-0.04  2.2 ] | -0.078573454730889
0.2641973058107911 | [-0.02  2.19] | -0.07731715751781702
0.2596732690219089 | [0.   2.19] | -0.0760885033910734
0.2551717027664687 | [0.05 2.19] | -0.07472417976579739
0.25011677481959366 | [0.3  2.26] | -0.07158482813175868
0.2408796645360907 | [1.84 2.76] | -0.055410215972795024
0.21622878671369794 | [6.79 4.39] | -0.0023238564792342547
0.17019440358127338 | [11.25  5.78] | 0.1030631916539351
0.10662112744839977 | [15.19  6.93] | 0.26067423125332967
0.02877427819975294 | [18.72  7.89] | 0.46175275637986357
-0.06109871594073273 | [21.94  8.7 ] | 0.6946304132439618
-0.16135827831949523 | [24.8   9.36] | 0.9440348675527463
-0.27028453175188366 | [27.16  9.83] | 1.1889980147219834
-0.3855663783033358 | [28.82 10.05] | 1.4041576054127405
-0.5043258041289307 | [29.65 10.03] | 1.5671165510052623
-0.6236578883176308 | [29.67  9.82] | 1.6688180061344882
-0.7413093205543904 | [29.1  9.5] | 1.716147013479663
-0.8560383140158171 | [28.19  9.16] | 1.722877631515092
-0.9673865872466207 | [27.13  8.81] | 1.7006611312404192
-1.0752022652498014 | [25.99  8.47] | 1.6565818959992809
-1.1792776264798028 | [24.78  8.16] | 1.5942491797343674
-1.2792230431763332 | [23.48  7.87] | 1.5162446125073215
-1.374541732074291 | [22.09  7.61] | 1.4260123436734558
-1.4647890108348842 | [20.62  7.39] | 1.328403793734173
-1.549713307621644 | [19.11  7.21] | 1.2292179127986007
-1.6293360593848454 | [17.63  7.05] | 1.1343980931055673
-1.7039733397892336 | [16.23  6.92] | 1.049313565880826
-1.7742176062675852 | [14.95  6.79] | 0.978195255232712
-1.8408940170908863 | [13.85  6.65] | 0.8355922498171762
-1.899340497168684 | [0.56 7.19] | -0.5079823442565886
-1.8695341253350133 | [-11.53   7.44] | -0.813253022743293
-1.8210960083039633 | [-15.51   7.38] | -1.0391203275094136
-1.760221282349118 | [-18.49   7.15] | -1.198247363615083
-1.6913567968679148 | [-20.64   6.78] | -1.2997711414632376
-1.6177668483975063 | [-22.21   6.3 ] | -1.3573903836934562
-1.5414605894879372 | [-23.42   5.75] | -1.385256502258951
-1.4634194199379174 | [-24.43   5.14] | -1.3953499273705035
-1.383888321860078 | [-25.34   4.47] | -1.3968557386014016
-1.3026077476968303 | [-26.25   3.75] | -1.3961460871781217
-1.2189806177420197 | [-27.2    2.97] | -1.3966802999762504
-1.1322060743942874 | [-28.23   2.12] | -1.3986896010950174
-1.0414137658194766 | [-29.34   1.19] | -1.39883404560569
-0.9458222868153321 | [-30.49   0.19] | -1.3850313444753268
-0.8451435014412031 | [-31.52  -0.87] | -1.3111103224442586
-0.7411264837344446 | [-31.1   -2.11] | -1.1436596350110708
-0.6367154033766713 | [-29.94  -3.37] | -0.9475816487575721
-0.5323556972144903 | [-28.69  -4.58] | -0.7467298556564238
-0.4277738156493833 | [-27.32  -5.72] | -0.5382448924961744
-0.32293927266229405 | [-25.82  -6.8 ] | -0.3225435972379056
-0.21791456581968807 | [-24.21  -7.82] | -0.10155019865937608
-0.11279063645869691 | [-22.52  -8.76] | 0.12222076617637243
-0.007671364527651402 | [-20.77  -9.63] | 0.34596218661871353
0.09732154621981892 | [-18.98 -10.41] | 0.5665819297380208
0.2020373837773904 | [-17.16 -11.11] | 0.7806001089669145
0.3062835884681275 | [-15.31 -11.71] | 0.9835883479878438
0.40982320296020663 | [-13.46 -12.21] | 1.1690428928726047
0.5123800507993508 | [-11.65 -12.57] | 1.329640165147913
0.613612872960914 | [ -9.93 -12.77] | 1.4589502189471053
0.7131319197057803 | [ -8.35 -12.79] | 1.553279885005151
0.8105696200456182 | [ -6.96 -12.63] | 1.6131731172166872
0.9056698784505642 | [ -5.78 -12.3 ] | 1.6432540522150982
0.9983451352985236 | [ -4.82 -11.85] | 1.6500884274732706
1.0886653457853108 | [ -4.04 -11.33] | 1.6394051518136579
1.1767889542352141 | [ -3.41 -10.76] | 1.614498059550974
1.2628820206880653 | [ -2.88 -10.18] | 1.576382913713414
1.3470661731934 | [-2.43 -9.59] | 1.3740871001784463
1.4202638063172826 | [ 1.64 -8.61] | 0.7952662182138884
1.4623185666335368 | [ 8.75 -7.08] | 0.06020329944117324
1.467531348060343 | [14.54 -5.31] | -0.6739193452125322
1.4378694784716404 | [19.83 -3.33] | -1.3652111131530456
1.376332523631867 | [24.48 -1.22] | -1.9629022844181452
1.2881486231306019 | [26.34  1.16] | -0.8611256037553671
1.2351325770754715 | [15.65  3.58] | -0.6103227243724505
1.1828811820928458 | [17.28  4.71] | -0.7671353793372707
1.119283527994646 | [18.6   5.79] | -0.8796619338998871
1.0464570996853195 | [19.71  6.86] | -0.951770067445566
0.9658455715668096 | [20.63  7.94] | -0.982476558465361
0.8786100705701535 | [21.33  9.02] | -0.9686608781162681
0.785902642032525 | [21.79 10.06] | -0.908979638713339
0.6889384355510638 | [21.95 11.03] | -0.8063113533230112
0.5889118641779794 | [21.83 11.9 ] | -0.6674899810925929
0.4868698308063719 | [21.47 12.65] | -0.5011887021961277
0.3836376056264765 | [20.91 13.3 ] | -0.31581628696919195
0.2798211708128362 | [20.22 13.83] | -0.11850281011032815
0.1758564867848223 | [19.42 14.26] | 0.08493626401754731
0.07207013323902974 | [18.55 14.59] | 0.28959499544528294
-0.03126705192360741 | [17.61 14.83] | 0.4910028371747001
-0.13389743145508587 | [16.62 14.97] | 0.6845442051513861
-0.23555261948843972 | [15.58 15.03] | 0.8643684242357149
-0.335970732308203 | [14.52 15.  ] | 1.0242806101867756
