5.0, -2.5, -4.5, 3.3, -1.1, 0.9, -0.4, 2.7, 1.5, -3.2, 4.2, -0.8, -3.0, 2.1, -5.0, 1.4, -1.0, 3.8
parameter ends

state | action | reward
[0.05] | [-0.67  3.36] | 0.05931343576295131
0.07741988728345504 | [-4.28  5.22] | 0.12003760218821848
0.14874848650822936 | [-4.98  5.87] | 0.09591739042565885
0.24706203877385857 | [-4.07  5.17] | 0.02043447209958815
0.35024256771871026 | [-2.48  3.83] | -0.06769114218939949
0.4501038210319351 | [-0.81  2.34] | -0.1703261930507909
0.5414833270341752 | [0.03 0.91] | -0.34944113654319797
0.6115755671350798 | [-1.72 -0.24] | -0.3689783561881295
0.6724382942437384 | [ 5.5  -1.81] | -0.2791544261231486
0.7191857931377523 | [ 6.7  -2.48] | -0.2527982281576599
0.7396345931426549 | [ 7.71 -2.69] | -0.19923938531586657
0.7410056494796018 | [ 8.5  -2.65] | -0.13085857027678252
0.7258014368977084 | [ 9.   -2.38] | -0.03306466504457164
0.6966153202257365 | [ 9.4  -1.95] | 0.0861482250495574
0.6559828131919984 | [ 9.77 -1.5 ] | 0.19755771931448993
0.6046988123066753 | [10.03 -1.15] | 0.27447002489158884
0.541344282830644 | [10.1  -0.95] | 0.29866375004549156
0.46272336031326766 | [ 9.68 -0.91] | 0.27314463929915755
0.3653920540698911 | [ 8.82 -0.96] | 0.22198195643283575
0.24822013902187956 | [ 7.95 -1.04] | 0.15078645587319323
0.11606802326279081 | [ 6.67 -0.84] | 0.0583080373277375
-0.017964812522342007 | [3.97 0.14] | 0.00938608113835144
-0.1383520954819957 | [-2.66  2.59] | 0.01997644623931711
-0.20499627558528458 | [-5.54  5.11] | 0.022305467832441313
-0.20497151314350348 | [-7.61  6.59] | 0.003557004490423777
-0.1490046751217507 | [-8.14  7.33] | -0.044021577551485745
-0.05050677149535053 | [-7.27  7.2 ] | -0.09908522658813787
0.06679456645072099 | [-5.5   6.25] | -0.14839554647213216
0.18471946626995123 | [-3.56  4.9 ] | -0.1958609750539873
0.2966662717849687 | [-1.72  3.44] | -0.24441398492537797
0.4014541375964089 | [-0.04  1.96] | -0.3560202616804417
0.4855334497092334 | [-1.87  0.77] | -0.4564341259963374
0.5565473065662938 | [ 1.33 -0.68] | -0.484723614676005
0.6063197973613746 | [ 1.84 -1.51] | -0.46550844280817755
0.6247582226201356 | [ 2.98 -1.81] | -0.3983113130081998
0.621035998185343 | [ 3.42 -1.73] | -0.3172681327327159
0.5980676862785481 | [ 3.64 -1.43] | -0.19564142307672835
0.5587656613954575 | [ 3.89 -0.93] | -0.038765809280474677
0.505880988516364 | [ 3.83 -0.3 ] | 0.07089514758098692
0.43917774749624083 | [1.21 0.5 ] | 0.0788819810300825
0.35668710212194044 | [-4.07  1.52] | 0.056374408295162375
0.2879838448457647 | [-2.47  1.69] | -0.03794243572590154
0.2576315886760408 | [-1.63  1.7 ] | -0.18315902988671998
0.262303943360286 | [-0.28  1.38] | -0.3325146748147597
0.28666103071294613 | [-1.73  1.18] | -0.46033765107709174
0.326117167045721 | [0.82 0.28] | -0.5440734307596878
0.35865500961530905 | [-2.83  0.27] | -0.48624251151686937
0.3891598468091303 | [12.12 -1.51] | 0.07308279028056422
0.42572739371402807 | [13.27 -1.45] | 0.18236485646030373
0.4354696368717628 | [11.59 -0.93] | 0.27248203157164097
0.42051116819176504 | [ 9.34 -0.22] | 0.29612488504157414
0.3807368965489969 | [4.58 0.7 ] | 0.2175097793705315
