5.0, 0.0, 5.0, 0.0, -5.0, 0.0, -5.0, 0.0, -5.0, 0.0, -5.0, 0.0, 5.0, 0.0, 5.0, 0.0, 0.0, 0.0
parameter ends

state | action | reward
[0.08] | [0.4 0. ] | -0.10895118943903502
0.07614788816046575 | [2.39 0.  ] | -0.16452255857339368
0.034097360299158413 | [6.65 0.  ] | -0.19156797880717785
-0.044479438137803654 | [9.37 0.  ] | -0.149125748463535
-0.14199040632975754 | [10.98  0.  ] | -0.06879747788576082
-0.24629140905351338 | [12.21  0.  ] | 0.022551589489018253
-0.35157809789918687 | [13.39  0.  ] | 0.11158498673298006
-0.45534088275071827 | [14.56  0.  ] | 0.1911113064822618
-0.5562312907424751 | [15.7  0. ] | 0.25748444918777247
-0.6533145924408954 | [16.77  0.  ] | 0.31120824827155147
-0.7459928493440715 | [17.79  0.  ] | 0.35692636556116303
-0.8340826444670246 | [18.79  0.  ] | 0.0507282301630336
-0.8796398404666276 | [3.89 0.  ] | -0.6514588059822837
-0.8395081505370888 | [3.24 0.  ] | -0.5458546263164289
-0.8080236030362695 | [5.26 0.  ] | -0.4677015724280058
-0.7837911428747525 | [6.26 0.  ] | -0.4321231211559126
-0.762230031156253 | [6.88 0.  ] | -0.40880607411744224
-0.7420145088361961 | [7.37 0.  ] | -0.38924931773618493
-0.7228152812729027 | [7.82 0.  ] | -0.3716939827595378
-0.7045071769337758 | [8.23 0.  ] | -0.35570355378382185
-0.6870053020301489 | [8.6 0. ] | -0.3410622726493604
-0.6702384401788741 | [8.95 0.  ] | -0.3276048206748989
-0.6541445864654024 | [9.28 0.  ] | -0.31519263308239664
-0.6386693394576692 | [9.59 0.  ] | -0.30370809376366087
-0.6237647225301653 | [9.88 0.  ] | -0.29305078955296704
-0.6093882116188089 | [10.15  0.  ] | -0.2831344821127578
-0.5955019346718387 | [10.4  0. ] | -0.27388467120738247
-0.5820720122048514 | [10.65  0.  ] | -0.2652366416556271
-0.569068011114703 | [10.88  0.  ] | -0.25713389025399624
-0.5564624892701131 | [11.1  0. ] | -0.2495268493912551
-0.5442306133019653 | [11.31  0.  ] | -0.24237184367681233
-0.5323498358567308 | [11.51  0.  ] | -0.23563023021254842
-0.5207996215304596 | [11.71  0.  ] | -0.22926768190735175
-0.5095612130410322 | [11.89  0.  ] | -0.22325359738733386
-0.4986174305092999 | [12.07  0.  ] | -0.21756060832325663
-0.4879524982988423 | [12.24  0.  ] | -0.21216416014595704
-0.47755189507658713 | [12.41  0.  ] | -0.20704215663571857
-0.46740222344329346 | [12.57  0.  ] | -0.20217465742736934
-0.45749109613791683 | [12.72  0.  ] | -0.19754361940947962
-0.4478070363426558 | [12.87  0.  ] | -0.19313267471963422
-0.43833939003638633 | [13.02  0.  ] | -0.18892693939821023
-0.4290782486852703 | [13.16  0.  ] | -0.18491284784451661
-0.4200143808370416 | [13.29  0.  ] | -0.18107800908302885
-0.41113917141274664 | [13.42  0.  ] | -0.17741108154160895
-0.4024445676766215 | [13.55  0.  ] | -0.17390166360422077
-0.39392303101924336 | [13.68  0.  ] | -0.17054019765583356
-0.3855674938173052 | [13.8  0. ] | -0.16731788570869982
-0.3773713207402627 | [13.92  0.  ] | -0.16422661500363664
-0.36932827396359097 | [14.03  0.  ] | -0.16125889223077167
-0.3614324818236079 | [14.15  0.  ] | -0.1584077852215595
-0.35367841051228 | [14.26  0.  ] | -0.15566687113615915
-0.34606083846416286 | [14.37  0.  ] | -0.15303019031381257
-0.33857483313327946 | [14.47  0.  ] | -0.15049220507410344
-0.3312157298966663 | [14.57  0.  ] | -0.14804776285782156
-0.3239791128545988 | [14.67  0.  ] | -0.14569206318129252
-0.3168607973260633 | [14.77  0.  ] | -0.1434206279499145
-0.3098568138626104 | [14.87  0.  ] | -0.14122927473769914
-0.3029633936249168 | [14.96  0.  ] | -0.13911409269148442
-0.2961769549847225 | [15.06  0.  ] | -0.11530887642710175
-0.2905599958244379 | [15.95  0.  ] | -0.08849847170670747
-0.28640861906340503 | [16.02  0.  ] | -0.08741609690609645
-0.28233802154190213 | [16.03  0.  ] | -0.08655090161430139
-0.2783275569037056 | [16.05  0.  ] | -0.08571130817899897
-0.274375936649292 | [16.07  0.  ] | -0.08489610739667686
-0.27048146331519285 | [16.08  0.  ] | -0.0841040857548695
-0.26664235364585087 | [16.1  0. ] | -0.08333420843109195
-0.2628568781638241 | [16.11  0.  ] | -0.08258553393200177
-0.2591233867289574 | [16.13  0.  ] | -0.08185718139638043
-0.2554403079371903 | [16.14  0.  ] | -0.08114832080637856
-0.2518061445548999 | [16.16  0.  ] | -0.08045816851732464
-0.24821946882562326 | [16.17  0.  ] | -0.07978598389115665
-0.2446789181145789 | [16.19  0.  ] | -0.07913106629841965
-0.24118319089665488 | [16.2  0. ] | -0.07849275237605258
-0.2377310430548049 | [16.22  0.  ] | -0.07787041351135449
-0.2343212844591407 | [16.23  0.  ] | -0.07726345353102274
-0.23095277580105286 | [16.25  0.  ] | -0.07667130657600502
-0.22762442565962374 | [16.26  0.  ] | -0.07609343514478603
-0.22433518777997935 | [16.27  0.  ] | -0.07552932828948199
-0.22108405854529606 | [16.29  0.  ] | -0.07497849995080218
-0.2178700746260043 | [16.3  0. ] | -0.07444048741933493
-0.21469231079134943 | [16.32  0.  ] | -0.07391484991199304
-0.21154987786990861 | [16.33  0.  ] | -0.07340116725348694
-0.20844192084694493 | [16.34  0.  ] | -0.07289903865375187
-0.20536761708761933 | [16.36  0.  ] | -0.07240808157320502
-0.20232617467610484 | [16.37  0.  ] | -0.07192793066838654
-0.19931683086155738 | [16.38  0.  ] | -0.0714582368113336
-0.1963388506027174 | [16.39  0.  ] | -0.07099866617667869
-0.19339152520364986 | [16.41  0.  ] | -0.07054889939094884
-0.1904741710337904 | [16.42  0.  ] | -0.07010863073912466
-0.18758612832606003 | [16.43  0.  ] | -0.06967756742395045
-0.1847267600473443 | [16.44  0.  ] | -0.069255428873863
-0.18189545083611985 | [16.46  0.  ] | -0.06884194609582088
-0.17909160600244323 | [16.47  0.  ] | -0.06843686106961619
-0.1763146505859174 | [16.48  0.  ] | -0.06803992618054508
-0.173564028467605 | [16.49  0.  ] | -0.06765090368758184
-0.17083920153218682 | [16.5  0. ] | -0.06726956522450511
-0.16813964887695504 | [16.52  0.  ] | -0.06689569133148063
-0.16546486606450278 | [16.53  0.  ] | -0.0665290710150497
-0.16281436441621452 | [16.54  0.  ] | -0.06616950133438615
-0.16018767034388448 | [16.55  0.  ] | -0.06581678701206056
-0.1575843247169948 | [16.56  0.  ] | -0.06547074006757489
-0.15500388226336978 | [16.57  0.  ] | -0.06513117947213064
