5.8, -4.2, 5.8, 3.6, -1.2, 2.4, -3.0, 1.8, 4.6, -2.6, -4.8, 5.0, -5.0, 2.2, 3.4, -3.4, 1.6, -0.8
parameter ends

state | action | reward
[0.02] | [ 3.12 -2.05] | -0.11235533917271796
-0.01865616973196175 | [-9.71  4.84] | -0.11283438960556381
-0.04715693719965469 | [ 5.56 -2.6 ] | -0.1006545945789666
-0.07339743826755313 | [-7.38  4.2 ] | -0.09852604695428989
-0.0941135568910382 | [ 6.78 -2.71] | -0.09426543348995606
-0.11357138489200427 | [-5.88  3.84] | -0.09055159026203698
-0.12934175750250398 | [ 7.46 -2.67] | -0.09045710219425328
-0.1444442106645422 | [-4.84  3.63] | -0.08574286024336335
-0.1568909644967942 | [ 7.85 -2.57] | -0.08793447047732017
-0.16903231257333257 | [-4.09  3.51] | -0.08256868521237132
-0.17914425430413125 | [ 8.1  -2.45] | -0.0860647315747993
-0.1891824726528241 | [-3.53  3.44] | -0.0802673143583123
-0.19759718999943418 | [ 8.25 -2.32] | -0.08452842045840164
-0.20609090733815394 | [-3.09  3.39] | -0.0784440510880514
-0.2132386252582845 | [ 8.34 -2.2 ] | -0.08316007064907956
-0.2205680884913019 | [-2.74  3.37] | -0.07688605113861112
-0.22675002786431114 | [ 8.4  -2.08] | -0.08187201499991752
-0.2331841760839094 | [-2.45  3.35] | -0.07547566725418528
-0.23861807256219172 | [ 8.44 -1.97] | -0.08061802380173419
-0.2443530273420488 | [-2.2   3.34] | -0.07414663723033917
-0.24920048805918502 | [ 8.45 -1.86] | -0.07937552724484914
-0.25438253059203975 | [-1.99  3.34] | -0.07286320657219993
-0.25876565032087073 | [ 8.46 -1.76] | -0.07813515022275927
-0.2635057865390997 | [-1.8   3.34] | -0.07160671945757509
-0.26751815096192166 | [ 8.46 -1.66] | -0.07689454032814053
-0.271901831192197 | [-1.63  3.34] | -0.07036803422074758
-0.2756160570263457 | [ 8.45 -1.57] | -0.07565496434469154
-0.27970986110531265 | [-1.48  3.34] | -0.06914352590337576
-0.2831828599813376 | [ 8.44 -1.48] | -0.07441951697924586
-0.28703918166936415 | [-1.34  3.34] | -0.06793274598259323
-0.2903159099035536 | [ 8.43 -1.39] | -0.07319213636703405
-0.29397629933571534 | [-1.2   3.35] | -0.06673707257823994
-0.2970924682148497 | [ 8.41 -1.31] | -0.0719769665980769
-0.3005900660977509 | [-1.07  3.35] | -0.06555864147709305
-0.3035741882112415 | [ 8.39 -1.23] | -0.07077765398108556
-0.30693557798333054 | [-0.95  3.35] | -0.06169938992326828
-0.3108266321646516 | [ 8.27 -1.19] | -0.06425398417373843
-0.31597606004714335 | [-0.91  3.33] | -0.0530260021902605
-0.3224198604817514 | [ 8.08 -1.15] | -0.05297840323863513
-0.33074396854207117 | [-0.89  3.33] | -0.04100714275246086
-0.3404711313090469 | [ 7.9  -1.06] | -0.03934955901884081
-0.35213346856102473 | [-0.83  3.37] | -0.0239538458921882
