6.0, -6.0, -6.0, 6.0, 0.0, 0.0, 6.0, -6.0, 0.0, 6.0, -6.0, 0.0, -6.0, 6.0, 0.0, -6.0, 6.0, -6.0
parameter ends

state | action | reward
[0.08] | [ 7.14 -6.6 ] | -0.15523869659319844
0.0472604710765118 | [-5.08 46.21] | -0.3439725406400391
0.01899048526128469 | [  7.96 -14.98] | -0.15069096494744955
-0.007028129124267408 | [-4.34 39.12] | -0.26560771535113287
-0.02729616600601592 | [  8.16 -19.04] | -0.15005833098931623
-0.04635012747761062 | [-3.89 34.43] | -0.21974419187768024
-0.06154888260538782 | [  8.1 -21.1] | -0.14875467722270735
-0.07616894462414951 | [-3.61 31.24] | -0.19132235617913398
-0.0879997658448498 | [  7.94 -22.16] | -0.146668555528705
-0.09965150932551735 | [-3.45 29.  ] | -0.1726622557446621
-0.10915646061925335 | [  7.75 -22.68] | -0.14411812051822426
-0.11874073444215036 | [-3.36 27.39] | -0.1597706988874807
-0.1265900243581309 | [  7.54 -22.9 ] | -0.14132339553258352
-0.1346884921311623 | [-3.31 26.2 ] | -0.1504419799713926
-0.14133035314083586 | [  7.34 -22.93] | -0.13840912210557582
-0.14833522856995018 | [-3.29 25.3 ] | -0.14340639221409035
-0.15408024266763037 | [  7.14 -22.84] | -0.13544066860060583
-0.1602655294369679 | [-3.3 24.6] | -0.13789957541631184
-0.16533533822650223 | [  6.94 -22.69] | -0.13245341844704836
-0.17089731895071075 | [-3.31 24.05] | -0.13344301211056325
-0.1754530898834057 | [  6.76 -22.47] | -0.1294687789243174
-0.1805349614347483 | [-3.34 23.6 ] | -0.12972618266879554
-0.18469565243872302 | [  6.58 -22.23] | -0.12650059299071664
-0.1894034372048256 | [-3.37 23.24] | -0.12654149668317533
-0.19325793371106956 | [  6.4  -21.95] | -0.12355871900955831
-0.19767108454280974 | [-3.41 22.93] | -0.12374724295154255
-0.20128646844570325 | [  6.23 -21.66] | -0.1206506151986299
-0.20546511434907266 | [-3.45 22.67] | -0.12124492098992207
-0.2088924206312066 | [  6.06 -21.36] | -0.11778224809615309
-0.21288243082887642 | [-3.5  22.43] | -0.11896507762228883
-0.21616073416873632 | [  5.89 -21.04] | -0.11495833022732145
-0.21999732672382782 | [-3.54 22.23] | -0.11685784608248367
-0.22315669225531415 | [  5.72 -20.72] | -0.11218210733981644
-0.22686705576708466 | [-3.59 22.04] | -0.11488641444131972
-0.2299307092142822 | [  5.56 -20.39] | -0.10945593465439014
-0.23353593216145857 | [-3.64 21.87] | -0.11302346351862269
-0.23652187025318128 | [  5.4  -20.05] | -0.10678160689112004
-0.2400383741415114 | [-3.69 21.7 ] | -0.1112486141252913
-0.2429605697301763 | [  5.24 -19.72] | -0.10416052538693464
-0.2464011825356736 | [-3.74 21.55] | -0.10954664982729244
-0.2492704911738874 | [  5.08 -19.38] | -0.10159384779176343
-0.25264525650246494 | [-3.8 21.4] | -0.10790620181923491
-0.2554701037410609 | [  4.92 -19.04] | -0.09908256503858379
-0.2587868947447815 | [-3.85 21.25] | -0.10631874105122727
-0.2615738029546566 | [  4.76 -18.7 ] | -0.09662747765615987
-0.26483879369869257 | [-3.9  21.11] | -0.10477783798993882
-0.2675927886810521 | [  4.61 -18.35] | -0.09422918200069968
-0.2708108182838894 | [-3.96 20.97] | -0.10327863440530158
-0.27353574436629874 | [  4.45 -18.01] | -0.09188809962439201
-0.276710598447338 | [-4.01 20.83] | -0.10181746674954534
-0.2794093633023693 | [  4.3  -17.67] | -0.08960449959451273
-0.2825439924760137 | [-4.06 20.7 ] | -0.10039157586186757
-0.28521875838182204 | [  4.14 -17.33] | -0.0873785122069287
-0.28831544868088743 | [-4.12 20.57] | -0.09899888758522575
-0.2909677826787982 | [  3.99 -17.  ] | -0.08521014048775469
-0.2940282890576973 | [-4.17 20.43] | -0.09763784670152983
-0.29665928140303677 | [  3.84 -16.66] | -0.08309927060425515
-0.2996849327569178 | [-4.22 20.3 ] | -0.09630729046459043
-0.3022952908030596 | [  3.69 -16.33] | -0.08104565787062269
-0.305287079406982 | [-4.28 20.17] | -0.09500633044750864
-0.3078772084377333 | [  3.54 -16.  ] | -0.0790488793432948
-0.3108358768484501 | [-4.33 20.04] | -0.09373422811002668
-0.3134059596858546 | [  3.39 -15.67] | -0.0771084222753695
-0.31633205045880497 | [-4.39 19.91] | -0.0924904104404254
-0.3188820935574205 | [  3.24 -15.34] | -0.07522368631259871
-0.32177599057518386 | [-4.44 19.79] | -0.09127441076972105
-0.32430586531560673 | [  3.1  -15.02] | -0.07339386850129978
-0.3271678591932294 | [-4.49 19.66] | -0.0900857425427959
-0.329677361668955 | [  2.95 -14.71] | -0.07161800973723456
-0.3325076958405587 | [-4.55 19.54] | -0.08892390053539968
-0.3349965911569552 | [  2.81 -14.39] | -0.06989509950788249
-0.3377954757948284 | [-4.6  19.42] | -0.08778844558881897
-0.3402635087601408 | [  2.67 -14.08] | -0.0682241023551913
-0.3430311281761341 | [-4.66 19.3 ] | -0.08667899851876147
-0.345478030423918 | [  2.53 -13.77] | -0.06660396850023004
-0.34821454858017153 | [-4.71 19.18] | -0.08559522538472196
-0.3506400443572124 | [  2.39 -13.47] | -0.06503363792374833
-0.35334560966452194 | [-4.77 19.06] | -0.08453681791104181
-0.3557494222688566 | [  2.25 -13.17] | -0.06351201689652075
-0.3584241770854463 | [-4.82 18.95] | -0.08350347296202731
-0.3608060370713321 | [  2.11 -12.88] | -0.0620379846870026
-0.3634501251140754 | [-4.87 18.83] | -0.08249488076361794
