2.0, 0.5, 2.0, -0.5, 0.0, -0.5, 1.0, 0.5, 0.0, 0.5, 0.5, 0.0, 1.5, -0.5, 1.5, 0.0, 0.0, 0.0
parameter ends

state | action | reward
[0.06] | [ 0.26 -0.02] | 0.004815473492798275
0.05624025334559916 | [ 0.36 -0.17] | -0.03563771929133513
0.032692011702717315 | [ 0.3  -0.45] | -0.08333714864418218
-0.00860134059797332 | [-0.14 -0.74] | -0.1291291506536009
-0.05391356718762319 | [-1.03 -0.87] | -0.1699409478952019
-0.07476461036403662 | [-2.31 -0.61] | -0.18546781381644017
-0.056609963479233395 | [-3.06 -0.24] | -0.11333839895015103
-0.003162834118211881 | [-3.17  0.27] | 0.1088696069288354
0.08117314321836214 | [-2.46  0.96] | 0.49689538068147704
0.19288367193926284 | [-0.62  1.85] | 0.8407015569923415
0.3148460287184219 | [1.2 2.3] | 0.684248358784774
0.39816463459652224 | [2.51 1.63] | 0.26094073572449544
0.4287640811558504 | [3.28 1.12] | -0.08992724882818279
0.42110536353599853 | [3.87 0.64] | -0.36527211913548285
0.3799749998753204 | [3.94 0.12] | -0.5062135415439848
0.30898198860838755 | [ 3.52 -0.41] | -0.48728248883744074
0.21098755094924326 | [ 2.69 -0.93] | -0.3442270269907741
0.08952571622079014 | [ 1.24 -1.45] | -0.192724136423459
-0.04369809101484491 | [ 0.08 -1.77] | -0.14559116230836847
-0.15577821568823405 | [-0.94 -1.63] | -0.2272570708780981
-0.22005118900609005 | [-2.15 -1.28] | -0.3758687115142617
-0.23776386262012433 | [-3.24 -1.04] | -0.5174799763833775
-0.21878429802923402 | [-4.21 -0.79] | -0.5820200291108104
-0.16956367250250967 | [-4.66 -0.45] | -0.511530667296154
-0.09697704129623672 | [-4.57 -0.01] | -0.290829944669437
-0.006135376009990302 | [-3.96  0.56] | 0.08101866348976092
0.10101894357572552 | [-2.79  1.28] | 0.5710305427808521
0.223483485253645 | [-1.09  2.07] | 1.06214577473702
0.3565615758532855 | [0.72 2.74] | 1.0543518371580272
0.45834605945124157 | [2.47 2.21] | 0.6087002822779124
0.5071481199589524 | [3.42 1.63] | 0.17775950901692064
0.5146713358713499 | [4.03 1.12] | -0.18057250303010186
0.488825671060745 | [4.47 0.66] | -0.4589500817236615
0.43421648491736736 | [4.39 0.16] | -0.6295089259252125
0.35359886781257216 | [ 3.8  -0.38] | -0.6758394110739359
0.2485227412720764 | [ 2.78 -0.94] | -0.6293581571783406
0.12250180807407965 | [ 1.22 -1.49] | -0.5540367097804126
-0.01126670930356765 | [ 0.23 -1.77] | -0.48952194686020983
-0.12531159000742284 | [-0.59 -1.65] | -0.49821720116718426
-0.19996285167819897 | [-1.64 -1.4 ] | -0.5862893967570766
-0.2312344480869012 | [-2.84 -1.13] | -0.701965819658133
-0.22344918923249585 | [-3.9  -0.87] | -0.769459135131367
-0.18283019435681935 | [-4.59 -0.55] | -0.7139687935760216
-0.11664981013134815 | [-4.71 -0.13] | -0.508422037261802
-0.03156317868782858 | [-4.33  0.4 ] | -0.15640807901855003
0.06884367797620262 | [-3.52  1.05] | 0.3313285668029709
0.18385640629950933 | [-2.19  1.81] | 0.8675757906011682
0.311124580817593 | [-0.77  2.5 ] | 1.2981897622286895
0.4406531800728139 | [0.87 2.96] | 1.1958235785688167
0.5339388930226363 | [2.6  2.34] | 0.7274047056123236
0.5765624810164843 | [3.56 1.81] | 0.3162186317816955
0.5812564034725322 | [4.22 1.34] | -0.029043778509080114
0.5546592397578799 | [4.72 0.92] | -0.28664386688101123
0.5028683027924771 | [5.03 0.55] | -0.47445148408841836
0.4298769408461257 | [4.87 0.13] | -0.5998171935503022
0.33712121387969046 | [ 4.36 -0.33] | -0.6486330956594099
0.22609906151085002 | [ 3.54 -0.8 ] | -0.633250370224717
