-5.0, 0.0, -5.0, 0.0, 5.0, 0.0, -5.0, 0.0, 5.0, 0.0, -5.0, 0.0, 5.0, 0.0, -5.0, 0.0, 0.5, -0.5
parameter ends

state | action | reward
[-0.03] | [ 1.04 -0.5 ] | -0.06336450472890474
-0.061198363561562524 | [41.44 -0.5 ] | -0.19601370942863588
-0.1360230102796736 | [65.87 -0.5 ] | -0.42861549306824304
-0.23417864499630917 | [73.74 -0.5 ] | -0.522711342856806
-0.33833939250998796 | [72.99 -0.5 ] | -0.5046866427816977
-0.44130515347319893 | [69.13 -0.5 ] | -0.4496035416871119
-0.5404141280813924 | [64.25 -0.5 ] | -0.3958466638444275
-0.6340507192111903 | [58.94 -0.5 ] | -0.35884701730931207
-0.7208152273146872 | [53.4 -0.5] | -0.3422245649377598
-0.7996573805122095 | [47.74 -0.5 ] | -0.6185730172719794
-0.8409606836539859 | [ 6.89 -0.5 ] | -1.3316100627158436
-0.7819540505939355 | [-3.24 -0.5 ] | -1.3761279236529862
-0.7121431283521501 | [-11.78  -0.5 ] | -1.1241823625518834
-0.6381734709083233 | [-31.36  -0.5 ] | -0.5888242484365334
-0.5724351914927736 | [-38.38  -0.5 ] | -0.6285955653238899
-0.49495411274475515 | [-43.2  -0.5] | -0.607596596428107
-0.40691594400109005 | [-48.68  -0.5 ] | -0.5355199803962315
-0.309634351177126 | [-54.3  -0.5] | -0.4267016885977683
-0.20400285528572462 | [-60.   -0.5] | -0.28361304116950947
-0.0912588631180263 | [-65.48  -0.5 ] | -0.12045685113847227
0.02696355515353601 | [-70.08  -0.5 ] | 0.04899224723568213
0.14838274548415603 | [-73.09  -0.5 ] | 0.2113614900869788
0.2703074723573846 | [-74.18  -0.5 ] | 0.35525252208002167
0.3903770480836155 | [-73.55  -0.5 ] | 0.4752870019908293
0.5071850175803108 | [-71.79  -0.5 ] | 0.5713227378839048
0.6202692781102538 | [-69.42  -0.5 ] | 0.6456345239292434
0.7296353857988355 | [-66.76  -0.5 ] | 0.7008388771692092
