4.8, -0.6, 4.9, 1.0, -2.0, 0.8, -0.5, 0.4, -1.5, -0.6, -0.3, -4.0, 4.7, 0.9, 4.6, -1.4, 1.2, 1.2
parameter ends

state | action | reward
[-0.01] | [1.26 1.35] | 0.04919492107286934
-0.023385286196785517 | [8.01 3.75] | 0.06970484177611319
-0.06969747649009708 | [13.21  5.76] | 0.11816790501406225
-0.13676922676158187 | [16.47  7.19] | 0.19499670449123627
-0.21634536851839636 | [18.18  8.13] | 0.2878896161739621
-0.3024612235551353 | [18.92  8.74] | 0.38449461917571714
-0.39145729763613996 | [19.1   9.15] | 0.47686567792646006
-0.4812322346895768 | [18.97  9.43] | 0.5607594631072487
-0.5705834018374176 | [18.66  9.64] | 0.6341113152082057
-0.6587980339069041 | [18.25  9.8 ] | 0.6960393496886604
-0.7454309871972983 | [17.78  9.93] | 0.7463464183374736
-0.8301901709639081 | [17.27 10.03] | 0.785289084209623
-0.9128788072334755 | [16.73 10.11] | 0.8134611885295325
-0.9933667292571312 | [16.18 10.18] | 0.8317190380244909
-1.0715763541658345 | [15.62 10.23] | 0.8411184363485403
-1.1474759771467447 | [15.07 10.27] | 0.8428540532787173
-1.2210766098368133 | [14.52 10.3 ] | 0.8382004188641227
-1.2924304384244123 | [14.01 10.34] | 0.828457118075911
-1.3616299761166124 | [13.52 10.37] | 0.814901387767642
-1.4288075545184864 | [13.07 10.42] | 0.7987506870714285
-1.4941351471404087 | [12.67 10.47] | 0.7811366851138718
-1.5578247523992477 | [12.34 10.54] | 0.7630909252851125
-1.6201297448318177 | [12.07 10.63] | 0.7455414270805703
-1.6813477772775447 | [11.89 10.75] | 0.7293187752692227
-1.741826029819326 | [11.81 10.9 ] | 0.6125357722691769
-1.788960241814322 | [-1.86  6.07] | -0.144157811503707
-1.7778015952573019 | [-6.25  2.52] | -0.472841061967767
-1.7461695217724764 | [-8.65 -0.12] | -0.7350749967579215
-1.6989841613425596 | [-10.74  -1.99] | -0.8831048092893001
-1.6423070130521378 | [-13.18  -2.4 ] | -0.9352551281149235
-1.5810540003810407 | [-14.74  -2.63] | -0.9574685214838722
-1.5172974063148754 | [-15.67  -2.82] | -0.9632116561746422
-1.452052018984576 | [-16.21  -3.02] | -0.9626714949519009
-1.3855816048457918 | [-16.57  -3.28] | -0.9625515782374293
-1.3176495312496899 | [-16.9   -3.62] | -0.9665435042464003
-1.247695277108714 | [-17.29  -4.05] | -0.9748197437080595
-1.1750044345019068 | [-17.78  -4.56] | -0.9841748067784417
-1.0988697460648889 | [-18.42  -5.13] | -0.9887703659076243
-1.018727523378074 | [-19.19  -5.7 ] | -0.9808250541597907
-0.9342778630741807 | [-20.07  -6.23] | -0.9521111956589232
-0.8455590785120364 | [-21.    -6.66] | -0.8959485539769947
-0.7529498758870394 | [-21.94  -6.96] | -0.8089804046879895
-0.657094022775766 | [-22.81  -7.11] | -0.691908818697579
-0.5587751561407878 | [-23.59  -7.11] | -0.54889578386465
-0.4587902294143737 | [-24.23  -6.98] | -0.3861345377272773
-0.35786128063463735 | [-24.73  -6.77] | -0.21042126248470028
-0.25659703226174374 | [-25.09  -6.49] | -0.028239246884462672
-0.1554931737522153 | [-25.33  -6.17] | 0.15460685897646723
-0.05495397230996038 | [-25.44  -5.84] | 0.3330028151775267
0.044678580745787136 | [-25.45  -5.49] | 0.5022134339602877
0.14311215779811487 | [-25.36  -5.16] | 0.6575310970151489
0.24012947865116602 | [-25.16  -4.86] | 0.7953762095686716
0.3355703758826472 | [-24.84  -4.63] | 0.913857054680071
0.42931774812769313 | [-24.4   -4.47] | 1.0127685459792493
0.5213003164760934 | [-23.84  -4.39] | 1.0931936701121607
0.6114896614690031 | [-23.17  -4.38] | 1.1567276125905246
0.6998833642948188 | [-22.42  -4.44] | 1.2047315460018153
0.7864814556881525 | [-21.58  -4.53] | 1.2380000931545274
0.8712685576510486 | [-20.68  -4.66] | 1.2568771583558813
0.954208329330451 | [-19.73  -4.8 ] | 1.26158725980884
1.035248693458211 | [-18.74  -4.95] | 1.2525461942905616
1.1143326277614523 | [-17.71  -5.11] | 1.2305454526824824
1.191410044576392 | [-16.67  -5.27] | 1.1968098396060918
1.2664484529322229 | [-15.63  -5.44] | 1.1529660711546592
1.3394417414534368 | [-14.62  -5.6 ] | 1.100959670750349
1.410417201432436 | [-13.64  -5.78] | 1.0429474174106326
1.4794411744253864 | [-12.73  -5.95] | 0.9811845766985478
1.5466238046502652 | [-11.9   -6.14] | 0.9179210322478367
1.6121234745238784 | [-11.17  -6.33] | 0.8553163506317947
1.6761516486478532 | [-10.56  -6.54] | 0.94353945154565
1.7433517541853825 | [ -5.38 -11.69] | 1.410025491148231
1.8250195849600799 | [ -3.63 -11.72] | 0.5031082582243942
1.8487224980696948 | [ 6.34 -3.58] | 0.06770278684416577
1.844742252389891 | [ 9.64 -0.84] | -0.27048120600106723
1.8206260479169167 | [12.64  1.47] | -0.5104117010222382
1.7817635261008118 | [15.87  2.36] | -0.6529207348474143
1.7336938306364706 | [18.    3.01] | -0.7559141019918527
1.6795619051572799 | [19.29  3.5 ] | -0.8301107746906075
1.621395959827508 | [20.05  3.92] | -0.8870317442598165
1.5602651535313876 | [20.54  4.33] | -0.936142638676723
1.4965326511542167 | [20.93  4.76] | -0.9841319701206352
1.4300730157701327 | [21.35  5.23] | -1.034071525713001
1.360468994541243 | [21.86  5.76] | -1.0851405676253953
1.2871934600256396 | [22.49  6.33] | -1.1331571729874497
1.2097638624342166 | [23.24  6.91] | -1.17112941348705
1.1278777341266557 | [24.08  7.48] | -1.1904340593110596
1.0415122461733766 | [24.97  7.98] | -1.1826838962677815
0.9509629678004753 | [25.84  8.38] | -1.1418357929899545
0.8568071298650045 | [26.64  8.65] | -1.0657028418542382
0.7598036013444137 | [27.31  8.79] | -0.9561877688046435
0.6607689252852047 | [27.82  8.83] | -0.8182836204614552
0.5604739656620108 | [28.17  8.77] | -0.6585596005766029
0.4595855903174536 | [28.37  8.64] | -0.48388507879048964
0.35865190332089486 | [28.42  8.48] | -0.3007078702475994
0.2581160987769988 | [28.34  8.29] | -0.1148137656216851
0.1583436571247215 | [28.16  8.09] | 0.06857116696567105
0.05964787880005504 | [27.89  7.88] | 0.24408521675339548
-0.03772593597686297 | [27.53  7.69] | 0.40683710832826625
-0.1336034064457111 | [27.08  7.54] | 0.5535489695782884
-0.22785637879248372 | [26.53  7.45] | 0.6826215588443728
-0.3203991915676273 | [25.88  7.42] | 0.7939341669504717
-0.4111872168407585 | [25.14  7.46] | 0.888290199782925
-0.5002045458704836 | [24.34  7.54] | 0.966704090228924
-0.5874432736087355 | [23.47  7.66] | 1.0299036988403436
-0.6728851230580472 | [22.55  7.8 ] | 1.0782297869659754
-0.7564933805411538 | [21.59  7.95] | 1.1118283245006593
-0.8382155970870921 | [20.6  8.1] | 1.1309252749727756
-0.9179927998638473 | [19.6   8.25] | 1.1360400269269004
-0.995770705628148 | [18.59  8.4 ] | 1.128094065110916
-1.0715102531803806 | [17.59  8.54] | 1.1084284410149654
-1.1451964755905737 | [16.62  8.68] | 1.0787587130522198
-1.2168456540222203 | [15.7   8.81] | 1.0410932966657558
-1.286511046042277 | [14.84  8.95] | 0.9976356137430726
-1.3542876040824852 | [14.05  9.09] | 0.950686209677628
-1.4203161938424118 | [13.36  9.24] | 0.902557616839164
-1.4847879546401264 | [12.79  9.4 ] | 0.8555112234811534
-1.5479496223035183 | [11.36 10.49] | 1.302767495053872
-1.625995806739312 | [ 6.04 16.4 ] | 1.0668946400791857
-1.6854341907131865 | [-2.43  7.11] | 0.16076087346347168
-1.6859863212042783 | [-5.76  3.67] | -0.18476642794124964
-1.6655778182470058 | [-8.41  1.02] | -0.4810527382940417
-1.6281001710126095 | [-10.62  -1.06] | -0.6715963763446298
-1.5792542207474825 | [-13.15  -1.73] | -0.7688293316146464
-1.5238967113722974 | [-14.77  -2.22] | -0.831295546050891
-1.4642399051517436 | [-15.77  -2.64] | -0.8714555536492264
-1.4014807340885342 | [-16.4   -3.05] | -0.8996793210337042
-1.336055301559296 | [-16.89  -3.48] | -0.9232065836496713
-1.2678717366891592 | [-17.36  -3.98] | -0.9455897540211905
-1.1965157782937414 | [-17.89  -4.53] | -0.9663254490213017
-1.1214504750815846 | [-18.55  -5.12] | -0.9814399153781314
-1.0421872299275587 | [-19.32  -5.73] | -0.9842498938202646
-0.958434152482313 | [-20.21  -6.3 ] | -0.9667696189309714
-0.8702020095119034 | [-21.16  -6.78] | -0.9217706515119506
-0.7778382367731432 | [-22.12  -7.13] | -0.8448934998696919
-0.6819739802202776 | [-23.03  -7.32] | -0.7358640168275176
-0.5834040094523596 | [-23.84  -7.36] | -0.5982368461759494
-0.4829504748983118 | [-24.53  -7.26] | -0.43800625817004984
-0.38136107795319507 | [-25.07  -7.06] | -0.26201556638892765
-0.27926233566191294 | [-25.47  -6.79] | -0.0768752504694669
-0.17715847038395963 | [-25.75  -6.47] | 0.11147661002731472
-0.0754556863033429 | [-25.91  -6.12] | 0.29778102599711836
0.025504460067545608 | [-25.96  -5.76] | 0.47724297866158805
0.12541485184925014 | [-25.93  -5.4 ] | 0.6448884441415287
0.2240134047764762 | [-25.8   -5.05] | 0.7958875783026189
0.3210936443820814 | [-25.55  -4.75] | 0.9268472652366707
0.41648461410691545 | [-25.18  -4.52] | 1.0362546151724403
