-5.0, 5.0, -4.5, 4.5, -3.5, 3.5, -2.5, 2.5, -1.5, 1.5, -0.5, 0.5, -6.0, 6.0, -5.5, 5.5, -4.0, 4.0
parameter ends

state | action | reward
[-0.08] | [-4.31  4.31] | -0.08128073163535394
-0.04138209438261464 | [-0.71  0.71] | -0.1702709903143618
0.03714502491111222 | [ 0.59 -0.59] | -0.13374141423619537
0.0947217530830367 | [-2.57  2.57] | -0.1400360511200558
0.1518991592366646 | [-0.05  0.05] | -0.17296472210280944
0.21899857526541325 | [-1.15  1.15] | -0.20079474252114776
0.2913393185489064 | [ 0.15 -0.15] | -0.211928228469271
0.35980699650248515 | [-1.44  1.44] | -0.22981845343367147
0.4257872785003368 | [-0.55  0.55] | -0.2825230702440458
0.49585040990221596 | [-0.83  0.83] | -0.3387021914640442
0.5632526249033696 | [-0.76  0.76] | -0.42112360698135265
0.6267920057973451 | [-0.88  0.88] | -0.5248640528173841
0.6838801782067112 | [-0.9  0.9] | -0.18580835214115735
0.7386912240861159 | [ 0.4 -0.4] | -0.29595060285129793
0.7139290382116872 | [-6.29  6.29] | -0.3455598105333846
0.6895153840315916 | [-6.98  6.98] | -0.3454859053076952
0.6720973851884128 | [-4.69  4.69] | -0.26446303432633544
0.6584699225445318 | [-4.64  4.64] | -0.2598737998973033
0.645259071383822 | [-4.71  4.71] | -0.2533129109155149
0.6324339927222694 | [-4.71  4.71] | -0.24450692388595358
0.620054969586854 | [-4.68  4.68] | -0.2356272862795203
0.6081145707722462 | [-4.65  4.65] | -0.22722360117198212
0.5965870435903786 | [-4.62  4.62] | -0.21934959343199112
0.5854455298603248 | [-4.59  4.59] | -0.2119694405600257
0.5746652434607207 | [-4.56  4.56] | -0.20503962492309907
0.5642236671682445 | [-4.53  4.53] | -0.1985205110467475
0.5541003255395639 | [-4.5  4.5] | -0.1923769418445668
0.5442765465630585 | [-4.47  4.47] | -0.18657767208441436
0.534735255165637 | [-4.44  4.44] | -0.18109482773180932
0.5254607959013184 | [-4.41  4.41] | -0.17590345898373505
0.5164387797608884 | [-4.38  4.38] | -0.17098116581307976
0.5076559511406558 | [-4.35  4.35] | -0.16630778035297653
0.49910007183916755 | [-4.32  4.32] | -0.16186509573185476
0.490759819526734 | [-4.29  4.29] | -0.15763663352176052
0.482624698572987 | [-4.26  4.26] | -0.15360744351880587
0.47468496147015754 | [-4.23  4.23] | -0.14976393072720787
0.46693153937620796 | [-4.21  4.21] | -0.1460937053288103
0.4593559805363646 | [-4.18  4.18] | -0.14258545215158352
0.45195039553439253 | [-4.15  4.15] | -0.13922881674240317
0.44470740848428053 | [-4.13  4.13] | -0.13601430563047434
0.4376201134052464 | [-4.1  4.1] | -0.1329331987607872
0.4306820351332097 | [-4.07  4.07] | -0.1299774723992839
0.42388709421414533 | [-4.05  4.05] | -0.12713973107715848
0.41722957530225346 | [-4.02  4.02] | -0.12441314736136054
0.41070409865126445 | [-4.  4.] | -0.12179140842102835
0.4043055943425299 | [-3.97  3.97] | -0.11926866851169102
0.3980292789405523 | [-3.95  3.95] | -0.1168395066264612
