0.5, -2.3, 1.4, -0.7, 3.9, -1.1, -0.4, 2.6, -3.2, 1.0, 0.8, -4.1, 5.0, -0.9, -2.5, 3.3, -1.2, 0.4
parameter ends

state | action | reward
[0.06] | [-0.83 -0.28] | -0.015993434053398828
0.0824746832380868 | [-5.87 -1.68] | 0.049794472388002595
0.13402193023800898 | [-4.12 -7.08] | 0.16063691609505018
0.20504566063219262 | [ -2.45 -11.01] | 0.28473502579143495
0.28707516514285764 | [ -1.28 -13.39] | 0.4041038265148334
0.37414298657416006 | [ -0.7  -14.59] | 0.4690846094144858
0.45700427810090233 | [  1.64 -15.42] | 0.18284146750282218
0.49735429234549133 | [ 15.61 -17.54] | -0.46918042859711023
0.47244680149414603 | [ 24.43 -17.27] | -1.0476837050238916
0.39618264774379824 | [ 28.45 -15.28] | -1.3537750304817655
0.28952162973712015 | [ 28.81 -12.82] | -1.4130621357335076
0.17146310862850167 | [ 27.41 -10.77] | -1.3553572739880908
0.053747734349022316 | [25.49 -9.23] | -1.2741183054695213
-0.05810081272460509 | [23.52 -8.06] | -0.970125417389717
-0.1617461146281961 | [5.89 9.42] | -0.031024999254208034
-0.2634132143715563 | [ 1.65 14.76] | 0.23564515517816426
-0.36667007815228525 | [ 0.09 17.03] | 0.4507678074382974
-0.45975594003835696 | [-3.72 17.39] | 0.5634297572219626
-0.5253984642327673 | [-9.57 16.32] | 0.610568104654698
-0.5615030105618771 | [-14.85  16.3 ] | 0.633803605984781
-0.573915453972492 | [-19.88  16.66] | 0.6098428298803695
-0.5642482020848547 | [-24.69  16.97] | 0.5269141360284787
-0.531952923355939 | [-29.36  17.14] | 0.38850347931491047
-0.4753510174616047 | [-33.99  17.04] | 0.20449356303775604
-0.3920775541667061 | [-38.4   16.54] | 0.0008938266675938555
-0.28173935481763007 | [-41.62  15.46] | -0.17304829164171487
-0.1513045667943308 | [-41.69  13.67] | -0.25934020541001546
-0.01524008749743063 | [-38.7   11.53] | -0.2712303665111849
0.11536286447046269 | [-35.22   9.88] | -0.27622539984383654
0.2369714728203541 | [-32.33   8.77] | -0.2955225642673926
0.3494010004791445 | [-29.98   7.95] | -0.3284640952204668
0.45351956354379613 | [-27.99   7.18] | -0.382049976157377
0.5493233736808977 | [-26.13   6.48] | -0.4695863985440118
0.635144270556458 | [-24.23   5.88] | -0.31385746312130236
0.7167745921038903 | [-11.27  -7.21] | 0.7426566166802226
0.81885123265841 | [ -6.94 -11.14] | 0.3150942400902336
0.8499545043070058 | [ 9.68 -5.5 ] | -0.05456814566270763
0.8223306104343596 | [13.75 -6.62] | 0.05391329969549345
0.7869984571927299 | [17.46 -7.83] | 0.1481175195796244
0.7447428666144662 | [21.03 -9.12] | 0.1970192932304091
0.6941004848545981 | [ 24.68 -10.44] | 0.18124795325152915
0.6318379535839406 | [ 28.59 -11.78] | 0.09352738679642032
0.5536258950435647 | [ 32.84 -13.07] | -0.05988458284497718
0.45523240994674596 | [ 37.17 -14.16] | -0.2530267577727288
0.3354288316063802 | [ 40.45 -14.75] | -0.43610427866160517
0.20078310118195777 | [ 40.53 -14.26] | -0.5404508791492799
0.0647273785648182 | [ 37.33 -12.77] | -0.560065734291876
-0.06328240212657532 | [ 33.77 -11.45] | -0.5639425113244441
-0.18132189673727891 | [ 30.9  -10.58] | -0.5756067374770332
-0.2900441082829219 | [28.59 -9.95] | -0.5932408560363247
-0.39066890166323065 | [26.65 -9.43] | -0.6269234275600857
-0.4829319121971541 | [24.85 -9.14] | -0.6919923580368357
-0.5649473241057361 | [23.02 -9.14] | -0.7925812303685369
-0.6345697800694405 | [18.82 -5.96] | 0.20965761165395624
-0.7208093426706187 | [-2.49  7.47] | -0.17664077121756058
-0.7046135690069008 | [-12.03   4.11] | -0.10636261402718505
-0.6705884194118845 | [-16.22   6.13] | 0.04856236346833961
-0.6296780397110244 | [-20.08   8.21] | 0.19100487813913758
-0.5823662485177199 | [-23.77  10.16] | 0.29612756917832783
-0.5269784556535116 | [-27.5   11.88] | 0.3517602598305881
-0.46024815514764617 | [-31.43  13.34] | 0.35699766034881336
-0.37802064209850883 | [-35.67  14.52] | 0.31944943430031403
-0.2764532132095017 | [-39.98  15.41] | 0.25068284858803835
-0.1548937051825457 | [-43.24  15.78] | 0.15694740755666256
-0.02035460616136764 | [-43.27  15.04] | 0.060459383424069535
0.1138708840422275 | [-39.95  13.28] | -0.008749245700301361
0.2391319458728054 | [-36.31  11.67] | -0.07357298492440215
0.35424587785428513 | [-33.36  10.46] | -0.14349442439907806
0.46024246152853043 | [-30.97   9.46] | -0.21481139761497942
0.5583499466570523 | [-28.94   8.61] | -0.3006577783659786
0.6480504640120452 | [-26.99   7.88] | -0.4171359034268285
0.7273673658086536 | [-24.97   7.24] | -0.5667433499292707
0.7942382789605107 | [-22.83   6.65] | -0.13092803302498687
0.8461259901615296 | [ 4.33 -4.08] | -0.22978274278789934
0.8211906868049205 | [10.33 -4.53] | -0.13320407449160615
0.7854933177169565 | [14.28 -5.74] | -0.0014510620746082392
0.7430758508939409 | [17.91 -6.97] | 0.11354015909536995
0.6941827019683704 | [21.43 -8.21] | 0.1845722388802796
0.6369747983400851 | [25.05 -9.46] | 0.19747983241184508
0.5681281582284204 | [ 28.97 -10.75] | 0.1497244030014008
0.48355817570915177 | [ 33.26 -12.05] | 0.048847904331819125
0.3796902845487058 | [ 37.63 -13.28] | -0.08742924440084801
0.2564840258696505 | [ 40.87 -14.14] | -0.23245120025551308
0.12167558012972635 | [ 40.78 -13.96] | -0.33788384277717254
-0.0114540195541327 | [ 37.47 -12.76] | -0.3867355764315247
-0.13512474219490928 | [ 33.97 -11.65] | -0.4245121924425888
-0.24864260608678634 | [ 31.16 -10.87] | -0.4650919139291968
-0.35320562743353756 | [ 28.89 -10.27] | -0.506516534300597
-0.4499634009992095 | [26.95 -9.82] | -0.5625689785998952
-0.5382106362586462 | [25.11 -9.61] | -0.6485235096806863
-0.6159121069875099 | [23.22 -9.67] | -0.7662815601764321
-0.6810695856738134 | [21.26 -9.91] | -0.3648213178944234
-0.7208112853083828 | [-7.67  2.46] | -0.2553977057389692
-0.689769210758409 | [-12.99   3.7 ] | -0.10499654489836256
-0.6501122609776936 | [-17.05   5.87] | 0.0643970872317189
-0.6046171348875121 | [-20.82   8.02] | 0.2142982090437071
-0.5530408998354829 | [-24.47   9.98] | 0.32415410989660565
-0.4931913863838809 | [-28.2  11.7] | 0.386288130271064
-0.4215581442845948 | [-32.19  13.18] | 0.4031330223944932
-0.3340492668714764 | [-36.49  14.45] | 0.3828373330145889
