1.0, 3.2, -2.7, 4.4, -5.1, 0.9, -1.3, 2.5, -0.2, -4.8, 2.9, -3.6, 5.5, -0.6, -1.8, 1.7, -2.3, 0.4
parameter ends

state | action | reward
[0.01] | [-2.02  0.59] | 0.07626683661190287
0.04035986102096364 | [-18.5    8.74] | 0.031704865502700345
0.12150325926832146 | [-31.73  15.02] | -0.07955382610920399
0.22580826116523867 | [-36.27  16.43] | -0.1709313601973929
0.33273952197143797 | [-36.85  15.54] | -0.239873455000358
0.4352947552397545 | [-36.23  13.9 ] | -0.30817207712367983
0.531157585160516 | [-35.27  12.04] | -0.3956616424382797
0.6183188636871317 | [-34.12  10.12] | -0.5133144449338314
0.694580005216481 | [-32.81   8.2 ] | -0.6585712894154907
0.7581823631368254 | [-31.35   6.29] | -1.0608950324490747
0.7415568540163683 | [-5.05 -3.18] | -0.2666970728298525
0.7150164820440031 | [-3.38 -4.28] | 0.09479791762941787
0.7082998263356886 | [-2.31 -4.87] | 0.3971330255606546
0.7164338473931083 | [-0.56 -5.51] | 0.6705841517129176
0.7367536618073146 | [ 1.44 -6.21] | 0.8085761754410675
0.7542428779857063 | [ 7.2  -7.88] | 0.7885165369808913
0.7553079098630062 | [12.77 -9.71] | 0.6990317469240055
0.7397419590499348 | [ 18.38 -11.82] | 0.5251129693635015
0.7054292459103166 | [ 24.22 -14.28] | 0.2622593597532613
0.6487786391242926 | [ 30.39 -17.14] | -0.07733833560886919
0.5658233392296935 | [ 36.66 -20.25] | -0.4468026186767169
0.4551854067070597 | [ 41.84 -23.04] | -0.7411196654113696
0.3232698032972485 | [ 44.01 -24.3 ] | -0.8595698441226143
0.18341665826772643 | [ 43.04 -23.49] | -0.833654971845944
0.04681032176113722 | [ 40.82 -21.56] | -0.7686934834887413
-0.08148915499923502 | [ 38.71 -19.48] | -0.7167696294983026
-0.2003536670820673 | [ 36.94 -17.46] | -0.6906453629436644
-0.3100392785412263 | [ 35.39 -15.42] | -0.6917366893025205
-0.41104362201420724 | [ 33.96 -13.38] | -0.7260682162789315
-0.5025269419137967 | [30.44 -9.8 ] | 0.18617121350982874
-0.6051643982852849 | [15.8   2.25] | 0.6914632995776349
-0.7099591085447694 | [12.14  5.11] | 0.8944806747641438
-0.8077757816761241 | [2.53 6.82] | 0.2952506313260762
-0.814759129642 | [-6.2   8.03] | 0.34071329104616876
-0.8076695613675215 | [-11.49   9.82] | 0.3739588219816003
-0.7885931995559591 | [-16.61  11.68] | 0.3699938214041757
-0.7579934023797802 | [-21.67  13.57] | 0.3038699891637779
-0.7142163847277084 | [-26.88  15.49] | 0.15784041601897209
-0.6537044208108428 | [-32.38  17.45] | -0.07173501889547622
-0.5719027935358667 | [-38.15  19.46] | -0.3622450860217672
-0.46551053184157615 | [-43.57  21.33] | -0.650145047908322
-0.3371054863922869 | [-46.76  22.35] | -0.8300760267570648
-0.19839186323847813 | [-46.29  21.59] | -0.8569236153442172
-0.06229747548038408 | [-43.99  19.69] | -0.818078276173693
0.06521347287479642 | [-41.76  17.61] | -0.7815384154531786
0.18306483320862516 | [-39.91  15.59] | -0.7597172153307743
0.2918527478837784 | [-38.34  13.55] | -0.7554756542418579
0.3923236253792654 | [-36.89  11.42] | -0.779444994448929
0.4836099922466299 | [-35.41   9.28] | -0.7740893104643394
0.565498005344993 | [-28.04   4.26] | 0.3049764130014968
0.6669074042274095 | [-21.11   0.52] | 0.3956159988664755
0.7499839856020574 | [-9.67 -2.28] | -0.34454277915713255
0.7256661621011166 | [-2.26 -4.49] | -0.04452617477189798
0.7118508346444868 | [-1.81 -4.95] | 0.2977214636565044
0.7173427878441414 | [-0.39 -5.52] | 0.5858303782133265
0.7364704283960184 | [ 1.58 -6.21] | 0.7303436184456635
0.7530754068726818 | [ 7.37 -7.89] | 0.7157315176484694
0.7531965780734035 | [13.   -9.74] | 0.6321541185288756
0.7365413746964524 | [ 18.65 -11.88] | 0.46452981577103863
0.7009746914771763 | [ 24.53 -14.38] | 0.20805662685401372
0.6428922838652733 | [ 30.71 -17.26] | -0.12432456451324785
0.5583794335575164 | [ 36.96 -20.39] | -0.4835925450999128
0.44630706263784053 | [ 42.01 -23.13] | -0.7622643145129225
0.31352735026923156 | [ 44.01 -24.3 ] | -0.8652452687080073
0.17342826326055436 | [ 42.95 -23.43] | -0.8317460812428379
0.03687863525701116 | [ 40.74 -21.5 ] | -0.764772928755916
-0.09127600497354613 | [ 38.65 -19.42] | -0.7124719565286676
-0.20996652967166085 | [ 36.9  -17.42] | -0.6864369912722599
-0.319481846728994 | [ 35.36 -15.38] | -0.6880994770201807
-0.4202952939221922 | [ 33.93 -13.34] | -0.7238962852366554
-0.5114903197022176 | [30.24 -9.64] | 0.2464667822245508
-0.6149747700308201 | [15.09  2.83] | 0.746065902291718
-0.7202487114376638 | [11.5   5.58] | 0.9426305159202848
-0.8185265628437711 | [2.06 7.19] | 0.33983113937340687
-0.8275876864284065 | [-6.57  8.36] | 0.37886828462759575
-0.8225274402686464 | [-11.89  10.11] | 0.3993586474675167
-0.8050355629687104 | [-17.02  11.92] | 0.37908930379325756
-0.7754825469114027 | [-22.1   13.76] | 0.2939030428242678
-0.7321698342677208 | [-27.31  15.61] | 0.12638968667352718
-0.6715156561987352 | [-32.8   17.49] | -0.12616271334025778
-0.5890003645391376 | [-38.55  19.41] | -0.4380652375934638
-0.4815440280121337 | [-43.84  21.17] | -0.7386017065879458
-0.3522732285491989 | [-46.78  22.03] | -0.9155356264427599
-0.2132978120413252 | [-46.14  21.19] | -0.9327322564674541
-0.07727684009947827 | [-43.84  19.3 ] | -0.8860808505090912
0.05011602054292921 | [-41.65  17.26] | -0.842360466637305
0.16786576889143542 | [-39.83  15.27] | -0.8139823047950424
0.27656572196957313 | [-38.28  13.24] | -0.8040170459085707
0.3769146185211291 | [-36.83  11.12] | -0.8228724779835477
0.4679931859138643 | [-35.36   8.99] | -0.7496284721185512
0.5513177674694767 | [-26.42   3.27] | 0.34236913798298707
0.6540298437875294 | [-20.93   0.37] | 0.3709967374377896
0.7366333887562576 | [-9.5  -2.41] | -0.3435553208543421
0.7117639102436097 | [-2.17 -4.59] | -0.04059829099107137
0.6979917238915576 | [-1.76 -5.01] | 0.29953458136052996
0.7037574567133057 | [-0.34 -5.57] | 0.5852580507593296
0.7231804198453762 | [ 1.64 -6.25] | 0.7304353787636287
0.7400455777123545 | [ 7.43 -7.92] | 0.7189474335485975
0.7403514918404551 | [13.06 -9.77] | 0.6383208142406864
0.7237851059134417 | [ 18.72 -11.9 ] | 0.4740883815525843
0.6881888375332037 | [ 24.59 -14.4 ] | 0.2222917997215609
0.6299530583750936 | [ 30.77 -17.28] | -0.1033368793952574
0.545187239916963 | [ 36.99 -20.4 ] | -0.453437429979747
0.43284655982440295 | [ 42.   -23.13] | -0.7219166192244505
0.29991491023000616 | [ 43.94 -24.26] | -0.8180379431891367
0.15979184492307644 | [ 42.86 -23.37] | -0.7834637321575671
0.023275717138786366 | [ 40.65 -21.44] | -0.718863241990267
-0.10483330011976513 | [ 38.57 -19.37] | -0.6701233047213007
-0.22347918084074347 | [ 36.83 -17.37] | -0.6481633936043913
-0.33295009845568263 | [ 35.3  -15.34] | -0.6542799544727881
-0.43371201649231317 | [ 33.87 -13.32] | -0.6355553979433411
-0.5260642021152665 | [24.88 -5.37] | 0.36101640347348724
-0.6301942270446574 | [15.94  2.08] | 0.7072241406106207
