4.5, -0.5, 4.0, 0.2, -3.0, 0.5, 3.5, 0.3, -4.0, -0.7, -2.5, -4.5, 5.0, 1.0, 4.8, -1.0, 2.0, 1.5
parameter ends

state | action | reward
[0.03] | [2.79 1.41] | -0.08973125160198568
0.018364639679215474 | [9.92 4.53] | -0.1068348618313563
-0.026081605573238825 | [15.53  7.07] | -0.08657452953857622
-0.09151900459509027 | [19.22  8.77] | -0.026189303024348208
-0.16941968904575613 | [21.35  9.75] | 0.05918647967086936
-0.25364783727796225 | [22.47 10.29] | 0.15399762546275797
-0.34049830214835003 | [23.   10.57] | 0.24831945390319923
-0.4278928702646855 | [23.17 10.71] | 0.33689629170812707
-0.5146796843408755 | [23.13 10.77] | 0.4171415071532741
-0.600204736508882 | [22.95 10.78] | 0.487850571409826
-0.6840815040837797 | [22.66 10.75] | 0.5485670617575583
-0.7660731920528113 | [22.3  10.71] | 0.5992996461816358
-0.8460338867746819 | [21.89 10.65] | 0.6403910104180727
-0.9238796058603986 | [21.42 10.57] | 0.6724425566214557
-0.9995742786428272 | [20.92 10.49] | 0.6962561433613538
-1.0731230448080198 | [20.41 10.41] | 0.7127799891443386
-1.1445690175829746 | [19.88 10.33] | 0.7230569244934701
-1.2139916124836294 | [19.37 10.26] | 0.7281770727906252
-1.2815055888510252 | [18.88 10.19] | 0.7292377226673228
-1.3472605333135044 | [18.43 10.15] | 0.7273125393162972
-1.4114408560749898 | [18.04 10.12] | 0.7234312735466288
-1.4742665921263276 | [17.73 10.12] | 0.7185702041834989
-1.535995472161493 | [17.52 10.15] | 0.7136528783103071
-1.5969269065761857 | [17.43 10.23] | 0.7095603416404702
-1.657408766211513 | [16.11  9.26] | 0.10466866642923701
-1.6721599305375343 | [-7.    3.03] | -0.20179086960067533
-1.6576125156963315 | [-12.19  -0.13] | -0.5340214749825655
-1.6233921435643703 | [-16.39  -2.87] | -0.7454767035747828
-1.575742721864182 | [-20.21  -3.88] | -0.8422942258316432
-1.5206696944175964 | [-22.48  -4.47] | -0.8916403670905093
-1.4612584319870798 | [-23.59  -4.82] | -0.9087758590005146
-1.3993728958728873 | [-23.98  -5.05] | -0.9077266114049017
-1.335895533030804 | [-24.    -5.25] | -0.8986831066670492
-1.2710233790676007 | [-23.88  -5.47] | -0.8880943121330065
-1.2044953514678323 | [-23.76  -5.77] | -0.8791627457035049
-1.1357603702478365 | [-23.73  -6.14] | -0.8716744125052769
-1.0641451956958685 | [-23.83  -6.58] | -0.8625997888618732
-0.988996850949889 | [-24.07  -7.08] | -0.8466053796194988
-0.9098107552828442 | [-24.39  -7.59] | -0.8169020943418779
-0.8263380756834936 | [-24.76  -8.06] | -0.7666702705247896
-0.7386487254557854 | [-25.1   -8.45] | -0.6907908705351433
-0.6471293393346645 | [-25.34  -8.72] | -0.5872790275698354
-0.5524137967698005 | [-25.45  -8.84] | -0.45778335187925734
-0.455270478220285 | [-25.39  -8.83] | -0.30697090188368953
-0.3564868259983491 | [-25.18  -8.7 ] | -0.1412341283278356
-0.2567851166347367 | [-24.83  -8.48] | 0.032603516588874185
-0.15678125479665492 | [-24.37  -8.2 ] | 0.208151771628733
-0.056979363057508864 | [-23.83  -7.88] | 0.37983262858787625
0.042211960374869184 | [-23.24  -7.54] | 0.5429232055721049
0.1404553276203346 | [-22.62  -7.2 ] | 0.6933069488243891
0.2374854883463169 | [-21.98  -6.88] | 0.8275963810408902
0.33312471446215874 | [-21.33  -6.59] | 0.9438613197434889
0.42725359661607754 | [-20.64  -6.36] | 1.0416341140058254
0.5197937892193006 | [-19.93  -6.18] | 1.121580662101041
0.6106994470626919 | [-19.17  -6.06] | 1.1849259544495243
0.6999447497513989 | [-18.39  -5.99] | 1.232844960419989
0.7875072174737608 | [-17.58  -5.95] | 1.266118440553701
0.873353664577108 | [-16.75  -5.93] | 1.2851516596446204
0.9574344575582832 | [-15.91  -5.93] | 1.2902184499388416
1.0396864635007472 | [-15.06  -5.94] | 1.2817322913584206
