-4.5, 3.7, -5.2, 2.1, -3.3, 4.4, -2.8, 1.9, 0.5, -4.0, 3.0, -1.1, 5.6, -2.4, 1.8, -5.5, 2.7, -0.6
parameter ends

state | action | reward
[0.08] | [1.53 0.09] | -0.030346044315889633
0.05186751781299426 | [ 8.09 -1.77] | -0.12605161224825367
-0.02324937291256877 | [14.93  3.9 ] | -0.12035411925762565
-0.11714290794991519 | [13.99 -4.83] | -0.05352738007176303
-0.22061418345267547 | [16.53  1.6 ] | 0.035328861049133756
-0.3252048722913505 | [14.6 -6.5] | 0.12092166211652694
-0.4286253503950245 | [15.4   0.06] | 0.12709799983413167
-0.5289018407809758 | [14.6  -1.93] | 0.0925564700979934
-0.6223183894884193 | [14.46  2.51] | 0.17404896774124176
-0.7116745488963921 | [13.36 -5.69] | 0.22432180321284112
-0.7959128573098249 | [13.11 -0.82] | -0.6002353632738064
-0.7954830635510729 | [1.07 9.69] | -0.9225870586929655
-0.7416754629573641 | [1.48 1.72] | -0.42720993655408873
-0.7143676223043651 | [ 2.27 -4.98] | -0.37318749955207875
-0.692831266891043 | [2.25 0.46] | -0.42448654157496474
-0.6699079703277326 | [ 2.32 -2.53] | -0.47909019073539977
-0.6451325425165583 | [2.15 2.52] | -0.445215004799187
-0.6218436395392309 | [ 2.36 -3.45] | -0.4202584077240093
-0.5998213886621119 | [2.16 1.52] | -0.3930946532705503
-0.5789261416213427 | [ 2.38 -4.14] | -0.37446029338857134
-0.5590148022819937 | [2.15 0.73] | -0.3857837765020209
-0.5386243023274253 | [ 2.34 -3.39] | -0.40042877275173583
-0.5178072242994021 | [2.11 1.21] | -0.3761546708998481
-0.4979695421007611 | [ 2.41 -4.14] | -0.3357171677177456
-0.47992178995841267 | [ 2.41 -4.24] | -0.1107682749614161
-0.4710290555495938 | [ 2.54 -7.58] | -0.08937003601445294
-0.46333720555430574 | [ 2.43 -6.96] | -0.10430974433855296
-0.45512010277106546 | [ 2.34 -6.67] | -0.10633460919629067
-0.44690756559220784 | [ 2.27 -6.57] | -0.10409079297171882
-0.43887877049525326 | [ 2.21 -6.51] | -0.10113434395124933
-0.43105928562904083 | [ 2.15 -6.47] | -0.09820582443855977
-0.42344254831233974 | [ 2.09 -6.42] | -0.09540910919545716
-0.41601792739243004 | [ 2.04 -6.38] | -0.09274612229294157
-0.40877519187046124 | [ 1.98 -6.34] | -0.0902076916928635
-0.4017049362605272 | [ 1.93 -6.3 ] | -0.08778486062882497
-0.39479851558117085 | [ 1.88 -6.27] | -0.08546962213233812
-0.38804795886518245 | [ 1.83 -6.23] | -0.08325476368034768
-0.38144589694400105 | [ 1.79 -6.2 ] | -0.08113374267352437
-0.374985501093756 | [ 1.74 -6.16] | -0.0791006013748511
-0.36866042972823965 | [ 1.7  -6.13] | -0.07714989943005866
-0.3624647816589251 | [ 1.65 -6.1 ] | -0.0752766566019503
-0.35639305492581774 | [ 1.61 -6.07] | -0.0734763032557306
-0.35044011040948825 | [ 1.57 -6.04] | -0.07174463728122124
-0.3446011395673159 | [ 1.53 -6.01] | -0.07007778647107304
-0.3388716357407167 | [ 1.49 -5.98] | -0.06847217555178867
-0.33324736856515813 | [ 1.46 -5.96] | -0.06692449719843697
-0.32772436108513703 | [ 1.42 -5.93] | -0.06543168647270749
-0.32229886923483464 | [ 1.39 -5.9 ] | -0.06399089821317587
-0.3169673633940298 | [ 1.35 -5.88] | -0.06259948698017866
-0.3117265117698239 | [ 1.32 -5.85] | -0.0612549892184523
-0.3065731653892107 | [ 1.28 -5.83] | -0.0599551073511084
-0.3015043445166468 | [ 1.25 -5.81] | -0.05869769556057773
-0.2965172263354652 | [ 1.22 -5.78] | -0.05748074704728226
-0.2916091337529731 | [ 1.19 -5.76] | -0.05630238258635452
-0.2867775252069941 | [ 1.16 -5.74] | -0.055160840227582386
-0.2820199853669506 | [ 1.13 -5.72] | -0.054054466004812285
-0.27733421663575536 | [ 1.1 -5.7] | -0.052981705538872007
-0.272718031370122 | [ 1.07 -5.68] | -0.05194109643324861
-0.26816934474669557 | [ 1.04 -5.66] | -0.0509312613747844
