4.0, -0.2, 4.1, 0.3, 3.2, -0.1, -3.5, 0.4, -4.3, -0.6, -5.0, 0.2, 5.0, 0.1, 4.5, -0.3, 1.5, 1.0
parameter ends

state | action | reward
[0.09] | [1.4  0.94] | -0.07872414328276933
0.06946455664312484 | [10.35  0.22] | -0.12589757609385732
0.016221706911374787 | [15.17 -0.04] | -0.09001806332306339
-0.06965185446249006 | [16.65  0.02] | 0.025153266610470383
-0.1740296947815669 | [16.51  0.21] | 0.16195190704607312
-0.2835775552133793 | [16.5   0.38] | 0.2970858418989396
-0.39201500165299846 | [17.11  0.48] | 0.43590665292915365
-0.4981036169182265 | [18.2   0.53] | 0.5823522209424652
-0.6021942846715626 | [19.51  0.57] | 0.7328000085309396
-0.7047039886431419 | [20.81  0.6 ] | 0.8812933113336797
-0.8058114976531987 | [22.02  0.65] | 1.0235708117896871
-0.9055714156126945 | [23.17  0.7 ] | 1.1570012755178283
-1.0040312702628105 | [24.31  0.75] | 1.2793954951514352
-1.1012637452301217 | [25.46  0.81] | 1.2131631854500198
-1.1828267260197676 | [21.35  0.5 ] | 0.6754797135382908
-1.216106230350918 | [19.1   0.62] | 0.676842085371765
-1.2506115704102205 | [19.9   0.73] | 0.7304787311704138
-1.2902296789724303 | [21.27  0.77] | 0.7608442238231211
-1.3334430145449288 | [22.46  0.8 ] | 0.7711687252276161
-1.3791538124886842 | [23.48  0.84] | 0.767496691186121
-1.4267184965994406 | [24.37  0.88] | 0.7534128669039453
-1.4757660651188906 | [25.15  0.93] | 0.7293162300118374
-1.525991048079523 | [25.85  0.97] | 0.6947102386084049
-1.5770912450180983 | [26.46  1.02] | 0.6485710391420161
-1.6286802004360725 | [26.92  1.06] | 0.5904497818450145
-1.6802192092002344 | [27.17  1.11] | 0.5215772519623512
-1.7311435417866738 | [27.3   1.16] | 0.4436556675576903
-1.7809727218463007 | [27.35  1.19] | 0.3584097901695612
-1.829283332854807 | [24.97  1.35] | 0.395548497757542
-1.8588622449084142 | [7.26 2.08] | 0.39397339104205087
-1.879758660342327 | [8.37 2.  ] | 0.3600319319362164
-1.9012380597522793 | [9.21 1.96] | 0.3347251977246106
-1.922494183605431 | [9.28 1.94] | 0.311477701175939
-1.9429036979884855 | [9.15 1.94] | 0.29051204633740546
-1.9623995899297668 | [9.   1.93] | 0.27167831711381885
-1.9810487203332234 | [8.86 1.93] | 0.2546340748881658
-1.998923737264286 | [8.72 1.93] | 0.2391109813033986
-2.0160871037911816 | [8.59 1.92] | 0.22491338612604808
-2.032593040449728 | [8.47 1.92] | 0.21188630826543375
