5.0, -5.0, 4.8, -4.8, 5.0, -5.0, 4.5, -4.5, 5.0, -5.0, 4.2, -4.2, 5.0, -5.0, 4.0, -4.0, 1.0, 1.0
parameter ends

state | action | reward
[0.01] | [0.27 1.73] | -0.05162318766191312
0.007776043824105447 | [ 3.03 -1.03] | -0.0501352042621901
-0.022354437534637818 | [ 7.91 -5.91] | -0.027006337006947018
-0.10783091731558472 | [10.01 -8.01] | -0.02546628219979739
-0.21708968129220182 | [ 9.41 -7.41] | -0.06347604133376958
-0.3281808566246757 | [ 7.7 -5.7] | -0.12562130423436116
-0.4334036122747015 | [ 5.73 -3.73] | -0.20131598357106165
-0.530582077207922 | [ 3.78 -1.78] | -0.29530842700267523
-0.6182875993871862 | [1.96 0.04] | -0.29582435620760456
-0.6981452069619963 | [ 3.96 -1.96] | -0.3314991687840069
-0.7691699241340407 | [1.61 0.39] | -0.6906381904290003
-0.7925927042342428 | [-16.88  18.88] | -0.8983459543834446
-0.7416742757212373 | [-6.74  8.74] | -0.38041130091452996
-0.6922927694912197 | [-6.24  8.24] | -0.16300247948083368
-0.6382483446790499 | [-5.91  7.91] | 0.04798494491350723
-0.5797338278082034 | [-5.83  7.83] | 0.22800682326640587
-0.5149988333535067 | [-6.03  8.03] | 0.3671496378015596
-0.440985192786016 | [-6.47  8.47] | 0.4674531188713682
-0.3540251596194143 | [-7.12  9.12] | 0.5370107162728134
-0.25081810353183137 | [-7.88  9.88] | 0.5783827906295035
-0.13052065613317712 | [-8.58 10.58] | 0.5687347111888891
0.0017668609590702489 | [-8.81 10.81] | 0.47260807724551923
0.13442234212574727 | [-8.06 10.06] | 0.326007496549583
0.2575901810227469 | [-6.91  8.91] | 0.18363600916361136
0.3697925564287902 | [-5.84  7.84] | 0.053579101769022655
0.47255860668903693 | [-4.82  6.82] | -0.06269378532406078
0.567458216814036 | [-3.79  5.79] | -0.17659075921772013
0.6543411265083955 | [-2.97  4.97] | -0.3081852054984979
0.7315035631923373 | [-2.52  4.52] | -0.46621243093995307
0.7969687126689741 | [-2.44  4.44] | -1.0233999310230901
0.8092857362577625 | [ 7.99 -5.99] | -0.7217767260105625
0.7633702739994896 | [ 3.29 -1.29] | -0.31831473794753956
0.7167913527363339 | [ 4.88 -2.88] | -0.11805067738059842
0.6653757957973878 | [ 6.68 -4.68] | 0.0730196621963938
0.6092997810268779 | [ 8.47 -6.47] | 0.22937299983499904
0.5467453668159626 | [10.12 -8.12] | 0.3405738537832965
0.47454909009457075 | [11.62 -9.62] | 0.4082658623090167
0.38889773880908035 | [ 13. -11.] | 0.4407093975535658
0.28633124240480384 | [ 14.28 -12.28] | 0.44325795778594285
0.16597337796113182 | [ 15.26 -13.26] | 0.40248117398830086
0.033267318489996374 | [ 15.15 -13.15] | 0.30104871516780907
-0.09974244607155514 | [ 13.35 -11.35] | 0.17760957676878428
-0.2233873594188197 | [11.01 -9.01] | 0.06250612106454154
-0.33627651476057263 | [ 8.8 -6.8] | -0.04477103423465506
-0.43980800347061244 | [ 6.7 -4.7] | -0.1422514168308191
-0.535492120117807 | [ 4.7 -2.7] | -0.24196515411133906
-0.6231171164089545 | [ 2.83 -0.83] | -0.3435883319433467
-0.7014268750695473 | [1.69 0.31] | -0.30601785280776306
-0.7736190780759109 | [ 4.84 -2.84] | -0.6167612795375914
-0.8062770841766365 | [-18.84  20.84] | -1.0210539204395923
-0.7519269198152865 | [-6.64  8.64] | -0.3990159516422074
-0.7019447845692217 | [-6.11  8.11] | -0.1784577715968468
-0.6478107486386637 | [-5.76  7.76] | 0.03516446569990575
-0.5896350107911015 | [-5.68  7.68] | 0.21685767413973958
-0.5256017108642166 | [-5.88  7.88] | 0.3562014008231832
-0.45259883618922897 | [-6.35  8.35] | 0.45483166747114845
-0.3668914387377132 | [-7.02  9.02] | 0.5209577330078842
-0.2650440078875722 | [-7.83  9.83] | 0.5587011049511976
-0.14589962199128756 | [-8.6 10.6] | 0.5490517793159397
-0.014087600165552258 | [-8.93 10.93] | 0.4572388517834691
0.11901645601142455 | [-8.27 10.27] | 0.3142761699318286
0.24305121592240922 | [-7.12  9.12] | 0.17451010319799623
0.35609767214438626 | [-6.04  8.04] | 0.04655589653756864
0.45959164482713005 | [-5.  7.] | -0.06791463229775578
0.5551557992446928 | [-3.95  5.95] | -0.17910208453690551
0.6427779271750325 | [-3.1  5.1] | -0.3072622488760539
0.7208136239641956 | [-2.62  4.62] | -0.4621301766921741
0.7872572352113235 | [-2.5  4.5] | -0.9274015131096557
0.8098979379123301 | [ 7.33 -5.33] | -0.7398276370391373
0.7646639825804296 | [ 3.33 -1.33] | -0.34700038087964136
0.7178773550697518 | [ 4.84 -2.84] | -0.1438875672940942
0.6662759701172688 | [ 6.6 -4.6] | 0.05263898962634236
0.6101934262297846 | [ 8.38 -6.38] | 0.21592976869725178
0.547930033811932 | [10.04 -8.04] | 0.3344724030269336
0.4763909415413671 | [11.55 -9.55] | 0.4091790796194467
0.39177564751665306 | [ 12.94 -10.94] | 0.4480676302706511
0.290531756008795 | [ 14.24 -12.24] | 0.45701904660263265
0.17143873367142357 | [ 15.26 -13.26] | 0.4237750461950988
0.039318045625578626 | [ 15.28 -13.28] | 0.3273659182399043
-0.09413824628051579 | [ 13.59 -11.59] | 0.2027441165463346
-0.21864381630698648 | [11.24 -9.24] | 0.08527074489400005
-0.33232503867805524 | [ 9. -7.] | -0.02430206785617567
-0.43650518665310856 | [ 6.89 -4.89] | -0.12387655524382542
-0.5327617185467728 | [ 4.87 -2.87] | -0.22401957250237747
-0.6210480521979789 | [ 2.99 -0.99] | -0.3435320729007567
-0.6996911601192789 | [1.27 0.73] | -0.27087370435249797
-0.7733023189495601 | [ 6.07 -4.07] | -0.5142583226660032
-0.811043796911259 | [-16.66  18.66] | -1.1402447973787821
-0.7563511404013632 | [-7.07  9.07] | -0.4338447244469977
-0.7082840484404395 | [-6.26  8.26] | -0.21956529854787116
-0.6552826720203043 | [-5.91  7.91] | -0.005182015970570308
-0.5980085611216533 | [-5.8  7.8] | 0.1831002355401093
-0.5350985175162478 | [-5.96  7.96] | 0.33155951736362016
-0.4637296022572404 | [-6.39  8.39] | 0.43953276784056283
-0.38030389436732437 | [-7.02  9.02] | 0.5143848692796881
-0.28130761436710267 | [-7.78  9.78] | 0.5617554624740554
-0.16501845467785098 | [-8.52 10.52] | 0.5671683241144311
-0.03483710570457147 | [-8.92 10.92] | 0.49200886405573574
0.0988532002320715 | [-8.38 10.38] | 0.3513767277669179
0.22462411456326434 | [-7.24  9.24] | 0.2067345268220721
0.3392806940278152 | [-6.14  8.14] | 0.07421715434538141
0.44406452260284596 | [-5.12  7.12] | -0.0445188386308178
0.5407146400933696 | [-4.07  6.07] | -0.1563235647870832
0.6295742067955806 | [-3.17  5.17] | -0.2812447527428499
0.7092107841623877 | [-2.62  4.62] | -0.43181490819906937
0.7776058536166454 | [-2.45  4.45] | -0.7403632272175198
0.8187788309234133 | [ 6.17 -4.17] | -1.0133432482138869
0.768953196708632 | [ 3.27 -1.27] | -0.3900926283207664
0.7222704857531584 | [ 4.71 -2.71] | -0.18557697704865003
0.6706673871576447 | [ 6.44 -4.44] | 0.017738456696442098
0.6148033706805701 | [ 8.23 -6.23] | 0.19115768502791414
0.5532383881470689 | [ 9.92 -7.92] | 0.32116239987444317
0.4830505501745049 | [11.47 -9.47] | 0.40727551609832746
0.4005164118704184 | [ 12.89 -10.89] | 0.45701165405516037
0.3019758944803521 | [ 14.21 -12.21] | 0.4772316701060476
0.1856230307296537 | [ 15.3 -13.3] | 0.4584090685967157
0.05503638626701435 | [ 15.54 -13.54] | 0.3739456349249338
-0.0790253943993513 | [ 14.05 -12.05] | 0.24796176569942963
-0.20518870173240436 | [11.68 -9.68] | 0.12527408976456705
