4.3, 0.2, 4.1, -0.5, -2.0, 1.0, -1.5, 0.7, 2.8, -1.2, -0.6, -2.8, 4.0, 0.9, 3.5, -1.0, 0.8, 0.7
parameter ends

state | action | reward
[-0.03] | [0.75 0.98] | 0.04321957270878735
-0.04047742469608306 | [6.99 1.03] | 0.04768103438377304
-0.07815358734365592 | [13.73  2.4 ] | 0.07786096840495485
-0.13881419017398963 | [18.05  3.49] | 0.1403699074300647
-0.2141032785537975 | [20.31  4.28] | 0.22671936950698246
-0.29759470212352696 | [21.22  4.83] | 0.32295342602526733
-0.3851395369998796 | [21.32  5.22] | 0.418271885002025
-0.4742428099949054 | [20.95  5.49] | 0.5062458120714634
-0.5634154445107518 | [20.33  5.68] | 0.5835287504380978
-0.6517404590097043 | [19.56  5.82] | 0.64863124472633
-0.7386258025989705 | [18.71  5.91] | 0.701178723747832
-0.8236727126163403 | [17.82  5.96] | 0.7414882116002779
-0.9066062446866424 | [16.91  5.99] | 0.7703371336910494
-0.9872392277739812 | [16.  6.] | 0.7888255150041853
-1.0654539445966644 | [15.1   5.99] | 0.7982787981718624
-1.1411930130684325 | [14.23  5.97] | 0.800167853376465
-1.2144548751323798 | [13.39  5.93] | 0.7960381955161491
-1.285291460139566 | [12.59  5.9 ] | 0.7874476315505992
-1.3538068068823712 | [11.83  5.86] | 0.7759142230344913
-1.4201561425115266 | [11.12  5.83] | 0.7628767542942438
-1.4845453619900957 | [10.46  5.81] | 0.7496691389909663
-1.5472311562528658 | [9.85 5.81] | 0.7375091514451871
-1.6085222776488988 | [9.3  5.84] | 0.7275009928179051
-1.6687826655747207 | [8.81 5.89] | 0.7387168488729399
-1.7289577421247622 | [5.89 6.05] | -0.02138976970464139
-1.7299176820796769 | [-3.91 -0.59] | -0.39744324735412806
-1.704000573678341 | [-6.42 -2.4 ] | -0.6058991605609169
-1.663033002434328 | [-8.98 -3.19] | -0.7211460981903012
-1.6125652465271207 | [-10.83  -3.62] | -0.785702633822396
-1.556486888461818 | [-12.05  -3.79] | -0.8134313857446132
-1.4974795784433754 | [-12.82  -3.82] | -0.8184408457468231
-1.4370843559335749 | [-13.35  -3.77] | -0.8114483272807353
-1.3760053297169577 | [-13.79  -3.69] | -0.7995520821078402
-1.3143888460421618 | [-14.23  -3.63] | -0.7871675764469006
-1.252012276852947 | [-14.75  -3.58] | -0.7767496749404692
-1.1884095690572578 | [-15.39  -3.56] | -0.7688373586733005
-1.1229849553800495 | [-16.19  -3.58] | -0.7623243569142598
-1.0551077827411754 | [-17.13  -3.62] | -0.7546488484682837
-0.9841986438623698 | [-18.21  -3.68] | -0.7420761422026148
-0.9098087041157242 | [-19.4   -3.73] | -0.7202223285645839
-0.8316838263682443 | [-20.64  -3.77] | -0.6848050204073668
-0.7498034759136636 | [-21.88  -3.77] | -0.6324973379983665
-0.6643865817696849 | [-23.05  -3.73] | -0.5616679429652968
-0.5758621339765787 | [-24.1   -3.63] | -0.4727728955363148
-0.4848098126092686 | [-24.96  -3.48] | -0.36825209233773354
-0.3918831247069627 | [-25.62  -3.29] | -0.25195399191078127
-0.2977316318398988 | [-26.05  -3.09] | -0.12828862150460058
-0.2029379187421983 | [-26.26  -2.88] | -0.0013969893276375295
-0.10797927770468686 | [-26.28  -2.69] | 0.12534959289752834
-0.013217878393327748 | [-26.12  -2.52] | 0.24924998851412103
0.08108291341969447 | [-25.82  -2.38] | 0.3681933911287503
0.174734473592299 | [-25.41  -2.27] | 0.4805881337715467
0.26758971609182775 | [-24.89  -2.19] | 0.5851233149026728
0.3595172614063991 | [-24.27  -2.14] | 0.6806163513393069
0.4503877627121937 | [-23.57  -2.11] | 0.7659830567890324
0.5400689093298832 | [-22.79  -2.09] | 0.8402885287727422
0.6284251289976674 | [-21.94  -2.1 ] | 0.9028350489322217
0.7153187289646996 | [-21.01  -2.11] | 0.9531943288556616
0.80061533297641 | [-20.03  -2.14] | 0.991239312073718
0.8841904665082011 | [-19.    -2.17] | 1.0171700520535283
0.9659350856074501 | [-17.94  -2.22] | 1.0315092503564125
1.0457601500672016 | [-16.86  -2.27] | 1.0350736278427828
1.1236003972558142 | [-15.77  -2.33] | 1.0289280664408962
1.199417439658134 | [-14.68  -2.39] | 1.0143286906303925
1.273202279748694 | [-13.62  -2.46] | 0.9926604746479856
1.3449773311324835 | [-12.59  -2.54] | 0.9653745541121869
1.4147980625336467 | [-11.6   -2.62] | 0.9339299412816893
1.4827544390059317 | [-10.68  -2.7 ] | 0.8997435826816143
1.5489724167156635 | [-9.81 -2.8 ] | 0.8641516063933203
1.6136158497663702 | [-9.02 -2.91] | 0.8283832865233074
1.6768892926178125 | [-8.31 -3.03] | 0.7935478831562576
1.7390423441398044 | [-7.68 -3.17] | 1.1405048372062885
1.8115113083115735 | [-6.27 -6.51] | 1.2310414153886906
1.8844077880127172 | [ 0.09 -2.53] | 0.11744272080198892
1.8852337697327552 | [6.66 1.26] | -0.1339279078408851
1.8679900110663883 | [10.21  2.3 ] | -0.3239659872691702
1.8358910380962892 | [13.02  3.05] | -0.472518328244709
1.7931040877254734 | [14.96  3.53] | -0.5779482255659197
1.743459960550632 | [16.19  3.78] | -0.6488136352135437
1.689734145341446 | [16.95  3.9 ] | -0.696262209082302
1.6336330553305025 | [17.45  3.93] | -0.7299873393962137
1.5760431271652793 | [17.86  3.93] | -0.7572686721431647
1.5172829471133804 | [18.27  3.91] | -0.7832935677390055
1.457282765402427 | [18.77  3.89] | -0.8113638835596692
1.3957108113866916 | [19.4   3.89] | -0.8426972000688703
1.3320844596539023 | [20.18  3.9 ] | -0.8766768795925232
1.2658632311303704 | [21.1   3.93] | -0.9110124206920253
1.1965330247899102 | [22.14  3.98] | -0.9419911691058764
1.1236819235094846 | [23.27  4.05] | -0.9649268976923487
1.0470620455798576 | [24.42  4.11] | -0.9748210277372521
0.9666300489834422 | [25.53  4.17] | -0.9671612508509605
0.8825602917201876 | [26.55  4.21] | -0.9387132806834368
0.7952280135660844 | [27.4   4.23] | -0.888119182267532
0.7051646093363311 | [28.05  4.24] | -0.8161256154169871
0.6129925786499402 | [28.46  4.23] | -0.7253511672461435
0.5193528425000495 | [28.63  4.22] | -0.6196543293423951
0.424839620089731 | [28.57  4.21] | -0.5033177698385477
0.32995592665517925 | [28.32  4.21] | -0.3803375863747456
0.23509613532497917 | [27.91  4.23] | -0.2541890427585756
0.1405552747468289 | [27.36  4.27] | -0.12790341801311084
0.04655593618883298 | [26.72  4.32] | -0.003972243069371606
-0.046720437177407995 | [25.99  4.39] | 0.11550728621938981
