0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, -1.5, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0
parameter ends

state | action | reward
[-0.] | [ 0.1  -0.08] | 0.05556452113283767
-0.005372201799103862 | [ 0.19 -0.08] | 0.05647225686695394
-0.016904938401736243 | [ 0.33 -0.09] | 0.05854235246517612
-0.04218911553349561 | [ 0.51 -0.09] | 0.06709236790057709
-0.08580068730923764 | [ 0.75 -0.11] | 0.09168130561860247
-0.15086445620045788 | [ 1.05 -0.17] | 0.14041724488288165
-0.2370027548149704 | [ 1.38 -0.26] | 0.19978275302076662
-0.3359638083694034 | [ 1.59 -0.34] | 0.24373078338622484
-0.43845785909144863 | [ 1.7  -0.39] | 0.26319084109686824
-0.5395604281421147 | [ 1.73 -0.4 ] | 0.2598206114278376
-0.636528183180691 | [ 1.7  -0.38] | 0.2401360157288473
-0.7277417151322897 | [ 1.63 -0.34] | 0.2131087168881909
-0.8123910411073691 | [ 1.55 -0.3 ] | 0.11685239036390084
-0.8830317727751112 | [-0.17  0.73] | -0.8183037642088025
-0.8440137286460185 | [-1.25  1.18] | -0.6711842699538105
-0.7941762707956221 | [-1.08  0.83] | -0.45376858792333524
-0.7402115223573983 | [-0.95  0.53] | -0.28738750873221985
-0.6818628993564639 | [-0.89  0.33] | -0.17941515730076676
-0.617979877200332 | [-0.89  0.2 ] | -0.10803076351104983
-0.5468889946360493 | [-0.92  0.12] | -0.0527640914141638
-0.4665241303173536 | [-0.94  0.04] | 0.007093386588357959
-0.37528978293680204 | [-0.93 -0.07] | 0.08625079312233681
-0.2732096921426739 | [-0.85 -0.2 ] | 0.18455708965234713
-0.16344985489640387 | [-0.69 -0.36] | 0.27762083023515627
-0.05321809969533699 | [-0.48 -0.47] | 0.3256524232234194
0.0481977866412214 | [-0.28 -0.5 ] | 0.31083183858049285
0.13396622806252512 | [-0.13 -0.43] | 0.251877056052731
0.20222191770605652 | [-0.04 -0.32] | 0.17946360985050758
0.2549481098743167 | [-0.   -0.22] | 0.11498299374050074
0.29573184884738635 | [ 0.   -0.13] | 0.06784691548564699
0.3282808315424989 | [-0.01 -0.07] | 0.039395720285232125
0.3556844715519604 | [-0.02 -0.04] | 0.02562642968969516
0.38009741804197955 | [-0.02 -0.03] | 0.02063833283988506
0.40277126850908246 | [-0.03 -0.03] | 0.01957778402758136
0.4243157255294237 | [-0.03 -0.03] | 0.019678152299073808
0.4449916201782787 | [-0.03 -0.03] | 0.019825515940221278
0.4649122003786182 | [-0.03 -0.03] | 0.019756534482643626
0.48414172905580016 | [-0.02 -0.03] | 0.019502805203908062
0.5027309464504506 | [-0.02 -0.03] | 0.019145165406693348
0.5207258644425359 | [-0.02 -0.03] | 0.018744501921222678
0.5381687769421316 | [-0.02 -0.03] | 0.018336788902622348
0.5550980778089465 | [-0.02 -0.03] | 0.017941372944959694
0.5715483122350317 | [-0.02 -0.03] | 0.017568015303598392
0.5875504761041009 | [-0.02 -0.03] | 0.017221090682362248
0.603132406105664 | [-0.02 -0.03] | 0.016901919228303985
0.6183191686510827 | [-0.02 -0.03] | 0.016610084062439995
0.6331334121813023 | [-0.02 -0.02] | 0.01634420265016029
0.6475956740983589 | [-0.02 -0.02] | 0.016102390616832846
0.6617246438500411 | [-0.02 -0.02] | 0.015882544055278794
0.6755373870919505 | [-0.02 -0.02] | 0.015682510967656396
0.6890495365360364 | [-0.02 -0.02] | 0.015500193456117342
0.7022754547624255 | [-0.02 -0.02] | 0.015333606095762328
0.7152283736075791 | [-0.02 -0.02] | 0.0151809064562135
0.7279205140251132 | [-0.02 -0.02] | 0.015040407989093865
0.7403631896539494 | [-0.02 -0.02] | 0.014910581905084609
0.7525668967565254 | [-0.02 -0.02] | 0.014790052366525227
0.7645413927113824 | [-0.02 -0.02] | 0.01467758782685426
0.7762957648512109 | [-0.02 -0.02] | 0.014572090363386333
0.7878384911171961 | [-0.02 -0.02] | 0.014472584195337847
0.799177493740891 | [-0.02 -0.02] | 0.014378204141810288
0.8103201869547112 | [-0.02 -0.02] | 0.014288184482072521
0.8212735195619828 | [-0.02 -0.02] | 0.01420184848550509
0.8320440130594488 | [-0.02 -0.02] | 0.014118598749525384
0.8426377958928676 | [-0.02 -0.02] | 0.014037908399585554
0.8530606343347107 | [-0.02 -0.02] | 0.013959313151514897
0.8633179603978977 | [-0.02 -0.02] | 0.013882404203354778
0.873414897137733 | [-0.02 -0.02] | 0.013806821904630517
0.8833562816431594 | [-0.02 -0.02] | 0.013732250141123484
0.8931466859760365 | [-0.02 -0.02] | 0.013658411369416435
0.9027904362817818 | [-0.02 -0.02] | 0.01358506223571312
0.9122916302650378 | [-0.02 -0.02] | 0.013511989715990033
0.9216541531990391 | [-0.02 -0.02] | 0.013439007718598007
0.9308816926161819 | [-0.02 -0.02] | 0.01336595409516754
0.939977751809302 | [-0.02 -0.02] | 0.013292688010702474
0.9489456622577772 | [-0.02 -0.02] | 0.013219087628745891
0.9577885950793632 | [-0.02 -0.02] | 0.013145048072339143
0.9665095715972838 | [-0.02 -0.02] | 0.01307047962592184
0.975111473102242 | [-0.02 -0.02] | 0.012995306147554002
0.9835970498804455 | [-0.02 -0.02] | 0.012919463664496854
0.9919689295712721 | [-0.02 -0.02] | 0.012842899128631865
1.000229624911652 | [-0.01 -0.02] | 0.012765569311145822
