2.0, -1.0, 1.5, 0.0, -0.5, 1.0, -2.0, 0.5, 3.0, -1.5, 2.5, -0.5, -3.0, 1.5, 0.0, 2.0, 0.8, -0.8
parameter ends

state | action | reward
[0.09] | [ 0.42 -0.73] | -0.0341715306996256
0.06889495997755644 | [-4.49 -3.24] | -0.0660633843626696
0.05072263225383787 | [-1.2  -4.95] | -0.054342611920500584
0.06694748274100117 | [ 1.96 -6.21] | -0.19878516935306953
0.06485843446738894 | [-5.4  -7.93] | -0.34643918257902834
0.05299054590412366 | [-0.59 -7.99] | -0.35103877925503957
0.06873785079087 | [ 1.31 -8.37] | -0.5410018138725693
0.0632787397093973 | [-4.17 -8.61] | -0.663479360784656
0.053115446695367975 | [ 0.54 -8.77] | -0.7336583247526741
0.048073278023427896 | [-2.11 -8.6 ] | -0.7923281770514702
0.0496306557758996 | [ 2.26 -9.02] | -0.8935933799851855
0.04683915577519724 | [-2.13 -8.34] | -0.9766466758942113
0.04334688965013372 | [ 2.79 -8.1 ] | -0.3203093427312334
0.05383266917594283 | [ 1.58 -1.13] | -0.2429530267945593
0.02993917906632005 | [-2.11 -0.31] | -0.23257559476111425
0.009379846596535893 | [ 2.17 -1.72] | -0.27387528217792295
-0.01018225525758642 | [-1.56 -0.87] | -0.227547071827902
-0.02690006421122747 | [ 2.54 -2.11] | -0.2187912777536635
-0.04248595949737493 | [-1.04 -0.97] | -0.20344275536366987
-0.056193469062881966 | [ 2.88 -2.24] | -0.1973732027767749
-0.06909436130452935 | [-0.65 -1.08] | -0.19609173975140395
-0.08649057140150797 | [ 1.91 -1.89] | -0.19756000631978343
-0.10854683217572335 | [-1.42 -0.78] | -0.18073474732138164
-0.12811529797130103 | [ 2.34 -1.98] | -0.17361526922852447
-0.14645736266468248 | [-0.96 -0.9 ] | -0.16216536883219257
-0.16352664720066645 | [ 2.53 -2.01] | -0.156944494414038
-0.18023195760130906 | [-0.71 -0.94] | -0.14996915739798378
-0.1997181237174353 | [ 1.86 -1.75] | -0.14429991829210662
-0.22228425381635833 | [-1.22 -0.72] | -0.13375117916639803
-0.24249002150963025 | [ 2.27 -1.83] | -0.12909727318024153
-0.2614405991189452 | [-0.79 -0.82] | -0.12008623350951776
-0.2814986763602191 | [ 1.93 -1.68] | -0.11257834226189499
-0.30318298159018453 | [-1.01 -0.69] | -0.10595870505786793
-0.32266525227928317 | [ 2.32 -1.75] | -0.10319997893186064
-0.34095528623011045 | [-0.61 -0.78] | -0.08963543754528296
-0.362536792317724 | [ 1.48 -1.43] | -0.0753218209970431
-0.3875242089032279 | [-1.29 -0.5 ] | -0.0714283868897249
-0.4097831245527229 | [ 1.98 -1.53] | -0.0708292385963699
-0.4304592667764426 | [-0.8  -0.61] | -0.09747821553536264
-0.4400831621955589 | [ 4.29 -2.25] | -0.16044338816762732
-0.4297906365619439 | [ 4.16 -2.24] | -0.14962751217310277
-0.4215068712805527 | [ 3.99 -2.18] | -0.14256886256957227
-0.41420705477376013 | [ 3.95 -2.17] | -0.13825446609434847
-0.4072418383680028 | [ 3.94 -2.18] | -0.13470125572733918
-0.40045456462230605 | [ 3.94 -2.18] | -0.13140707590151438
-0.3938138326316981 | [ 3.94 -2.19] | -0.12827735918831462
-0.3873104674878458 | [ 3.95 -2.19] | -0.12529119103546377
-0.3809385266205206 | [ 3.95 -2.2 ] | -0.12243815497181938
-0.37469266140226754 | [ 3.95 -2.2 ] | -0.11970948771342133
-0.36856784861996705 | [ 3.96 -2.21] | -0.11709717617848253
-0.3625593628841993 | [ 3.96 -2.21] | -0.11459386961867521
-0.35666275771209127 | [ 3.96 -2.22] | -0.11219282540754506
-0.3508738447859086 | [ 3.96 -2.22] | -0.10988785073597303
-0.3451886741018837 | [ 3.97 -2.22] | -0.10767324797748104
-0.3396035158234566 | [ 3.97 -2.23] | -0.1055437659101425
-0.3341148438303658 | [ 3.97 -2.23] | -0.10349455653900348
-0.3287193207996525 | [ 3.98 -2.24] | -0.1015211368487104
-0.32341378465118475 | [ 3.98 -2.24] | -0.09961935484711137
