2.1, -1.1, 3.2, -0.9, -1.7, 0.8, -0.8, 0.5, -1.4, -0.6, -0.3, -3.5, 4.2, 1.0, 4.3, -1.2, 0.9, 0.8
parameter ends

state | action | reward
[-0.07] | [0.67 1.38] | 0.08653027480863071
-0.0829766071166974 | [6.22 1.05] | 0.10383842825654603
-0.11577874847812918 | [11.16  3.34] | 0.14984675401488412
-0.17302265905264277 | [14.36  5.15] | 0.2223023317663389
-0.24616030680507872 | [16.07  6.4 ] | 0.3129998490909371
-0.3282818359467288 | [16.83  7.22] | 0.4090253249354323
-0.4148532667556505 | [17.05  7.73] | 0.5009099334232067
-0.503160604568581 | [16.97  8.05] | 0.5834482062941416
-0.5916128193579604 | [16.75  8.25] | 0.6542509944255547
-0.6792563520448184 | [16.44  8.37] | 0.7124961780218227
-0.7654940111845133 | [16.08  8.44] | 0.75822568452466
-0.8499340712623891 | [15.69  8.46] | 0.7920069713063231
-0.9323124233568609 | [15.29  8.45] | 0.8147586720465183
-1.0124529662274186 | [14.88  8.43] | 0.8276443447161105
-1.090247592270204 | [14.48  8.38] | 0.8319958724131351
-1.1656461883764562 | [14.09  8.32] | 0.8292478899362233
-1.238651630470723 | [13.71  8.26] | 0.8208784986812588
-1.3093171922079885 | [13.36  8.2 ] | 0.8083570184881961
-1.3777451149271907 | [13.04  8.13] | 0.7931009809731805
-1.4440858313639202 | [12.77  8.08] | 0.7764443038600294
-1.5085377821119963 | [12.55  8.04] | 0.7596176678290719
-1.5713480613516797 | [12.38  8.02] | 0.743741112586695
-1.6328143640793689 | [12.29  8.03] | 0.7298280738380059
-1.6932889442163566 | [12.28  8.07] | 0.8041906901736644
-1.7556404481679517 | [7.39 9.51] | 0.016999470642534615
-1.756865181261644 | [-2.71  0.61] | -0.4060367333098279
-1.7298552239690628 | [-4.81 -2.  ] | -0.6350569366536652
-1.687377400160204 | [-7.87 -2.89] | -0.7468267993498361
-1.6356938182240743 | [-10.01  -3.4 ] | -0.8095991802122848
-1.5785985920576184 | [-11.29  -3.66] | -0.83679586589026
-1.518663905802939 | [-11.98  -3.78] | -0.8422211763373509
-1.4573345422895128 | [-12.3   -3.84] | -0.8365278414695482
-1.39523069993032 | [-12.45  -3.91] | -0.8268633797652126
-1.3324206309869908 | [-12.54  -4.  ] | -0.8176732290625828
-1.2686061017146832 | [-12.66  -4.14] | -0.8112432224744198
-1.2032494320560456 | [-12.85  -4.35] | -0.8075164282518245
-1.1356983492189854 | [-13.15  -4.6 ] | -0.8044756547144137
-1.0652915110103436 | [-13.58  -4.9 ] | -0.7983941406911176
-0.991456219265421 | [-14.14  -5.21] | -0.7842136467834088
-0.9137984152669711 | [-14.8   -5.51] | -0.7563412874420177
-0.8321703051662451 | [-15.55  -5.76] | -0.7097746294875621
-0.7467002863625684 | [-16.34  -5.93] | -0.641262970148981
-0.6577761417030827 | [-17.14  -6.01] | -0.5501260844927983
-0.5659845259705087 | [-17.9   -5.98] | -0.438416497284585
-0.47202309316144164 | [-18.59  -5.85] | -0.31037865154857147
-0.37660892641105326 | [-19.18  -5.65] | -0.1714574707142723
-0.2804041122207029 | [-19.67  -5.4 ] | -0.02724192765423563
-0.1839692146030281 | [-20.04  -5.13] | 0.117286001342545
-0.08774831759103915 | [-20.3   -4.86] | 0.25805297370942315
0.00791852998492194 | [-20.46  -4.6 ] | 0.3918947565358804
0.10278318821821722 | [-20.52  -4.38] | 0.5165161101717636
0.19668430662735586 | [-20.5  -4.2] | 0.6305749779526701
0.28951311849773176 | [-20.39  -4.06] | 0.7333598177851391
0.38118373726281285 | [-20.2   -3.96] | 0.8244504750466473
0.4716154781366545 | [-19.93  -3.91] | 0.9034985152632
0.5607231014044279 | [-19.6   -3.88] | 0.9701402815662189
0.6484129465194391 | [-19.2   -3.87] | 1.0240277128182884
0.7345837283468755 | [-18.75  -3.89] | 1.0649269227066736
0.8191306137756645 | [-18.24  -3.91] | 1.0928259871191326
0.9019510414870618 | [-17.68  -3.95] | 1.1080122305780566
0.9829510044382739 | [-17.08  -4.  ] | 1.1111055021684093
1.0620509421490738 | [-16.45  -4.06] | 1.1030490535580144
1.1391910148717888 | [-15.81  -4.12] | 1.0850674307184294
1.2143358776855269 | [-15.16  -4.19] | 1.0586067476914105
1.2874786086369372 | [-14.52  -4.27] | 1.0252635813139777
1.3586438475206206 | [-13.91  -4.36] | 0.9867099649706806
1.4278903364243014 | [-13.33  -4.45] | 0.9446218817555152
1.4953131069694674 | [-12.8   -4.56] | 0.9006176599485822
1.561045670584943 | [-12.34  -4.67] | 0.8562124419907289
1.6252626806784893 | [-11.95  -4.8 ] | 0.8127899038616337
1.6881834819729553 | [-11.66  -4.95] | 1.0431475089575548
1.7581993943322864 | [-7.55 -9.55] | 1.3667364501824644
1.8381760508938245 | [-8.22 -9.83] | 0.7883407000375366
1.8821021817420875 | [ 2.7  -1.15] | 0.004589394075834223
1.874418522408412 | [5.97 1.22] | -0.25638682707311555
1.8487535068292602 | [9.73 2.3 ] | -0.42706902405782726
1.8104135742984164 | [12.48  3.06] | -0.5553906888445728
1.7634471695000982 | [14.21  3.54] | -0.6453276963804588
1.7110644017570913 | [15.19  3.86] | -0.7070504740144093
1.6553707173539662 | [15.69  4.07] | -0.7511603887021373
1.5975328253566092 | [15.94  4.25] | -0.7862394272281489
1.538036733973325 | [16.09  4.42] | -0.8185757873659625
1.4768971081053874 | [16.24  4.61] | -0.8523359686769972
1.4138056368581586 | [16.45  4.83] | -0.8890120882091839
1.3482679022713144 | [16.77  5.09] | -0.9276198527890022
1.2797218524430984 | [17.21  5.39] | -0.9649801132000713
1.2076431520589959 | [17.77  5.71] | -0.9960027410264916
1.13164268557909 | [18.41  6.02] | -1.014344858165871
1.0515455814110364 | [19.12  6.31] | -1.0135170644182168
0.9674363333237296 | [19.84  6.55] | -0.9882125080502798
0.8796588291790456 | [20.52  6.71] | -0.9354880409491395
0.7887701776306861 | [21.14  6.79] | -0.8553949987006492
0.6954605362283804 | [21.64  6.79] | -0.7508379474091036
0.6004611342874542 | [22.02  6.73] | -0.6267675722522366
0.5044634502026477 | [22.27  6.62] | -0.4890667011250451
0.40806427382999433 | [22.4   6.48] | -0.3435500726305881
0.3117429123312939 | [22.41  6.35] | -0.19535001394143353
0.21586886718951645 | [22.33  6.22] | -0.04870863302032075
0.12071976327744421 | [22.16  6.11] | 0.09286215884801477
0.02648463823433479 | [21.91  6.03] | 0.22686802118068225
-0.06671125792415009 | [21.6   5.98] | 0.3517633894361061
-0.15877289667820307 | [21.23  5.97] | 0.4665577264803196
-0.2496149163306821 | [20.81  5.98] | 0.5705215835470802
-0.339150188927158 | [20.33  6.02] | 0.6630183506492111
-0.4272847226704242 | [19.81  6.07] | 0.7434597723656537
-0.5139174069877898 | [19.26  6.13] | 0.8113537895593378
-0.5989432576671915 | [18.68  6.19] | 0.8663936286937759
-0.6822586953343648 | [18.07  6.26] | 0.9085424515129434
-0.7637675612237096 | [17.44  6.32] | 0.9380894591925966
-0.8433869330943831 | [16.8   6.38] | 0.9556673133834237
-0.9210524045696405 | [16.17  6.44] | 0.9622288767474207
-0.996722990033363 | [15.54  6.5 ] | 0.9590064628773348
-1.070385219015246 | [14.94  6.56] | 0.9474556374617901
-1.1420564142698961 | [14.37  6.62] | 0.9291889925340838
-1.2117873297689568 | [13.85  6.68] | 0.905908212405688
-1.2796643724047283 | [13.37  6.75] | 0.8793417458149713
-1.3458117190258154 | [12.97  6.83] | 0.8511923754415776
-1.4103937904333836 | [12.63  6.92] | 0.8231025346311607
