-2.5, 1.2, -4.0, 2.3, 0.0, -1.5, 3.7, -0.8, -3.1, 1.0, -2.2, 0.4, 2.9, -1.0, -0.6, 4.2, 0.3, -1.4
parameter ends

state | action | reward
[-0.08] | [-0.02 -1.13] | -0.04200549976323987
-0.08526431271867395 | [  4.39 -11.13] | -0.05108760524994966
-0.1335207052024133 | [ 12.28 -23.34] | -0.12580982609951652
-0.22079399979231795 | [ 15.04 -27.32] | -0.19498280887959601
-0.3212845643121923 | [ 15.07 -27.1 ] | -0.23932459274412027
-0.4226675604512001 | [ 14.21 -25.55] | -0.2824746196912941
-0.5200228666585409 | [ 12.99 -23.61] | -0.3467885084026048
-0.6102026506274272 | [ 11.44 -21.48] | -0.44597887077200155
-0.69037406122998 | [  9.53 -19.18] | -0.5804143549381191
-0.7582868611235389 | [  7.32 -16.76] | -0.012713058133513033
-0.825309960908573 | [-3.51  6.34] | -0.24784378164883233
-0.8004110136592534 | [-10.44  11.14] | -0.17424721802882384
-0.7621559814802474 | [-11.79  14.07] | -0.026566830493742317
-0.7178728247249525 | [-12.83  16.76] | 0.10384856890071079
-0.667564086367482 | [-13.87  19.45] | 0.190779846776924
-0.6092170992777182 | [-15.15  22.35] | 0.22109798420534
-0.5394115807112577 | [-16.81  25.64] | 0.19301127894885328
-0.45403002534979464 | [-18.87  29.36] | 0.1140023799960777
-0.3495208731310376 | [-21.08  33.21] | -0.000548932429505461
-0.22592361258848875 | [-22.67  36.01] | -0.13048407579206692
-0.0910515228022274 | [-22.5   35.77] | -0.23475374053566114
0.041850553397836526 | [-20.65  32.6 ] | -0.29158185645205326
0.16517081711323944 | [-18.69  29.16] | -0.3378742613180596
0.2783235027594052 | [-17.1   26.26] | -0.38597622837914125
0.38255384832233397 | [-15.85  23.83] | -0.43456464130574424
0.4789835889883216 | [-14.78  21.65] | -0.4976760635279503
0.5668629762014604 | [-13.76  19.51] | -0.5904571386344377
0.6441524764934109 | [-12.69  17.3 ] | -0.7147191400852144
0.7088778926772832 | [-11.59  15.03] | -0.33440967203338956
0.747436218612935 | [  6.41 -10.13] | -0.2895918635806489
0.7145021539280846 | [  9.9  -13.92] | -0.14119900165904367
0.6734487781499267 | [ 12.45 -17.07] | 0.026535180904805916
0.6268808902590499 | [ 14.71 -20.  ] | 0.17408838909192656
0.5744148898198425 | [ 16.76 -22.92] | 0.2803690333020546
0.5137612715290644 | [ 18.73 -26.  ] | 0.33714792385625353
0.4413605535996145 | [ 20.69 -29.41] | 0.3463875629572668
0.3531194442591029 | [ 22.71 -33.17] | 0.31623000329635453
0.24578685987780835 | [ 24.57 -36.95] | 0.25416123239666055
0.12019420998577987 | [ 25.49 -39.48] | 0.15974129537528003
-0.01494882149259269 | [ 24.3  -38.74] | 0.06001299317605163
-0.14655526439674843 | [ 21.57 -35.27] | -0.015604547002034563
-0.2681474789126355 | [ 18.94 -31.73] | -0.08780387233734313
-0.3796258594695362 | [ 16.72 -28.74] | -0.16129017440587873
-0.4823777713658536 | [ 14.89 -26.21] | -0.23548982106964492
-0.5773789252813651 | [ 13.2 -23.9] | -0.3259151537842297
-0.6636685171874059 | [ 11.36 -21.57] | -0.44656215552799966
-0.7391550318065303 | [  9.23 -19.12] | -0.5972332491125838
-0.8019495395648389 | [  6.88 -16.57] | -0.26675311640482885
-0.8247003304787198 | [-9.18  7.18] | -0.38332990855087207
-0.7872425585663392 | [-11.08  10.75] | -0.22855874756857295
-0.7429113831576033 | [-12.21  13.77] | -0.058845398370952484
-0.6935511793220818 | [-13.1   16.52] | 0.08935717440974197
-0.6386504189886199 | [-14.05  19.28] | 0.19248030483394837
-0.5758367252401303 | [-15.27  22.26] | 0.2405599464106362
