-4.2, 5.1, -3.4, 0.8, 2.9, -1.2, 3.3, -0.7, -5.5, 1.0, -2.8, 4.0, -1.5, 2.2, -4.9, -0.6, 0.9, -3.1
parameter ends

state | action | reward
[0.04] | [ 0.91 -2.88] | -0.02075949157323605
0.005317073340417757 | [7.11 1.82] | -0.05437139374813305
-0.06425788447923668 | [-0.84 -0.6 ] | 0.0016527909003964693
-0.11782988507823738 | [ 2.87 -0.73] | -0.040665529490505725
-0.1736527036652957 | [5.8  1.97] | 0.012776123428091642
-0.2525801384243194 | [-1.68 -0.71] | 0.04844540725925101
-0.31096959195955787 | [ 2.39 -0.48] | -0.026856232260371187
-0.3618558821593374 | [3.34 0.78] | 0.08266180180037075
-0.43326130844945804 | [-2.11 -1.16] | 0.04337436783616551
-0.48851366798898216 | [2.89 0.11] | -0.04598610380861733
-0.534136824009236 | [ 0.57 -0.36] | 0.01502230410376862
-0.5910526968155049 | [ 0.89 -0.07] | 0.048182653711274136
-0.6532020473577378 | [-0.38 -0.41] | -0.016148928794202714
-0.705774749455181 | [0.42 0.01] | -0.09459238052409764
-0.7472987404854248 | [-1.11 -0.44] | -0.24155938926982828
-0.7720970989471919 | [-0.08  0.36] | -0.4646633678082604
-0.7682396650415633 | [-1.5   0.06] | -0.6674045813502342
-0.7308294139838998 | [-1.63  0.12] | -0.7177167788771613
-0.6762362565791066 | [-1.59 -0.14] | -0.7073632722932447
-0.6081028183557718 | [-0.42 -0.28] | -0.6314470994767722
-0.5352515054341471 | [ 0.43 -0.44] | -0.5070061886838322
-0.47358500367182305 | [-0.4  -0.54] | -0.2136678151935266
-0.42511765129496076 | [-3.6  -2.06] | -0.16173935949069945
-0.36440514636322774 | [-0.75 -1.88] | -0.13734916956967633
-0.28789095477435966 | [ 1.33 -1.85] | -0.03988652439010654
-0.22764010396095388 | [-2.03 -1.72] | 0.013318772505480832
-0.17300767460129268 | [ 1.08 -1.7 ] | 0.04873651488369593
-0.12623597563979724 | [-2.95 -1.43] | 0.0744406828935741
-0.08291487754440152 | [ 0.69 -1.47] | 0.09697886082426431
-0.03997958032567739 | [-2.54 -1.17] | 0.12696912520037104
0.0052068760291881025 | [ 1.42 -1.26] | 0.1284111832308506
0.043537524773353396 | [-3.61 -0.82] | 0.13886052735359772
0.07929553328434293 | [ 0.79 -1.  ] | 0.14496806186896516
0.11389685343368514 | [-3.46 -0.56] | 0.16964015212070394
0.15035963077438244 | [ 1.08 -0.81] | 0.1487995827864845
0.18099646378438772 | [-4.39 -0.24] | 0.1821444708596593
0.2111625600430774 | [-0.22 -0.91] | 0.2615700146226108
0.2590799303265866 | [1.53 0.11] | 0.1104110678390072
0.2833217729086215 | [-4.96  0.13] | 0.24266946461332126
0.3126237131467571 | [-1.41 -1.12] | 0.5313880083098789
0.3779099769801012 | [ 2.99 -0.76] | 0.23568793929042334
0.4187432562205376 | [-0.72  1.75] | 0.1930913275424817
0.45111116146082786 | [-0.26 -0.38] | 0.47888852937675763
0.5045113683468386 | [0.35 0.1 ] | 0.35268836720451957
0.54513749509467 | [-1.68  0.68] | 0.6022524864987067
0.6009597974062041 | [-0.49 -1.18] | 0.8245681801735196
0.6730542476266049 | [1.17 0.15] | 0.40958464038522907
