4.5, -4.3, 4.0, -4.0, 3.8, -3.6, 3.5, -3.5, 3.2, -3.2, 2.9, -2.9, 2.5, -2.5, 2.0, -2.0, 1.0, -1.0
parameter ends

state | action | reward
[-0.03] | [ 0.95 -0.95] | -0.006052222190031181
-0.06383708465508914 | [ 3.33 -3.35] | 0.024348799480303208
-0.14488513072829634 | [ 4.34 -4.41] | -0.009818488721369423
-0.24751334731317953 | [ 4.02 -4.15] | -0.0769571763677281
-0.3523204996218531 | [ 3.11 -3.31] | -0.15137674182258284
-0.4527816943921447 | [ 2.01 -2.27] | -0.22982380683288783
-0.5466347342741352 | [ 0.88 -1.21] | -0.3344749836373774
-0.6304422032145053 | [-0.43  0.04] | -0.4639737622175871
-0.6899463590034302 | [-2.19  1.75] | -0.5076431058404328
-0.7193678825418852 | [-2.62  2.16] | -0.4565092041822888
-0.7259266074051121 | [-2.8   2.33] | -0.3896528652694518
-0.7144094999209808 | [-2.81  2.33] | -0.29950909329256215
-0.6872910938193478 | [-2.67  2.19] | -0.16624990487517782
-0.6478497735761481 | [-2.47  2.02] | -0.00332245492958931
-0.5987521466882226 | [-2.33  1.89] | 0.15841489420712315
-0.5406683030407625 | [-2.28  1.89] | 0.2949757678684693
-0.47217244622833904 | [-2.38  2.02] | 0.3963606117143833
-0.3903959610735031 | [-2.59  2.29] | 0.464160934493898
-0.2921148758468524 | [-2.91  2.67] | 0.5019593829409018
-0.17578344215969685 | [-3.26  3.09] | 0.4969192099954551
-0.045246506944134866 | [-3.5   3.41] | 0.41701654265497684
0.08849441166109132 | [-3.27  3.27] | 0.28304224214569
0.2141754481925809 | [-2.72  2.8 ] | 0.14864526495901734
0.3289370496888673 | [-2.15  2.31] | 0.025212321558500988
0.4339773521659316 | [-1.57  1.8 ] | -0.08547724649348336
0.5309451552929024 | [-0.97  1.27] | -0.1940283756361604
0.6196786626140015 | [-0.48  0.83] | -0.3431481534737032
0.6932746705140169 | [0.09 0.32] | -0.5151429955789343
0.7443221770895999 | [ 0.55 -0.09] | -0.6547207754369065
0.7712217764932973 | [ 1.04 -0.55] | -0.6042316686071023
0.7757738940765353 | [ 1.53 -1.02] | -0.30650165724674133
0.7531482500580453 | [ 2.16 -1.66] | -0.1850387458140323
0.7187320628680698 | [ 2.98 -2.49] | -0.029220724097968626
0.6760465567541165 | [ 3.97 -3.5 ] | 0.12916405698863462
0.6264043298728349 | [ 4.96 -4.53] | 0.2614139831704365
0.5689211623228637 | [ 5.84 -5.44] | 0.35181684058010254
0.5009788220806383 | [ 6.57 -6.22] | 0.39750941392998046
0.4189376303459151 | [ 7.18 -6.89] | 0.4045962095502283
0.31919209883819805 | [ 7.73 -7.5 ] | 0.38096128992144035
0.20047890288867085 | [ 8.16 -8.01] | 0.32236619737497796
0.06797056076845989 | [ 8.06 -8.  ] | 0.21998331382815345
-0.06609665120140731 | [ 7.06 -7.08] | 0.10694583031139301
-0.191521274624327 | [ 5.7 -5.8] | 0.0038194308184457005
-0.3064205188595458 | [ 4.35 -4.53] | -0.0925683499574164
-0.41190987645599036 | [ 3.03 -3.28] | -0.18042378612672466
-0.509468485819267 | [ 1.76 -2.07] | -0.2715539944587511
-0.5989809764195153 | [ 0.57 -0.94] | -0.41442849014348404
-0.6738438214513943 | [-1.29  0.87] | -0.5258127427911762
-0.7193757884103326 | [-2.38  1.92] | -0.5131565491121027
-0.7362955880357118 | [-2.71  2.23] | -0.4551474504287673
-0.7334382545269387 | [-2.82  2.33] | -0.3806311334834889
-0.7139126137599614 | [-2.74  2.25] | -0.2709104157343223
-0.6806923209736493 | [-2.55  2.07] | -0.11707843715386942
-0.6372409720432497 | [-2.36  1.9 ] | 0.05608826770461532
-0.5856336779395936 | [-2.23  1.79] | 0.218215717455041
-0.5257655085624051 | [-2.21  1.81] | 0.3503157169725262
-0.45564440777436854 | [-2.32  1.97] | 0.44735080920795656
-0.3721379426908182 | [-2.54  2.24] | 0.5137895235037745
-0.2720459307873141 | [-2.84  2.6 ] | 0.5528115274918024
-0.1541653649533259 | [-3.14  2.98] | 0.5467815621476286
-0.02293858830771111 | [-3.31  3.23] | 0.459961101362915
0.11029390819868243 | [-3.03  3.04] | 0.31816434040435804
0.23481779269585407 | [-2.48  2.57] | 0.17744540489227476
0.3483962891821785 | [-1.93  2.09] | 0.04873732436242669
0.4523875680232666 | [-1.37  1.61] | -0.0664079375587571
0.5484113857417804 | [-0.79  1.1 ] | -0.1941167635003398
0.6339571608541897 | [-0.18  0.54] | -0.3502597286934274
0.700910574489034 | [ 0.42 -0.01] | -0.4955364715553815
0.7434341338165306 | [ 0.98 -0.53] | -0.5971454017509514
0.7599016226843935 | [ 1.68 -1.2 ] | -0.6012911825219548
