5.0, 1.0, -5.0, 4.0, -4.0, 0.5, -3.0, 2.0, 3.0, -1.0, -2.0, 5.0, -4.5, 1.5, -3.5, 0.0, 0.8, -0.8
parameter ends

state | action | reward
[0.09] | [ 0.14 -0.25] | -0.11168950831053051
0.08425130105368797 | [ 1.49 -1.05] | -0.20030185245161547
0.04326096699232733 | [ 6.54 -5.45] | -0.3478366919089545
-0.043151523348651875 | [ 8.64 -7.11] | -0.4570556032841681
-0.14486224800943548 | [ 8.44 -6.8 ] | -0.5279909753796392
-0.24642239960602325 | [ 7.31 -5.79] | -0.579587440947607
-0.34285755322132694 | [ 5.99 -4.54] | -0.6280966190530444
-0.4319933438451345 | [ 4.68 -3.15] | -0.6903411737322889
-0.5118287812001464 | [ 3.38 -1.6 ] | -0.7769556371138423
-0.5804284111655242 | [2.06 0.06] | -0.7550929694125875
-0.6409739901526599 | [-0.45  2.41] | -0.8716044990235554
-0.6097185307227495 | [-3.34  8.12] | -0.3759989485364384
-0.5666291619524194 | [-4.3   8.51] | -0.15087549537820863
-0.5172854908336624 | [-5.04  8.64] | 0.08800099777363261
-0.46325091156307513 | [-5.71  8.67] | 0.31263040033368733
-0.40383878950034907 | [-6.41  8.79] | 0.5083481413074031
-0.3366102095169617 | [-7.25  9.14] | 0.6735733335608902
-0.2580534261309034 | [-8.31  9.76] | 0.8151720164049943
-0.1643746918588079 | [-9.62 10.63] | 0.9382856051174923
-0.05294502747642989 | [-11.01  11.5 ] | 1.024069840528887
0.07453951675325014 | [-11.81  11.73] | 1.0093908608200064
0.20905589943355804 | [-11.06  10.72] | 0.8711786246612846
0.33812547035194146 | [-8.99  8.77] | 0.6939848143974015
0.4564051899704517 | [-6.69  6.72] | 0.5242389583445698
0.564480269502171 | [-4.46  4.81] | 0.3668516592760936
0.6640377692581365 | [-2.4   3.08] | 0.21848159664497385
0.7558831654483639 | [-0.4   1.34] | -0.011491363892586065
0.8317515267267798 | [ 1.42 -1.96] | -0.2304218811196701
0.8778049590885281 | [ 4.84 -4.93] | -0.30439358780317255
0.8960048308448688 | [ 6.61 -6.65] | -0.3231938157282896
0.8941034440391621 | [ 7.69 -7.87] | -0.3139741464218199
0.8749563159301669 | [ 8.42 -8.72] | -0.26367909383019966
0.8415116319207586 | [ 8.81 -9.04] | -0.17586019728811442
0.7967259273803893 | [ 8.99 -9.01] | -0.0842335542625434
0.7418284757963737 | [ 9.21 -8.95] | -0.02410581500150131
0.6757855289232345 | [ 9.7  -9.13] | -0.017454201806400404
0.595803861806027 | [10.58 -9.68] | -0.06963966440099295
0.4984971330658527 | [ 11.83 -10.57] | -0.1706506249048669
0.3821907834346163 | [ 13.1  -11.43] | -0.2974234365664
0.2510876150033435 | [ 13.64 -11.57] | -0.41573282720942356
0.11686006585225818 | [ 12.79 -10.61] | -0.49044783197353353
-0.009413204084204242 | [11.13 -9.05] | -0.5370215924832978
-0.12508165430794616 | [ 9.39 -7.46] | -0.5769761103950379
-0.2311700781127215 | [ 7.74 -5.99] | -0.6110816971041584
-0.32921755566928956 | [ 6.16 -4.62] | -0.6478363767951009
-0.41929735544945823 | [ 4.61 -3.17] | -0.7046682480278342
-0.49976541216580794 | [ 3.08 -1.55] | -0.7907310491261021
-0.568533778560619 | [1.61 0.18] | -0.8107506647282933
-0.616230699359501 | [-0.44  6.32] | -0.47591165480422704
-0.5854053916118456 | [-4.83  7.67] | -0.21477737527625737
-0.5474510883771807 | [-5.52  8.1 ] | -0.004739437686612969
-0.5027056184009252 | [-6.1   8.25] | 0.21283318168441634
-0.4524564271212609 | [-6.68  8.34] | 0.4121021005822016
-0.39574554745199003 | [-7.35  8.54] | 0.5804326380004379
-0.3298936200309289 | [-8.2   8.98] | 0.7176294401954574
-0.2511772552423532 | [-9.27  9.71] | 0.8311569216148806
-0.15570647012449879 | [-10.55  10.67] | 0.9250913274621758
-0.04126118969959253 | [-11.74  11.55] | 0.9762843437070501
0.08889377396675213 | [-12.07  11.64] | 0.9264927380012438
0.22379404584464496 | [-10.81  10.44] | 0.7853534689154118
0.3516295342819209 | [-8.6   8.51] | 0.6268657568148063
0.46889245926536827 | [-6.32  6.53] | 0.4736560253615007
0.5763912355653223 | [-4.16  4.68] | 0.3299617840132656
0.675688984670156 | [-2.14  2.98] | 0.1881585029945436
0.7671570958069279 | [-0.1   1.19] | -0.08183841201084574
0.8385618511345708 | [ 1.61 -2.87] | -0.33356753710757325
0.8779666737700611 | [ 4.78 -5.69] | -0.40640258816250047
0.8904534404083286 | [ 6.37 -7.4 ] | -0.4290758319474711
0.88282173041423 | [ 7.27 -8.65] | -0.4201491034118412
0.8578697868489357 | [ 7.84 -9.49] | -0.36148426573222747
0.8188650049240352 | [ 8.05 -9.76] | -0.2573903507930317
0.7689350742153862 | [ 8.02 -9.66] | -0.14154981356371943
0.7094180569092244 | [ 8.01 -9.5 ] | -0.047108253718989516
0.6394918503098951 | [ 8.24 -9.53] | 0.0073264044759912515
0.5567671064212925 | [ 8.85 -9.86] | 0.01860493015693478
0.45838575290694283 | [  9.88 -10.44] | -0.007347190309632417
0.34288899660014327 | [ 11.14 -10.98] | -0.06622242758435064
0.21351715099104251 | [ 11.99 -10.93] | -0.15796237426193865
0.08027914407941525 | [11.64 -9.94] | -0.2596691760692629
-0.04524399917868391 | [10.29 -8.36] | -0.34730722549315146
-0.15947366589491063 | [ 8.69 -6.79] | -0.42360504575600866
-0.26371095752972395 | [ 7.1  -5.37] | -0.48950173288469817
-0.3597575613270197 | [ 5.61 -4.07] | -0.5503554617206345
-0.44797852387021986 | [ 4.21 -2.7 ] | -0.6225673303361887
-0.5270232355422386 | [ 2.84 -1.19] | -0.7177156528609542
-0.5949544071519173 | [1.49 0.44] | -0.7450332271283044
-0.6421066702078831 | [3.2  7.72] | -1.1169271325975723
-0.5857572717664574 | [-0.2  9. ] | -0.41802957212640585
-0.5484673983915227 | [-4.38  7.55] | -0.15891519944461785
-0.5117653983707092 | [-5.17  8.06] | 0.0495668664146356
-0.4673968381045882 | [-5.83  8.29] | 0.26687787421532383
-0.41672061164727975 | [-6.47  8.45] | 0.4688688685086608
-0.3588746801482738 | [-7.18  8.71] | 0.6440416140793387
-0.29127048860108634 | [-8.07  9.21] | 0.7930946774562379
-0.2102993041568879 | [-9.2 10. ] | 0.9234199749423105
-0.11230079748067082 | [-10.54  10.99] | 1.0355067646897935
0.0044062471040057505 | [-11.77  11.82] | 1.0954744966417225
0.13564513023957175 | [-12.02  11.75] | 1.0364658500524497
0.26990741354980335 | [-10.63  10.39] | 0.8797905280158735
0.3961260540845632 | [-8.38  8.39] | 0.7076066980378704
0.511675944229497 | [-6.09  6.39] | 0.5423966425943115
0.6176079019005967 | [-3.93  4.55] | 0.3883428251164972
0.7154996664621887 | [-1.89  2.84] | 0.23550245211378346
0.8055072510229072 | [0.16 1.02] | -0.0833321071547494
0.8723045468446267 | [ 1.75 -3.66] | -0.3707308955895321
0.9058318535687659 | [ 4.86 -6.24] | -0.4424820389949039
0.9139144749575647 | [ 6.4  -7.85] | -0.467335763261968
0.902429934115521 | [ 7.27 -9.05] | -0.4573614668545453
0.8741300153746931 | [ 7.81 -9.81] | -0.3941485308983981
0.8324320409199293 | [  8.01 -10.  ] | -0.2863750898320442
0.780374641908543 | [ 7.99 -9.85] | -0.16951407128863
0.7190871749105828 | [ 7.99 -9.66] | -0.07615806869057723
0.6475734027530486 | [ 8.23 -9.68] | -0.02358426854156587
0.5633734863644952 | [  8.87 -10.  ] | -0.013770244435964484
0.4636810454398233 | [  9.91 -10.56] | -0.04030273493897325
0.34721843663167234 | [ 11.19 -11.05] | -0.09924733795089888
0.2174573831157444 | [ 12.04 -10.93] | -0.19006217337118503
