-2.0, 0.3, -4.0, -2.0, 4.5, 0.1, 1.0, 0.2, 0.8, 1.8, 0.7, 5.5, -4.5, -0.5, -4.0, 2.4, -0.5, 1.0
parameter ends

state | action | reward
[-0.09] | [-0.62  1.35] | -0.0900187141624363
-0.059994215767803796 | [-0.45 14.22] | -0.22900195515143604
0.0011163226485103594 | [-0.14 20.98] | -0.34976908824761216
0.0687055581586952 | [-0.34 21.61] | -0.4538624678033943
0.1333762133013519 | [ 0.73 22.37] | -0.5434339880022716
0.17718714410617836 | [-2.03 16.73] | -0.6353485054960978
0.21804804283748244 | [ 2.48 21.34] | -0.7595528187324505
0.24880279306169517 | [-1.3  15.13] | -0.8406251139768497
0.27239170791341183 | [ 3.64 18.82] | -0.9605348230649827
0.28741173800742453 | [-0.27 13.44] | -1.0468142063001598
0.2848359436048873 | [ 1.69 13.76] | -1.0336006130982736
0.2681529730893148 | [8.15 3.6 ] | -0.2339592184977908
0.23818631172546414 | [ 8.51 -2.68] | -0.024602715191595237
0.18552654929331716 | [ 6.67 -7.22] | 0.27746373078245207
0.1143632829919463 | [  4.95 -11.44] | 0.6167760294711595
0.02680951990009703 | [  3.47 -15.68] | 0.9737127386059182
-0.07601622355107787 | [  2.41 -20.11] | 1.32609566943102
-0.19255606836741496 | [  1.93 -24.64] | 1.6293107055634537
-0.3194112349465935 | [  1.99 -28.85] | 1.7930689153812789
-0.4506854143239865 | [  2.12 -31.69] | 1.7200059725767567
-0.5773545852281842 | [  1.77 -32.11] | 1.4342547494193363
-0.691771028430431 | [  0.68 -30.77] | 1.035378428135271
-0.7881631775899628 | [ -0.4  -27.53] | 0.5169914540010823
-0.853945803431067 | [  0.5  -20.66] | 0.15810074676111455
-0.9004728937266062 | [ -1.09 -20.54] | -0.2531955673540244
-0.9245405044596776 | [  1.26 -14.31] | -0.5089007111720417
-0.9373240373447563 | [ -2.   -16.88] | -0.7866517525921912
-0.9383711657069674 | [  0.67 -11.65] | -1.0480265120100458
-0.9255401551233584 | [ -2.04 -12.68] | -1.3113262167250266
-0.898908542444152 | [ 0.68 -8.12] | -1.4919646867465566
-0.8623302824930912 | [-2.7 -9.4] | -0.8013660351162307
-0.8420804034294643 | [-16.47   0.26] | -0.3080284801012933
-0.8199977226614471 | [-13.23   3.23] | -0.3031990842395481
-0.7824447287815017 | [-12.13   6.42] | -0.16517711244468092
-0.7357419997271002 | [-10.91   9.21] | -0.022414184619541446
-0.6812107874904916 | [-9.6  11.99] | 0.09336631087996734
-0.6179723081460261 | [-8.17 15.12] | 0.16417680028125642
-0.5434854413349394 | [-6.59 18.85] | 0.1855872361670904
-0.4543967872922002 | [-4.86 23.29] | 0.16197455366552108
-0.34785328530394566 | [-2.99 28.2 ] | 0.09919839001141481
-0.22420712320414982 | [-1.05 32.5 ] | -0.00251450016091162
-0.09056909203083043 | [ 0.85 34.32] | -0.11271356062044674
0.004098728072430592 | [-3.6  21.85] | -0.18087256593986525
0.08293960541659466 | [ 0.58 27.3 ] | -0.33963959942132854
0.14839511438700767 | [-1.85 19.59] | -0.43497101535048743
0.20769249350541433 | [ 2.39 24.07] | -0.581540753218399
0.25078156632423526 | [-1.73 16.26] | -0.6723918884222023
0.2842781496793694 | [ 2.96 20.34] | -0.8106275424661759
0.3075548201586129 | [-1.06 14.28] | -0.9035701750490039
0.3232743786545938 | [ 4.02 17.67] | -1.03077226080805
0.3303706713301349 | [-0.12 12.35] | -1.0752715022414654
0.31875934432783065 | [9.65 7.42] | -0.2730497869926371
0.3087993672822179 | [12.11 -0.37] | -0.14388610032679675
0.27323814431681476 | [ 8.2  -4.16] | 0.043736358248742134
0.21582405277151204 | [ 6.39 -8.55] | 0.33298529062322074
0.14078102922563224 | [  4.71 -12.74] | 0.6521595865682099
0.049666988783632154 | [  3.29 -17.04] | 0.9827796363893226
-0.056637044954496646 | [  2.31 -21.57] | 1.3006226885062682
-0.17631721381386903 | [  1.92 -26.12] | 1.5502686166189108
-0.30525278246242876 | [  1.94 -30.05] | 1.6317891629591763
-0.43618153678902605 | [  1.83 -32.06] | 1.477700598390037
-0.5593887091578763 | [  1.14 -31.63] | 1.1721743570615246
