-1.2, 4.0, 3.1, -2.5, -1.0, 0.7, -3.4, 1.5, 2.2, -2.8, 0.6, -4.3, 3.9, -0.4, -1.5, 2.9, 0.0, -1.2
parameter ends

state | action | reward
[0.08] | [-0.1  -0.42] | 0.08966395651058699
0.06997037616802698 | [ 2.95 -3.08] | -0.014818679389678674
0.03074858862924785 | [ 24.   -12.22] | -0.2415912299980048
-0.05489802383418614 | [ 34.98 -17.21] | -0.4163316670915283
-0.1575908277781499 | [ 38.48 -19.15] | -0.505557118480951
-0.26177149272692074 | [ 39.07 -19.89] | -0.5570780854040105
-0.36190330297808926 | [ 38.71 -20.26] | -0.6088460844485568
-0.45524425082835535 | [ 37.99 -20.57] | -0.6834735532291379
-0.5392921273568918 | [ 37.07 -20.93] | -0.7889367782296715
-0.6117615405305717 | [ 35.99 -21.32] | -0.761147905583756
-0.6764456836195816 | [ 24.91 -10.41] | -0.2762923421685592
-0.6684853553248149 | [  5.57 -10.68] | -0.32432836353789446
-0.6397812709170793 | [  7.65 -11.22] | -0.3165039890306669
-0.619094843627804 | [  8.64 -11.23] | -0.30138080580433346
-0.6017487756658838 | [  8.79 -11.08] | -0.285936517000162
-0.5857072399747433 | [  8.75 -10.92] | -0.27152412323106295
-0.5704722388694682 | [  8.68 -10.76] | -0.25829680466213245
-0.5559115325625646 | [  8.61 -10.61] | -0.24615735102363934
-0.5419612704639432 | [  8.55 -10.48] | -0.234984704088396
-0.5285720953251248 | [  8.49 -10.35] | -0.22467090678818585
-0.5157009377304825 | [  8.44 -10.24] | -0.21512316258766553
-0.5033095056670892 | [  8.39 -10.13] | -0.20626153581865067
-0.49136359105256233 | [  8.34 -10.02] | -0.1980167671684013
-0.47983251767429896 | [ 8.3  -9.92] | -0.19032853393148902
-0.4686886735772287 | [ 8.26 -9.83] | -0.1831440536996802
-0.4579071163008433 | [ 8.22 -9.74] | -0.1764169456254777
-0.4474652393163651 | [ 8.18 -9.66] | -0.17010629246512093
-0.43734248895939637 | [ 8.14 -9.58] | -0.16417586265261544
