3.2, -2.4, -1.8, 4.0, -3.6, 1.0, -4.8, 2.2, -0.4, -5.0, 0.8, -1.2, 5.6, -3.0, 2.4, -0.6, 4.2, -2.0
parameter ends

state | action | reward
[-0.05] | [ 3.51 -1.19] | 0.004104502048842256
-0.0815013282179343 | [ 12.12 -15.52] | -0.0015602754076865788
-0.16718625618841151 | [ 16.89 -22.58] | -0.06946167600039502
-0.2711810377679442 | [ 18.47 -23.5 ] | -0.1432995641979828
-0.3758520127018427 | [ 18.81 -21.97] | -0.21394045990603278
-0.4753614388798178 | [ 18.79 -19.74] | -0.2914540360101027
-0.5673832157488652 | [ 18.72 -17.38] | -0.38955930164397423
-0.6499441592711315 | [ 18.74 -15.06] | -0.5160534138959034
-0.7211655703795409 | [ 18.86 -12.82] | -0.6672580960138428
-0.7796987635060735 | [16.62 -8.05] | -1.3693090870706253
-0.7310667841924691 | [4.71 6.78] | -0.3205440431568732
-0.7020394351933212 | [6.76 4.65] | 0.06234343744154852
-0.6951371687396872 | [7.38 3.61] | 0.36187380412509035
-0.7028914835095372 | [7.05 3.38] | 0.6363461694767977
-0.7229105253997923 | [6.38 3.44] | 0.8939405752432495
-0.7545481298078969 | [5.61 3.67] | 1.127920863717617
-0.7971662226901374 | [4.83 4.07] | 1.3277265528332929
-0.8497041066000639 | [4.06 4.66] | 1.482106788734713
-0.9106293811816275 | [3.31 5.45] | 1.5815922271979492
-0.9780068005989191 | [2.57 6.42] | 1.622574047642113
-1.0496481714452597 | [1.82 7.51] | 1.6110969035256362
-1.1233688497911063 | [1.06 8.63] | 1.5614309641933595
-1.197355287344413 | [0.31 9.71] | 1.4164820841839252
-1.2650633599938177 | [-1.09 11.58] | 0.9747521897362277
-1.3079764421426237 | [-3.77 15.07] | 0.26629510765513564
-1.3137922212411721 | [-5.86 17.34] | -0.49429526573460597
-1.2824912845561223 | [-7.62 19.14] | -1.2184581836685056
-1.216761510903395 | [-9.17 20.87] | -1.8187889576662024
-1.1228266376059697 | [-10.64  22.71] | -2.2627388070805923
-1.0077680135833698 | [-12.19  24.6 ] | -2.548032547630299
-0.8779211906419497 | [-13.89  26.09] | -1.989441069889291
-0.7688339271008964 | [-17.14  15.63] | -0.6348222716462971
-0.7072958597195778 | [-18.93  16.9 ] | -0.9085000880268851
-0.6220831457697142 | [-20.24  19.63] | -1.0582970184343572
-0.5204826719742376 | [-21.15  20.97] | -1.0425269176399186
-0.4111734550193796 | [-21.59  21.32] | -0.9446546166149126
-0.2989714231601541 | [-21.63  20.97] | -0.8084314053671768
-0.18658588944342425 | [-21.41  20.13] | -0.6570252209335881
-0.07543669559139149 | [-21.03  18.98] | -0.50199417288991
0.033794461879781065 | [-20.58  17.63] | -0.3492180836812539
0.14073413082269837 | [-20.08  16.17] | -0.2025213034233251
0.24506040624045425 | [-19.54  14.62] | -0.06597081888039733
0.346425626032118 | [-18.94  13.01] | 0.057069062271487336
0.44447948241607455 | [-18.26  11.36] | -0.11801411034143025
0.4698033273243134 | [  5.54 -10.94] | -0.1897979494242642
0.4328181967413262 | [  6.21 -12.59] | 0.0336890630972868
0.3890298882566656 | [  6.63 -13.85] | 0.27239131520315457
0.3402206997564302 | [  7.12 -15.07] | 0.5025868712736555
0.2859849392627753 | [  7.81 -16.48] | 0.7112554900884883
0.2240985528619907 | [  8.79 -18.29] | 0.8971628482961091
0.151114542764497 | [ 10.08 -20.63] | 1.0675313202235233
0.06306213364781639 | [ 11.66 -23.54] | 1.2287856690990833
-0.043305669724410883 | [ 13.41 -26.79] | 1.3632261831481163
-0.16760007776116478 | [ 14.98 -29.46] | 1.3980693697420927
-0.3020932058572912 | [ 15.76 -29.78] | 1.2789350454151154
-0.43390743384691227 | [ 15.59 -27.4 ] | 1.091379478170268
-0.5557108232413729 | [ 15.32 -24.43] | 0.9014613892531865
-0.667183444222293 | [ 15.25 -21.7 ] | 0.7190494383554729
-0.7697355344742568 | [ 15.31 -19.19] | 0.545747802937554
-0.8645981080150132 | [ 15.49 -16.88] | 0.3628860076515347
-0.9510686757674888 | [ 15.8  -14.73] | 0.15197940382846306
-1.0271182794564486 | [ 16.23 -12.75] | -0.0881912351978715
-1.0907755724450827 | [ 16.73 -10.94] | -0.418847150621955
