-3.0, 1.0, 0.5, -2.5, 3.0, -0.5, 2.0, -1.0, -2.0, 1.5, -4.0, 0.2, -1.5, 2.5, -0.8, 3.5, -2.0, 4.0
parameter ends

state | action | reward
[-0.07] | [-1.96  3.51] | -0.12264588963144585
-0.03918887383293187 | [-2.87  5.29] | -0.24003652912713883
0.046109514040453096 | [-3.25  6.92] | -0.32921736978702754
0.1498610656831108 | [-3.25  8.09] | -0.39865281286996307
0.2540802210789511 | [-3.15  8.95] | -0.4560546468452207
0.3532446730294179 | [-3.04  9.7 ] | -0.5120622000609402
0.44540917172508593 | [-2.85 10.41] | -0.5829452552263001
0.5286166300522556 | [-2.56 11.08] | -0.6795874306151016
0.6007735652149723 | [-2.15 11.69] | -0.8003728564681679
0.660300385479204 | [-1.62 14.26] | -1.1928850358071814
0.6210559240038397 | [ 1.73 10.66] | -0.4430188191973375
0.5783082897982614 | [ 1.99 10.96] | -0.49307643958239183
0.5191664367978867 | [ 1.76 13.79] | -0.4885332191317385
0.44665386914173066 | [ 1.71 15.57] | -0.39194394933700705
0.3639718636871977 | [ 1.77 16.89] | -0.24556461643354832
0.27227588180758044 | [ 1.95 17.99] | -0.06667405308995336
0.1720077604471665 | [ 2.26 18.88] | 0.13689767083682242
0.06383318547065586 | [ 2.73 19.5 ] | 0.35564665401849804
-0.05079307509633946 | [ 3.32 19.72] | 0.5740668235204381
-0.1695169555060844 | [ 4.02 19.49] | 0.7712166393266949
-0.28958271862327434 | [ 4.78 18.85] | 0.9288326824030735
-0.4085786989563643 | [ 5.54 17.89] | 1.0412004175356737
-0.5249610861395148 | [ 6.29 16.76] | 1.1140406474384652
-0.6380394635942584 | [ 7.02 15.57] | 1.1558948943236271
-0.7475764452096606 | [ 7.71 14.37] | 1.1731479254329924
-0.8533917228987279 | [ 8.34 13.2 ] | 1.1690552980273865
-0.9551584510506534 | [ 8.88 12.05] | 1.1453363024842333
-1.0524129770833262 | [ 9.32 10.93] | 1.1043113384643706
-1.1446893659160022 | [9.65 9.85] | 1.050056271423797
-1.2316686533104304 | [9.91 8.8 ] | 0.9883222778913807
-1.3132794368828347 | [10.13  7.8 ] | 0.9257575338602985
-1.3897386496007427 | [10.34  6.84] | 0.8690013662361359
-1.4615465647758523 | [10.58  5.94] | 0.8239154019698721
-1.52945231015329 | [10.9   5.07] | 0.7949730214417641
-1.5943999388604446 | [11.31  4.25] | -0.10539865201728972
-1.6000261309020412 | [ 3.05 -2.35] | -0.7927842504087537
-1.5573713728985084 | [ 3.53 -4.37] | -0.6427540749490314
-1.5200641228060119 | [ 4.   -6.21] | -0.5739722057252825
-1.4837093774460866 | [ 3.93 -7.82] | -0.5662241095277911
-1.4453832003541522 | [ 3.57 -9.09] | -0.5903874839334345
-1.4041495904090726 | [  3.03 -10.06] | -0.6381716875869117
-1.3596261839199184 | [  2.38 -10.83] | -0.7054850001587349
-1.311584595276438 | [  1.65 -11.52] | -0.7886843848662539
-1.259852747357158 | [  0.87 -12.19] | -0.8854751803020764
-1.2042237624425338 | [  0.07 -12.9 ] | -0.9957103496390539
-1.1443061409399335 | [ -0.75 -13.65] | -1.110784967338356
-1.080101732908541 | [ -1.59 -14.46] | -1.2622638102315948
-1.0085681881200093 | [ -2.69 -15.22] | -1.4088007520361971
-0.9281350617611877 | [ -3.54 -15.92] | -1.4985799181285662
-0.8403640227241963 | [ -4.18 -16.54] | -1.5295801300151257
-0.7465086579492428 | [ -4.62 -17.06] | -1.500740909773422
-0.6476845964118538 | [ -4.89 -17.46] | -1.4142962822296394
-0.544917628188912 | [ -5.03 -17.75] | -1.2761677802746705
-0.43912319958152357 | [ -5.07 -17.92] | -1.0948082172322944
-0.3310708907455217 | [ -5.05 -17.98] | -0.8795770969095179
-0.22135996220146012 | [ -5.   -17.93] | -0.639388436574976
-0.11041019334107621 | [ -4.94 -17.78] | -0.38187240895140356
0.0015352035933626357 | [ -4.89 -17.55] | -0.11305103290047785
0.1143964826601159 | [ -4.87 -17.22] | 0.16196837163932046
0.2282156392469528 | [ -4.89 -16.82] | 0.4363062115107269
0.34302548699773316 | [ -4.96 -16.33] | 0.700749801295221
0.4586994513248579 | [ -5.11 -15.73] | 0.9439461125105046
0.5748438161786118 | [ -5.36 -14.99] | 1.1535156563195388
0.6907673738904252 | [ -5.71 -14.11] | 1.3189805423827685
0.8055598962214718 | [ -6.16 -13.1 ] | 1.4350570243622351
0.9182510254471342 | [ -6.7  -11.98] | 1.5029461630175038
1.0279634638861284 | [ -7.29 -10.8 ] | 1.5286878577180503
1.1339873218511194 | [-7.91 -9.58] | 1.5201313121290394
1.235775907170429 | [-8.53 -8.34] | 1.484710310467905
1.3329144528226935 | [-9.13 -7.1 ] | 1.4287634617764107
