0.3, -1.4, 2.7, 1.0, -2.5, 0.8, -0.9, 1.2, 3.1, -0.6, -1.8, 4.2, -3.4, -0.7, 2.9, 0.5, -2.1, 3.0
parameter ends

state | action | reward
[0.08] | [-2.6   2.86] | 0.08658808106851168
0.11351563610061155 | [10.36 14.57] | 0.007715893526242926
0.15258039003149237 | [9.66 7.96] | -0.12045452174549204
0.1518405119783999 | [8.93 2.64] | -0.22930504309493913
0.11788931661196217 | [ 7.92 -1.66] | -0.14467519185586997
0.04674174771788748 | [-5.07 -9.98] | 0.05751750275370287
-0.018980262277981053 | [-7.35 -3.23] | 0.11875286742167367
-0.04284869105794281 | [-9.48  1.63] | -0.007522088620779209
-0.015739759241251594 | [ 2.77 12.75] | -0.13366968966949563
0.020418554305736577 | [3.91 7.06] | -0.16661842907717375
0.018358667531316604 | [4.68 2.14] | -0.1957337283381638
-0.017206626898502764 | [ 4.69 -1.99] | -0.0008446189209382103
-0.09071586581892997 | [-6.4 -9.8] | 0.20079596282739354
-0.15793635700657171 | [-7.82 -2.79] | 0.16679759893463328
-0.1823799870764131 | [-9.29  2.16] | -0.0969991826790983
-0.1553392506944923 | [ 1.78 12.87] | -0.2650797467704599
-0.11878441082121509 | [2.46 7.22] | -0.20606208881399102
-0.12053095401532544 | [2.99 2.32] | -0.1524995175266631
-0.15620775282616176 | [ 2.9 -1.8] | 0.143909448003825
-0.23112059184644196 | [-7.19 -9.43] | 0.33154498527095716
-0.29969406381444164 | [-7.81 -2.33] | 0.19952568909306784
-0.32544404745365335 | [-8.68  2.55] | -0.18849212718107214
-0.29963203813924083 | [ 1.6  12.96] | -0.3925772823456717
-0.26320550773558793 | [1.73 7.5 ] | -0.24330219410485046
-0.264376880535108 | [1.83 2.71] | -0.10748130989283201
-0.2991917916895281 | [ 1.46 -1.35] | 0.2852389150017941
-0.37415177354798124 | [-7.96 -8.85] | 0.4557324503704832
-0.44343373235798034 | [-7.88 -1.89] | 0.2350990805466127
-0.47091824162517665 | [-8.25  2.77] | -0.2577873819781362
-0.4478529605603486 | [ 1.53 12.79] | -0.4981747659490503
-0.41275873047576966 | [1.25 7.73] | -0.27423129489003384
-0.4133833853263501 | [0.95 3.22] | -0.07922112064407592
-0.44519670260799477 | [ 0.49 -0.33] | 0.17390148199226607
-0.500317700696295 | [-3.8  -3.25] | 0.19627652431106365
-0.5436285199379203 | [-4.13  1.95] | -0.3479711868686348
-0.535281209033817 | [ 4.09 11.56] | -0.6149581932715545
-0.5132831178565718 | [2.62 6.76] | -0.3270947223757974
-0.5253237952583157 | [1.05 2.39] | -0.049755371388289865
-0.5673927886614057 | [-0.63 -1.12] | 0.050872418499207844
-0.6106442726420123 | [-2.82  1.53] | -0.007450494682718397
-0.6319847805078603 | [-6.07  3.75] | -0.15914158455072247
-0.6271046155040794 | [-4.91  8.39] | -0.49195636328389586
-0.5877006733340736 | [-3.97 12.56] | -0.7135747906785789
-0.520161987099016 | [-3.67 15.73] | -0.8019990423661789
-0.43225303525401065 | [-3.8  17.93] | -0.7795813652733925
-0.3308955082604521 | [-4.19 19.32] | -0.6801949240840492
-0.2216899654679836 | [-4.71 20.03] | -0.5373577398829459
-0.10885415645612931 | [-5.27 20.22] | -0.377630581444131
0.004719355538993358 | [-5.81 20.06] | -0.21799686340406063
0.11723914920348338 | [-6.3  19.66] | -0.06749738574093644
0.22766039165802696 | [-6.72 19.13] | 0.06974266154124989
0.33534579468691034 | [-7.09 18.5 ] | 0.19215688589790314
0.4398462165365744 | [-7.41 17.81] | 0.2996337811429326
0.5408215323901733 | [-7.69 17.06] | 0.3922412848108933
0.6380390636674786 | [-7.94 16.27] | -0.049317709396511845
0.6605414699003868 | [-10.01  -3.07] | -0.26991813915328466
0.6314555250548062 | [-13.45  -0.96] | 0.05826993692644772
0.6230843863497338 | [-16.33   1.32] | 0.0668823329604255
0.6197715233229334 | [-11.95   0.67] | -0.1408898931661292
0.6092899450849195 | [-9.23  0.07] | -0.22788710885297048
0.5955259775026556 | [-9.03  0.08] | -0.23838213574847053
0.5814897800753216 | [-8.8   0.08] | -0.24945044822352588
0.5671220649143301 | [-8.59  0.08] | -0.2599610197751276
0.5524217411783741 | [-8.39  0.09] | -0.2703803919547447
0.5373751853543725 | [-8.18  0.09] | -0.2809027412295468
0.5219642483264136 | [-7.97  0.1 ] | -0.29158425818109196
0.5061713689714348 | [-7.77  0.1 ] | -0.16235561663440307
0.4955449585798851 | [-10.74   0.91] | -0.1173119895411104
0.48705759189869624 | [-10.49   0.89] | -0.12408591583601215
0.47838075880442055 | [-10.41   0.9 ] | -0.12347659266762423
0.4698128189048195 | [-10.4    0.94] | -0.12068960355412452
0.46144242654999706 | [-10.41   0.98] | -0.11752905489884455
0.45328107716046584 | [-10.42   1.01] | -0.1143488633517062
0.4453252359020664 | [-10.43   1.05] | -0.11121084946294389
0.43756922961562716 | [-10.45   1.08] | -0.1082830674560219
0.4300007453401253 | [-10.46   1.12] | -0.10553380421923202
0.42260878583941325 | [-10.47   1.15] | -0.10291680985267967
0.4153846532440585 | [-10.48   1.18] | -0.10041478366744902
0.40832066434929903 | [-10.49   1.21] | -0.09801908344003604
0.4014097349374004 | [-10.51   1.23] | -0.09572310865897227
0.3946452643611819 | [-10.52   1.26] | -0.09352096719359707
0.38802108389252404 | [-10.53   1.29] | -0.09140724097875275
0.3815314182186512 | [-10.54   1.31] | -0.08937692340155429
0.3751708518572262 | [-10.55   1.34] | -0.08742537980646316
0.36893429915646103 | [-10.56   1.36] | -0.08554831323918499
0.36281697740206165 | [-10.56   1.39] | -0.08374173382504016
0.35681438265711074 | [-10.57   1.41] | -0.0820019314266172
0.35092226800696613 | [-10.58   1.43] | -0.08032545121623694
0.3451366239242368 | [-10.59   1.45] | -0.07870907181003402
0.33945366050738135 | [-10.6    1.47] | -0.07714978565123828
0.3338697913795101 | [-10.61   1.49] | -0.07564478137242195
0.3283816190620725 | [-10.61   1.51] | -0.07419142790342904
0.3229859216620459 | [-10.62   1.53] | -0.07278726012316479
0.3176796407316778 | [-10.63   1.55] | -0.07142996588004635
0.3124598701773464 | [-10.64   1.57] | -0.07011737422873707
0.30732384610915325 | [-10.64   1.58] | -0.06884744475007157
0.30226893753583606 | [-10.65   1.6 ] | -0.06761825783784879
0.2972926378208061 | [-10.66   1.62] | -0.06642800585034556
0.29239255682483556 | [-10.67   1.63] | -0.06527498503679109
0.28756641366937047 | [-10.67   1.65] | -0.06415758815969916
0.2828120300618112 | [-10.68   1.67] | -0.06307429774313078
0.2781273241305316 | [-10.68   1.68] | -0.0620236798850301
0.2735103047230437 | [-10.69   1.7 ] | -0.06100437857875402
0.268959066125658 | [-10.7    1.71] | -0.06001511049500141
