-5.0, 5.0, -5.0, 5.0, -5.0, 5.0, -5.0, 5.0, -5.0, 5.0, -5.0, 5.0, -5.0, 5.0, -5.0, 5.0, 0.0, 0.0
parameter ends

state | action | reward
[-0.03] | [ 0.5 -0.5] | 0.06896409912064727
-0.047530959541532074 | [ 0.27 -0.27] | 0.08480446941513184
-0.08677361391319474 | [ 0.3 -0.3] | 0.08295101805184006
-0.13633857259911225 | [ 0.45 -0.45] | 0.07369764929661567
-0.1963285009805617 | [ 0.73 -0.73] | 0.05306847160278873
-0.2702255706229973 | [ 1.25 -1.25] | 0.011824536759384835
-0.35819714057993746 | [ 2.13 -2.13] | -0.049812705516244095
-0.4520675583455966 | [ 3.21 -3.21] | -0.12675739964370608
-0.5437457988985671 | [ 4.34 -4.34] | -0.2262677326394288
-0.6288870730044291 | [ 5.43 -5.43] | -0.35656583824874016
-0.7043990063568579 | [ 6.43 -6.43] | -0.5160334824619843
-0.7680949833229357 | [ 7.33 -7.33] | -0.7588587846484959
-0.7755440335106246 | [ 5.34 -5.34] | -0.35990418190280765
-0.7460507001763678 | [ 2.71 -2.71] | -0.30174386805578296
-0.7244570957831316 | [ 3.08 -3.08] | -0.29943755907304925
-0.706507192979303 | [ 3.22 -3.22] | -0.288441793362676
-0.6899780196856893 | [ 3.21 -3.21] | -0.2745806314840205
-0.6743105193624889 | [ 3.17 -3.17] | -0.2610759111173211
-0.6593560172313503 | [ 3.12 -3.12] | -0.24855894307170803
-0.645044312686735 | [ 3.07 -3.07] | -0.23702725899438676
-0.6313219915613992 | [ 3.02 -3.02] | -0.22638370883830697
-0.6181427371204151 | [ 2.97 -2.97] | -0.21653267174874727
-0.6054655088816221 | [ 2.92 -2.92] | -0.20739083042034684
-0.5932537394299782 | [ 2.87 -2.87] | -0.19888611028246422
-0.5814747139040021 | [ 2.82 -2.82] | -0.19095584692675002
-0.5700990496224603 | [ 2.77 -2.77] | -0.18354527977524046
-0.5591002587871874 | [ 2.73 -2.73] | -0.17660634107636636
-0.5484543802314773 | [ 2.68 -2.68] | -0.1700966655435352
-0.5381396678692617 | [ 2.64 -2.64] | -0.16397877153922236
-0.5281363257374367 | [ 2.59 -2.59] | -0.1582193793628008
-0.5184262815174076 | [ 2.55 -2.55] | -0.15278884048261981
-0.5089929920176077 | [ 2.51 -2.51] | -0.14766065720413873
-0.4998212753513196 | [ 2.47 -2.47] | -0.1428110764978253
-0.49089716552950063 | [ 2.43 -2.43] | -0.13821874497406342
-0.4822077859684241 | [ 2.39 -2.39] | -0.13386441453700368
-0.47374123903361687 | [ 2.35 -2.35] | -0.12973069024766415
-0.46548650924015067 | [ 2.31 -2.31] | -0.12580181350584504
-0.45743337813157864 | [ 2.27 -2.27] | -0.12206347491611887
-0.44957234918616 | [ 2.24 -2.24] | -0.11850265220706756
-0.4418945813652285 | [ 2.2 -2.2] | -0.1151074693802242
