-3.2, 2.4, -1.8, 4.0, -0.6, 3.1, -2.5, -0.9, 1.5, -3.3, 0.7, -4.2, 2.9, 0.0, 5.0, -1.4, -0.8, 4.4
parameter ends

state | action | reward
[-0.05] | [-0.23  4.51] | -0.049233235334362045
-0.032890118551374185 | [6.04 0.8 ] | -0.07314158357905129
-0.021847198778776555 | [9.87 2.39] | -0.09346843441789597
-0.04645188674002741 | [13.93  3.49] | -0.09193243647640259
-0.0984381346927933 | [16.32  4.59] | -0.04248102257722846
-0.169180189980119 | [17.4   5.54] | 0.04429597366254288
-0.2510937840948347 | [17.64  6.33] | 0.14836859325310683
-0.3388604439706294 | [17.42  7.01] | 0.25397921160308595
-0.4291224195396673 | [16.96  7.63] | 0.3518837375121159
-0.5198301248520178 | [16.39  8.2 ] | 0.4376701474628424
-0.6097323887595297 | [15.77  8.76] | 0.5096641819885214
-0.6980450306967891 | [15.13  9.3 ] | 0.5676240895396067
-0.7842583733032845 | [14.49  9.82] | 0.6121010914625956
-0.8680333247150597 | [13.87 10.33] | 0.644148078028712
-0.9491480176631877 | [13.26 10.83] | 0.6651730324868274
-1.0274714949964978 | [12.68 11.32] | 0.676839466366101
-1.1029510857957787 | [12.12 11.79] | 0.6809768969474432
-1.1756062228235218 | [11.6  12.25] | 0.6794932513913499
-1.2455249223159417 | [11.11 12.71] | 0.6742925556923375
-1.3128610990201754 | [10.67 13.16] | 0.6672041959519616
-1.377832010036839 | [10.26 13.62] | 0.6599291267560956
-1.4407157928383072 | [ 9.9  14.09] | 0.6540061116667458
-1.5018494920979386 | [ 9.58 14.59] | 0.6507987373570506
-1.5616282749288333 | [ 9.31 15.11] | 0.6515021808455548
-1.6205067977095655 | [ 9.09 15.68] | -0.013440138284652639
-1.6396586721877755 | [ 5.58 11.03] | -0.27453884709904686
-1.6292584023586645 | [ 0.02 11.32] | -0.26752651896724994
-1.617436033704454 | [ 0.54 11.22] | -0.19107985455054388
-1.6112680829064996 | [ 1.17 12.08] | -0.17722986256936468
-1.6063689712376825 | [ 1.04 11.7 ] | -0.19790570282990883
-1.6000002167053746 | [ 1.   11.75] | -0.19216690270762518
-1.5939352453868565 | [ 0.96 11.81] | -0.18807830339564627
-1.5880701934144508 | [ 0.93 11.86] | -0.1851443421380274
-1.5823276898065635 | [ 0.89 11.9 ] | -0.18246516261147622
-1.5766920521464627 | [ 0.86 11.94] | -0.1798654966601733
-1.5711598393236408 | [ 0.82 11.98] | -0.17733717978839883
-1.5657281309628688 | [ 0.79 12.02] | -0.1748610154377351
-1.5603951792661632 | [ 0.76 12.05] | -0.17244606055775996
-1.555158614309658 | [ 0.73 12.09] | -0.1701214339708511
-1.5500140483542406 | [ 0.7  12.12] | -0.16788402514715234
-1.5449572187550185 | [ 0.67 12.16] | -0.16572253862182384
-1.5399845602950555 | [ 0.64 12.19] | -0.16362966290963354
-1.5350929452727187 | [ 0.61 12.22] | -0.16160089327591853
-1.530279495791744 | [ 0.58 12.25] | -0.15963264940703392
-1.5255415234361558 | [ 0.56 12.28] | -0.15772178246375076
-1.5208765027526177 | [ 0.53 12.31] | -0.15586547941535778
-1.5162820509943367 | [ 0.5  12.34] | -0.15406119319147024
-1.511755912335151 | [ 0.48 12.36] | -0.1523065887220101
-1.5072959455711803 | [ 0.45 12.39] | -0.15059950811508085
-1.5029001140537095 | [ 0.43 12.41] | -0.14893794690450468
-1.4985664771182445 | [ 0.41 12.44] | -0.14732003645766428
-1.4942931826025665 | [ 0.38 12.46] | -0.14574403042925682
-1.4900784601876047 | [ 0.36 12.49] | -0.14420829409104438
-1.485920615372416 | [ 0.34 12.51] | -0.14271129581159747
-1.4818180239425367 | [ 0.32 12.53] | -0.14125160025197483
-1.477769126819504 | [ 0.3  12.55] | -0.13982786303524805
-1.4737724251950102 | [ 0.28 12.57] | -0.13843882678439068
-1.4698264758595712 | [ 0.25 12.6 ] | -0.13708396478030235
-1.465929843426235 | [ 0.23 12.62] | -0.13576656864629277
-1.462080841406168 | [ 0.21 12.64] | -0.13448365075278623
-1.4582779510380843 | [ 0.2  12.66] | -0.1332307704184164
-1.4545199329252592 | [ 0.18 12.67] | -0.13200682966412716
-1.4508055992103672 | [ 0.16 12.69] | -0.13081096443194887
-1.4471337968121496 | [ 0.14 12.71] | -0.12964210107787275
-1.443503422858006 | [ 0.12 12.73] | -0.1284990844196435
-1.4399134314148228 | [ 0.1  12.75] | -0.12738069246077102
-1.4363628390998227 | [ 0.09 12.76] | -0.12628560927414184
-1.4328507325783322 | [ 0.07 12.78] | -0.1252124081252242
-1.4293762772955731 | [ 0.05 12.8 ] | -0.12415955535206195
-1.4259387260254228 | [ 0.03 12.81] | -0.12312544250963417
-1.4225374252845167 | [ 0.02 12.83] | -0.12210845514882339
-1.419171817056731 | [1.97e-03 1.28e+01] | -0.1211070809423897
-1.415841433048116 | [-0.01 12.86] | -0.12223371347273314
-1.4124017777355387 | [-0.04 12.85] | -0.12999388536876505
-1.408393887754557 | [-0.1 12.8] | -0.15037903977279424
-1.4029389674138824 | [-0.2  12.65] | -0.1947547216193861
-1.3943612876335587 | [-0.41 12.34] | -0.28377734303476915
-1.3795220388679696 | [-0.83 11.73] | -0.4523050389478702
-1.3527498797999262 | [-1.65 10.63] | -0.6620848034328057
-1.3107080051628792 | [-2.66  9.62] | -0.8247576921811685
-1.255972123095243 | [-3.66  9.03] | -0.9171395832417231
-1.1925646971267587 | [-4.66  8.73] | -0.9550899522021401
-1.1232787256976218 | [-5.65  8.6 ] | -0.9554258425105948
-1.0496974446256284 | [-6.65  8.55] | -0.9316012644799493
-0.9724647369832329 | [-7.68  8.5 ] | -0.8927726737806818
-0.8915737581103808 | [-8.74  8.42] | -0.8439887133394819
-0.8066114962116565 | [-9.86  8.3 ] | -0.7866218543486978
-0.7169692722827076 | [-11.04   8.11] | -0.7188872628244253
-0.6220516886394338 | [-12.29   7.85] | -0.6369657249051603
-0.521496889547086 | [-13.55   7.54] | -0.5367339146582867
-0.4154083254785932 | [-14.78   7.16] | -0.41576009570945616
-0.3045489599965764 | [-15.86   6.71] | -0.27596310554945636
-0.19035368342178632 | [-16.71   6.21] | -0.12469301290410684
-0.0746512919352306 | [-17.26   5.65] | 0.027536816079117225
0.04082578591990503 | [-17.53   5.03] | 0.1714550664577033
0.15485629042653892 | [-17.58   4.35] | 0.30270316620115845
0.2668028284696408 | [-17.49   3.62] | 0.42114429272894216
0.3763881058453315 | [-17.31   2.85] | 0.5273886371945002
0.4834384673477933 | [-17.06   2.07] | 0.6209183120517161
0.5877262595947635 | [-16.75   1.3 ] | 0.7000078700193467
0.6889554356432718 | [-16.39   0.58] | 0.7655492554339918
0.786867385480305 | [-16.01  -0.08] | 0.0021963363924955015
0.7938512452747243 | [-0.11  7.68] | -0.3783060094794643
0.7617970567354778 | [0.77 7.14] | -0.35344421606854537
0.7270627147784408 | [2.37 7.84] | -0.4431021307108191
0.6771874118309444 | [4.94 8.5 ] | -0.4935180388668323
0.6126781630584096 | [7.13 8.86] | -0.47944311590660305
0.536239384814956 | [9.05 9.03] | -0.41681592293490016
0.4493301630020231 | [10.78  9.14] | -0.31578292389094753
0.35275821454982054 | [12.29  9.23] | -0.18124539049330843
0.2474000499216536 | [13.5   9.34] | -0.017951842906725246
0.13478465487329147 | [14.32  9.49] | 0.1638200768060508
0.017289111375332598 | [14.67  9.68] | 0.34517201657702545
-0.10224058161335334 | [14.56  9.95] | 0.5055368902306793
-0.22117592196757815 | [14.11 10.32] | 0.632619297360222
-0.3377257397155828 | [13.48 10.79] | 0.7263851273323556
-0.4510715854694335 | [12.78 11.36] | 0.7929340682279943
-0.5609880394638938 | [12.07 12.  ] | 0.8377248246424719
-0.6673795799925765 | [11.38 12.65] | 0.8633234948275608
-0.7699998070602806 | [10.73 13.28] | 0.8702839461005869
-0.868409629441493 | [10.1  13.86] | 0.8593573321992962
-0.9621017701259971 | [ 9.51 14.36] | 0.8331331694293671
-1.050669238408492 | [ 8.95 14.81] | 0.7963676665027188
-1.1339321800992923 | [ 8.42 15.2 ] | 0.75534187247099
-1.2119987711638667 | [ 7.9  15.58] | 0.7168840486754563
-1.2852719066968445 | [ 7.39 15.95] | 0.6874573025378541
-1.3544207254933271 | [ 6.89 16.36] | 0.6723985177668985
-1.420329457324797 | [ 6.39 16.83] | 0.19991105505948376
-1.4524486396588818 | [2.39 9.93] | -0.8227052206996062
-1.4129697684489364 | [1.27 9.62] | -0.7016077703868993
-1.3807755018017553 | [ 1.43 10.52] | -0.5988311835558274
-1.3552330751711181 | [ 1.38 10.95] | -0.5555518231333272
