-5.0, 2.5, 4.8, 3.0, -4.5, 1.2, -1.0, 0.3, -0.9, -2.0, 0.0, -4.0, 5.0, 0.5, 4.2, -2.8, 0.7, -0.8
parameter ends

state | action | reward
[0.04] | [ 0.83 -0.78] | 0.06136523546309684
0.006258797719966371 | [ 2.65 11.11] | 0.050335542256433705
-0.05868622706927121 | [9.95 8.67] | 0.15609254628890773
-0.1386073336778046 | [15.78  6.33] | 0.30520174530740757
-0.2275089182985479 | [20.13  4.16] | 0.46173153488164936
-0.3206603374198854 | [23.    2.49] | 0.6036103694977608
-0.41494878753147435 | [24.73  1.36] | 0.7234228326837187
-0.5085926308891036 | [25.69  0.66] | 0.8336746068442177
-0.6025644419277961 | [25.35  2.24] | 0.9376350811145842
-0.6960772531973867 | [26.23  1.34] | 1.0027838376262705
-0.786946865999334 | [26.62  0.87] | 1.0609478665441467
-0.8759149144858042 | [26.41  1.39] | 1.1064730590088403
-0.9629225726142813 | [26.58  1.09] | 1.1246063137921465
-1.0473421421517708 | [26.53  1.01] | 1.1318441964925572
-1.1293409253443125 | [26.34  1.07] | 1.1289570508137208
-1.2090614741639794 | [26.06  1.21] | 1.116368870388702
-1.286618648627029 | [25.74  1.41] | 1.0945025706724516
-1.3621067819152424 | [25.39  1.63] | 1.06394467154952
-1.4356096583234699 | [25.03  1.87] | 1.0255003145723587
-1.5072105140783834 | [24.68  2.11] | 0.9801861143270276
-1.5770012669430862 | [24.36  2.36] | 0.9291950533857121
-1.645090976331072 | [24.08  2.61] | 0.8738469908799117
-1.7116132896297234 | [23.85  2.86] | 0.8155267559818347
-1.7767333779977217 | [23.7   3.11] | 0.755621870745295
-1.84065523841747 | [23.63  3.37] | 0.6954651390418279
-1.9036301787975016 | [23.68  3.64] | 0.8501289175651787
-1.9669825696745316 | [12.53  5.99] | 0.2565223512940449
-1.9780732992558039 | [9.04 2.85] | 0.21786829844964417
-1.9873432165060965 | [10.41  3.2 ] | 0.25588359335656813
-2.0005747549872845 | [10.98  3.3 ] | 0.25703709518033924
-2.014560224650321 | [11.15  3.25] | 0.24677574162451413
-2.028260062997366 | [11.24  3.17] | 0.23518676994440463
-2.0415168346635078 | [11.31  3.08] | 0.2241669713130543
-2.0543426546942603 | [11.38  3.  ] | 0.2138709449761108
-2.0667654571886054 | [11.45  2.92] | 0.2042360277984103
-2.0788102528007335 | [11.52  2.85] | 0.1951990041580219
-2.0904992140737013 | [11.59  2.78] | 0.1867075381281702
-2.101852476106177 | [11.65  2.71] | 0.17871615637209548
-2.1128884962922427 | [11.71  2.65] | 0.17118436673009618
-2.1236242534144996 | [11.77  2.59] | 0.164075854508075
-2.1340754019164967 | [11.83  2.53] | 0.1573579513001562
-2.1442564054569746 | [11.89  2.47] | 0.1510011943814526
-2.1541806543474915 | [11.94  2.42] | 0.14497894697243235
-2.163860569005431 | [11.99  2.36] | 0.1392670702969137
-2.1733076912817793 | [12.04  2.31] | 0.13384363996724596
-2.1825327653073003 | [12.09  2.26] | 0.12868870001072227
-2.1915458092635123 | [12.14  2.22] | 0.12378404886061325
-2.2003561792721293 | [12.19  2.17] | 0.11911305257469038
-2.208972626417697 | [12.24  2.12] | 0.11466048132867836
-2.2174033477690656 | [12.28  2.08] | 0.1104123658746797
-2.225656032140823 | [12.32  2.04] | 0.10635587118150273
-2.2337379012313203 | [12.37  2.  ] | 0.10247918490836809
-2.241655746685922 | [12.41  1.96] | 0.09877141872317771
-2.2494159635597435 | [12.45  1.92] | 0.0952225207751422
