0.0, 3.0, -2.0, -4.0, 2.5, -1.5, 3.5, -2.5, -3.0, 1.0, -4.5, 2.0, -0.5, 4.0, -1.0, 0.5, -3.0, 1.5
parameter ends

state | action | reward
[-0.09] | [-2.79  1.31] | -0.03997508519412804
-0.05509237647270048 | [-6.99 -8.47] | -0.12154507050869934
0.01492964104730242 | [-5.7  -7.85] | -0.036247609167632575
0.09632728530224541 | [-4.36 -7.22] | 0.11236393771229009
0.1851279082563179 | [-3.08 -6.35] | 0.2824701458838861
0.27767537777498835 | [-2.07 -5.29] | 0.4444366268880482
0.37124901612109995 | [-1.38 -4.11] | 0.585412883108862
0.464123287965347 | [-0.96 -2.89] | 0.6984923086739907
0.5546613194369698 | [-0.71 -1.5 ] | 0.7547772812383531
0.6383976399138935 | [-0.48  0.81] | 0.8224102580569673
0.7198078769434272 | [-1.99 -1.78] | 0.9349709892465833
0.8044560488553427 | [-1.3 -0.4] | 1.048989622410249
0.8921045620654677 | [-1.44 -0.64] | 1.1581215477216396
0.9820039510755186 | [-1.26  0.2 ] | 1.2790327963860684
1.0746361475765132 | [-1.88 -0.96] | 1.3517806891612094
1.167204617305093 | [-1.19  1.33] | 1.4348653770358788
1.2606321300731707 | [-2.52 -1.07] | 1.0854367064621417
1.3269577546291946 | [ 1.76 12.38] | 0.06898397822715732
1.3249153177499162 | [ 1.65 14.51] | -0.2332013048797265
1.3030910242305132 | [ 1.32 15.13] | -0.45876844732493127
1.2666012505620405 | [ 0.9  15.39] | -0.6293507416224369
1.2199472287668722 | [ 0.36 15.16] | -0.7081562486584178
1.1710941736246878 | [-0.52 13.49] | -0.6803330467265427
1.1312038900659311 | [-1.73 10.28] | -0.6626119068849389
1.1052831940829955 | [-2.72  7.57] | -1.0581132868942489
1.0594961788669817 | [-0.68 14.17] | -1.472581820890928
0.9865590028068375 | [-1.03 14.02] | -1.5334896929980482
0.9149045151104854 | [-1.32 13.46] | -1.5737335624082864
0.8443432747817503 | [-1.38 13.09] | -1.5960426335400137
0.7745051634196793 | [-1.31 12.74] | -1.5993332789327603
0.7055768414047151 | [-1.17 12.35] | -1.5891556459224856
0.6377234369820683 | [-0.98 11.95] | -1.5705832550113585
0.5710156485817642 | [-0.75 11.53] | -1.5459816800841768
0.5054179982628136 | [-0.5  11.11] | -1.1374795453492248
0.45622630042271345 | [5.44 7.29] | -0.30970561209119196
0.42990435733093946 | [6.49 9.58] | -0.3744194424941802
0.3820138753910351 | [ 6.49 11.75] | -0.3598816617740209
0.31711075177047165 | [ 6.75 13.22] | -0.24238125400924007
0.23987555254249385 | [ 7.09 14.24] | -0.06638913738748953
0.15248561251069795 | [ 7.48 14.93] | 0.14730300851484995
0.0558902261081861 | [ 7.93 15.29] | 0.3872890387962602
-0.049182242885477845 | [ 8.45 15.29] | 0.6407664676683875
-0.16149580759425816 | [ 9.   14.88] | 0.8891277981599734
-0.2789501454557273 | [ 9.5  14.02] | 1.109495974066411
-0.3988212600702211 | [ 9.89 12.76] | 1.281300350652485
-0.5184755329834377 | [10.11 11.23] | 1.3968017344232857
-0.63601011986289 | [10.19  9.57] | 1.4625214279550898
-0.7504351237798494 | [10.16  7.9 ] | 1.4898208493082792
-0.8613660403707326 | [10.05  6.27] | 1.4881482055672786
-0.9686054220751795 | [9.86 4.71] | 1.4631673158848746
-1.0718687890738894 | [9.56 3.23] | 1.4179834366706119
-1.1707268626921388 | [9.14 1.84] | 1.355409198407078
-1.2647058249115175 | [8.59 0.53] | 1.32512601702753
-1.3550163177152772 | [ 8.6  -0.58] | 1.4727990393323023
-1.4477366367819393 | [10.72 -1.33] | 1.7239702433278186
-1.5460851770187185 | [12.71 -2.25] | 1.8956549800293532
-1.647076949203417 | [13.71 -3.29] | 1.9379115862028107
-1.746437789093793 | [ 9.67 -4.98] | -0.3781840095737499
-1.7132859640419498 | [-14.25  -9.99] | -1.0305272717377705
-1.6441727413658167 | [-14.08  -9.74] | -1.0617701405165074
-1.5739635058061154 | [-13.87  -9.34] | -1.094025003063423
-1.5030156821499752 | [-13.73  -8.85] | -1.1369052977661473
-1.4310487741116338 | [-13.72  -8.3 ] | -1.1956527450154213
-1.3573935270372257 | [-13.83  -7.75] | -1.2712573027706573
-1.281185070453813 | [-14.06  -7.23] | -1.360007397026888
-1.2015345812826856 | [-14.36  -6.79] | -1.4530769040524603
-1.1176975449531905 | [-14.68  -6.46] | -1.53727362287154
-1.0292198988005266 | [-14.93  -6.28] | -1.5976035846547043
-0.9360185736242259 | [-15.04  -6.27] | -1.6209450953404874
-0.8383654917288611 | [-14.96  -6.4 ] | -1.5990631470743686
-0.7367882245324746 | [-14.66  -6.67] | -1.529635501870518
-0.6319362406561555 | [-14.18  -7.05] | -1.4153751448015857
-0.5244611103426965 | [-13.53  -7.49] | -1.2622384397311972
-0.41493486041941396 | [-12.77  -7.96] | -1.077650666499701
-0.30380897850069605 | [-11.93  -8.45] | -0.8692295400853727
-0.19140763383743925 | [-11.05  -8.93] | -0.6443251182617606
-0.07795977463084772 | [-10.16  -9.37] | -0.4110259253434444
0.036283437049729556 | [-9.3  -9.71] | -0.17846397214228468
0.15093013194257704 | [-8.48 -9.89] | 0.04359616866204262
0.26539823619717146 | [-7.74 -9.84] | 0.2456293177619901
0.3789380570830386 | [-7.1  -9.55] | 0.419952866135524
0.49072002534602477 | [-6.56 -9.01] | 0.5621336395406349
0.5999429153183772 | [-6.12 -8.25] | 0.6712351285264383
0.7059096934089003 | [-5.77 -7.32] | 0.7488965179772078
0.8080515785317768 | [-5.5  -6.26] | 0.7981022111512849
0.9059200628784788 | [-5.28 -5.11] | 0.8223933237272855
0.9991760618194294 | [-5.1  -3.91] | 0.8256152068250077
1.0875900833517367 | [-4.94 -2.68] | 0.8119045613291723
1.1710514763078834 | [-4.82 -1.42] | 0.7856571072431935
1.24957946572543 | [-4.71 -0.17] | 0.8732419676441138
1.327744032907379 | [-4.79 -0.53] | 0.9661254560935992
1.4059709108075258 | [-4.7   0.43] | 1.0882231162631812
1.485373669736577 | [-4.85 -0.08] | 1.2049303257912887
1.5659253440188912 | [-4.8   0.86] | 1.3169312964202047
1.647465735250602 | [-4.18  3.07] | -0.49726093957873224
1.6196030649548026 | [ 0.62 17.71] | -0.9739553792641077
1.5627849503646523 | [ 0.16 17.11] | -0.816896085465592
1.512467152573969 | [-0.51 15.08] | -0.547930786837809
1.4758923403134754 | [-0.65 14.1 ] | -0.7930910268531286
1.4246263320462773 | [-0.41 14.95] | -0.9086343356789635
1.3680057118747904 | [-0.56 14.73] | -1.0078726411416101
1.307901098286301 | [-0.77 14.59] | -1.1323787221030872
1.2436803649349457 | [-1.03 14.53] | -1.268841281489628
1.1752492881181782 | [-1.36 14.5 ] | -1.4059636943238796
1.1028643588500353 | [-1.72 14.47] | -1.5293446518132106
1.0273109018493016 | [-2.07 14.39] | -1.6268100542770396
0.9497122245873592 | [-2.36 14.23] | -1.68946733254331
0.8713517639660263 | [-2.54 13.98] | -1.7147777411201797
0.7934249290974268 | [-2.59 13.65] | -1.7074394206177719
0.7168016089454472 | [-2.53 13.24] | -1.676600112111679
0.6419671823298047 | [-2.36 12.79] | -1.6314826174372876
0.5691226758699742 | [-2.13 12.32] | -1.5792840664187988
0.49828270453554646 | [-1.85 11.83] | -1.5242614254676576
0.429347646669168 | [-1.52 11.33] | -1.467378053106362
0.3621865962220113 | [-1.16 10.82] | -1.4082394755303032
0.29670508167582565 | [0.14 9.79] | -0.5308882637781854
0.26955661845013656 | [5.89 7.03] | -0.3046092516233135
0.2394009869408381 | [6.24 9.55] | -0.29274995060085046
0.187273217716082 | [ 6.74 11.33] | -0.17304290468275993
0.11942314106418114 | [ 7.38 12.51] | 0.02064108830611448
0.039742631357369794 | [ 8.05 13.28] | 0.2598898620928149
-0.04989272050752565 | [ 8.77 13.72] | 0.5295603961259842
-0.14856538728112742 | [ 9.55 13.83] | 0.8173519145063332
-0.2554521838261913 | [10.36 13.59] | 1.105284749238608
-0.3691550851035995 | [11.15 12.95] | 1.3686522423313698
-0.487424533434767 | [11.8  11.92] | 1.5822834358079758
-0.6075115760607018 | [12.23 10.56] | 1.7297116084081319
-0.726915229331702 | [12.43  9.01] | 1.8113001717573838
-0.8439409528678227 | [12.43  7.39] | 1.8395895659235604
-0.957741165231708 | [12.29  5.79] | 1.82861434290337
-1.0679633099475563 | [12.04  4.26] | 1.788796438962602
-1.1743677706157267 | [11.69  2.8 ] | 1.7264056850464737
-1.2766143952826026 | [11.21  1.43] | 1.6454614844352344
-1.3742521845466953 | [10.6   0.14] | 1.6671904453550805
-1.4706716740873438 | [11.56 -0.83] | 1.8847101099429537
-1.5720356634755546 | [14.16 -1.67] | 2.1205053784555483
-1.6785509878372387 | [15.91 -2.77] | 2.230031294342519
-1.7859693283695726 | [16.56 -3.84] | 2.203808966503599
-1.8900282659775989 | [16.02 -4.61] | 0.5022395219696509
-1.8993158415538285 | [-14.   -10.17] | -0.9324127278285594
-1.82901742054998 | [-14.75  -9.97] | -1.0036642618711187
-1.7569267871417868 | [-14.7   -9.47] | -1.073207789894579
-1.683592212564569 | [-14.77  -8.87] | -1.1599951244449307
-1.6085497885683755 | [-15.    -8.24] | -1.2680073536544851
-1.5310054462415554 | [-15.4   -7.61] | -1.3953776573807621
-1.4500787780552606 | [-15.9   -7.03] | -1.5338789810242883
-1.3650195533807608 | [-16.45  -6.56] | -1.669625685662636
-1.2753809253721247 | [-16.94  -6.23] | -1.7858620874472617
-1.18110600782738 | [-17.28  -6.07] | -1.867137810604573
-1.0825016651372659 | [-17.4   -6.06] | -1.9028503705682318
-0.9801240429046667 | [-17.26  -6.21] | -1.8886110410782682
-0.8746350264837763 | [-16.9   -6.47] | -1.8255102603867417
-0.7666805802199183 | [-16.33  -6.83] | -1.7183539045298248
-0.6568118574666383 | [-15.6   -7.25] | -1.5738460973462645
-0.545447512868956 | [-14.75  -7.7 ] | -1.399203592986825
-0.432868584064018 | [-13.83  -8.17] | -1.201419960257329
-0.3192474915337058 | [-12.87  -8.63] | -0.9876236305760183
-0.2047611529680846 | [-11.9   -9.02] | -0.765497137930027
-0.08972458109191354 | [-10.95  -9.28] | -0.543507491103258
0.02533917090050998 | [-10.05  -9.35] | -0.33075732181773343
0.13970346089325172 | [-9.22 -9.18] | -0.1358676032444022
0.2525208484288128 | [-8.48 -8.77] | 0.03458730167898456
0.36294419067544537 | [-7.84 -8.12] | 0.17703753692702215
0.4702236328927709 | [-7.3 -7.3] | 0.29071725056922276
0.5737451385816835 | [-6.85 -6.34] | 0.376758453511349
0.6730247503970269 | [-6.47 -5.28] | 0.437379614175352
0.7676932259536858 | [-6.14 -4.15] | 0.475512220020625
0.8574920863781668 | [-5.87 -2.98] | 0.4947114786353116
0.9422818761914655 | [-5.63 -1.79] | 0.4990957916839435
1.022054568680837 | [-5.42 -0.59] | 0.5450248533664349
1.0991515682817876 | [-5.31 -0.16] | 0.6606230293108791
1.176824212563582 | [-5.24 -0.15] | 0.7744557413921785
1.2551057334348443 | [-5.12  0.32] | 0.8944095408531253
1.3343024704793967 | [-5.09  0.37] | 1.0217660516674298
1.414763413600245 | [-5.04  0.74] | -0.31116021823889545
1.408289553821718 | [-0.85 16.5 ] | -0.913545410756467
1.3628287832467243 | [-1.21 15.71] | -0.807704892220763
1.320552621777213 | [-1.44 14.99] | -0.788496710536038
1.277032655634997 | [-1.48 14.73] | -0.8261596466928814
1.2299200925209959 | [-1.47 14.58] | -0.8910101757963934
