5.0, -1.0, 5.0, 3.0, -3.0, 0.5, -1.0, -0.5, -1.0, -1.0, -1.0, -5.0, 5.0, 0.5, 5.0, -2.0, 1.0, -1.0
parameter ends

state | action | reward
[-0.01] | [ 1.56 -1.27] | -0.043303799611922975
-0.03605042553342252 | [ 1.68 13.98] | -0.07062644208379945
-0.10381913109840188 | [ 9.77 12.59] | 0.023992012373978782
-0.18315999161446767 | [16.02 11.4 ] | 0.16808406820957209
-0.2703864916012854 | [20.6  10.25] | 0.32739510797973725
-0.36194710877069597 | [23.44  9.33] | 0.4790155136605859
-0.45502726932060683 | [24.9   8.65] | 0.6125511441543604
-0.5477408530880291 | [25.42  8.18] | 0.7251244756092469
-0.638976140909977 | [25.36  7.88] | 0.8175840836316703
-0.7281758742364659 | [24.92  7.71] | 0.8922951643230009
-0.8151392501232718 | [24.25  7.66] | 0.9516706659116116
-0.8998521034652454 | [23.44  7.7 ] | 0.9975144607993146
-0.9823836015295305 | [22.54  7.81] | 1.0309451567055836
-1.0628294876168762 | [21.58  7.97] | 1.0525829408215164
-1.1412842830839518 | [20.58  8.16] | 1.062803018157642
-1.2178310039840166 | [19.56  8.38] | 1.0619570765420616
-1.2925408481061123 | [18.53  8.62] | 1.0505277670339224
-1.3654780800699418 | [17.51  8.87] | 1.0292141399103867
-1.4367072987482445 | [16.5   9.14] | 0.9989566392995063
-1.5063016449005842 | [15.53  9.41] | 0.9609273397847603
-1.5743510362728934 | [14.61  9.7 ] | 0.916510347147362
-1.6409698057943536 | [13.76  9.99] | 0.8672521674431667
-1.7063043563453455 | [13.   10.29] | 0.8147994369035891
-1.7705414407118047 | [12.34 10.62] | 0.7608359374557387
-1.8339177826581716 | [11.81 10.96] | 0.41703638272589555
-1.868724805030247 | [-5.63  9.1 ] | 0.16283977088362167
-1.873684482277517 | [-9.43  6.3 ] | -0.20171262425892544
-1.856708809815259 | [-12.27   3.09] | -0.5254277966667315
-1.8210712331510488 | [-14.87   0.64] | -0.7816437460684136
-1.7715361939451608 | [-16.99  -1.16] | -0.9373147473157959
-1.713420154982914 | [-19.25  -1.68] | -1.014521938856207
-1.6506529335195879 | [-20.72  -2.16] | -1.0720603681130505
-1.5845886441275279 | [-21.72  -2.67] | -1.121153645760594
-1.5157203250901972 | [-22.5   -3.25] | -1.1696977618533295
-1.4439565308487652 | [-23.25  -3.91] | -1.220977643287712
-1.3688767191358937 | [-24.07  -4.65] | -1.27327160329306
-1.289965279721634 | [-25.01  -5.43] | -1.3207620045558301
