-5.0, 5.0, -4.5, 4.5, 3.0, -3.0, 2.5, -2.5, 0.0, 0.0, 1.5, -1.5, -2.0, 2.0, -3.5, 3.5, -0.5, 0.5
parameter ends

state | action | reward
[-0.05] | [-0.23  0.23] | -0.019530938993220427
-0.04001143810995271 | [-0.9  0.9] | -0.06891170159880733
0.003942701555780798 | [-2.81  2.81] | -0.1484694253752252
0.09119372863464904 | [-3.13  3.13] | -0.21297119992698985
0.19614687795466754 | [-2.27  2.27] | -0.26207648892520763
0.3023366375160111 | [-1.09  1.09] | -0.30669722067920563
0.40418618961707087 | [ 0.1 -0.1] | -0.3260991451365778
0.48560386842049175 | [ 1.96 -1.96] | -0.2995455119188135
0.5327206946273577 | [ 3.81 -3.81] | -0.2457823673344704
0.5488059215782528 | [ 5.05 -5.05] | -0.1852975713676445
0.5401840714427477 | [ 5.96 -5.96] | -0.1014287153328205
0.509289356159365 | [ 6.77 -6.77] | 0.01784082106067339
0.45853243140651173 | [ 7.49 -7.49] | 0.15585810213693768
0.3892837717185325 | [ 8.1 -8.1] | 0.29069531668927284
0.3012666267751685 | [ 8.62 -8.62] | 0.40666245419556707
0.1938356903330191 | [ 9.03 -9.03] | 0.4841196111353316
0.06932976192413949 | [ 9.14 -9.14] | 0.4813019376492684
-0.06335627002408756 | [ 8.33 -8.33] | 0.3795163059575137
-0.19148702494879627 | [ 6.56 -6.56] | 0.23860692032159053
-0.30875297683788827 | [ 4.52 -4.52] | 0.10244154211962786
-0.41558708782813 | [ 2.52 -2.52] | -0.021917179276012947
-0.5138139924895203 | [ 0.66 -0.66] | -0.1306235215559035
-0.600362897928801 | [-1.38  1.38] | -0.1818633517313673
-0.6583959606290788 | [-4.65  4.65] | -0.15840578705991157
-0.6854752247877707 | [-6.65  6.65] | -0.10914593750510902
-0.6905910662005349 | [-8.12  8.12] | -0.045617142017143564
-0.67670527198723 | [-9.19  9.19] | 0.0314258629060078
-0.6456672730871661 | [-9.91  9.91] | 0.09950095081926498
-0.598320078489693 | [-10.32  10.32] | 0.12469221905088851
-0.533282067526589 | [-10.44  10.44] | 0.08503248676118838
-0.44729553933769584 | [-10.16  10.16] | -0.013713688517479443
-0.33787975752924526 | [-9.3  9.3] | -0.13435901822767854
-0.2087921326854216 | [-7.75  7.75] | -0.22740140344760976
-0.07268956992914152 | [-5.65  5.65] | -0.27270636082131444
0.05825270585239704 | [-3.66  3.66] | -0.30270968728626535
0.1798665824936789 | [-2.04  2.04] | -0.3364217938448846
0.29206727535239485 | [-0.68  0.68] | -0.3630133190143567
0.39105977131517333 | [ 0.82 -0.82] | -0.34440460903061776
0.4575861111803584 | [ 2.81 -2.81] | -0.2881949142258851
0.4862849350381513 | [ 4.16 -4.16] | -0.22715189535434294
0.4856305442383753 | [ 5.04 -5.04] | -0.1489784525334275
0.4593307221410476 | [ 5.79 -5.79] | -0.02813551632136207
0.4101893467464638 | [ 6.54 -6.54] | 0.1281244998598905
0.3403184242718978 | [ 7.27 -7.27] | 0.2976314266222746
0.25041017861261583 | [ 8.01 -8.01] | 0.4587958916356
0.14092215291211266 | [ 8.76 -8.76] | 0.5794331274659188
0.01535311729576666 | [ 9.29 -9.29] | 0.5998555422351076
-0.11671401722762897 | [ 8.83 -8.83] | 0.49281891791307597
-0.24288372233785038 | [ 7.26 -7.26] | 0.3312463495356726
-0.35765968587510794 | [ 5.24 -5.24] | 0.17496164260059507
-0.46197981138853234 | [ 3.2 -3.2] | 0.03353245281104704
-0.5577773290558464 | [ 1.29 -1.29] | -0.09854997227895725
-0.645501643043349 | [-0.41  0.41] | -0.19230283070585916
-0.7119020441316779 | [-3.56  3.56] | -0.19888480865721175
-0.7499054621846823 | [-6.14  6.14] | -0.15175731254883
-0.7655835348132833 | [-7.92  7.92] | -0.08562362154408143
-0.763795801402889 | [-9.29  9.29] | -0.006667149272686506
-0.7466170919182185 | [-10.27  10.27] | 0.08140954254152999
-0.716010211471765 | [-10.94  10.94] | 0.14843023036146635
-0.672515680938776 | [-11.32  11.32] | 0.15859477176863798
-0.6141966065030566 | [-11.42  11.42] | 0.08970857555109835
-0.5370055282345548 | [-11.12  11.12] | -0.05270317325997265
-0.43677132085043147 | [-10.23  10.23] | -0.22573621672214478
-0.3136493141133322 | [-8.6  8.6] | -0.35946615242832036
-0.1771027100757162 | [-6.32  6.32] | -0.41002570679544975
-0.04092594038620954 | [-4.01  4.01] | -0.4167683415545736
0.08725601564755611 | [-2.17  2.17] | -0.4238700325547766
0.20585170792390822 | [-0.72  0.72] | -0.42732990272393934
0.310517380161157 | [ 0.74 -0.74] | -0.3837548207472821
0.38053326947813576 | [ 2.49 -2.49] | -0.30952763092425367
0.40909689208252925 | [ 3.62 -3.62] | -0.23632549400671354
0.4044173664024089 | [ 4.28 -4.28] | -0.14010353962162939
0.37069576915088054 | [ 4.9 -4.9] | 0.01051399222292669
0.3111780619829119 | [ 5.66 -5.66] | 0.20810215958338638
0.22856070020038716 | [ 6.58 -6.58] | 0.4276620978409458
0.12491025074607623 | [ 7.72 -7.72] | 0.6309911688559822
0.0037248311351341865 | [ 8.96 -8.96] | 0.7475812875870845
-0.1270617989811219 | [ 9.58 -9.58] | 0.7041400995463032
-0.25539327167443143 | [ 8.87 -8.87] | 0.534602111978438
-0.3726474971648275 | [ 7.14 -7.14] | 0.3435718264181217
-0.4782738655384743 | [ 5.08 -5.08] | 0.17034051202741876
-0.5745721915422956 | [ 3.02 -3.02] | 0.011400750599017332
-0.6625415701081602 | [ 1.18 -1.18] | -0.14375518382273011
-0.7414960147844639 | [-0.47  0.47] | -0.24582562366069416
-0.7999228075229632 | [-3.85  3.85] | -0.2380978765855948
-0.8331103999284908 | [-6.58  6.58] | -0.1724380494270618
-0.847302134202416 | [-8.5  8.5] | -0.10040034084265712
-0.8455865872376792 | [-9.8  9.8] | -0.017502951410834057
-0.8299186879692887 | [-10.92  10.92] | 0.0909824755540338
-0.8042376519483726 | [-11.73  11.73] | 0.1811623871629383
-0.7695691460124394 | [-12.26  12.26] | 0.21445362514372399
-0.7244392174875564 | [-12.52  12.52] | 0.16137756981011897
-0.6649265618116261 | [-12.42  12.42] | 0.012884721599893019
-0.5856644588443122 | [-11.78  11.78] | -0.2064480461081718
-0.482230883961444 | [-10.42  10.42] | -0.4296039729365865
-0.35579394620439475 | [-8.3  8.3] | -0.5641971032504199
-0.2169093937303874 | [-5.64  5.64] | -0.5832813564526611
-0.07868048368875923 | [-3.19  3.19] | -0.556649352750065
0.05175535664398556 | [-1.33  1.33] | -0.5344697988381314
0.17262037571321118 | [ 0.1 -0.1] | -0.4725701843310394
