-1.5, 8.8, 8.0, 0.7, -0.7, 2.3, -1.6, -4.2, -5.8, -5.7, 4.9, -4.5, -1.2, -2.6, 1.2, -4.2, 9.5, -4.1
parameter ends

state | action | reward
[-0.07] | [10.44 -4.79] | -0.016860944612136265
-0.10763353169272295 | [-14.54  -2.17] | -0.072080986078263
-0.1470454283934953 | [-0.02  2.15] | -0.10394478906098395
-0.155573841082541 | [10.64 -3.66] | -0.10438433131833061
-0.18482006773564452 | [-10.15  -1.77] | -0.20837922760839608
-0.2169648229045511 | [3.96 2.43] | -0.20245384876099204
-0.2431585537150851 | [-1.33 -5.58] | -0.21191530020281402
-0.26376856447926134 | [10.02 -0.04] | -0.2856385728541532
-0.28424253575383696 | [-0.36 -3.59] | -0.32908799084426665
-0.3135369419840888 | [ 4.58 -0.17] | -0.3793793431443335
-0.3498778468123416 | [-2.81 -3.88] | -0.4653092404573371
-0.3785218536547094 | [10.15  0.92] | -0.45435329536201957
-0.4030333984540533 | [ 3.9  -6.84] | -0.3424906303331092
-0.4523344811837391 | [-1.39 -6.68] | -0.5308848622109168
-0.4873083904873901 | [11.94 -1.4 ] | -0.6683281284724941
-0.5126100428876543 | [  6.82 -11.41] | 0.14097510619763237
-0.5738649830396891 | [  2.78 -22.42] | 0.32805535860103796
-0.649335922591887 | [  1.6  -23.08] | 0.39577607286744
-0.7297947850247617 | [  1.83 -23.75] | 0.010872372399192545
-0.7600341161324065 | [ 31.58 -12.7 ] | -0.5321719482306153
-0.7318752140455939 | [ 30.91 -12.51] | -0.4410222693864084
-0.7124160895013045 | [ 28.84 -13.03] | -0.3828653992837813
-0.6976720737278491 | [ 28.21 -13.08] | -0.36029611211079604
-0.6843990658202784 | [ 28.02 -12.98] | -0.347046118044125
-0.6717764825360947 | [ 27.92 -12.86] | -0.33608323283994174
-0.6596335198164838 | [ 27.83 -12.74] | -0.3260698480498851
-0.64792023839617 | [ 27.75 -12.63] | -0.31675713606351463
-0.6366060606730639 | [ 27.67 -12.52] | -0.3080607899441512
-0.6256647803285128 | [ 27.6  -12.42] | -0.29992097641491156
-0.6150727154279623 | [ 27.53 -12.31] | -0.292285857869676
-0.6048083527363817 | [ 27.47 -12.22] | -0.2851097125553903
-0.5948521070913969 | [ 27.41 -12.12] | -0.27835215548720676
-0.585186102690452 | [ 27.35 -12.03] | -0.27197741981149764
-0.5757939803159595 | [ 27.29 -11.94] | -0.2659537206694962
-0.5666607301502027 | [ 27.24 -11.86] | -0.26025271481357043
-0.5577725469294466 | [ 27.18 -11.78] | -0.2548490451045841
-0.5491167040600771 | [ 27.13 -11.7 ] | -0.24971995562884394
-0.5406814438015222 | [ 27.09 -11.62] | -0.24484496506328468
