-1.5, -2.3, -2.6, -4.2, -1.1, -6.7, -0.4, -4.2, 0.0, -1.9, 0.2, -1.3, 2.2, -1.9, 0.0, -2.2, 2.3, 2.6
parameter ends

state | action | reward
[0.05] | [2.22 2.19] | -0.10653565181585091
0.02985948570503148 | [ 3.75 -1.34] | -0.14094846769476185
-0.03415630159015273 | [10.27 -0.5 ] | -0.12813595674153916
-0.13451853729529012 | [12.4   0.15] | -0.06679083425962429
-0.24129406082213165 | [11.69 -0.41] | 0.00431169657924757
-0.34790441856723886 | [11.91  0.51] | 0.09606754836205825
-0.4512073780498706 | [10.46 -1.07] | 0.12847404338759216
-0.550571542217764 | [11.1   1.91] | 0.2040162819445997
-0.645959772867706 | [ 9.35 -1.52] | 0.25232999727065086
-0.7360259260485055 | [9.6  1.88] | 0.3209761738565371
-0.8223389240141266 | [ 8.28 -1.97] | 0.009469523549875831
-0.8650860352116174 | [ 0.65 10.98] | -0.7075132704364309
-0.8229687110497915 | [-0.39  7.58] | -0.31826930256917574
-0.7942440828691062 | [-1.34  4.26] | -0.0731765223290006
-0.7651777043847519 | [-3.2   2.11] | 0.08444596350167723
-0.7290681367795286 | [-5.02  0.29] | 0.08317714750152075
-0.6812026310423641 | [-6.34  1.25] | 0.049104145192638185
-0.6194141658920491 | [-8.38  0.01] | -0.06711288582959979
-0.5397658709547265 | [-9.34  2.31] | -0.1682625480589343
-0.4404508043991934 | [-11.76   1.57] | -0.2477198921504406
-0.3193161319827709 | [-13.59   1.9 ] | -0.3203130651483338
-0.18218284305964105 | [-14.12   2.25] | -0.3180116269186866
-0.041526212734355444 | [-13.51   1.98] | -0.2811023590917027
0.09345126194366621 | [-12.45   1.22] | -0.25542429981523057
0.2193237742850884 | [-11.36   0.3 ] | -0.21010188872485666
0.3341476708516569 | [-9.8  -0.13] | -0.10590237553825671
0.44035408717196584 | [-8.59 -0.26] | 0.035771678807185125
0.5420492270139513 | [-7.74 -0.28] | 0.18861816543109167
0.6410617753771117 | [-7.07 -0.23] | 0.3353475075134542
0.737650972416725 | [-6.48 -0.13] | 0.4783317275155693
0.8318382358489459 | [-5.87  0.38] | 0.5730289940362083
0.9022828672594354 | [ 2.68 -1.04] | -0.2885363158560084
0.8771599904841302 | [ 5.43 -1.3 ] | -0.20124756782108655
0.8410647235380327 | [ 6.89 -1.56] | -0.06771756618844513
0.7984175569760558 | [ 8.22 -1.86] | 0.056644032735577
0.749748011836678 | [ 9.53 -2.02] | 0.14117724431876938
0.6934455316654693 | [10.92 -1.9 ] | 0.16846256606543647
0.6263253705012191 | [12.48 -1.44] | 0.1337008591308902
0.5443231711364563 | [14.27 -0.67] | 0.022589015009636046
0.44372131654763136 | [15.88 -0.05] | -0.13076930047159394
0.32640762326809813 | [16.36 -0.2 ] | -0.2111769424132705
0.20030121006460078 | [ 1.64e+01 -9.21e-03] | -0.2196258696092532
0.07466212138833689 | [15.28 -0.02] | -0.1803598730021319
-0.044896891714263365 | [1.41e+01 1.14e-02] | -0.114745403913247
-0.15841499187257507 | [13.08 -0.06] | -0.0391278425518395
-0.26763816466812457 | [ 1.24e+01 -8.95e-03] | 0.04074752183012747
-0.3735435358003453 | [11.68 -0.12] | 0.11578728457489122
-0.47643891335852023 | [11.17  0.08] | 0.19279547701675476
-0.5759561675801756 | [10.43 -0.31] | 0.2375375266236367
-0.6709792076717349 | [10.03  0.56] | 0.33819474900827806
-0.7628559010261609 | [ 9.   -1.53] | 0.3230639147656192
-0.8480337708549845 | [8.97 1.86] | -0.40494782012836184
-0.8436872643677176 | [-0.24  8.48] | -0.3823592969884772
-0.8127554300275976 | [-0.93  4.96] | -0.11268099237139179
-0.7843882222429804 | [-2.63  2.76] | 0.059985714578365115
-0.7503953888467909 | [-4.4   0.92] | 0.15784274154308206
-0.7082141687032987 | [-6.17 -0.17] | 0.03983345351790971
-0.6506763404941149 | [-7.05  2.5 ] | -0.04712415148932268
-0.5771759058356305 | [-9.21  1.11] | -0.087703718052976
-0.4852565050715253 | [-11.48   0.98] | -0.22364166952764233
-0.3701337564606874 | [-13.36   1.75] | -0.34736312409319786
-0.23606306924802709 | [-14.15   2.41] | -0.3805369524323196
-0.09527632458206534 | [-13.72   2.4 ] | -0.35095743237749033
0.041545271042471375 | [-12.7    1.75] | -0.31943057654084356
0.1697345865452028 | [-11.59   0.84] | -0.2976748894194307
0.28794954732853434 | [-10.42   0.04] | -0.2335579764073358
0.3963693926409293 | [-8.99 -0.17] | -0.10798489345735424
0.49850968463328876 | [-8.   -0.23] | 0.03423894800780197
0.5969844137589262 | [-7.25 -0.21] | 0.17530850504144205
0.6924517962378393 | [-6.62 -0.11] | 0.46105058423444906
0.7891607215605616 | [-5.86  1.09] | 0.8039004677501818
0.882891594233846 | [-0.02 -0.3 ] | -0.2841183879213403
0.8648589445785132 | [ 4.83 -1.35] | -0.31507761284298386
0.8303137176384957 | [ 6.35 -1.55] | -0.17572359836621207
0.7882605132647742 | [ 7.72 -1.89] | -0.026089404064162176
0.740370604127178 | [ 9.   -2.19] | 0.09888092130275172
0.6860339534881565 | [10.32 -2.29] | 0.1761965663043298
0.6227775023017746 | [11.77 -2.09] | 0.19640015984855744
0.5469191092272362 | [13.41 -1.57] | 0.16139812192989827
0.45441050041748543 | [15.28 -0.77] | 0.070004076405309
0.34286976905015826 | [16.88 -0.06] | -0.05429654470367028
0.2180974383184715 | [16.73 -0.21] | -0.1142804654403583
0.0906419548113635 | [16.14  0.07] | -0.11186954717422469
-0.031068962562402304 | [14.49 -0.08] | -0.06642258438237433
-0.14609617512271073 | [13.56  0.04] | -0.0020291815393775163
-0.25604874125235244 | [12.56 -0.15] | 0.06872851652529204
-0.36265345071195165 | [12.07  0.09] | 0.14611232903978327
-0.46622863922495683 | [11.23 -0.32] | 0.20376270954112025
-0.5664874751632877 | [10.93  0.49] | 0.2962218974058576
-0.6636025285641393 | [ 9.83 -1.21] | 0.28888335829917905
-0.7546425404586491 | [9.92 2.  ] | 0.36125220169556
-0.8421559275445772 | [ 8.64 -1.79] | 0.01223921533606032
-0.8838472790343783 | [ 0.59 12.08] | -0.7771191690393748
-0.8370479496096432 | [-0.34  8.77] | -0.3704848100226027
-0.8051803494540813 | [-1.11  5.49] | -0.11927780364789153
-0.7739049018711682 | [-2.87  3.53] | 0.048983949967707274
-0.736388863868531 | [-4.59  1.75] | 0.16179169093288626
-0.6911768709278193 | [-6.36  0.44] | 0.12198110927978709
